TimeUS,gprLat,gprLng,gprAlt,gprN,gprE,gprD
 59021382, -353632621, 1491652374, 21921, 0, 0, 0
 59023881, -353632621, 1491652374, 21921, 0, 0, 0
 59026380, -353632621, 1491652374, 21921, 0, 0, 0
 59028879, -353632621, 1491652374, 21921, 0, 0, 0
 59031378, -353632621, 1491652374, 21921, 0, 0, 0
 59033877, -353632621, 1491652374, 21921, 0, 0, 0
 59036376, -353632621, 1491652374, 21921, 0, 0, 0
 59038875, -353632621, 1491652374, 21921, 0, 0, 0
 59041374, -353632621, 1491652374, 21921, 0, 0, 0
 59043873, -353632621, 1491652374, 21921, 0, 0, 0
 59046372, -353632621, 1491652374, 21921, 0, 0, 0
 59048871, -353632621, 1491652374, 21921, 0, 0, 0
 59051370, -353632621, 1491652374, 21921, 0, 0, 0
 59053869, -353632621, 1491652374, 21921, 0, 0, 0
 59056368, -353632621, 1491652374, 21921, 0, 0, 0
 59058867, -353632621, 1491652374, 21921, 0, 0, 0
 59061366, -353632621, 1491652374, 21921, 0, 0, 0
 59063865, -353632621, 1491652374, 21921, 0, 0, 0
 59066364, -353632621, 1491652374, 21921, 0, 0, 0
 59068863, -353632621, 1491652374, 21921, 0, 0, 0
 59071362, -353632621, 1491652374, 21921, 0, 0, 0
 59073861, -353632621, 1491652374, 21921, 0, 0, 0
 59076360, -353632621, 1491652374, 21921, 0, 0, 0
 59078859, -353632621, 1491652374, 21921, 0, 0, 0
 59081358, -353632621, 1491652374, 21921, 0, 0, 0
 59083857, -353632621, 1491652374, 21921, 0, 0, 0
 59086356, -353632621, 1491652374, 21921, 0, 0, 0
 59088855, -353632621, 1491652374, 21921, 0, 0, 0
 59091354, -353632621, 1491652374, 21921, 0, 0, 0
 59093853, -353632621, 1491652374, 21921, 0, 0, 0
 59096352, -353632621, 1491652374, 21921, 0, 0, 0
 59098851, -353632621, 1491652374, 21921, 0, 0, 0
 59101350, -353632621, 1491652374, 21921, 0, 0, 0
 59103849, -353632621, 1491652374, 21921, 0, 0, 0
 59106348, -353632621, 1491652374, 21921, 0, 0, 0
 59108847, -353632621, 1491652374, 21921, 0, 0, 0
 59111346, -353632621, 1491652374, 21921, 0, 0, 0
 59113845, -353632621, 1491652374, 21921, 0, 0, 0
 59116344, -353632621, 1491652374, 21921, 0, 0, 0
 59118843, -353632621, 1491652374, 21921, 0, 0, 0
 59121342, -353632621, 1491652374, 21921, 0, 0, 0
 59123841, -353632621, 1491652374, 21921, 0, 0, 0
 59126340, -353632621, 1491652374, 21921, 0, 0, 0
 59128839, -353632621, 1491652374, 21921, 0, 0, 0
 59131338, -353632621, 1491652374, 21921, 0, 0, 0
 59133837, -353632621, 1491652374, 21921, 0, 0, 0
 59136336, -353632621, 1491652374, 21921, 0, 0, 0
 59138835, -353632621, 1491652374, 21921, 0, 0, 0
 59141334, -353632621, 1491652374, 21921, 0, 0, 0
 59143833, -353632621, 1491652374, 21921, 0, 0, 0
 59146332, -353632621, 1491652374, 21921, 0, 0, 0
 59148831, -353632621, 1491652374, 21921, 0, 0, 0
 59151330, -353632621, 1491652374, 21921, 0, 0, 0
 59153829, -353632621, 1491652374, 21921, 0, 0, 0
 59156328, -353632621, 1491652374, 21921, 0, 0, 0
 59158827, -353632621, 1491652374, 21921, 0, 0, 0
 59161326, -353632621, 1491652374, 21921, 0, 0, 0
 59163825, -353632621, 1491652374, 21921, 0, 0, 0
 59166324, -353632621, 1491652374, 21921, 0, 0, 0
 59168823, -353632621, 1491652374, 21921, 0, 0, 0
 59171322, -353632621, 1491652374, 21921, 0, 0, 0
 59173821, -353632621, 1491652374, 21921, 0, 0, 0
 59176320, -353632621, 1491652374, 21921, 0, 0, 0
 59178819, -353632621, 1491652374, 21921, 0, 0, 0
 59181318, -353632621, 1491652374, 21921, 0, 0, 0
 59183817, -353632621, 1491652374, 21921, 0, 0, 0
 59186316, -353632621, 1491652374, 21921, 0, 0, 0
 59188815, -353632621, 1491652374, 21921, 0, 0, 0
 59191314, -353632621, 1491652374, 21921, 0, 0, 0
 59193813, -353632621, 1491652374, 21921, 0, 0, 0
 59196312, -353632621, 1491652374, 21921, 0, 0, 0
 59198811, -353632621, 1491652374, 21921, 0, 0, 0
 59201310, -353632621, 1491652374, 21921, 0, 0, 0
 59203809, -353632621, 1491652374, 21921, 0, 0, 0
 59206308, -353632621, 1491652374, 21921, 0, 0, 0
 59208807, -353632621, 1491652374, 21921, 0, 0, 0
 59211306, -353632621, 1491652374, 21921, 0, 0, 0
 59213805, -353632621, 1491652374, 21921, 0, 0, 0
 59216304, -353632621, 1491652374, 21921, 0, 0, 0
 59218803, -353632621, 1491652374, 21921, 0, 0, 0
 59221302, -353632621, 1491652374, 21921, 0, 0, 0
 59223801, -353632621, 1491652374, 21921, 0, 0, 0
 59226300, -353632621, 1491652374, 21921, 0, 0, 0
 59228799, -353632621, 1491652374, 21921, 0, 0, 0
 59231298, -353632621, 1491652374, 21921, 0, 0, 0
 59233797, -353632621, 1491652374, 21921, 0, 0, 0
 59236296, -353632621, 1491652374, 21921, 0, 0, 0
 59238795, -353632621, 1491652374, 21921, 0, 0, 0
 59241294, -353632621, 1491652374, 21921, 0, 0, 0
 59243793, -353632621, 1491652374, 21921, 0, 0, 0
 59246292, -353632621, 1491652374, 21921, 0, 0, 0
 59248791, -353632621, 1491652374, 21921, 0, 0, 0
 59251290, -353632621, 1491652374, 21921, 0, 0, 0
 59253789, -353632621, 1491652374, 21921, 0, 0, 0
 59256288, -353632621, 1491652374, 21921, 0, 0, 0
 59258787, -353632621, 1491652374, 21921, 0, 0, 0
 59261286, -353632621, 1491652374, 21921, 0, 0, 0
 59263785, -353632621, 1491652374, 21921, 0, 0, 0
 59266284, -353632621, 1491652374, 21921, 0, 0, 0
 59268783, -353632621, 1491652374, 21921, 0, 0, 0
 59271282, -353632621, 1491652374, 21921, 0, 0, 0
 59273781, -353632621, 1491652374, 21921, 0, 0, 0
 59276280, -353632621, 1491652374, 21921, 0, 0, 0
 59278779, -353632621, 1491652374, 21921, 0, 0, 0
 59281278, -353632621, 1491652374, 21921, 0, 0, 0
 59283777, -353632621, 1491652374, 21921, 0, 0, 0
 59286276, -353632621, 1491652374, 21921, 0, 0, 0
 59288775, -353632621, 1491652374, 21921, 0, 0, 0
 59291274, -353632621, 1491652374, 21921, 0, 0, 0
 59293773, -353632621, 1491652374, 21921, 0, 0, 0
 59296272, -353632621, 1491652374, 21921, 0, 0, 0
 59298771, -353632621, 1491652374, 21921, 0, 0, 0
 59301270, -353632621, 1491652374, 21921, 0, 0, 0
 59303769, -353632621, 1491652374, 21921, 0, 0, 0
