TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 96250905, -1.055604, 0.1759363, -9.630986, -3.003035E-05, 0.0007000046, 4.818731E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96253776, -1.053508, 0.1760268, -9.626545, 0.0003551085, 0.0006881412, 0.0008132664, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96255874, -1.049452, 0.1736237, -9.623106, 0.0001587862, 0.0004704304, 0.0009941004, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96258526, -1.046751, 0.1686805, -9.62112, -0.0002661499, 0.0002663652, 0.0006863416, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96260889, -1.043815, 0.1614292, -9.61827, -0.000235188, 0.0002914515, 7.43327E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96263918, -1.042972, 0.1577263, -9.616651, -0.0007169022, 0.0005666079, -0.0003435042, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96265924, -1.042625, 0.1523464, -9.619312, -0.0005195747, 0.0007112805, 1.425663E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96268533, -1.043137, 0.1509559, -9.623027, -0.000192897, 0.000691418, 0.0002850649, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96270903, -1.042616, 0.155533, -9.627785, -0.0001534858, 0.0003715459, 0.0002520898, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96273764, -1.041199, 0.1606264, -9.630566, -0.0002957355, 8.78345E-05, -0.0001811632, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96275907, -1.038354, 0.1671026, -9.633767, -0.0003259294, 5.922806E-05, -0.0005534187, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96278537, -1.036777, 0.1705469, -9.636007, 2.974712E-05, 0.0001728126, -0.0005734029, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96280892, -1.033809, 0.1717779, -9.639194, 0.0002733419, 0.0004508833, -0.0004284485, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96283769, -1.033369, 0.1697454, -9.640038, 0.0003294076, 0.0008989341, -0.0001209197, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96285906, -1.036049, 0.1639731, -9.63995, 0.0001468013, 0.001228357, 0.0002503519, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96288491, -1.038607, 0.1587681, -9.637398, 0.000144894, 0.001379312, 0.0006674926, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96290934, -1.040697, 0.1504924, -9.63045, 0.000263474, 0.001015939, 0.0007404854, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96293754, -1.043245, 0.1468385, -9.625807, -0.0002242746, 0.000946979, 0.000286341, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96295960, -1.049152, 0.1416995, -9.621904, -0.0005599537, 0.001076411, -6.931365E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96298533, -1.052697, 0.1385385, -9.621464, -0.0007995775, 0.001350926, -0.0001455478, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96300909, -1.055856, 0.1343759, -9.618346, -0.0007467643, 0.001226986, 0.0002575951, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96303856, -1.05753, 0.1327214, -9.613369, -0.0006691075, 0.0009074126, 0.0001384755, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96305893, -1.054737, 0.1335927, -9.608518, -0.0009239917, 0.0006422143, 9.009523E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96308534, -1.050027, 0.1346647, -9.608189, -0.0005393517, 0.0006950214, -0.0001806137, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96310899, -1.045053, 0.1367095, -9.609921, -0.0002968102, 0.0008354636, 7.278995E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96314039, -1.044068, 0.1404817, -9.610469, 0.0003597817, 0.000365941, -7.87863E-05, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96315921, -1.042694, 0.1483138, -9.613082, 0.0004394022, 0.0002312931, -0.0003963965, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
 96318517, -1.042132, 0.1542631, -9.614185, 0.0004463079, 0.0007089101, -0.0002225921, -0.9334375, 389156431, -953179433, -94, 0.022, -0.008, 0.052
