TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 96250905, -0.05473934, 0.9970703, 0.05342774, -0.9904649, -0.06099586, 0.1235269, 0.1264238, -0.04615653, 0.990902
 96253776, -0.05472723, 0.9970712, 0.05342393, -0.9904671, -0.06098284, 0.123516, 0.1264121, -0.04615495, 0.9909035
 96255874, -0.05471831, 0.997072, 0.05341851, -0.9904688, -0.06097283, 0.1235062, 0.1264017, -0.04615132, 0.990905
 96258526, -0.05471554, 0.9970723, 0.05341355, -0.9904706, -0.06096891, 0.1234943, 0.1263893, -0.0461475, 0.9909068
 96260889, -0.05471218, 0.9970729, 0.05340681, -0.9904724, -0.06096418, 0.1234829, 0.1263774, -0.04614194, 0.9909085
 96263918, -0.05470081, 0.9970737, 0.05340511, -0.9904748, -0.06095201, 0.1234689, 0.1263627, -0.04614256, 0.9909104
 96265924, -0.05469334, 0.9970745, 0.05339477, -0.9904769, -0.06094272, 0.1234568, 0.1263496, -0.04613402, 0.9909124
 96268533, -0.05468718, 0.9970753, 0.05338923, -0.9904785, -0.06093549, 0.1234482, 0.1263404, -0.04612984, 0.9909139
 96270903, -0.05468157, 0.9970759, 0.0533849, -0.9904801, -0.06092891, 0.1234383, 0.12633, -0.04612687, 0.9909153
 96273764, -0.05468172, 0.9970761, 0.05337957, -0.9904815, -0.0609279, 0.1234277, 0.1263191, -0.04612223, 0.9909168
 96275907, -0.05467725, 0.9970766, 0.05337271, -0.9904833, -0.06092205, 0.1234159, 0.1263067, -0.04611673, 0.9909188
 96278537, -0.05467123, 0.9970775, 0.05336409, -0.9904851, -0.06091445, 0.1234049, 0.1262949, -0.04610964, 0.9909205
 96280892, -0.05466655, 0.9970782, 0.05335433, -0.9904874, -0.06090788, 0.1233901, 0.1262793, -0.04610148, 0.9909229
 96283769, -0.05465917, 0.9970788, 0.05335116, -0.9904895, -0.0608995, 0.1233762, 0.1262648, -0.04610012, 0.9909248
 96285906, -0.05465383, 0.9970796, 0.05334341, -0.9904918, -0.06089253, 0.1233613, 0.1262493, -0.04609404, 0.9909272
 96288491, -0.05464563, 0.9970804, 0.05333516, -0.9904936, -0.06088289, 0.1233518, 0.1262389, -0.0460875, 0.9909287
 96290934, -0.05464302, 0.9970809, 0.05332807, -0.9904952, -0.06087891, 0.1233412, 0.1262277, -0.04608147, 0.9909304
 96293754, -0.0546429, 0.9970809, 0.05332785, -0.9904973, -0.060878, 0.1233247, 0.1262112, -0.04608227, 0.9909325
 96295960, -0.05463899, 0.9970815, 0.05332179, -0.9904993, -0.06087273, 0.1233115, 0.1261974, -0.04607758, 0.9909344
 96298533, -0.05463223, 0.9970821, 0.05331798, -0.9905016, -0.06086484, 0.1232964, 0.1261818, -0.04607559, 0.9909366
 96300909, -0.05462695, 0.9970827, 0.05331039, -0.9905032, -0.0608582, 0.1232872, 0.1261719, -0.04606932, 0.9909381
 96303856, -0.05462696, 0.9970829, 0.05330925, -0.9905048, -0.06085746, 0.1232744, 0.1261591, -0.04606896, 0.9909397
 96305893, -0.05462343, 0.9970833, 0.05330401, -0.9905064, -0.06085285, 0.1232648, 0.1261489, -0.04606481, 0.9909412
 96308534, -0.05462162, 0.9970838, 0.0532944, -0.9905087, -0.06084906, 0.1232479, 0.1261314, -0.04605656, 0.9909439
 96310899, -0.05461578, 0.9970846, 0.05328814, -0.9905103, -0.06084203, 0.1232387, 0.1261215, -0.04605166, 0.9909453
 96314039, -0.0546196, 0.9970849, 0.05327708, -0.9905111, -0.06084408, 0.123231, 0.1261134, -0.04604071, 0.9909469
 96315921, -0.05461749, 0.9970853, 0.05327343, -0.990513, -0.06084087, 0.1232172, 0.1260993, -0.04603821, 0.9909488
 96318517, -0.05461163, 0.9970862, 0.05326196, -0.9905154, -0.06083288, 0.1232018, 0.1260829, -0.04602854, 0.9909514
 96320911, -0.05459609, 0.9970875, 0.05325355, -0.9905182, -0.06081577, 0.1231885, 0.1260684, -0.046023, 0.9909534
 96323802, -0.05458073, 0.9970883, 0.05325468, -0.9905209, -0.06079997, 0.1231739, 0.1260531, -0.04602695, 0.9909552
 96325889, -0.05456943, 0.9970894, 0.05324638, -0.9905231, -0.06078717, 0.1231624, 0.1260406, -0.04602087, 0.9909571
 96328527, -0.05455665, 0.9970905, 0.05323658, -0.9905256, -0.06077264, 0.1231495, 0.1260265, -0.04601358, 0.9909592
 96330891, -0.05454675, 0.9970911, 0.05323526, -0.9905273, -0.06076223, 0.1231408, 0.1260172, -0.04601405, 0.9909603
 96334249, -0.05454525, 0.9970915, 0.05322864, -0.9905294, -0.06075916, 0.1231247, 0.1260007, -0.04600867, 0.9909627
 96335923, -0.05453421, 0.9970925, 0.05322248, -0.9905317, -0.06074688, 0.1231132, 0.1259883, -0.04600468, 0.9909645
 96338507, -0.05452322, 0.9970933, 0.0532182, -0.990534, -0.06073485, 0.1231007, 0.1259751, -0.0460026, 0.9909663
 96340869, -0.05451138, 0.9970944, 0.05321071, -0.9905362, -0.0607216, 0.1230894, 0.1259628, -0.04599736, 0.990968
 96343786, -0.0544995, 0.9970951, 0.05320933, -0.9905386, -0.06070904, 0.1230766, 0.1259494, -0.04599829, 0.9909698
 96345915, -0.05449138, 0.9970958, 0.0532047, -0.9905406, -0.06069986, 0.1230654, 0.1259375, -0.04599541, 0.9909713
 96348560, -0.05447924, 0.9970971, 0.053192, -0.9905422, -0.06068589, 0.1230586, 0.1259294, -0.04598479, 0.9909729
 96350912, -0.05447369, 0.9970978, 0.05318675, -0.9905441, -0.06067913, 0.1230463, 0.1259165, -0.04598104, 0.9909747
 96353776, -0.05446615, 0.9970984, 0.05318013, -0.9905465, -0.06067015, 0.1230318, 0.1259013, -0.04597632, 0.9909769
 96355893, -0.05445699, 0.9970996, 0.05316939, -0.9905486, -0.06065918, 0.1230211, 0.1258895, -0.0459675, 0.9909788
 96358538, -0.05445157, 0.9971, 0.05316622, -0.9905503, -0.06065288, 0.1230098, 0.1258778, -0.04596573, 0.9909803
 96360926, -0.05443996, 0.9971012, 0.05315829, -0.9905523, -0.06063988, 0.1230001, 0.125867, -0.04595994, 0.9909819
 96363772, -0.05443369, 0.9971021, 0.05314755, -0.9905545, -0.0606317, 0.122987, 0.125853, -0.0459509, 0.9909841
 96365904, -0.05442885, 0.9971023, 0.05314673, -0.9905562, -0.06062624, 0.1229751, 0.1258408, -0.04595143, 0.9909856
 96368532, -0.05443108, 0.9971024, 0.05314429, -0.9905581, -0.06062743, 0.1229597, 0.1258254, -0.04594967, 0.9909877
 96370884, -0.05442561, 0.9971028, 0.05314051, -0.9905599, -0.060621, 0.1229483, 0.1258136, -0.04594732, 0.9909894
 96373780, -0.05442392, 0.9971033, 0.05313191, -0.9905608, -0.06061793, 0.1229421, 0.1258067, -0.0459394, 0.9909906
 96375920, -0.05441802, 0.9971041, 0.05312421, -0.9905626, -0.06061065, 0.1229322, 0.125796, -0.04593312, 0.9909922
 96378489, -0.054414, 0.9971047, 0.05311725, -0.9905643, -0.06060524, 0.1229205, 0.1257838, -0.04592746, 0.990994
 96380950, -0.05440928, 0.9971052, 0.05311279, -0.9905663, -0.06059938, 0.1229074, 0.1257702, -0.04592444, 0.9909959
 96383761, -0.05440143, 0.9971059, 0.05310802, -0.9905681, -0.06059049, 0.1228969, 0.125759, -0.04592135, 0.9909975
 96385880, -0.0543938, 0.9971067, 0.05310195, -0.9905698, -0.06058173, 0.122888, 0.1257494, -0.04591683, 0.9909989
 96388570, -0.05438548, 0.9971071, 0.05310139, -0.990571, -0.06057315, 0.1228829, 0.1257439, -0.04591765, 0.9909996
 96390917, -0.05438251, 0.9971077, 0.05309337, -0.9905727, -0.06056866, 0.1228711, 0.1257315, -0.0459108, 0.9910014
 96393759, -0.05438161, 0.997108, 0.05308907, -0.9905747, -0.06056651, 0.1228558, 0.1257159, -0.04590759, 0.9910036
 96395908, -0.05438007, 0.9971082, 0.05308786, -0.9905765, -0.06056422, 0.1228425, 0.1257025, -0.0459074, 0.9910053
 96398513, -0.05437481, 0.9971088, 0.05308076, -0.9905782, -0.06055763, 0.1228324, 0.1256917, -0.04590165, 0.9910069
 96400939, -0.0543685, 0.9971099, 0.05306657, -0.9905792, -0.06054936, 0.1228279, 0.125686, -0.04588867, 0.9910082
 96403895, -0.05436218, 0.9971105, 0.05306129, -0.9905809, -0.06054198, 0.1228185, 0.1256761, -0.04588481, 0.9910097
 96405903, -0.05435844, 0.9971111, 0.05305255, -0.9905826, -0.06053663, 0.1228071, 0.1256639, -0.04587733, 0.9910116
 96408515, -0.05435631, 0.9971117, 0.05304581, -0.9905842, -0.06053311, 0.1227951, 0.1256514, -0.04587166, 0.9910134
 96410904, -0.05435334, 0.9971124, 0.05303542, -0.9905865, -0.06052811, 0.122779, 0.1256345, -0.04586273, 0.9910159
 96413778, -0.05434791, 0.9971133, 0.05302257, -0.9905882, -0.06052066, 0.1227696, 0.1256241, -0.04585126, 0.9910178
 96415885, -0.05434699, 0.9971139, 0.05301283, -0.9905899, -0.06051793, 0.122757, 0.1256109, -0.04584249, 0.9910199
 96418584, -0.05434591, 0.9971143, 0.05300692, -0.9905911, -0.06051575, 0.1227489, 0.1256024, -0.04583728, 0.9910212
 96420908, -0.05432678, 0.997115, 0.05301526, -0.9905924, -0.06049767, 0.1227464, 0.1255995, -0.04584809, 0.991021
 96424021, -0.05430872, 0.9971155, 0.05302249, -0.990593, -0.06048084, 0.1227503, 0.125603, -0.0458573, 0.9910201
 96425951, -0.05428627, 0.9971162, 0.053032, -0.9905937, -0.06045996, 0.1227554, 0.1256077, -0.04586922, 0.9910191
 96428500, -0.05426626, 0.9971169, 0.05303853, -0.9905949, -0.06044086, 0.1227545, 0.1256063, -0.04587827, 0.9910188
 96430863, -0.05425144, 0.9971175, 0.05304289, -0.9905955, -0.0604268, 0.1227569, 0.1256083, -0.04588431, 0.9910183
 96433781, -0.05423584, 0.9971181, 0.05304982, -0.9905964, -0.06041215, 0.1227567, 0.1256077, -0.04589314, 0.9910179
 96435882, -0.05422479, 0.9971182, 0.05305842, -0.9905978, -0.06040197, 0.1227503, 0.1256013, -0.04590344, 0.9910182
 96438531, -0.0542154, 0.9971182, 0.05306729, -0.9905982, -0.06039382, 0.1227517, 0.1256028, -0.04591332, 0.9910176
 96440899, -0.05420064, 0.9971186, 0.05307491, -0.9905992, -0.06038006, 0.1227505, 0.1256015, -0.0459228, 0.9910173
 96443788, -0.05418251, 0.9971192, 0.05308084, -0.9906009, -0.06036254, 0.1227449, 0.1255954, -0.0459313, 0.9910178
 96445906, -0.05416893, 0.9971194, 0.05309227, -0.9906023, -0.06035026, 0.1227402, 0.1255907, -0.04594461, 0.9910177
 96448533, -0.05415557, 0.9971195, 0.05310246, -0.9906031, -0.06033824, 0.1227394, 0.1255899, -0.04595644, 0.9910173
 96450898, -0.05413542, 0.9971201, 0.05311252, -0.9906046, -0.06031932, 0.1227358, 0.1255861, -0.04596915, 0.9910171
 96453932, -0.05412534, 0.9971202, 0.05312082, -0.9906051, -0.0603104, 0.122737, 0.1255873, -0.04597858, 0.9910166
 96455902, -0.05410606, 0.9971209, 0.0531282, -0.9906061, -0.06029221, 0.1227375, 0.1255873, -0.04598827, 0.9910161
 96458528, -0.05409645, 0.9971212, 0.05313368, -0.9906064, -0.06028343, 0.1227393, 0.125589, -0.0459948, 0.9910156
