TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 44513854, 0.001627326, -0.003069303, -9.817454, 0.0006472069, 0.0006536228, 0.0006484119, -0.05040873, -353629387, 1491650884, 0, 0, 0, 0
 44533846, -0.0002137007, 0.002082604, -9.818706, 0.0006509029, 0.0006452235, 0.0006363625, -0.08401455, -353629387, 1491650884, 0, 0, 0, 0
 44553838, 0.002316528, 0.001772833, -9.818738, 0.000646975, 0.0006490783, 0.0006464127, -0.08401455, -353629387, 1491650884, 0, 0, 0, 0
 44573830, -0.002406881, 0.0002041191, -9.819822, 0.0006485467, 0.0006510135, 0.0006485751, -0.08401455, -353629387, 1491650884, 0, 0, 0, 0
 44593822, -0.007315975, 0.001160197, -9.817607, 0.0006456972, 0.0006461545, 0.0006502852, -0.08401455, -353629387, 1491650884, 0, 0, 0, 0
 44613814, -0.004218781, 0.000365478, -9.820526, 0.0006509082, 0.0006463645, 0.0006469099, -0.08401455, -353629387, 1491650884, 0, 0, 0, 0
 44633806, -7.799944E-05, -0.0003043911, -9.816418, 0.0006462138, 0.0006492708, 0.0006485227, 0.1176204, -353629353, 1491649981, 0, 0, 0, 0
 44653798, -6.646077E-05, -0.0003232025, -9.816495, 0.0006511221, 0.0006583049, 0.000643735, 0.1176204, -353629353, 1491649981, 0, 0, 0, 0
 44673790, -0.002018485, -6.525325E-05, -9.814791, 0.0006486748, 0.0006557731, 0.0006525017, 0.1176204, -353629353, 1491649981, 0, 0, 0, 0
 44693782, 7.977203E-05, 0.001798886, -9.819466, 0.0006469077, 0.0006542407, 0.0006500063, 0.1176204, -353629353, 1491649981, 0, 0, 0, 0
 44713774, -0.000299281, 0.0003474079, -9.825348, 0.0006524483, 0.0006480309, 0.0006497649, 0.1176204, -353629353, 1491649981, 0, 0, 0, 0
 44733766, -0.003819444, -0.002192251, -9.817966, 0.0006542075, 0.000653813, 0.0006537189, 0.1512262, -353629353, 1491649981, 0, 0, 0, 0
 44753758, -0.002982433, -0.002286128, -9.814835, 0.000649871, 0.0006514756, 0.0006482488, 0.1512262, -353629353, 1491649981, 0, 0, 0, 0
 44773750, 0.0001995583, -0.004110439, -9.817961, 0.0006467033, 0.0006502855, 0.0006489051, 0.1512262, -353629353, 1491649981, 0, 0, 0, 0
 44793742, 0.0006975372, -0.001455622, -9.817038, 0.0006545265, 0.0006519638, 0.0006534981, 0.1512262, -353629353, 1491649981, 0, 0, 0, 0
