TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 55113779, -0.003247648, 0.0008604847, -9.814195, 0.0007991849, 0.0007997579, 0.0007981795, -0.1235874, -353629435, 1491651277, 0, 0, 0, 0
 55133771, -0.001210572, -0.002120527, -9.813107, 0.0008062993, 0.0007968683, 0.0008049514, -0.01123522, -353629435, 1491651277, 0, 0, 0, 0
 55153763, -0.003629398, -0.0009407592, -9.818664, 0.0008047687, 0.0008032755, 0.0007996871, -0.01123522, -353629435, 1491651277, 0, 0, 0, 0
 55173755, -0.000535372, 0.0007750398, -9.820388, 0.0008010492, 0.0008063926, 0.0008023352, -0.01123522, -353629435, 1491651277, 0, 0, 0, 0
 55193747, -0.002775647, 0.0004016337, -9.818935, 0.0007970897, 0.0008001175, 0.0008014857, -0.01123522, -353629435, 1491651277, 0, 0, 0, 0
 55213739, -0.001640033, 0.0001896674, -9.820545, 0.0008006446, 0.0008006985, 0.0008047893, -0.01123522, -353629435, 1491651277, 0, 0, 0, 0
 55233731, -0.002972672, -0.003479816, -9.813683, 0.00080054, 0.0008024424, 0.0007977366, 0.143249, -353629419, 1491651407, 0, 0, 0, 0
 55253723, 0.001824015, 0.0005133873, -9.814405, 0.0008042508, 0.0008029051, 0.0008089249, 0.143249, -353629419, 1491651407, 0, 0, 0, 0
 55273715, 0.002120312, 0.002276786, -9.812481, 0.0008045124, 0.0008005532, 0.0008034654, 0.143249, -353629419, 1491651407, 0, 0, 0, 0
 55293707, -0.002651363, 0.00193489, -9.816555, 0.0008043445, 0.0008048224, 0.0007965752, 0.143249, -353629419, 1491651407, 0, 0, 0, 0
 55313699, -0.003633588, -0.0001637846, -9.817358, 0.0008029171, 0.000796716, 0.0008027633, 0.143249, -353629419, 1491651407, 0, 0, 0, 0
 55333691, -0.0002760997, -0.00369205, -9.819345, 0.0008102836, 0.0008060516, 0.0008072045, -0.129205, -353629419, 1491651407, 0, 0, 0, 0
 55353683, 0.0169603, -0.001771361, -9.816751, 0.0008003502, 0.000805906, 0.0008089654, -0.129205, -353629419, 1491651407, 0, 0, 0, 0
 55373675, 0.06784878, -0.001500817, -9.818687, 0.0008044873, 0.0008070196, 0.0008038213, -0.129205, -353629419, 1491651407, 0, 0, 0, 0
 55393667, 0.1509315, -0.0002959357, -9.821657, 0.0008017143, 0.0008070846, 0.0008025407, -0.129205, -353629419, 1491651407, 0, 0, 0, 0
 55413659, 0.2576607, -0.006814485, -9.820961, 0.0008060595, 0.000801846, 0.0008025535, -0.129205, -353629419, 1491651407, 0, 0, 0, 0
 55433651, 0.3894972, 0.003127067, -9.815645, 0.0008089555, 0.0008020669, 0.0008028781, 0.2331308, -353629478, 1491650215, 0, 0, 0, 0
 55453643, 0.5383953, 0.001402298, -9.817847, 0.0008048868, 0.0008057321, 0.0008050902, 0.2331308, -353629478, 1491650215, 0, 0, 0, 0
 55473635, 0.7064092, -0.007651329, -9.816187, 0.0008047327, 0.0008036039, 0.0008006505, 0.2331308, -353629478, 1491650215, 0, 0, 0, 0
