TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 44513854, 0.9938487, 0.110736, 0.001541356, -0.1107318, 0.993847, -0.002610095, -0.001820904, 0.002423362, 0.9999955
 44533846, 0.9938487, 0.1107361, 0.001540921, -0.1107319, 0.993847, -0.002611376, -0.001820613, 0.002424683, 0.9999954
 44553838, 0.9938486, 0.1107367, 0.001540233, -0.1107324, 0.9938469, -0.002612585, -0.001820065, 0.00242596, 0.9999954
 44573830, 0.9938486, 0.1107373, 0.001539221, -0.1107331, 0.9938467, -0.002613642, -0.001819177, 0.002427122, 0.9999954
 44593822, 0.9938485, 0.1107376, 0.001538336, -0.1107334, 0.9938468, -0.002614904, -0.001818439, 0.002428473, 0.9999955
 44613814, 0.9938485, 0.1107376, 0.001537684, -0.1107333, 0.9938468, -0.002616509, -0.001817968, 0.002430141, 0.9999955
 44633806, 0.9938485, 0.1107377, 0.001536891, -0.1107334, 0.9938468, -0.002617871, -0.001817331, 0.002431582, 0.9999955
 44653798, 0.9938484, 0.1107383, 0.001536882, -0.110734, 0.9938467, -0.00261661, -0.001817184, 0.002430328, 0.9999954
 44673790, 0.9938483, 0.1107393, 0.001536555, -0.1107351, 0.9938466, -0.002615103, -0.001816695, 0.002428865, 0.9999955
 44693782, 0.9938483, 0.1107397, 0.00153643, -0.1107354, 0.9938465, -0.002613889, -0.001816436, 0.002427672, 0.9999955
 44713774, 0.9938483, 0.11074, 0.001536347, -0.1107357, 0.9938465, -0.002613229, -0.001816281, 0.002427024, 0.9999954
 44733766, 0.9938482, 0.11074, 0.001536192, -0.1107358, 0.9938465, -0.00261196, -0.001815988, 0.002425781, 0.9999954
 44753758, 0.9938481, 0.1107406, 0.00153589, -0.1107364, 0.9938464, -0.002610712, -0.00181555, 0.002424572, 0.9999954
 44773750, 0.9938481, 0.1107413, 0.001535576, -0.1107371, 0.9938464, -0.002609429, -0.001815098, 0.002423331, 0.9999955
 44793742, 0.9938481, 0.1107415, 0.001535631, -0.1107373, 0.9938464, -0.002608418, -0.001815041, 0.002422319, 0.9999954
 44813734, 0.9938481, 0.1107412, 0.001535732, -0.110737, 0.9938464, -0.002607361, -0.001815024, 0.002421258, 0.9999955
 44833726, 0.9938481, 0.1107416, 0.001535659, -0.1107374, 0.9938464, -0.002606167, -0.00181482, 0.002420079, 0.9999954
 44853718, 0.993848, 0.1107419, 0.001535223, -0.1107376, 0.9938463, -0.002606597, -0.001814435, 0.002420555, 0.9999955
 44873710, 0.993848, 0.1107425, 0.001534507, -0.1107383, 0.9938462, -0.002606546, -0.00181372, 0.002420582, 0.9999955
 44893702, 0.9938479, 0.1107428, 0.001534075, -0.1107386, 0.9938462, -0.002607205, -0.001813364, 0.002421284, 0.9999955
 44913694, 0.993848, 0.1107426, 0.001533935, -0.1107384, 0.9938462, -0.002607835, -0.001813294, 0.002421926, 0.9999955
 44933686, 0.993848, 0.110743, 0.001533376, -0.1107388, 0.9938462, -0.002608262, -0.001812787, 0.002422412, 0.9999955
 44953678, 0.9938479, 0.1107435, 0.001532829, -0.1107393, 0.9938461, -0.002608643, -0.001812286, 0.00242285, 0.9999955
 44973670, 0.9938478, 0.1107439, 0.001531903, -0.1107397, 0.9938461, -0.002608716, -0.001811375, 0.002423024, 0.9999955
 44993662, 0.9938478, 0.110744, 0.001531333, -0.1107398, 0.993846, -0.002608954, -0.001810835, 0.002423324, 0.9999955
 45013654, 0.9938478, 0.1107439, 0.001531377, -0.1107397, 0.9938461, -0.002609643, -0.001810955, 0.002424004, 0.9999955
 45033646, 0.9938478, 0.1107441, 0.001530988, -0.1107399, 0.993846, -0.002610369, -0.00181065, 0.002424768, 0.9999955
 45053638, 0.9938478, 0.1107445, 0.001530801, -0.1107403, 0.9938461, -0.002609334, -0.00181035, 0.002423759, 0.9999955
 45073630, 0.9938477, 0.1107451, 0.001530468, -0.1107409, 0.9938459, -0.002608312, -0.001809907, 0.002422779, 0.9999955
 45093622, 0.9938477, 0.110745, 0.001530877, -0.1107408, 0.993846, -0.002607834, -0.00181026, 0.002422259, 0.9999955
 45113614, 0.9938477, 0.1107452, 0.001530662, -0.110741, 0.9938459, -0.002606967, -0.001809952, 0.002421421, 0.9999955
 45133606, 0.9938477, 0.1107454, 0.001530725, -0.1107412, 0.9938459, -0.002606193, -0.001809929, 0.002420645, 0.9999955
 45153598, 0.9938476, 0.1107457, 0.001530637, -0.1107415, 0.9938459, -0.002605533, -0.001809769, 0.002419998, 0.9999955
 45173590, 0.9938475, 0.1107462, 0.001530348, -0.110742, 0.9938458, -0.002604644, -0.001809384, 0.002419145, 0.9999955
 45193582, 0.9938477, 0.110746, 0.0015308, -0.1107418, 0.9938459, -0.002604321, -0.001809797, 0.002418775, 0.9999955
 45213574, 0.9938475, 0.1107461, 0.001530837, -0.1107419, 0.9938459, -0.002603524, -0.001809746, 0.002417978, 0.9999955
 45233566, 0.9938475, 0.1107461, 0.001530638, -0.1107419, 0.9938459, -0.002602802, -0.001809468, 0.002417283, 0.9999955
 45253558, 0.9938477, 0.110746, 0.001529554, -0.1107418, 0.9938459, -0.002602367, -0.001808343, 0.00241697, 0.9999955
 45273550, 0.9938476, 0.1107464, 0.00152829, -0.1107422, 0.9938458, -0.002601315, -0.001806971, 0.002416064, 0.9999955
 45293542, 0.9938476, 0.1107462, 0.001527714, -0.110742, 0.9938458, -0.002600819, -0.001806343, 0.002415636, 0.9999955
 45313534, 0.9938476, 0.1107463, 0.001526656, -0.1107421, 0.9938458, -0.002600318, -0.001805236, 0.002415255, 0.9999955
 45333526, 0.9938476, 0.1107461, 0.00152573, -0.1107419, 0.9938458, -0.002599627, -0.001804238, 0.002414671, 0.9999955
 45353518, 0.9938475, 0.1107468, 0.00152466, -0.1107426, 0.9938458, -0.002598832, -0.001803089, 0.002413998, 0.9999955
 45373510, 0.9938475, 0.1107467, 0.001523885, -0.1107426, 0.9938458, -0.002598179, -0.001802246, 0.002413435, 0.9999955
 45393502, 0.9938475, 0.1107465, 0.001523362, -0.1107423, 0.9938459, -0.002598174, -0.001801725, 0.002413488, 0.9999955
 45413494, 0.9938475, 0.1107465, 0.001522572, -0.1107423, 0.9938458, -0.002597807, -0.001800899, 0.002413211, 0.9999955
 45433486, 0.9938476, 0.1107461, 0.001521905, -0.1107419, 0.9938458, -0.002597449, -0.001800197, 0.00241293, 0.9999955
 45453478, 0.9938477, 0.1107456, 0.001522505, -0.1107415, 0.9938459, -0.002596847, -0.001800725, 0.002412266, 0.9999955
 45474303, 0.9938478, 0.1107446, 0.001523126, -0.1107405, 0.993846, -0.002596445, -0.001801295, 0.0024118, 0.9999955
 45494295, 0.9938478, 0.1107439, 0.00152378, -0.1107398, 0.9938461, -0.002595683, -0.001801859, 0.002410971, 0.9999955
