TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 55113779, 0.9939076, 0.110207, 0.001470958, -0.1102034, 0.9939063, -0.00235087, -0.001721077, 0.002174443, 0.9999962
 55133771, 0.9939078, 0.1102048, 0.001471027, -0.1102012, 0.9939066, -0.002350652, -0.001721117, 0.002174222, 0.9999962
 55153763, 0.993908, 0.110203, 0.001471039, -0.1101994, 0.9939067, -0.00234953, -0.001721001, 0.002173109, 0.9999962
 55173755, 0.9939082, 0.1102011, 0.001471026, -0.1101974, 0.993907, -0.002348488, -0.001720869, 0.002172078, 0.9999962
 55193747, 0.9939084, 0.1101995, 0.001470822, -0.1101959, 0.9939072, -0.002347265, -0.001720528, 0.002170888, 0.9999962
 55213739, 0.9939086, 0.1101974, 0.001471084, -0.1101938, 0.9939074, -0.002346445, -0.001720694, 0.002170048, 0.9999962
 55233731, 0.993909, 0.1101951, 0.001471258, -0.1101915, 0.9939076, -0.002345868, -0.001720797, 0.002169459, 0.9999962
 55253723, 0.9939091, 0.110193, 0.001472385, -0.1101893, 0.9939079, -0.002344176, -0.001721727, 0.002167657, 0.9999962
 55273715, 0.9939094, 0.110191, 0.001473689, -0.1101874, 0.9939081, -0.002342317, -0.001722813, 0.002165669, 0.9999962
 55293707, 0.9939095, 0.1101891, 0.001474533, -0.1101855, 0.9939083, -0.002340263, -0.001723423, 0.002163538, 0.9999962
 55313699, 0.9939098, 0.1101867, 0.001475929, -0.1101831, 0.9939086, -0.002338264, -0.001724584, 0.002161401, 0.9999962
 55333691, 0.9939101, 0.1101843, 0.001477537, -0.1101807, 0.9939089, -0.002337114, -0.00172605, 0.002160085, 0.9999962
 55353683, 0.9939103, 0.1101824, 0.001478687, -0.1101788, 0.9939091, -0.002335163, -0.001726975, 0.002158023, 0.9999962
 55373675, 0.9939106, 0.1101803, 0.001479854, -0.1101767, 0.9939094, -0.002333266, -0.00172792, 0.002156012, 0.9999962
 55393667, 0.9939107, 0.1101785, 0.00148049, -0.1101749, 0.9939095, -0.002331017, -0.001728301, 0.00215371, 0.9999962
 55413659, 0.993911, 0.1101763, 0.001481869, -0.1101727, 0.9939098, -0.002329274, -0.001729475, 0.002151829, 0.9999962
 55433651, 0.9939113, 0.1101738, 0.001483538, -0.1101702, 0.9939101, -0.002327882, -0.001730975, 0.002150267, 0.9999962
 55453643, 0.9939115, 0.1101716, 0.001482775, -0.110168, 0.9939103, -0.002327134, -0.001730129, 0.002149611, 0.9999962
 55473635, 0.9939117, 0.1101694, 0.001481957, -0.1101658, 0.9939106, -0.002326332, -0.001729223, 0.002148907, 0.9999962
 55493627, 0.993912, 0.1101673, 0.00148092, -0.1101637, 0.9939108, -0.002325136, -0.001728056, 0.002147836, 0.9999962
 55513619, 0.9939123, 0.1101648, 0.001480156, -0.1101612, 0.9939111, -0.002324169, -0.001727185, 0.002146964, 0.9999962
