TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 55914292, 0.993917, 0.1101211, 0.001481582, -0.1101175, 0.9939159, -0.002315464, -0.001727549, 0.002138231, 0.9999962
 55934284, 0.9939174, 0.1101187, 0.001481625, -0.1101152, 0.9939162, -0.00231497, -0.001727533, 0.002137739, 0.9999962
 55954276, 0.9939177, 0.1101158, 0.001482468, -0.1101122, 0.9939165, -0.002315489, -0.001728421, 0.002138167, 0.9999962
 55974268, 0.9939179, 0.1101136, 0.001482608, -0.11011, 0.9939167, -0.002314965, -0.001728498, 0.002137635, 0.9999962
 55994260, 0.9939182, 0.1101111, 0.001482825, -0.1101075, 0.993917, -0.002314651, -0.001728674, 0.002137303, 0.9999962
 56014252, 0.9939184, 0.1101094, 0.001482766, -0.1101058, 0.9939172, -0.002313856, -0.001728523, 0.002136523, 0.9999962
 56034244, 0.9939187, 0.1101072, 0.001483054, -0.1101037, 0.9939175, -0.002313305, -0.001728745, 0.002135947, 0.9999962
 56054236, 0.993919, 0.1101046, 0.001484137, -0.110101, 0.9939178, -0.00231367, -0.001729856, 0.002136196, 0.9999962
 56074228, 0.9939192, 0.1101022, 0.001484757, -0.1100986, 0.993918, -0.002313808, -0.001730482, 0.002136269, 0.9999962
 56094220, 0.9939194, 0.1100999, 0.001485226, -0.1100963, 0.9939182, -0.002313879, -0.001730951, 0.002136292, 0.9999963
 56114212, 0.9939197, 0.1100978, 0.001485653, -0.1100942, 0.9939185, -0.002313546, -0.001731335, 0.002135917, 0.9999962
 56134204, 0.99392, 0.1100954, 0.001486424, -0.1100918, 0.9939188, -0.002313671, -0.001732109, 0.00213596, 0.9999962
 56154196, 0.9939202, 0.110093, 0.001487655, -0.1100894, 0.993919, -0.002314123, -0.001733377, 0.002136278, 0.9999962
 56174188, 0.9939204, 0.1100909, 0.001488049, -0.1100873, 0.9939193, -0.002313969, -0.001733747, 0.002136086, 0.9999962
 56194180, 0.9939207, 0.1100889, 0.001488566, -0.1100853, 0.9939195, -0.002314115, -0.001734273, 0.002136177, 0.9999962
 56214172, 0.9939209, 0.1100869, 0.001488863, -0.1100833, 0.9939197, -0.00231402, -0.001734553, 0.002136054, 0.9999962
 56234164, 0.9939212, 0.1100846, 0.001489382, -0.1100811, 0.99392, -0.002314242, -0.001735089, 0.002136221, 0.9999962
 56254156, 0.9939215, 0.1100821, 0.001489939, -0.1100785, 0.9939203, -0.002313815, -0.00173559, 0.002135739, 0.9999962
 56274148, 0.9939217, 0.11008, 0.001490291, -0.1100763, 0.9939205, -0.002313171, -0.001735865, 0.002135064, 0.9999962
 56294140, 0.9939218, 0.110078, 0.001490462, -0.1100744, 0.9939206, -0.002312463, -0.001735952, 0.002134346, 0.9999963
 56314132, 0.9939221, 0.1100761, 0.001490382, -0.1100725, 0.9939209, -0.002311359, -0.001735747, 0.002133261, 0.9999963
 56334124, 0.9939222, 0.1100742, 0.001490347, -0.1100706, 0.9939211, -0.002310653, -0.00173563, 0.002132566, 0.9999962
 56354116, 0.9939227, 0.1100713, 0.001490797, -0.1100677, 0.9939214, -0.002310525, -0.001736057, 0.002132394, 0.9999963
 56374108, 0.9939229, 0.1100689, 0.001490846, -0.1100653, 0.9939217, -0.002309842, -0.001736026, 0.002131714, 0.9999963
 56394100, 0.9939232, 0.1100664, 0.001490933, -0.1100628, 0.993922, -0.00230926, -0.001736043, 0.002131131, 0.9999962
 56414092, 0.9939234, 0.1100645, 0.00149076, -0.110061, 0.9939222, -0.002308062, -0.001735735, 0.002129962, 0.9999963
 56434084, 0.9939236, 0.1100624, 0.001490839, -0.1100588, 0.9939224, -0.002307422, -0.001735739, 0.002129322, 0.9999963
 56454076, 0.9939239, 0.1100592, 0.001509759, -0.1100556, 0.9939228, -0.002309652, -0.001754782, 0.002129461, 0.9999962
 56474068, 0.9939242, 0.1100564, 0.001528273, -0.1100528, 0.9939231, -0.002311436, -0.001773374, 0.002129202, 0.9999962
 56494060, 0.9939244, 0.1100539, 0.00154697, -0.1100502, 0.9939234, -0.002313008, -0.001792125, 0.002128711, 0.9999962
 56514052, 0.9939246, 0.1100521, 0.001565308, -0.1100483, 0.9939236, -0.002314307, -0.001810491, 0.002127987, 0.9999962
 56534044, 0.9939249, 0.1100498, 0.001584138, -0.110046, 0.9939238, -0.002315936, -0.001829381, 0.002127538, 0.9999961
 56554036, 0.9939252, 0.1100468, 0.001603066, -0.1100429, 0.9939242, -0.002317941, -0.001848408, 0.002127453, 0.999996
 56574028, 0.9939255, 0.1100441, 0.001621716, -0.1100402, 0.9939245, -0.002319546, -0.001867115, 0.002127002, 0.999996
 56594020, 0.9939257, 0.1100418, 0.00164026, -0.1100378, 0.9939247, -0.002321222, -0.001885726, 0.002126632, 0.9999959
 56614012, 0.9939259, 0.1100392, 0.001658606, -0.1100352, 0.993925, -0.002322797, -0.001904129, 0.002126183, 0.9999959
 56634004, 0.9939262, 0.1100366, 0.001677128, -0.1100326, 0.9939253, -0.002324427, -0.001922712, 0.002125769, 0.9999959
 56653996, 0.9939264, 0.1100333, 0.001767952, -0.110029, 0.9939257, -0.002336528, -0.002014309, 0.002127811, 0.9999957
 56673988, 0.9939266, 0.1100301, 0.00185863, -0.1100256, 0.9939259, -0.002348127, -0.002105705, 0.002129369, 0.9999955
 56693980, 0.9939267, 0.1100267, 0.001949108, -0.110022, 0.9939264, -0.002359818, -0.002196913, 0.002131042, 0.9999954
 56713972, 0.9939268, 0.1100242, 0.002039628, -0.1100193, 0.9939267, -0.002371363, -0.002288148, 0.002132563, 0.9999952
 56733964, 0.9939269, 0.1100217, 0.002130044, -0.1100166, 0.9939269, -0.002383045, -0.002379294, 0.002134233, 0.9999949
 56753956, 0.993927, 0.1100195, 0.002220998, -0.1100141, 0.9939272, -0.00239533, -0.002471043, 0.002136441, 0.9999947
 56773948, 0.993927, 0.1100176, 0.002311578, -0.1100121, 0.9939274, -0.002407205, -0.002562376, 0.002138285, 0.9999945
 56793940, 0.993927, 0.1100158, 0.002402132, -0.11001, 0.9939276, -0.002418911, -0.002653663, 0.002139962, 0.9999942
 56813932, 0.9939269, 0.1100149, 0.002492467, -0.1100089, 0.9939276, -0.002430341, -0.002744705, 0.002141387, 0.999994
 56833924, 0.9939268, 0.110013, 0.002583007, -0.1100068, 0.9939279, -0.002442058, -0.002835981, 0.002143078, 0.9999937
 56853916, 0.993927, 0.1100105, 0.002634511, -0.1100041, 0.9939281, -0.002456894, -0.002888799, 0.002152166, 0.9999935
 56873908, 0.9939272, 0.1100076, 0.002685602, -0.1100011, 0.9939284, -0.002471359, -0.002941164, 0.002160931, 0.9999933
 56893900, 0.9939274, 0.1100046, 0.002736705, -0.1099979, 0.9939287, -0.002485899, -0.002993549, 0.002169772, 0.9999931
 56913892, 0.9939276, 0.1100011, 0.002787379, -0.1099943, 0.9939291, -0.00250005, -0.003045466, 0.002178273, 0.999993
 56933884, 0.993928, 0.1099967, 0.002838726, -0.1099897, 0.9939296, -0.002514894, -0.003098124, 0.002187393, 0.9999928
 56953876, 0.9939283, 0.1099921, 0.002889856, -0.1099849, 0.99393, -0.002529327, -0.00315052, 0.002196129, 0.9999927
 56973868, 0.9939286, 0.1099886, 0.002940845, -0.1099813, 0.9939304, -0.002543766, -0.00320278, 0.002204884, 0.9999925
 56993860, 0.9939288, 0.1099847, 0.002991845, -0.1099773, 0.9939308, -0.002558349, -0.003255066, 0.002213782, 0.9999923
 57013852, 0.9939293, 0.1099797, 0.003042654, -0.109972, 0.9939314, -0.002572497, -0.003307112, 0.002222273, 0.9999921
 57033844, 0.9939296, 0.1099741, 0.003094104, -0.1099663, 0.9939319, -0.002587312, -0.003359867, 0.002231359, 0.9999918
 57053836, 0.99393, 0.1099694, 0.003135395, -0.1099615, 0.9939325, -0.002600216, -0.003402315, 0.00223966, 0.9999917
 57073828, 0.9939304, 0.1099653, 0.003176582, -0.1099572, 0.9939328, -0.002613009, -0.003444649, 0.002247861, 0.9999915
 57093820, 0.9939306, 0.1099617, 0.003217622, -0.1099535, 0.9939333, -0.002625816, -0.003486841, 0.00225609, 0.9999915
 57113812, 0.9939309, 0.1099583, 0.003259083, -0.10995, 0.9939337, -0.002638935, -0.003529485, 0.002264583, 0.9999913
 57133804, 0.9939311, 0.1099547, 0.003300652, -0.1099462, 0.993934, -0.002652284, -0.003572261, 0.002273293, 0.999991
 57153796, 0.9939313, 0.1099521, 0.003342322, -0.1099435, 0.9939343, -0.002665407, -0.003615115, 0.002281764, 0.9999909
 57173788, 0.9939315, 0.1099487, 0.003386303, -0.1099399, 0.9939347, -0.002678596, -0.003660272, 0.002290051, 0.9999907
 57193780, 0.9939315, 0.1099478, 0.003432477, -0.1099388, 0.9939348, -0.002691944, -0.003707631, 0.002298245, 0.9999905
 57213772, 0.9939314, 0.109947, 0.003480837, -0.1099379, 0.9939348, -0.002705846, -0.003757224, 0.00230675, 0.9999903
 57233764, 0.9939312, 0.1099469, 0.003530026, -0.1099377, 0.9939348, -0.002719826, -0.003807652, 0.002315237, 0.99999
 57253756, 0.9939311, 0.1099467, 0.003590362, -0.1099372, 0.9939348, -0.00273931, -0.003869764, 0.002327971, 0.9999898
 57273748, 0.9939308, 0.1099469, 0.003654077, -0.1099372, 0.9939348, -0.002759424, -0.003935304, 0.002340957, 0.9999896
 57293740, 0.9939305, 0.109948, 0.003719878, -0.1099381, 0.9939346, -0.00277935, -0.004002899, 0.002353524, 0.9999892
 57313732, 0.9939301, 0.109949, 0.003788621, -0.1099388, 0.9939345, -0.002799734, -0.004073469, 0.002366223, 0.9999889
