TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 44513854, -353629387, 1491650884, 990139266, 0, 0, 0, 0, 0
 44533846, -353629387, 1491650884, 991366454, 0, 0, 0, 0, 0
 44553838, -353629387, 1491650884, 992480633, 0, 0, 0, 0, 0
 44573830, -353629387, 1491650884, 993655910, 0, 0, 0, 0, 0
 44593822, -353629387, 1491650884, 994551991, 0, 0, 0, 0, 0
 44613814, -353629387, 1491650884, 995874475, 0, 0, 0, 0, 0
 44633806, -353629353, 1491649981, 997276985, 0, 0, 0, 0, 0
 44653798, -353629353, 1491649981, 998539496, 0, 0, 0, 0, 0
 44673790, -353629353, 1491649981, 999118543, 0, 0, 0, 0, 0
 44693782, -353629353, 1491649981, 999994309, 0, 0, 0, 0, 0
 44713774, -353629353, 1491649981, -1128220680, 0, 0, 0, 0, 0
 44733766, -353629353, 1491649981, -1128335169, 0, 0, 0, 0, 0
 44753758, -353629353, 1491649981, -1128472571, 0, 0, 0, 0, 0
 44773750, -353629353, 1491649981, -1128667318, 0, 0, 0, 0, 0
 44793742, -353629353, 1491649981, -1128804127, 0, 0, 0, 0, 0
 44813734, -353629353, 1491649981, -1128930673, 0, 0, 0, 0, 0
 44833726, -353629296, 1491650915, -1129120930, 0, 0, 0, 0, 0
 44853718, -353629296, 1491650915, -1129301164, 0, 0, 0, 0, 0
 44873710, -353629296, 1491650915, -1129431173, 0, 0, 0, 0, 0
 44893702, -353629296, 1491650915, -1129592048, 0, 0, 0, 0, 0
 44913694, -353629296, 1491650915, -1137277138, 0, 0, 0, 0, 0
 44933686, -353629296, 1491650915, -1137648605, 0, 0, 0, 0, 0
 44953678, -353629296, 1491650915, -1137982058, 0, 0, 0, 0, 0
 44973670, -353629296, 1491650915, -1138225406, 0, 0, 0, 0, 0
 44993662, -353629296, 1491650915, -1138498321, 0, 0, 0, 0, 0
 45013654, -353629296, 1491650915, -1138732702, 0, 0, 0, 0, 0
 45033646, -353629454, 1491650594, -1139009282, 0, 0, 0, 0, 0
 45053638, -353629454, 1491650594, -1139351342, 0, 0, 0, 0, 0
 45073630, -353629454, 1491650594, -1139717150, 0, 0, 0, 0, 0
 45093622, -353629454, 1491650594, -1140012141, 0, 0, 0, 0, 0
 45113614, -353629454, 1491650594, -1136085304, 0, 0, 0, 0, 0
 45133606, -353629454, 1491650594, -1136420960, 0, 0, 0, 0, 0
 45153598, -353629454, 1491650594, -1136769009, 0, 0, 0, 0, 0
 45173590, -353629454, 1491650594, -1137074675, 0, 0, 0, 0, 0
 45193582, -353629454, 1491650594, -1137320338, 0, 0, 0, 0, 0
 45213574, -353629454, 1491650594, -1137612650, 0, 0, 0, 0, 0
 45233566, -353629440, 1491650715, -1137998269, 0, 0, 0, 0, 0
 45253558, -353629440, 1491650715, -1138286524, 0, 0, 0, 0, 0
 45273550, -353629440, 1491650715, -1138638738, 0, 0, 0, 0, 0
 45293542, -353629440, 1491650715, -1138970684, 0, 0, 0, 0, 0
 45313534, -353629440, 1491650715, -1140097512, 0, 0, 0, 0, 0
 45333526, -353629440, 1491650715, -1140368708, 0, 0, 0, 0, 0
 45353518, -353629440, 1491650715, -1140671634, 0, 0, 0, 0, 0
 45373510, -353629440, 1491650715, -1141175258, 0, 0, 0, 0, 0
 45393502, -353629440, 1491650715, -1141944532, 0, 0, 0, 0, 0
 45413494, -353629440, 1491650715, -1142750718, 0, 0, 0, 0, 0
 45433486, -353629956, 1491650023, -1143553348, 0, 0, 0, 0, 0
 45453478, -353629956, 1491650023, -1144347212, 0, 0, 0, 0, 0
 45474303, -353629956, 1491650023, -1144769179, 0, 0, 0, 0, 0
 45494295, -353629956, 1491650023, -1145617465, 0, 0, 0, 0, 0
 45514287, -353629956, 1491650023, -1125268540, 0, 0, 0, 0, 0
 45534279, -353629956, 1491650023, -1125435483, 0, 0, 0, 0, 0
 45554271, -353629956, 1491650023, -1125596116, 0, 0, 0, 0, 0
 45574263, -353629956, 1491650023, -1125406965, 0, 0, 0, 0, 0
 45594255, -353629956, 1491650023, -1124624172, 0, 0, 0, 0, 0
 45614247, -353629956, 1491650023, -1123733991, 0, 0, 0, 0, 0
 45634239, -353629130, 1491650941, -1122926258, 354.0171, 354.0171, 0.115, -0.012, 0
 45654231, -353629130, 1491650941, -1121883915, 354.0171, 354.0171, 0.115, -0.012, 0
 45674223, -353629130, 1491650941, -1120626377, 354.0171, 354.0171, 0.115, -0.012, 0
 45694215, -353629130, 1491650941, -1119239250, 354.0171, 354.0171, 0.115, -0.012, 0
 45714207, -353629130, 1491650941, -1122243653, 354.0171, 354.0171, 0.115, -0.012, 0
 45734199, -353629130, 1491650941, -1120751724, 354.0171, 354.0171, 0.115, -0.012, 0
 45754191, -353629130, 1491650941, -1119180793, 354.0171, 354.0171, 0.115, -0.012, 0
 45774183, -353629130, 1491650941, -1117505818, 354.0171, 354.0171, 0.115, -0.012, 0
 45794175, -353629130, 1491650941, -1115831761, 354.0171, 354.0171, 0.115, -0.012, 0
 45814167, -353629130, 1491650941, -1114816939, 354.0171, 354.0171, 0.115, -0.012, 0
 45834159, -353629424, 1491650837, -1113922248, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
