TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 55113779, -353629435, 1491651277, 1032201148, 0, 0, 0, 0, 0
 55133771, -353629435, 1491651277, 1032214518, 0, 0, 0, 0, 0
 55153763, -353629435, 1491651277, 1032222946, 0, 0, 0, 0, 0
 55173755, -353629435, 1491651277, 1032242204, 0, 0, 0, 0, 0
 55193747, -353629435, 1491651277, 1032256709, 0, 0, 0, 0, 0
 55213739, -353629435, 1491651277, 1032278089, 0, 0, 0, 0, 0
 55233731, -353629419, 1491651407, 1032316525, 0, 0, 0, 0, 0
 55253723, -353629419, 1491651407, 1032358931, 0, 0, 0, 0, 0
 55273715, -353629419, 1491651407, 1032372284, 0, 0, 0, 0, 0
 55293707, -353629419, 1491651407, 1032399726, 0, 0, 0, 0, 0
 55313699, -353629419, 1491651407, 1035365108, 0, 0, 0, 0, 0
 55333691, -353629419, 1491651407, 1035399747, 0, 0, 0, 0, 0
 55353683, -353629419, 1491651407, 1035426924, 0, 0, 0, 0, 0
 55373675, -353629419, 1491651407, 1035448568, 0, 0, 0, 0, 0
 55393667, -353629419, 1491651407, 1035471323, 0, 0, 0, 0, 0
 55413659, -353629419, 1491651407, 1035502408, 0, 0, 0, 0, 0
 55433651, -353629478, 1491650215, 1035531857, 0, 0, 0, 0, 0
 55453643, -353629478, 1491650215, 1035562208, 0, 0, 0, 0, 0
 55473635, -353629478, 1491650215, 1035582362, 0, 0, 0, 0, 0
 55493627, -353629478, 1491650215, 1035611951, 0, 0, 0, 0, 0
 55513619, -353629478, 1491650215, 1025016731, 0, 0, 0, 0, 0
 55533611, -353629478, 1491650215, 1025082312, 0, 0, 0, 0, 0
 55553603, -353629478, 1491650215, 1025087594, 0, 0, 0, 0, 0
 55573595, -353629478, 1491650215, 1025080530, 0, 0, 0, 0, 0
 55593587, -353629478, 1491650215, 1025072190, 0, 0, 0, 0, 0
 55613579, -353629478, 1491650215, 1025040547, 0, 0, 0, 0, 0
 55633571, -353629443, 1491650639, 1024949018, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55653563, -353629443, 1491650639, 1024769644, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55673555, -353629443, 1491650639, 1024581114, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55693547, -353629443, 1491650639, 1024275531, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55713539, -353629443, 1491650639, 1012966342, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55733531, -353629443, 1491650639, 1010913564, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55753523, -353629443, 1491650639, 1008399771, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55773515, -353629443, 1491650639, 1004216770, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55793507, -353629443, 1491650639, 996552272, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55813499, -353629443, 1491650639, -1182525265, 353.7877, 353.7877, 0.009000001, -0.001, 0
 55833491, -353629672, 1491650773, -1148460537, 354.0787, 354.0787, 0.248, -0.025, 0
 55853483, -353629672, 1491650773, -1139690504, 354.0787, 354.0787, 0.248, -0.025, 0
 55873475, -353629672, 1491650773, -1133757783, 354.0787, 354.0787, 0.248, -0.025, 0
 55894300, -353629672, 1491650773, -1130025683, 354.0787, 354.0787, 0.248, -0.025, 0
 55914292, -353629672, 1491650773, -1123900610, 354.0787, 354.0787, 0.248, -0.025, 0
 55934284, -353629672, 1491650773, -1122217308, 354.0787, 354.0787, 0.248, -0.025, 0
 55954276, -353629672, 1491650773, -1120156200, 354.0787, 354.0787, 0.248, -0.025, 0
 55974268, -353629672, 1491650773, -1118083137, 354.0787, 354.0787, 0.248, -0.025, 0
 55994260, -353629672, 1491650773, -1115909624, 354.0787, 354.0787, 0.248, -0.025, 0
 56014252, -353629672, 1491650773, -1114605613, 354.0787, 354.0787, 0.248, -0.025, 0
 56034244, -353629319, 1491651334, -1113368833, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56054236, -353629319, 1491651334, -1112154862, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56074228, -353629319, 1491651334, -1110767530, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56094220, -353629319, 1491651334, -1109383795, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56114212, -353629319, 1491651334, -1112040199, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56134204, -353629319, 1491651334, -1110485954, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56154196, -353629319, 1491651334, -1108799064, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56174188, -353629319, 1491651334, -1107277778, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56194180, -353629319, 1491651334, -1106342999, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56214172, -353629319, 1491651334, -1105476403, 353.9734, 353.9734, 0.934, -0.098, 0.012
 56234164, -353629306, 1491650896, -1104571359, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56254156, -353629306, 1491650896, -1103600968, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56274148, -353629306, 1491650896, -1102539484, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56294140, -353629306, 1491650896, -1101523937, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56314132, -353629306, 1491650896, -1100585481, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56334124, -353629306, 1491650896, -1099516884, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56354116, -353629306, 1491650896, -1098635827, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56374108, -353629306, 1491650896, -1098065863, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56394100, -353629306, 1491650896, -1097470597, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56414092, -353629306, 1491650896, -1096841533, 354.0027, 354.0027, 2.099, -0.22, 0.037
 56434084, -353629328, 1491650189, -1096237759, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56454076, -353629328, 1491650189, -1095597345, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56474068, -353629328, 1491650189, -1094966618, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56494060, -353629328, 1491650189, -1094241311, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56514052, -353629328, 1491650189, -1092300155, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56534044, -353629328, 1491650189, -1091601950, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56554036, -353629328, 1491650189, -1090905607, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56574028, -353629328, 1491650189, -1090343802, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56594020, -353629328, 1491650189, -1089996995, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56614012, -353629328, 1491650189, -1089597523, 353.9925, 353.9925, 3.708, -0.39, 0.075
 56634004, -353629182, 1491650523, -1089238764, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56653996, -353629182, 1491650523, -1088866220, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56673988, -353629182, 1491650523, -1088496805, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56693980, -353629182, 1491650523, -1088078560, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56713972, -353629182, 1491650523, -1087604013, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56733964, -353629182, 1491650523, -1087190785, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56753956, -353629182, 1491650523, -1086828385, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56773948, -353629182, 1491650523, -1086464074, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56793940, -353629182, 1491650523, -1086081353, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56813932, -353629182, 1491650523, -1085676503, 353.9835, 353.9835, 5.707, -0.601, 0.123
 56833924, -353629272, 1491650723, -1085290198, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56853916, -353629272, 1491650723, -1084895942, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56873908, -353629272, 1491650723, -1084500891, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56893900, -353629272, 1491650723, -1084165168, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56913892, -353629272, 1491650723, -1084007551, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56933884, -353629272, 1491650723, -1083612838, 353.9802, 353.9802, 7.832, -0.825, 0.181
 56953876, -353629272, 1491650723, -1083286934, 353.9802, 353.9802, 7.832, -0.825, 0.181
