TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 54693947, 0.0003469799, -0.00637671, -9.813986, 0.000794307, 0.0007928592, 0.0008011833, 0.3202037, -353632575, 1491652029, 0, 0, 0, 0
 54713939, 0.001434707, -0.0004545526, -9.817882, 0.0007968872, 0.0007989308, 0.0008018013, 0.3202037, -353632575, 1491652029, 0, 0, 0, 0
 54733931, 0.002082238, -0.0007704465, -9.814971, 0.0007919904, 0.0007946877, 0.0007929531, 0.2331308, -353632575, 1491652029, 0, 0, 0, 0
 54753923, -0.004172096, -0.0005695053, -9.814568, 0.0007942704, 0.000799096, 0.0007976296, 0.2331308, -353632575, 1491652029, 0, 0, 0, 0
 54773915, -0.006358799, 0.0009651808, -9.822854, 0.0007908138, 0.0007941975, 0.0007901761, 0.2331308, -353632575, 1491652029, 0, 0, 0, 0
 54793907, -0.001111186, -0.001759834, -9.815989, 0.000789387, 0.0007935105, 0.0007905533, 0.2331308, -353632575, 1491652029, 0, 0, 0, 0
 54813899, -0.001856527, -0.00104658, -9.816844, 0.0008014806, 0.0007978603, 0.000794605, 0.2331308, -353632575, 1491652029, 0, 0, 0, 0
 54833891, -0.001740064, 0.002612566, -9.818068, 0.0007961445, 0.0007970998, 0.0007952177, -0.03370565, -353632473, 1491652861, 0, 0, 0, 0
 54853883, 0.0005440431, 0.001897553, -9.817464, 0.0007956628, 0.0008054725, 0.0007934073, -0.03370565, -353632473, 1491652861, 0, 0, 0, 0
 54873875, -0.003557339, -0.001550296, -9.815765, 0.0008012785, 0.0007883979, 0.0007945605, -0.03370565, -353632473, 1491652861, 0, 0, 0, 0
 54893867, -0.0001155292, -0.002503714, -9.816663, 0.0008042767, 0.0007892383, 0.0008051624, -0.03370565, -353632473, 1491652861, 0, 0, 0, 0
 54913859, -0.002388976, -0.001045205, -9.820135, 0.000799949, 0.0008013399, 0.0007878137, -0.03370565, -353632473, 1491652861, 0, 0, 0, 0
 54933851, 0.001239764, -0.0001887723, -9.817342, 0.000802699, 0.0008034573, 0.0008057063, 0.1320138, -353632473, 1491652861, 0, 0, 0, 0
 54953843, 0.01586236, -0.002382358, -9.817948, 0.0008010111, 0.0008022602, 0.0008029893, 0.1320138, -353632473, 1491652861, 0, 0, 0, 0
 54973835, 0.06710501, -0.003372807, -9.816861, 0.000800352, 0.0008058424, 0.0008059965, 0.1320138, -353632473, 1491652861, 0, 0, 0, 0
 54993827, 0.1477138, -0.002312274, -9.816278, 0.000801686, 0.0008016686, 0.0008115141, 0.1320138, -353632473, 1491652861, 0, 0, 0, 0
 55013819, 0.2527913, 0.0005499098, -9.817307, 0.0008039136, 0.0008009795, 0.0007988056, 0.1320138, -353632473, 1491652861, 0, 0, 0, 0
 55033811, 0.3899658, 0.003806012, -9.814075, 0.0007998843, 0.0007927004, 0.0007955628, 0.03932326, -353633042, 1491652524, 0, 0, 0, 0
 55053803, 0.5428134, -0.001022021, -9.817303, 0.0008013548, 0.0008002973, 0.0008008032, 0.03932326, -353633042, 1491652524, 0, 0, 0, 0
 55073795, 0.6997951, 0.002055689, -9.815787, 0.0008052946, 0.0008001007, 0.0008007027, 0.03932326, -353633042, 1491652524, 0, 0, 0, 0
 55093787, 0.883004, -0.0052377, -9.816216, 0.0007981308, 0.0008011856, 0.0008044626, 0.03932326, -353633042, 1491652524, 0, 0, 0, 0
 55113779, 1.06795, 0.0003085893, -9.819994, 0.0007994482, 0.0008005367, 0.0008045961, 0.03932326, -353633042, 1491652524, 0, 0, 0, 0
 55133771, 1.27555, -0.0042073, -9.817263, 0.0007970065, 0.0008062153, 0.0008026859, -0.01685283, -353633042, 1491652524, 0, 0, 0, 0
 55153763, 1.489354, -0.01244938, -9.820418, 0.0008041805, 0.0007968302, 0.0008102591, -0.01685283, -353633042, 1491652524, 0, 0, 0, 0
 55173755, 1.697142, -0.007802091, -9.820734, 0.0008025109, 0.0008028653, 0.0008124746, -0.01685283, -353633042, 1491652524, 0, 0, 0, 0
 55193747, 1.918174, 0.003731872, -9.817374, 0.0008061586, 0.0008072713, 0.0008023863, -0.01685283, -353633042, 1491652524, 0, 0, 0, 0
 55213739, 2.155025, -0.008619415, -9.816596, 0.0007991891, 0.0007970954, 0.0008003224, -0.01685283, -353633042, 1491652524, 0, 0, 0, 0
 55233731, 2.379708, -0.0007630792, -9.822415, 0.000802426, 0.0008037747, 0.0007919816, -0.05617609, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55253723, 2.611927, 0.01868196, -9.827299, 0.0008069094, 0.0008066732, 0.0008015147, -0.05617609, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55273715, 2.849318, 0.005672364, -9.830004, 0.0008033621, 0.0008023515, 0.0007968757, -0.05617609, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55293707, 3.112078, -0.03556536, -9.826922, 0.0008074401, 0.0008062123, 0.0007966468, -0.05617609, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55313699, 3.342335, -0.01231322, -9.828775, 0.0008021853, 0.0008051777, 0.0007968772, -0.05617609, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55333691, 3.574094, -0.01759347, -9.825821, 0.0008067871, 0.0007999995, 0.0008052816, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55353683, 3.811237, 0.02125392, -9.835997, 0.0008049284, 0.0008045076, 0.0008006438, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55373675, 4.085395, 0.02161821, -9.839866, 0.0008041096, 0.0008080009, 0.0008044529, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55393667, 4.313731, -0.03933615, -9.838161, 0.0008043278, 0.0008045647, 0.0008179384, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55413659, 4.56537, -0.0244012, -9.839947, 0.0008058474, 0.0008097453, 0.0007891071, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55433651, 4.78231, -0.004583977, -9.838854, 0.0008059283, 0.0008092409, 0.0007676816, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55453643, 5.008572, 0.01234296, -9.844673, 0.000802586, 0.0008079179, 0.0007770749, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55473635, 5.300951, 0.01881898, -9.844524, 0.0008040231, 0.0008087099, 0.0007605552, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55493627, 5.542229, -0.01874997, -9.845411, 0.0008038177, 0.0008081518, 0.0008012495, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55513619, 5.748096, 0.0242462, -9.85031, 0.0008070656, 0.0008113403, 0.0008223876, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55533611, 6.00143, 0.01269474, -9.853915, 0.0008058867, 0.0008103617, 0.0008307165, 0.1235874, -353632937, 1491652395, 0, 0.248, -0.03, 0
