TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 54693947, 0.9919885, 0.1263193, 0.00151951, -0.1263159, 0.9919877, -0.002173303, -0.001781865, 0.001963953, 0.9999965
 54713939, 0.9919884, 0.1263203, 0.001520118, -0.1263168, 0.9919876, -0.00217302, -0.001782435, 0.001963594, 0.9999965
 54733931, 0.9919882, 0.126321, 0.001521234, -0.1263176, 0.9919875, -0.002172798, -0.001783515, 0.001963232, 0.9999965
 54753923, 0.9919881, 0.1263226, 0.001521951, -0.1263191, 0.9919873, -0.002172628, -0.001784208, 0.001962969, 0.9999965
 54773915, 0.9919879, 0.1263238, 0.001522767, -0.1263204, 0.9919872, -0.002172159, -0.001784961, 0.001962399, 0.9999965
 54793907, 0.9919878, 0.1263256, 0.00152312, -0.1263222, 0.991987, -0.002171499, -0.001785231, 0.001961697, 0.9999965
 54813899, 0.9919876, 0.1263268, 0.001523519, -0.1263234, 0.9919868, -0.002171085, -0.001785577, 0.001961233, 0.9999965
 54833891, 0.9919875, 0.1263277, 0.001524516, -0.1263242, 0.9919867, -0.002171216, -0.001786584, 0.001961235, 0.9999965
 54853883, 0.9919872, 0.1263293, 0.001522836, -0.1263259, 0.9919865, -0.002171987, -0.001785018, 0.001962209, 0.9999965
 54873875, 0.991987, 0.1263306, 0.001520903, -0.1263271, 0.9919863, -0.002173033, -0.001783235, 0.001963489, 0.9999965
 54893867, 0.9919869, 0.1263323, 0.001518799, -0.1263288, 0.9919862, -0.002173506, -0.001781211, 0.001964221, 0.9999965
 54913859, 0.9919868, 0.1263335, 0.001517226, -0.12633, 0.9919859, -0.002174347, -0.00177976, 0.001965252, 0.9999965
 54933851, 0.9919867, 0.126334, 0.001515514, -0.1263306, 0.9919859, -0.002175402, -0.001778196, 0.001966514, 0.9999965
 54953843, 0.9919865, 0.1263354, 0.001513613, -0.1263319, 0.9919856, -0.002176299, -0.001776425, 0.001967641, 0.9999965
 54973835, 0.9919863, 0.1263365, 0.001511793, -0.1263331, 0.9919856, -0.002176908, -0.001774699, 0.001968473, 0.9999965
 54993827, 0.9919862, 0.1263378, 0.001509634, -0.1263343, 0.9919854, -0.002177185, -0.001772596, 0.001969018, 0.9999965
 55013819, 0.9919861, 0.1263389, 0.00150771, -0.1263355, 0.9919851, -0.002177812, -0.001770768, 0.001969882, 0.9999965
 55033811, 0.9919859, 0.1263396, 0.001505844, -0.1263362, 0.9919851, -0.002178986, -0.001769067, 0.001971281, 0.9999965
 55053803, 0.9919858, 0.1263406, 0.001508186, -0.1263372, 0.991985, -0.002176945, -0.001771134, 0.001968959, 0.9999965
 55073795, 0.9919856, 0.1263418, 0.001510387, -0.1263384, 0.9919848, -0.002175073, -0.001773083, 0.001966821, 0.9999965
 55093787, 0.9919854, 0.1263431, 0.001512336, -0.1263397, 0.9919847, -0.002172793, -0.001774731, 0.001964311, 0.9999965
 55113779, 0.9919853, 0.126344, 0.001514694, -0.1263406, 0.9919845, -0.002170729, -0.001776812, 0.001961964, 0.9999965
 55133771, 0.9919854, 0.1263442, 0.0015172, -0.1263409, 0.9919846, -0.002169061, -0.001779087, 0.001959992, 0.9999965
 55153763, 0.9919853, 0.1263444, 0.001519305, -0.126341, 0.9919845, -0.002167095, -0.001780928, 0.001957776, 0.9999965
 55173755, 0.9919853, 0.1263444, 0.001521481, -0.126341, 0.9919845, -0.002165059, -0.001782829, 0.001955481, 0.9999966
 55193747, 0.9919852, 0.1263449, 0.001523526, -0.1263415, 0.9919845, -0.002162729, -0.001784564, 0.00195291, 0.9999966
 55213739, 0.9919852, 0.1263449, 0.001525871, -0.1263415, 0.9919845, -0.002160915, -0.001786661, 0.001950815, 0.9999965
 55233731, 0.9919853, 0.1263447, 0.001528531, -0.1263412, 0.9919845, -0.002159256, -0.00178909, 0.001948833, 0.9999965
 55253723, 0.9919854, 0.1263438, 0.001547481, -0.1263403, 0.9919846, -0.002161642, -0.001808187, 0.001948808, 0.9999965
 55273715, 0.9919854, 0.1263429, 0.001566235, -0.1263394, 0.9919847, -0.002164001, -0.001827087, 0.00194878, 0.9999965
 55293707, 0.9919855, 0.1263423, 0.001584752, -0.1263388, 0.9919848, -0.002165913, -0.001845696, 0.001948339, 0.9999964
 55313699, 0.9919856, 0.1263414, 0.001603553, -0.1263378, 0.9919849, -0.002168107, -0.001864622, 0.001948141, 0.9999964
 55333691, 0.9919857, 0.1263399, 0.00162259, -0.1263363, 0.9919851, -0.002170642, -0.001883823, 0.001948254, 0.9999964
 55353683, 0.9919859, 0.1263381, 0.001641459, -0.1263344, 0.9919853, -0.002172796, -0.00190281, 0.00194801, 0.9999964
 55373675, 0.9919862, 0.1263361, 0.001660232, -0.1263324, 0.9919857, -0.002174895, -0.001921694, 0.001947725, 0.9999963
 55393667, 0.9919864, 0.1263342, 0.00167854, -0.1263304, 0.9919859, -0.002176605, -0.001940067, 0.001947112, 0.9999962
 55413659, 0.9919866, 0.1263324, 0.00169751, -0.1263286, 0.991986, -0.002178934, -0.001959176, 0.001947029, 0.9999962
 55433651, 0.9919868, 0.1263307, 0.001716633, -0.1263268, 0.9919863, -0.002181691, -0.001978491, 0.001947352, 0.9999962
 55453643, 0.9919868, 0.1263289, 0.001804314, -0.1263249, 0.9919865, -0.002196398, -0.002067324, 0.001950868, 0.999996
 55473635, 0.9919869, 0.1263272, 0.001891926, -0.126323, 0.9919868, -0.002210907, -0.002156063, 0.001954197, 0.9999958
 55493627, 0.991987, 0.1263252, 0.001979097, -0.1263207, 0.991987, -0.002225132, -0.002244328, 0.001957301, 0.9999956
 55513619, 0.9919872, 0.1263225, 0.002066686, -0.1263178, 0.9919873, -0.002239709, -0.002333052, 0.001960703, 0.9999954
 55533611, 0.9919874, 0.1263191, 0.002154643, -0.1263143, 0.9919878, -0.002254886, -0.002422215, 0.001964656, 0.9999952
 55553603, 0.9919875, 0.1263167, 0.002242312, -0.1263116, 0.9919881, -0.002269647, -0.002511041, 0.001968232, 0.9999949
 55573595, 0.9919875, 0.1263143, 0.002329738, -0.1263091, 0.9919884, -0.002284289, -0.002599612, 0.001971719, 0.9999948
 55593587, 0.9919876, 0.1263123, 0.002417154, -0.1263068, 0.9919886, -0.002298749, -0.00268815, 0.001975027, 0.9999945
 55613579, 0.9919878, 0.1263087, 0.002504955, -0.1263031, 0.991989, -0.002313538, -0.002777108, 0.001978618, 0.9999942
 55633571, 0.9919879, 0.1263061, 0.002592955, -0.1263001, 0.9919894, -0.002328718, -0.002866315, 0.00198257, 0.999994
 55653563, 0.9919881, 0.1263037, 0.002642632, -0.1262977, 0.9919897, -0.002342833, -0.002917373, 0.001990305, 0.9999939
 55673555, 0.9919883, 0.1263015, 0.002692325, -0.1262953, 0.9919899, -0.002356985, -0.00296845, 0.001998074, 0.9999937
 55693547, 0.9919885, 0.1262991, 0.002741705, -0.1262928, 0.9919902, -0.002370706, -0.003019162, 0.002005455, 0.9999934
 55713539, 0.9919885, 0.1262974, 0.002791582, -0.1262909, 0.9919905, -0.002384936, -0.003070434, 0.002013278, 0.9999933
 55733531, 0.9919885, 0.1262965, 0.002841527, -0.1262899, 0.9919905, -0.0023995, -0.003121816, 0.002021421, 0.9999931
 55753523, 0.9919884, 0.1262967, 0.002891066, -0.1262899, 0.9919904, -0.002413667, -0.003172748, 0.002029217, 0.9999929
 55773515, 0.9919881, 0.126298, 0.002940844, -0.1262911, 0.9919903, -0.002428029, -0.003223943, 0.002037174, 0.9999927
 55793507, 0.9919877, 0.1262994, 0.002990195, -0.1262923, 0.9919901, -0.002441923, -0.003274657, 0.002044718, 0.9999926
 55813499, 0.9919873, 0.1263013, 0.0030402, -0.1262941, 0.9919899, -0.002456682, -0.003326129, 0.002053038, 0.9999924
 55833491, 0.9919871, 0.1263015, 0.003089812, -0.1262941, 0.9919898, -0.002470772, -0.003377124, 0.002060749, 0.9999923
 55853483, 0.9919872, 0.1263002, 0.00312763, -0.1262927, 0.9919899, -0.002486218, -0.003416588, 0.002071299, 0.9999921
 55873475, 0.9919873, 0.1262985, 0.003165744, -0.1262908, 0.9919902, -0.002501827, -0.003456364, 0.002081975, 0.9999919
 55894300, 0.9919873, 0.1262972, 0.003204996, -0.1262894, 0.9919903, -0.002517642, -0.003497295, 0.002092712, 0.9999918
 55914292, 0.9919873, 0.126296, 0.003242712, -0.1262881, 0.9919904, -0.002532803, -0.003536622, 0.002102993, 0.9999916
 55934284, 0.9919874, 0.1262942, 0.003280665, -0.1262862, 0.9919906, -0.002548228, -0.003576215, 0.002113508, 0.9999914
 55954276, 0.9919877, 0.1262917, 0.003319402, -0.1262835, 0.9919909, -0.00256444, -0.003616684, 0.002124707, 0.9999912
 55974268, 0.9919875, 0.1262912, 0.003359351, -0.1262829, 0.991991, -0.002580319, -0.003658317, 0.002135415, 0.999991
 55994260, 0.9919874, 0.1262911, 0.003400369, -0.1262826, 0.991991, -0.002596095, -0.003700999, 0.002145886, 0.9999909
 56014252, 0.9919875, 0.1262902, 0.003442936, -0.1262816, 0.991991, -0.002611832, -0.003745209, 0.002156125, 0.9999906
 56034244, 0.9919875, 0.1262888, 0.003487685, -0.12628, 0.9919912, -0.002628107, -0.003791653, 0.002166624, 0.9999905
 56054236, 0.9919876, 0.1262862, 0.003548766, -0.1262772, 0.9919915, -0.002647809, -0.003854726, 0.002178465, 0.9999902
 56074228, 0.9919875, 0.126284, 0.003612848, -0.1262748, 0.9919918, -0.00266773, -0.003920807, 0.002190143, 0.9999899
 56094220, 0.9919875, 0.1262833, 0.003677971, -0.1262739, 0.9919918, -0.002687807, -0.003987942, 0.002201839, 0.9999897
 56114212, 0.9919872, 0.1262834, 0.003742236, -0.1262737, 0.9919918, -0.002707476, -0.004054176, 0.002213235, 0.9999893
 56134204, 0.9919869, 0.126283, 0.003808411, -0.1262732, 0.9919918, -0.002727886, -0.004122398, 0.002225128, 0.999989
 56154196, 0.9919868, 0.1262829, 0.003874881, -0.1262728, 0.9919918, -0.002748301, -0.004190913, 0.002236987, 0.9999887
 56174188, 0.9919866, 0.1262826, 0.003940959, -0.1262722, 0.9919918, -0.00276852, -0.004259014, 0.002248701, 0.9999884
 56194180, 0.9919863, 0.126282, 0.004008422, -0.1262714, 0.9919918, -0.002788938, -0.004328514, 0.00226044, 0.9999881
 56214172, 0.9919859, 0.1262826, 0.004074128, -0.1262718, 0.9919917, -0.002808751, -0.004396198, 0.002271794, 0.9999878
 56234164, 0.9919856, 0.1262827, 0.004142306, -0.1262717, 0.9919918, -0.00282924, -0.004466418, 0.002283509, 0.9999875
 56254156, 0.9919855, 0.1262833, 0.004179613, -0.1262721, 0.9919916, -0.002845495, -0.004505479, 0.002294921, 0.9999873
 56274148, 0.991985, 0.1262858, 0.004215579, -0.1262744, 0.9919913, -0.002861029, -0.004543125, 0.002305778, 0.9999871
 56294140, 0.9919846, 0.1262879, 0.004251836, -0.1262764, 0.991991, -0.002876542, -0.004581056, 0.002316579, 0.9999868
 56314132, 0.9919843, 0.1262889, 0.004288335, -0.1262772, 0.9919909, -0.00289194, -0.004619209, 0.00232724, 0.9999866
 56334124, 0.9919841, 0.1262893, 0.004326209, -0.1262774, 0.9919907, -0.002907699, -0.004658771, 0.002338089, 0.9999864
 56354116, 0.991984, 0.1262886, 0.004365214, -0.1262766, 0.9919909, -0.002924032, -0.004699523, 0.002349368, 0.9999862
 56374108, 0.9919838, 0.1262892, 0.004404632, -0.126277, 0.9919907, -0.002939975, -0.004740641, 0.002360203, 0.999986
 56394100, 0.9919834, 0.1262897, 0.004446597, -0.1262774, 0.9919906, -0.0029563, -0.004784334, 0.002371095, 0.9999858
 56414092, 0.9919831, 0.1262912, 0.00448927, -0.1262787, 0.9919904, -0.002972486, -0.004828711, 0.002381757, 0.9999855
 56434084, 0.9919828, 0.1262918, 0.004530442, -0.1262791, 0.9919903, -0.002988938, -0.004871633, 0.002392875, 0.9999853
 56454076, 0.9919829, 0.1262908, 0.004532162, -0.1262781, 0.9919904, -0.003004974, -0.004875361, 0.00240857, 0.9999852
 56474068, 0.991983, 0.1262902, 0.004531919, -0.1262774, 0.9919904, -0.003020443, -0.004877072, 0.002423949, 0.9999852
 56494060, 0.9919828, 0.1262922, 0.004530497, -0.1262793, 0.9919901, -0.003035669, -0.00487759, 0.002439223, 0.9999852
 56514052, 0.9919825, 0.1262945, 0.004528171, -0.1262815, 0.9919898, -0.003050452, -0.004877155, 0.00245417, 0.9999851
 56534044, 0.9919823, 0.1262959, 0.004527487, -0.1262828, 0.9919896, -0.003065858, -0.004878426, 0.002469533, 0.9999851
 56554036, 0.9919819, 0.1262988, 0.00452618, -0.1262856, 0.9919891, -0.00308174, -0.004879141, 0.002485438, 0.999985
 56574028, 0.9919814, 0.1263026, 0.004523202, -0.1262894, 0.9919886, -0.003097032, -0.004878128, 0.002500966, 0.999985
 56594020, 0.9919814, 0.1263034, 0.004521643, -0.1262901, 0.9919885, -0.003112405, -0.004878526, 0.002516409, 0.999985
 56614012, 0.9919811, 0.1263054, 0.004519199, -0.126292, 0.9919882, -0.00312734, -0.004877992, 0.002531523, 0.9999849
 56634004, 0.9919812, 0.1263046, 0.004515244, -0.1262912, 0.9919882, -0.00314257, -0.00487599, 0.002547135, 0.9999849
 56653996, 0.9919816, 0.1263027, 0.004493341, -0.1262893, 0.9919885, -0.003151897, -0.004855435, 0.002559163, 0.999985
 56673988, 0.9919821, 0.1262992, 0.004472113, -0.1262858, 0.9919889, -0.003161188, -0.004835542, 0.002571077, 0.999985
 56693980, 0.9919826, 0.1262967, 0.00445062, -0.1262834, 0.9919892, -0.003170313, -0.004815366, 0.002582856, 0.999985
 56713972, 0.9919829, 0.1262944, 0.004428446, -0.126281, 0.9919894, -0.003179074, -0.004794471, 0.002594358, 0.9999852
 56733964, 0.9919834, 0.1262913, 0.0044074, -0.1262779, 0.9919898, -0.00318828, -0.004774748, 0.002606164, 0.9999852
 56753956, 0.9919839, 0.1262884, 0.004385657, -0.1262751, 0.9919901, -0.003197801, -0.004754374, 0.002618368, 0.9999853
 56773948, 0.991984, 0.1262889, 0.00436447, -0.1262756, 0.99199, -0.003206945, -0.004734512, 0.002630112, 0.9999854
 56793940, 0.9919839, 0.12629, 0.004344823, -0.1262767, 0.9919899, -0.003216153, -0.004716188, 0.002641722, 0.9999854
 56813932, 0.991984, 0.1262898, 0.004325096, -0.1262765, 0.9919899, -0.003225328, -0.004697777, 0.002653316, 0.9999855
 56833924, 0.9919841, 0.1262895, 0.004306258, -0.1262762, 0.9919899, -0.003234837, -0.00468029, 0.002665129, 0.9999855
 56853916, 0.9919842, 0.1262895, 0.004276618, -0.1262762, 0.9919899, -0.003238983, -0.004651411, 0.002672985, 0.9999856
 56873908, 0.9919845, 0.1262886, 0.004246638, -0.1262754, 0.99199, -0.003242483, -0.004622111, 0.002680246, 0.9999857
 56893900, 0.9919847, 0.1262883, 0.004219252, -0.1262752, 0.99199, -0.003246319, -0.004595427, 0.002687511, 0.9999858
 56913892, 0.9919847, 0.1262885, 0.00419279, -0.1262754, 0.9919899, -0.003249888, -0.004569629, 0.002694393, 0.999986
 56933884, 0.9919851, 0.1262863, 0.00416804, -0.1262733, 0.9919901, -0.003254544, -0.004545659, 0.002702147, 0.999986
 56953876, 0.9919855, 0.126284, 0.004143826, -0.126271, 0.9919904, -0.003258938, -0.004522188, 0.002709574, 0.9999862
 56973868, 0.991986, 0.1262811, 0.00412018, -0.1262681, 0.9919908, -0.00326321, -0.004499262, 0.002716811, 0.9999862
 56993860, 0.9919865, 0.1262778, 0.004096184, -0.126265, 0.9919912, -0.003267719, -0.004476019, 0.002724329, 0.9999863
 57013852, 0.9919869, 0.1262755, 0.004071155, -0.1262627, 0.9919915, -0.003271562, -0.004451668, 0.002731311, 0.9999864
 57033844, 0.9919871, 0.1262741, 0.004047484, -0.1262613, 0.9919916, -0.00327629, -0.004428781, 0.002738997, 0.9999864
 57053836, 0.9919873, 0.1262742, 0.0040287, -0.1262614, 0.9919916, -0.003285361, -0.004411292, 0.002750367, 0.9999865
 57073828, 0.9919873, 0.1262743, 0.004010017, -0.1262615, 0.9919916, -0.003294551, -0.004393919, 0.002761842, 0.9999866
 57093820, 0.9919873, 0.1262747, 0.003993822, -0.1262619, 0.9919915, -0.003303809, -0.004379025, 0.002773069, 0.9999866
 57113812, 0.9919875, 0.126274, 0.003980406, -0.1262612, 0.9919916, -0.003313519, -0.004366939, 0.002784398, 0.9999866
 57133804, 0.9919875, 0.126274, 0.003967685, -0.1262612, 0.9919915, -0.003324017, -0.004355646, 0.002796418, 0.9999866
 57153796, 0.9919875, 0.1262746, 0.003955393, -0.1262618, 0.9919914, -0.003334073, -0.004344724, 0.002807944, 0.9999866
 57173788, 0.9919875, 0.1262741, 0.003943937, -0.1262613, 0.9919914, -0.003344292, -0.004334649, 0.00281953, 0.9999866
 57193780, 0.9919878, 0.1262733, 0.003933788, -0.1262605, 0.9919915, -0.003354157, -0.004325824, 0.0028306, 0.9999866
 57213772, 0.9919881, 0.1262707, 0.003924405, -0.1262579, 0.9919918, -0.003364407, -0.004317804, 0.002841965, 0.9999867
 57233764, 0.9919884, 0.126269, 0.003917321, -0.1262561, 0.9919919, -0.003375269, -0.004312143, 0.002853642, 0.9999866
 57253756, 0.9919882, 0.1262701, 0.003924619, -0.1262572, 0.9919919, -0.003382054, -0.004320242, 0.002859446, 0.9999866
 57273748, 0.991988, 0.1262714, 0.003932859, -0.1262584, 0.9919916, -0.003389277, -0.004329332, 0.002865566, 0.9999865
 57293740, 0.9919876, 0.1262746, 0.003941927, -0.1262615, 0.9919913, -0.00339605, -0.004339191, 0.002871125, 0.9999865
 57313732, 0.9919872, 0.1262775, 0.003953218, -0.1262644, 0.9919908, -0.003403487, -0.004351339, 0.002877064, 0.9999864
 57333724, 0.991987, 0.126278, 0.003966162, -0.1262648, 0.9919907, -0.003411523, -0.004365196, 0.002883399, 0.9999864
 57353716, 0.9919871, 0.126277, 0.003977537, -0.1262638, 0.9919909, -0.003419035, -0.004377426, 0.002889419, 0.9999863
 57373708, 0.9919871, 0.1262765, 0.00398993, -0.1262632, 0.9919909, -0.003426685, -0.004390683, 0.002895445, 0.9999862
 57393700, 0.991987, 0.1262766, 0.004001385, -0.1262632, 0.9919909, -0.003433717, -0.004402935, 0.002900975, 0.9999861
 57413692, 0.9919873, 0.1262745, 0.004013393, -0.1262611, 0.9919912, -0.003441392, -0.00441581, 0.002907082, 0.9999861
 57433684, 0.9919873, 0.1262734, 0.004027252, -0.1262599, 0.9919912, -0.00344968, -0.004430601, 0.002913558, 0.999986
 57453676, 0.9919862, 0.1262736, 0.004309365, -0.1262593, 0.9919913, -0.003446671, -0.004710076, 0.002874952, 0.9999848
 57473668, 0.9919953, 0.1261448, 0.005727262, -0.1261266, 0.9920083, -0.003435116, -0.006114813, 0.002685259, 0.9999777
