TimeUS,mX,mY,mZ,obX,obY,ofX,ofY,rfD,gpSA,gpHA,gpVA,gpT,aT,ofT
 83753985, 215.1523, 73.6485, -538.5611, 0, 0, -0.0076782, 0.0326324, 0.0019, 0.05, 2.5, 2.5, 83594, 83753985, 83714
 83773977, 215.1523, 73.6485, -538.5611, 0, 0, -0.0076782, 0.0326324, 0.0019, 0.05, 2.5, 2.5, 83594, 83773977, 83714
 83793969, 215.1523, 73.6485, -538.5611, 0, 0, -0.0076782, 0.0326324, 0.0019, 0.05, 2.5, 2.5, 83594, 83793969, 83714
 83813961, 215.1523, 73.6485, -538.5611, 0, 0, -0.0076782, 0.0326324, 0.0019, 0.05, 2.5, 2.5, 83594, 83813961, 83714
 83833953, 215.1523, 73.6485, -538.5611, 0, 0, -0.0076782, 0.0326324, 0.0019, 0.05, 2.5, 2.5, 83794, 83833953, 83714
 83853945, 215.1523, 73.6485, -538.5611, 0, 0, 0.03662855, 0.0366525, 0.0019, 0.05, 2.5, 2.5, 83794, 83853945, 83833
 83873937, 215.1523, 73.6485, -538.5611, 0, 0, 0.03662855, 0.0366525, 0.0019, 0.05, 2.5, 2.5, 83794, 83873937, 83833
 83893929, 215.1523, 73.6485, -538.5611, 0, 0, 0.03662855, 0.0366525, 0.0019, 0.05, 2.5, 2.5, 83794, 83893929, 83833
 83913921, 215.1523, 73.6485, -538.5611, 0, 0, 0.03662855, 0.0366525, 0.0019, 0.05, 2.5, 2.5, 83794, 83913921, 83833
 83933913, 215.1523, 73.6485, -538.5611, 0, 0, 0.03662855, 0.0366525, 0.0019, 0.05, 2.5, 2.5, 83794, 83933913, 83833
 83953905, 215.1523, 73.6485, -538.5611, 0, 0, -0.01283565, -0.0457977, 0.0019, 0.05, 2.5, 2.5, 83794, 83953905, 83933
 83973897, 215.1523, 73.6485, -538.5611, 0, 0, -0.01283565, -0.0457977, 0.0019, 0.05, 2.5, 2.5, 83794, 83973897, 83933
 83993889, 215.1523, 73.6485, -538.5611, 0, 0, -0.01283565, -0.0457977, 0.0019, 0.05, 2.5, 2.5, 83794, 83993889, 83933
 84013881, 215.1523, 73.6485, -538.5611, 0, 0, -0.01283565, -0.0457977, 0.0019, 0.05, 2.5, 2.5, 83794, 84013881, 83933
 84033873, 215.1523, 73.6485, -538.5611, 0, 0, -0.01283565, -0.0457977, 0.0019, 0.05, 2.5, 2.5, 83994, 84033873, 83933
 84053865, 215.1523, 73.6485, -538.5611, 0, 0, 0.01160105, -0.0326645, 0.0019, 0.05, 2.5, 2.5, 83994, 84053865, 84033
