TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 117030669, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 117231422, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 117431342, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 117631262, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 117831182, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 118031102, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 118231022, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 118430942, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 118630862, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 118830782, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 119030702, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 119231455, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 119431375, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 119631295, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 119831215, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 120031135, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 120231055, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 120430975, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 120630895, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 120830815, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 121030735, 0, 0, 0, 0.05, 0, 0, 0, 0.05
 121230655, 0, 0, -0.046, 0.05, 0, 0, 0, 0.05
 121431408, 0, 0, -0.214, 0.05, 0, 0, -0.046, 0.05
 121631328, 0, 0, -0.348, 0.05, 0, 0, -0.214, 0.05
 121831248, 0, -0.001, -0.983, 0.05, 0, 0, -0.348, 0.05
 122031168, 0.008, -0.012, -1.739, 0.05, 0, -0.001, -0.983, 0.05
 122231088, 0.019, -0.029, -1.779, 0.05, 0.008, -0.012, -1.739, 0.05
 122431008, 0.024, -0.04, -1.901, 0.05, 0.019, -0.029, -1.779, 0.05
 122630928, 0.021, -0.039, -2.09, 0.05, 0.024, -0.04, -1.901, 0.05
 122830848, 0.018, -0.034, -2.203, 0.05, 0.021, -0.039, -2.09, 0.05
 123030768, 0.015, -0.029, -2.123, 0.05, 0.018, -0.034, -2.203, 0.05
 123230688, 0.014, -0.025, -1.944, 0.05, 0.015, -0.029, -2.123, 0.05
 123431441, 0.016, -0.025, -1.708, 0.05, 0.014, -0.025, -1.944, 0.05
 123631361, 0.021, -0.026, -1.439, 0.05, 0.016, -0.025, -1.708, 0.05
 123831281, 0.05, -0.027, -1.152, 0.05, 0.021, -0.026, -1.439, 0.05
 124031201, 0.129, -0.029, -0.8750001, 0.05, 0.05, -0.027, -1.152, 0.05
 124231121, 0.261, -0.031, -0.641, 0.05, 0.129, -0.029, -0.8750001, 0.05
 124431041, 0.422, -0.032, -0.457, 0.05, 0.261, -0.031, -0.641, 0.05
 124630961, 0.589, -0.031, -0.321, 0.05, 0.422, -0.032, -0.457, 0.05
 124830881, 0.761, -0.03, -0.226, 0.05, 0.589, -0.031, -0.321, 0.05
 125030801, 0.9350001, -0.029, -0.165, 0.05, 0.761, -0.03, -0.226, 0.05
 125230721, 1.103, -0.028, -0.128, 0.05, 0.9350001, -0.029, -0.165, 0.05
 125431474, 1.261, -0.025, -0.109, 0.05, 1.103, -0.028, -0.128, 0.05
 125631394, 1.414, -0.006, -0.09900001, 0.05, 1.261, -0.025, -0.109, 0.05
 125831314, 1.577, 0.021, -0.1, 0.05, 1.414, -0.006, -0.09900001, 0.05
 126031234, 1.752, 0.021, -0.103, 0.05, 1.577, 0.021, -0.1, 0.05
 126231154, 1.936, -0.009000001, -0.114, 0.05, 1.752, 0.021, -0.103, 0.05
 126431074, 2.122, -0.045, -0.131, 0.05, 1.936, -0.009000001, -0.114, 0.05
 126630994, 2.306, -0.062, -0.149, 0.05, 2.122, -0.045, -0.131, 0.05
 126830914, 2.493, -0.056, -0.165, 0.05, 2.306, -0.062, -0.149, 0.05
 127030834, 2.682, -0.037, -0.178, 0.05, 2.493, -0.056, -0.165, 0.05
 127230754, 2.863, -0.014, -0.191, 0.05, 2.682, -0.037, -0.178, 0.05
 127430674, 3.025, 0.003, -0.197, 0.05, 2.863, -0.014, -0.191, 0.05
 127631427, 3.171, 0.011, -0.2, 0.05, 3.025, 0.003, -0.197, 0.05
 127831347, 3.308, 0.009000001, -0.207, 0.05, 3.171, 0.011, -0.2, 0.05
 128031267, 3.433, 0.002, -0.211, 0.05, 3.308, 0.009000001, -0.207, 0.05
 128231187, 3.546, -0.007, -0.212, 0.05, 3.433, 0.002, -0.211, 0.05
 128431107, 3.649, -0.014, -0.212, 0.05, 3.546, -0.007, -0.212, 0.05
 128631027, 3.742, -0.016, -0.21, 0.05, 3.649, -0.014, -0.212, 0.05
 128830947, 3.828, -0.014, -0.207, 0.05, 3.742, -0.016, -0.21, 0.05
 129030867, 3.908, -0.01, -0.208, 0.05, 3.828, -0.014, -0.207, 0.05
 129230787, 3.979, -0.006, -0.208, 0.05, 3.908, -0.01, -0.208, 0.05
 129430707, 4.044, -0.004, -0.205, 0.05, 3.979, -0.006, -0.208, 0.05
 129631460, 4.101, -0.002, -0.198, 0.05, 4.044, -0.004, -0.205, 0.05
 129831380, 4.154, -0.002, -0.189, 0.05, 4.101, -0.002, -0.198, 0.05
 130031300, 4.204, -0.002, -0.181, 0.05, 4.154, -0.002, -0.189, 0.05
 130231220, 4.251, -0.003, -0.177, 0.05, 4.204, -0.002, -0.181, 0.05
 130431140, 4.294, -0.002, -0.17, 0.05, 4.251, -0.003, -0.177, 0.05
 130631060, 4.334, -0.001, -0.164, 0.05, 4.294, -0.002, -0.17, 0.05
 130830980, 4.371, 0.002, -0.156, 0.05, 4.334, -0.001, -0.164, 0.05
 131030900, 4.407, 0.005, -0.151, 0.05, 4.371, 0.002, -0.156, 0.05
 131230820, 4.441, 0.008, -0.149, 0.05, 4.407, 0.005, -0.151, 0.05
 131430740, 4.472, 0.011, -0.148, 0.05, 4.441, 0.008, -0.149, 0.05
 131630660, 4.503, 0.013, -0.152, 0.05, 4.472, 0.011, -0.148, 0.05
 131831413, 4.531, 0.013, -0.159, 0.05, 4.503, 0.013, -0.152, 0.05
 132031333, 4.555, 0.013, -0.162, 0.05, 4.531, 0.013, -0.159, 0.05
 132231253, 4.575, 0.012, -0.157, 0.05, 4.555, 0.013, -0.162, 0.05
 132431173, 4.595, 0.01, -0.152, 0.05, 4.575, 0.012, -0.157, 0.05
 132631093, 4.617, 0.008, -0.15, 0.05, 4.595, 0.01, -0.152, 0.05
 132831013, 4.637, 0.007, -0.146, 0.05, 4.617, 0.008, -0.15, 0.05
 133030933, 4.654, 0.006, -0.138, 0.05, 4.637, 0.007, -0.146, 0.05
 133230853, 4.67, 0.005, -0.126, 0.05, 4.654, 0.006, -0.138, 0.05
 133430773, 4.688, 0.006, -0.119, 0.05, 4.67, 0.005, -0.126, 0.05
 133630693, 4.707, 0.006, -0.115, 0.05, 4.688, 0.006, -0.119, 0.05
 133831446, 4.724, 0.006, -0.114, 0.05, 4.707, 0.006, -0.115, 0.05
 134031366, 4.739, 0.005, -0.114, 0.05, 4.724, 0.006, -0.114, 0.05
 134231286, 4.752, 0.005, -0.114, 0.05, 4.739, 0.005, -0.114, 0.05
 134431206, 4.764, 0.005, -0.111, 0.05, 4.752, 0.005, -0.114, 0.05
 134631126, 4.778, 0.005, -0.109, 0.05, 4.764, 0.005, -0.111, 0.05
 134831046, 4.791, 0.005, -0.108, 0.05, 4.778, 0.005, -0.109, 0.05
 135030966, 4.802, 0.005, -0.103, 0.05, 4.791, 0.005, -0.108, 0.05
 135230886, 4.813, 0.006, -0.101, 0.05, 4.802, 0.005, -0.103, 0.05
 135430806, 4.825, 0.006, -0.101, 0.05, 4.813, 0.006, -0.101, 0.05
 135630726, 4.837, 0.006, -0.103, 0.05, 4.825, 0.006, -0.101, 0.05
