TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00
 126231154, -0.009893565, 0.01226111, -7.333681E-05, 0.00104407, -0.003579349, 0.004652954, 8.177703E-05, 0.0005187925, -0.1257151, 0.9920651
 126431074, -0.00990063, 0.01249531, 0.0002972212, 0.00104407, -0.003350481, 0.004072058, -9.009571E-05, 0.0005187925, -0.1257325, 0.9920629
 126630994, -0.009442109, 0.0119801, -0.0002934664, 0.00104407, -0.00348777, 0.004547503, -0.0004663532, 0.0005187925, -0.1257475, 0.992061
 126830914, -0.01001689, 0.01217801, -0.0005063321, 0.00104407, -0.00364752, 0.004482587, -3.083545E-05, 0.0005187925, -0.1257615, 0.9920592
 127030834, -0.009823885, 0.01244145, -7.808779E-05, 0.00104407, -0.003555708, 0.004403779, -0.0002173567, 0.0005187925, -0.1257747, 0.9920576
 127230754, -0.009348646, 0.01222875, -0.0003422333, 0.00104407, -0.003357909, 0.004644168, 1.049814E-05, 0.0005187925, -0.1257866, 0.992056
 127430674, -0.009231918, 0.0126141, -0.0002505826, 0.00104407, -0.003619396, 0.004728236, -7.407682E-05, 0.0005187925, -0.1257971, 0.9920548
 127631427, -0.009594405, 0.012954, -0.0002988224, 0.001046232, -0.003536259, 0.00481654, -0.0006706006, 0.0005209541, -0.1258082, 0.9920533
 127831347, -0.009575327, 0.0126062, -0.0008150269, 0.001046232, -0.004046218, 0.004762034, -0.0002180407, 0.0005187925, -0.1258164, 0.9920522
 128031267, -0.01044439, 0.01259353, -0.000350552, 0.00104407, -0.003856149, 0.004561466, -0.0003703507, 0.0005187925, -0.1258232, 0.9920514
 128231187, -0.009707958, 0.01253712, -0.000763615, 0.00104407, -0.002808924, 0.004681549, 0.0002189297, 0.0005187925, -0.1258305, 0.9920505
 128431107, -0.009010155, 0.01255308, -0.0001279962, 0.00104407, -0.003603187, 0.004587682, -0.0004057346, 0.0005187925, -0.1258368, 0.9920497
 128631027, -0.009857549, 0.01233893, -0.0006541412, 0.00104407, -0.003840425, 0.004491279, 0.0001919467, 0.0005187925, -0.1258415, 0.992049
 128830947, -0.01022342, 0.01255261, -0.0001562721, 0.00104407, -0.003495509, 0.005188701, -3.82187E-05, 0.0005187925, -0.125845, 0.9920487
 129030867, -0.009678997, 0.01287798, 2.399319E-05, 0.00104407, -0.003443982, 0.00432581, -3.11262E-05, 0.0005187925, -0.1258482, 0.9920482
 129230787, -0.009889547, 0.01207437, -0.0001928487, 0.00104407, -0.003943734, 0.004656313, 0.0002196828, 0.0005187925, -0.1258513, 0.9920478
 129430707, -0.01003666, 0.012182, 8.716083E-05, 0.00104407, -0.003308947, 0.004554097, 8.875038E-05, 0.0005187925, -0.1258543, 0.9920474
 129631460, -0.009614442, 0.01250829, -0.000166261, 0.001046232, -0.003582827, 0.004753504, 2.129696E-05, 0.0005209541, -0.1258571, 0.9920471
 129831380, -0.00959562, 0.0123993, 1.265298E-05, 0.001046232, -0.003610539, 0.004534303, -0.0002089785, 0.0005187925, -0.1258596, 0.9920468
 130031300, -0.0096936, 0.01237031, -0.0003993881, 0.00104407, -0.003350499, 0.004184497, -6.984061E-05, 0.0005187925, -0.1258615, 0.9920465
 130231220, -0.009687949, 0.01229859, -0.0002909759, 0.00104407, -0.003850345, 0.004256241, -0.0001288304, 0.0005187925, -0.1258627, 0.9920464
 130431140, -0.009796014, 0.0125024, -0.0002359125, 0.00104407, -0.003331869, 0.004252142, 0.0001015388, 0.0005187925, -0.1258644, 0.9920462
 130631060, -0.009569912, 0.01210076, 2.006724E-06, 0.00104407, -0.003414052, 0.003960953, -0.0004055045, 0.0005187925, -0.1258658, 0.992046
 130830980, -0.009653224, 0.01174154, -0.000684215, 0.00104407, -0.003261107, 0.004599318, -0.0001211039, 0.0005187925, -0.1258669, 0.9920458
 131030900, -0.009558621, 0.01269423, -0.0001737662, 0.00104407, -0.003707759, 0.004476022, -0.0003079291, 0.0005187925, -0.1258665, 0.9920458
 131230820, -0.009902891, 0.01260085, -0.0004922841, 0.00104407, -0.004086629, 0.00457088, -0.0001551603, 0.0005187925, -0.1258668, 0.9920458
 131430740, -0.01043031, 0.01235928, -0.000130613, 0.00104407, -0.003610996, 0.004504886, -0.0003323012, 0.0005187925, -0.125867, 0.9920458
 131630660, -0.009789133, 0.01269365, -0.0007358264, 0.00104407, -0.003510181, 0.004328301, 0.0001534337, 0.0005187925, -0.1258821, 0.9920439
 131831413, -0.009783873, 0.01244813, -5.391674E-06, 0.001046232, -0.003521268, 0.004442781, 0.0001480889, 0.0005209541, -0.1258959, 0.9920421
 132031333, -0.009547967, 0.01250681, -8.522889E-06, 0.001046232, -0.003266735, 0.00461558, -0.0003721906, 0.0005187925, -0.1259077, 0.9920407
 132231253, -0.009684384, 0.01228615, -0.0004753535, 0.00104407, -0.003533749, 0.00447038, 0.0002767695, 0.0005187925, -0.125918, 0.9920393
 132431173, -0.009913046, 0.0122521, 0.0001937258, 0.00104407, -0.003561428, 0.004804137, -4.751926E-05, 0.0005187925, -0.1259272, 0.9920382
 132631093, -0.009854144, 0.01271294, -5.906365E-05, 0.00104407, -0.003585236, 0.004639237, 0.0003135178, 0.0005187925, -0.1259351, 0.9920372
 132831013, -0.009800414, 0.01250743, 2.610119E-05, 0.00104407, -0.003495266, 0.004487354, 5.624906E-05, 0.0005187925, -0.1259423, 0.9920363
 133030933, -0.009726197, 0.0122564, -0.09844853, 0.00104407, -0.003336265, 0.004593187, -0.0971292, 0.0005187925, -0.1259483, 0.9920355
 133230853, -0.00991464, 0.01270996, -0.2629535, 0.00104407, -0.003880518, 0.004928007, -0.08659621, 0.0005187925, -0.1259526, 0.992035
 133430773, -0.01019136, 0.01301648, -0.2140718, 0.00104407, -0.003662785, 0.004500533, -0.06765022, 0.0005187925, -0.1259567, 0.9920344
 133630693, -0.0143019, 0.02250608, -1.033858, 0.00104407, -0.008094194, 0.01471835, -0.676639, 0.0005187925, -0.1260433, 0.9920087
 133831446, -0.02367694, 0.04892356, -1.116286, 0.001046232, -0.00933383, 0.0214001, -0.06227765, 0.0005209541, -0.1263065, 0.9919512
 134031366, -0.02378494, 0.05460953, -0.08808019, 0.001046232, -0.00670309, 0.01587299, -0.03719854, 0.0005187925, -0.1265335, 0.9919469
 134231286, -0.01064753, 0.0235348, -0.2029163, 0.00104407, 0.0003531094, -0.002418292, -0.1145139, 0.0005187925, -0.1265377, 0.9919611
 134431206, 0.004574303, -0.01788644, -0.2944255, 0.00104407, 0.003088092, -0.0104859, -0.09215673, 0.0005187925, -0.1264473, 0.991967
 134631126, 0.005228001, -0.02209221, -0.2155989, 0.00104407, 0.0001863175, -0.003847713, -0.06340995, 0.0005187925, -0.126423, 0.9919753
 134831046, -0.001163705, -0.003714706, -0.1560076, 0.00104407, -0.0008757202, 0.001232014, -0.04990643, 0.0005187925, -0.1263725, 0.9919819
 135030966, 0.005100355, -0.006210474, -0.1211264, 0.00104407, 0.006731395, -0.008515999, -0.03762088, 0.0005187925, -0.1261425, 0.9919646
 135230886, 0.03144778, -0.03668275, -0.08859663, 0.00104407, 0.01775089, -0.01920722, -0.02617796, 0.0005187925, -0.125786, 0.9918551
 135430806, 0.04965936, -0.04885162, -0.06095554, 0.00104407, 0.01657987, -0.01374268, -0.01826086, 0.0005187925, -0.1258055, 0.9918734
 135630726, 0.03211623, -0.01919475, -0.04237929, 0.00104407, 0.004447003, 0.003550489, -0.01306391, 0.0005187925, -0.1261502, 0.9919693
 135831479, -0.002979823, 0.02601025, -0.02367835, 0.001046232, -0.008700657, 0.01623725, -0.003438842, 0.0005209541, -0.1265588, 0.9919589
 136031399, -0.0244437, 0.04088518, -0.002826298, 0.001046232, -0.006982733, 0.01164492, -7.911139E-05, 0.0005187925, -0.127014, 0.9918979
 136231319, -0.008925376, 0.02614839, 0.004889198, 0.00104407, 0.0009119287, 0.007824909, 0.001543142, 0.0005187925, -0.1274777, 0.9918078
 136431239, 0.001972929, 0.031124, 0.007981763, 0.00104407, -0.0008904618, 0.01755678, 0.002644716, 0.0005187925, -0.1281095, 0.9917486
 136631159, -0.004843767, 0.04851251, 0.02184082, 0.00104407, -0.001635106, 0.01484577, 0.01373785, 0.0005187925, -0.1287607, 0.9916577
 136831079, 0.001463018, 0.01414189, 0.05764494, 0.00104407, 0.003559165, -0.01022831, 0.02949266, 0.0005187925, -0.1289658, 0.991559
 137030999, 0.006008999, -0.04461282, 0.1064131, 0.00104407, -0.001915421, -0.02143265, 0.04965995, 0.0005187925, -0.1291751, 0.991585
 137230919, -0.02391799, -0.04106553, 0.1646015, 0.00104407, -0.01877786, -0.003319229, 0.07306799, 0.0005187925, -0.1297812, 0.9915138
 137430839, -0.0632864, 0.007528343, 0.2311346, 0.00104407, -0.02784465, 0.007894592, 0.09782018, 0.0005187925, -0.1301987, 0.9913452
 137630759, -0.07377306, 0.01275769, 0.3214531, 0.00104407, -0.02406413, -0.0008289275, 0.1553208, 0.0005187925, -0.1303719, 0.9913318
 137830679, -0.06987409, -0.009005138, 0.4311692, 0.00104407, -0.0273856, -0.006628079, 0.1520409, 0.0005187925, -0.1306156, 0.9912192
 138031432, -0.06715588, -0.005101024, 0.4473859, 0.001046232, -0.01957436, 0.007273952, 0.1760411, 0.0005209541, -0.1310016, 0.9912286
 138231352, -0.04374407, 0.04199988, 0.5232772, 0.001046232, -0.01197013, 0.02551622, 0.2024367, 0.0005187925, -0.1317113, 0.991161
 138431272, -0.03087215, 0.07358985, 0.555193, 0.00104407, -0.01045952, 0.02685439, 0.1955355, 0.0005187925, -0.1323345, 0.99107
 138631192, -0.03058575, 0.06549491, 0.5167425, 0.00104407, -0.0128634, 0.019434, 0.1715227, 0.0005187925, -0.1327563, 0.9909703
 138831112, -0.03212659, 0.03916903, 0.4429134, 0.00104407, -0.009217598, 0.006003541, 0.1417125, 0.0005187925, -0.1331462, 0.9910115
 139031032, -0.01427213, 0.0003923986, 0.3528219, 0.00104407, 0.0008644204, -0.007670362, 0.1076842, 0.0005187925, -0.1332838, 0.9910768
 139230952, 0.01117942, -0.02328996, 0.2587865, 0.00104407, 0.008343072, -0.007964405, 0.07346695, 0.0005187925, -0.133485, 0.9910282
 139430872, 0.0273758, -0.02065801, 0.1665842, 0.00104407, 0.01179155, -0.008525874, 0.04258194, 0.0005187925, -0.1338647, 0.9909382
 139630792, 0.02963369, -0.02549612, 0.08403985, 0.00104407, 0.008772437, -0.009605743, 0.01368929, 0.0005187925, -0.1342891, 0.9909025
 139830712, 0.0168409, -0.02932136, 0.01084798, 0.00104407, 0.002619246, -0.01339921, -0.009110576, 0.0005187925, -0.1347401, 0.9908652
 140031465, 0.00425905, -0.04965724, -0.04470896, 0.001046232, 0.0006973098, -0.02465048, -0.02568766, 0.0005209541, -0.134944, 0.9908308
 140231385, -0.0004491901, -0.06121579, -0.08304191, 0.001046232, -0.002247751, -0.01565464, -0.03540502, 0.0005187925, -0.1354129, 0.9907857
 140431305, -0.001718056, -0.02478888, -0.1056945, 0.00104407, 0.004187163, -0.001527238, -0.04103917, 0.0005187925, -0.135801, 0.9906943
 140631225, 0.01924803, 0.005558598, -0.1182294, 0.00104407, 0.009037984, 0.007230788, -0.0446244, 0.0005187925, -0.1362014, 0.9906216
 140831145, 0.004235055, 0.04434066, -0.122627, 0.00104407, -0.01185081, 0.03072529, -0.04373468, 0.0005187925, -0.1367308, 0.9905381
 141031065, -0.051471, 0.1062492, -0.1144996, 0.00104407, -0.02530042, 0.04721014, -0.03848404, 0.0005187925, -0.1372647, 0.9902529
 141230985, -0.05203809, 0.132239, -0.1030435, 0.00104407, -0.007144518, 0.04941209, -0.03442353, 0.0005187925, -0.1383194, 0.9903574
 141430905, 0.002662509, 0.1266873, -0.0868442, 0.00104407, 0.009701063, 0.03966018, -0.02742177, 0.0005187925, -0.1389104, 0.9902906
