TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 170860795, -0.01715141, 0.02003349, 0.002986891, 0.02599707, -0.02601998, 6.342416E-05, 0, 0, 0, 0, 0, 0
 170935765, -0.01152526, -0.002566231, -2.546917E-05, 0.0259215, -0.02664755, 0.100004, -0.01715141, 0.02003349, 0.002986891, 0.02599707, -0.02601998, 6.342416E-05
 171035725, 0.02468484, -0.01950994, 1.329684E-05, 0.02677521, -0.02706228, 0.1000049, -0.01152526, -0.002566231, -2.546917E-05, 0.0259215, -0.02664755, 0.100004
 171135685, 0.003355049, -0.003230861, 8.554566E-07, 0.02623976, -0.02666268, 0.1000046, 0.02468484, -0.01950994, 1.329684E-05, 0.02677521, -0.02706228, 0.1000049
 171236478, -0.004329275, -0.02052639, -4.194854E-05, 0.0260693, -0.02708922, 0.1000036, 0.003355049, -0.003230861, 8.554566E-07, 0.02623976, -0.02666268, 0.1000046
 171336438, 0.01261543, 0.02307966, 6.152525E-05, 0.02646021, -0.02613095, 0.1000059, -0.004329275, -0.02052639, -4.194854E-05, 0.0260693, -0.02708922, 0.1000036
 171436398, -0.006309945, 0.01641848, 1.550149E-05, 0.02602725, -0.02625235, 0.100005, 0.01261543, 0.02307966, 6.152525E-05, 0.02646021, -0.02613095, 0.1000059
 171536358, 0.01036559, 0.006274783, 2.964058E-05, 0.0264046, -0.0264547, 0.1000054, -0.006309945, 0.01641848, 1.550149E-05, 0.02602725, -0.02625235, 0.100005
 171636318, 0.006943676, 0.02190677, 4.926819E-05, 0.02632209, -0.02615197, 0.1000058, 0.01036559, 0.006274783, 2.964058E-05, 0.0264046, -0.0264547, 0.1000054
 171736278, -0.01208286, -0.005347244, -3.142181E-05, 0.02590849, -0.02671184, 0.1000043, 0.006943676, 0.02190677, 4.926819E-05, 0.02632209, -0.02615197, 0.1000058
 171836238, -0.007344974, 0.002364224, -9.841679E-06, 0.02600398, -0.0265377, 0.100005, -0.01208286, -0.005347244, -3.142181E-05, 0.02590849, -0.02671184, 0.1000043
 171936198, -0.009510557, 0.006913644, -6.399706E-06, 0.02595929, -0.0264407, 0.1000052, -0.007344974, 0.002364224, -9.841679E-06, 0.02600398, -0.0265377, 0.100005
 172036158, -0.01467977, -0.0116527, -4.685587E-05, 0.02585686, -0.0268624, 0.1000043, -0.009510557, 0.006913644, -6.399706E-06, 0.02595929, -0.0264407, 0.1000052
 172136118, 0.009937458, -0.003183837, 1.342029E-05, 0.02639224, -0.02666129, 0.1000057, -0.01467977, -0.0116527, -4.685587E-05, 0.02585686, -0.0268624, 0.1000043
 172236078, 0.02271223, -0.003652012, 3.673866E-05, 0.02671861, -0.02667204, 0.1000064, 0.009937458, -0.003183837, 1.342029E-05, 0.02639224, -0.02666129, 0.1000057
 172336038, 0.01729855, 0.01124145, 5.126615E-05, 0.02657613, -0.02635275, 0.1000065, 0.02271223, -0.003652012, 3.673866E-05, 0.02671861, -0.02667204, 0.1000064
 172435998, 0.008385026, 0.01875404, 4.70376E-05, 0.0263547, -0.02620894, 0.1000062, 0.01729855, 0.01124145, 5.126615E-05, 0.02657613, -0.02635275, 0.1000065
 172535958, 0.008709343, -0.006054789, 6.284138E-06, 0.026363, -0.02672849, 0.1000053, 0.008385026, 0.01875404, 4.70376E-05, 0.0263547, -0.02620894, 0.1000062
 172635918, 0.005058142, -0.02364368, -2.981321E-05, 0.02627716, -0.0271726, 0.1000043, 0.008709343, -0.006054789, 6.284138E-06, 0.026363, -0.02672849, 0.1000053
 172735878, -0.01929644, -0.01089408, -5.402962E-05, 0.02577145, -0.02684385, 0.1000039, 0.005058142, -0.02364368, -2.981321E-05, 0.02627716, -0.0271726, 0.1000043
 172835838, 0.02492991, -0.005553384, 3.717857E-05, 0.02678098, -0.02671567, 0.1000059, -0.01929644, -0.01089408, -5.402962E-05, 0.02577145, -0.02684385, 0.1000039
 172935798, 0.01839069, -0.0230048, -4.019992E-06, 0.02660754, -0.02715477, 0.1000045, 0.02492991, -0.005553384, 3.717857E-05, 0.02678098, -0.02671567, 0.1000059
 173035758, -0.02356355, -0.01658069, -7.083396E-05, 0.02569726, -0.02698665, 0.1000028, 0.01839069, -0.0230048, -4.019992E-06, 0.02660754, -0.02715477, 0.1000045
 173135718, 0.01981006, 0.003620026, 4.247081E-05, 0.02664519, -0.0265106, 0.1000054, -0.02356355, -0.01658069, -7.083396E-05, 0.02569726, -0.02698665, 0.1000028
 173235678, -0.0145736, -0.0128567, -4.810589E-05, 0.02586206, -0.02689238, 0.1000034, 0.01981006, 0.003620026, 4.247081E-05, 0.02664519, -0.0265106, 0.1000054
