TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00
 170560915, -1.207708E-06, 4.665454E-05, 1.310778E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999977, -0.00144651
 170630887, -0.144004, 3.157515, 0.1245038, 0.4427873, -0.09545729, 3.29186, -0.2786655, 0.4427808, -0.9999977, -0.001447319
 170830807, -0.0956478, 3.299181, -0.2787557, 0.4433069, -1.554145E-05, 0.004344281, -0.0002261532, 0.0005187925, -0.9999977, -0.001444289
 171030727, -0.0001495602, 0.01168144, -0.0005341407, 0.00104407, 8.220071E-06, 0.004389953, 5.61835E-05, 0.0005187925, -0.9999977, -0.001441022
 171231480, 0.00032975, 0.01173723, -0.0001840951, 0.001046232, 0.0002350644, 0.004456739, -0.0003330904, 0.0005209541, -0.9999977, -0.001435848
 171431400, 8.346935E-05, 0.01184727, -0.000615849, 0.001046232, 0.0001343259, 0.004278389, 0.0001296216, 0.0005187925, -0.9999977, -0.001433032
 171631320, 0.0001257148, 0.01166438, -0.000314813, 0.00104407, 0.0002631126, 0.004601788, -0.0002845162, 0.0005187925, -0.9999977, -0.001428797
 171831240, 0.000178362, 0.012121, -0.0005189799, 0.00104407, 0.0002367868, 0.004338696, 0.0003336715, 0.0005187925, -0.9999977, -0.00142159
 172031160, 0.000251202, 0.01203532, 0.0001874375, 0.00104407, 9.755019E-05, 0.004763934, -0.0001234288, 0.0005187925, -0.9999977, -0.001414917
 172231080, 0.0002521923, 0.01209709, -0.0004094167, 0.00104407, -0.0002146449, 0.003953421, -0.0003430234, 0.0005187925, -0.9999977, -0.00140788
 172431000, 1.623792E-05, 0.01124741, -0.0004543514, 0.00104407, 0.0002383652, 0.004077635, 5.673284E-06, 0.0005187925, -0.9999977, -0.001400388
 172630920, 0.0004284673, 0.01146085, 1.922432E-05, 0.00104407, -0.0001514344, 0.004286809, 0.0003419783, 0.0005187925, -0.9999977, -0.0014085
