TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00
 170450959, 1.525145E-06, 4.558379E-05, 6.434727E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999977, -0.001447762
 170630887, 0.1149398, 3.128124, 0.4124274, 0.4427878, -0.0958648, 3.291582, -0.2794793, 0.4427808, -0.9999977, -0.0014474
 170830807, -0.09605626, 3.298901, -0.2795713, 0.4433069, -1.609644E-05, 0.004343901, -0.0002272614, 0.0005187925, -0.9999977, -0.00144437
 171030727, -0.000151082, 0.0116804, -0.0005371794, 0.00104407, 7.665119E-06, 0.004389573, 5.50753E-05, 0.0005187925, -0.9999977, -0.001441103
 171231480, 0.0003282244, 0.0117362, -0.0001871417, 0.001046232, 0.0002345053, 0.004456358, -0.0003342066, 0.0005209541, -0.9999977, -0.001435929
 171431400, 8.194344E-05, 0.01184623, -0.0006188954, 0.001046232, 0.000133771, 0.004278009, 0.0001285158, 0.0005187925, -0.9999977, -0.001433114
 171631320, 0.0001241931, 0.01166334, -0.0003178493, 0.00104407, 0.0002625576, 0.004601408, -0.0002856244, 0.0005187925, -0.9999977, -0.00142888
 171831240, 0.0001768403, 0.01211995, -0.0005220184, 0.00104407, 0.0002362318, 0.004338316, 0.0003325634, 0.0005187925, -0.9999977, -0.001421673
 172031160, 0.0002496802, 0.01203428, 0.000184399, 0.00104407, 9.69952E-05, 0.004763552, -0.0001245369, 0.0005187925, -0.9999977, -0.001415
 172231080, 0.0002506706, 0.01209604, -0.0004124552, 0.00104407, -0.0002151999, 0.003953041, -0.0003441316, 0.0005187925, -0.9999977, -0.001407962
 172431000, 1.471617E-05, 0.01124637, -0.00045739, 0.00104407, 0.0002378103, 0.004077255, 4.565082E-06, 0.0005187925, -0.9999977, -0.001400471
 172630920, 0.0004269457, 0.01145981, 1.618569E-05, 0.00104407, -0.0001519895, 0.004286429, 0.0003408701, 0.0005187925, -0.9999977, -0.001408582
 172830840, 5.662992E-06, 0.01179267, 0.000538874, 0.00104407, -3.488616E-05, 0.004370557, -5.052333E-05, 0.0005187925, -0.9999977, -0.001415977
 173030760, -0.000327712, 0.01167804, -0.0003356067, 0.00104407, -0.0005330114, 0.004033328, -0.0004057619, 0.0005187925, -0.9999977, -0.001422529
 173230680, -0.0005313551, 0.01146369, -0.0007637126, 0.00104407, -0.0001028895, 0.004296848, -0.0002171959, 0.0005187925, -0.9999977, -0.001428359
 173431433, -0.0002559976, 0.01193533, -0.0004807514, 0.001046232, 0.000152134, 0.004524847, -0.0005890534, 0.0005209541, -0.9999977, -0.001433283
 173631353, 0.0001194505, 0.01218144, -0.0009219564, 0.001046232, 0.0003037786, 0.004526492, 4.957719E-05, 0.0005187925, -0.9999976, -0.001437524
 173831273, 0.0004301701, 0.01192502, -0.0001207274, 0.00104407, 0.0001452451, 0.003886704, 5.227144E-05, 0.0005187925, -0.9999976, -0.001441673
 174031193, 0.000213938, 0.01129847, -0.0001528188, 0.00104407, 0.0002469873, 0.004033801, -0.0004406262, 0.0005187925, -0.9999976, -0.001445998
 174231113, 1.396335E-05, 0.01123668, -0.0005937037, 0.00104407, -4.603409E-05, 0.003832683, 0.0004700257, 0.0005187925, -0.9999976, -0.001448976
 174431033, -0.0001936193, 0.01131307, 0.0007156571, 0.00104407, -0.00013283, 0.004420753, -2.415168E-05, 0.0005187925, -0.9999976, -0.00145025
 174630953, -0.000211061, 0.01182026, -0.0001777557, 0.00104407, 0.00030288, 0.004361597, -0.0002790169, 0.0005187925, -0.9999977, -0.001451332
 174830873, 0.0002425924, 0.0118917, -0.0002854778, 0.00104407, 0.0001880992, 0.003623111, 7.142427E-05, 0.0005187925, -0.9999977, -0.00145133
 175030793, 4.748657E-05, 0.01080251, -0.0001673363, 0.00104407, -0.0001307857, 0.00408279, -0.0004543954, 0.0005187925, -0.9999977, -0.001451481
 175230713, -0.0004639575, 0.01129925, -0.0005197818, 0.00104407, -0.00028317, 0.004374022, -0.0004439735, 0.0005187925, -0.9999977, -0.001451119
 175431466, -0.0003863536, 0.01188824, -0.0004249442, 0.001046232, -0.0004335224, 0.003996696, 0.0002394977, 0.0005209541, -0.9999977, -0.001447718
 175631386, -0.0005414301, 0.0117119, 0.0001012905, 0.001046232, -0.0002960948, 0.004354404, -0.0001709945, 0.0005187925, -0.9999977, -0.001445555
 175831306, -0.0001273971, 0.01163821, -0.0003928674, 0.00104407, 0.000366064, 0.004204577, 1.747505E-05, 0.0005187925, -0.9999977, -0.00144155
 176031226, 0.000325683, 0.011682, -0.000305808, 0.00104407, -0.0001074927, 0.004027185, 0.0002346554, 0.0005187925, -0.9999977, -0.00143671
 176231146, -0.000157332, 0.01123507, 0.0003975291, 0.00104407, 0.0002202661, 0.004156909, 0.0001382501, 0.0005187925, -0.9999977, -0.001432743
 176431066, 0.000256237, 0.01129031, -0.000277724, 0.00104407, -0.0001204833, 0.004478895, -0.0001931383, 0.0005187925, -0.9999977, -0.001428879
 176630986, -5.4199E-05, 0.01207488, -0.0003660216, 0.00104407, -6.001825E-05, 0.004378726, -0.0002764609, 0.0005187925, -0.9999977, -0.001423034
 176830906, 0.0001012555, 0.01153237, -0.0003747003, 0.00104407, -0.0004214029, 0.00436174, -0.0004908886, 0.0005187925, -0.9999977, -0.001417963
 177030826, -0.0003541073, 0.0119294, -0.0005785426, 0.00104407, -0.0002364008, 0.004410719, -0.000377958, 0.0005187925, -0.9999977, -0.001413054
 177230746, 8.090566E-05, 0.01191399, -0.0005872069, 0.00104407, 1.078229E-05, 0.004318525, -0.000370943, 0.0005187925, -0.9999977, -0.001406078
 177430666, 0.0002165067, 0.01173684, -0.0006383809, 0.00104407, 0.0003509024, 0.004111687, -0.0005595781, 0.0005187925, -0.9999977, -0.001398526
 177631419, 0.0005314998, 0.01129474, -0.0004321482, 0.001046232, 7.65474E-05, 0.003768397, 0.0001910157, 0.0005209541, -0.9999977, -0.001389224
 177831339, 0.000480776, 0.01128195, 0.0001377885, 0.001046232, 0.0002045422, 0.004030374, 0.0002221732, 0.0005187925, -0.9999977, -0.001396539
 178031259, 0.0002478594, 0.01122516, -0.0001221133, 0.00104407, 0.0001676569, 0.003920407, 0.0002208922, 0.0005187925, -0.9999978, -0.001401072
 178231179, 0.0002445066, 0.01129264, 0.0002363166, 0.00104407, 0.0002532011, 0.004153556, -3.211525E-05, 0.0005187925, -0.9999977, -0.001405488
 178431099, 0.0001007736, 0.01137321, -0.0002427679, 0.00104407, -0.0001092027, 0.004181416, 0.0002383101, 0.0005187925, -0.9999977, -0.001410625
 178631019, -0.0003199069, 0.01153357, 0.0001059037, 0.00104407, -0.0001111259, 0.0039717, 0.0004138221, 0.0005187925, -0.9999978, -0.001415237
 178830939, 0.0001087031, 0.0113217, 0.000300124, 0.00104407, -4.568506E-05, 0.004314822, 0.0001680501, 0.0005187925, -0.9999978, -0.001417351
 179030859, 0.000265935, 0.01166816, -5.146539E-06, 0.00104407, 0.0001497825, 0.004254548, -2.117505E-06, 0.0005187925, -0.9999978, -0.001419125
 179230779, -2.889719E-07, 0.01114081, -0.0004034968, 0.00104407, -4.074252E-06, 0.00391551, 4.1361E-05, 0.0005187925, -0.9999978, -0.001420056
 179430699, -0.0002419206, 0.01082914, -0.0003088573, 0.00104407, -0.000381024, 0.004159668, -0.0005477025, 0.0005187925, -0.9999977, -0.001419988
 179631452, -0.0002192124, 0.01173322, -0.0007448901, 0.001046232, 7.329674E-05, 0.004624419, -0.0003939327, 0.0005209541, -0.9999978, -0.001419886
 179831372, 8.872573E-05, 0.01196313, -0.000560896, 0.001046232, 0.0001248611, 0.00436359, 0.0002421519, 0.0005187925, -0.9999977, -0.001420965
 180031292, -8.636091E-05, 0.01155911, 0.0003077194, 0.00104407, -0.0001959318, 0.004210959, -0.0003033438, 0.0005187925, -0.9999977, -0.001419329
 180231212, -0.0002303165, 0.01161083, -0.0004457097, 0.00104407, -9.698289E-05, 0.004242594, -0.000203049, 0.0005187925, -0.9999977, -0.001419343
 180431132, -0.0002093586, 0.01161583, -0.0005858425, 0.00104407, 0.0002174305, 0.004304389, 0.0001926772, 0.0005187925, -0.9999977, -0.001419054
 180631052, 0.0001174716, 0.01169115, 1.75179E-05, 0.00104407, -0.0001376793, 0.004340958, -0.0001586053, 0.0005187925, -0.9999977, -0.001416691
 180830972, -0.0001875313, 0.01130095, -0.0003583309, 0.00104407, 0.0002975274, 0.003881073, -0.0001949543, 0.0005187925, -0.9999977, -0.001414185
 181030892, 0.0001259652, 0.01090902, -0.0003824802, 0.00104407, -0.0003826586, 0.004336693, -5.540061E-05, 0.0005187925, -0.9999977, -0.001413274
 181230812, -0.0006561, 0.0115946, -0.0002412785, 0.00104407, 0.000271105, 0.004185256, -0.0001506274, 0.0005187925, -0.9999977, -0.001411428
 181430732, -3.649816E-05, 0.01130696, -0.0002289559, 0.00104407, 0.0001974097, 0.003898382, 9.980499E-05, 0.0005187925, -0.9999977, -0.001408361
 181631485, 0.0004712003, 0.01097925, 0.000149748, 0.001046232, 0.000301887, 0.004215091, 0.0004299112, 0.0005209541, -0.9999977, -0.001403994
 181831405, 0.0004209956, 0.0117045, 0.0003309965, 0.001046232, -0.0002367061, 0.004371724, -0.000104531, 0.0005187925, -0.9999977, -0.001401574
 182031325, 5.303787E-05, 0.01182006, -0.000293221, 0.00104407, -7.521889E-05, 0.004497833, -0.0001287625, 0.0005187925, -0.9999977, -0.001398068
 182231245, 0.0003512487, 0.01184463, 2.516331E-05, 0.00104407, 0.0002065009, 0.004353382, 0.0001737591, 0.0005187925, -0.9999977, -0.001392878
 182431165, -0.0002091431, 0.01162284, 0.0001817655, 0.00104407, -0.0005167344, 0.00389108, -4.929835E-05, 0.0005187925, -0.9999977, -0.001389085
 182631085, -0.0002824171, 0.01130389, -0.0001232273, 0.00104407, 0.0002118966, 0.004431715, -3.012167E-05, 0.0005187925, -0.9999977, -0.001384357
 182831005, 8.479994E-06, 0.01200111, 0.0002125867, 0.00104407, -6.787705E-06, 0.004469347, 6.865495E-05, 0.0005187925, -0.9999977, -0.001379974
 183030925, 0.0001222891, 0.01196188, 0.0001082476, 0.00104407, 0.0003505806, 0.004500388, -0.0001169738, 0.0005187925, -0.9999977, -0.001390608
 183230845, 0.0003841804, 0.01181267, -8.560806E-05, 0.00104407, 0.0001110828, 0.004333075, 4.761817E-05, 0.0005187925, -0.9999977, -0.001399706
 183430765, -0.0001336686, 0.01150671, 0.0001009168, 0.00104407, 4.518705E-05, 0.004137168, 6.251695E-05, 0.0005187925, -0.9999977, -0.001409006
 183630685, 5.0171E-05, 0.01163672, 4.385386E-05, 0.00104407, 6.127821E-05, 0.00446509, 0.0001956085, 0.0005187925, -0.9999977, -0.001416712
 183831438, -0.0001914137, 0.01180421, 1.585207E-05, 0.001046232, 0.0001465721, 0.004121989, -0.0003541614, 0.0005209541, -0.9999977, -0.001424051
 184031358, -4.972759E-05, 0.01134808, -0.0006841342, 0.001046232, -0.0002386492, 0.004083837, 2.799821E-05, 0.0005187925, -0.9999976, -0.001429851
 184231278, -0.0003283503, 0.01154561, -0.0002155026, 0.00104407, -7.09023E-06, 0.004608283, -6.478936E-05, 0.0005187925, -0.9999976, -0.001432867
 184431198, 5.982E-05, 0.01205648, -0.0003402886, 0.00104407, -9.540327E-05, 0.0045716, -3.255374E-05, 0.0005187925, -0.9999976, -0.001436383
 184631118, -9.90955E-05, 0.01207338, -6.453804E-06, 0.00104407, 0.000135109, 0.004170783, 7.72203E-05, 0.0005187925, -0.9999976, -0.001441014
 184831038, 5.444946E-05, 0.01131936, -6.297683E-06, 0.00104407, -0.0003155624, 0.003878988, -0.0001423516, 0.0005187925, -0.9999976, -0.001445476
 185030958, -0.0002050752, 0.0113357, 2.270626E-05, 0.00104407, -0.0002886587, 0.004843252, -0.0003917771, 0.0005187925, -0.9999976, -0.001448089
 185230878, -0.0004699572, 0.01244466, -0.0008690075, 0.00104407, -0.0003879423, 0.004569395, 0.0001426734, 0.0005187925, -0.9999976, -0.001450248
 185430798, -0.0004037388, 0.01202299, 0.0002171673, 0.00104407, 0.0003733229, 0.00383639, 0.0001911721, 0.0005187925, -0.9999976, -0.001452409
 185630718, 0.0003864564, 0.01103813, -5.638743E-06, 0.00104407, -0.0001207822, 0.004169773, -0.0003236322, 0.0005187925, -0.9999976, -0.00145246
 185831471, -0.0002363388, 0.0116584, -0.0005127977, 0.001046232, -3.25967E-05, 0.004075421, 0.0001776846, 0.0005209541, -0.9999976, -0.001452524
 186031391, 0.0001586113, 0.0113859, -0.0003248329, 0.001046232, 0.0001822451, 0.003898758, -0.0004775712, 0.0005187925, -0.9999976, -0.001453609
 186231311, 0.0004436257, 0.01108962, -0.0005164155, 0.00104407, 0.00037904, 0.004075945, 0.0001752605, 0.0005187925, -0.9999976, -0.001452556
