TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00
 196163170, -3.29436E-06, 4.365952E-05, -1.550292E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999978, -0.001443121
 196231476, -0.1588744, 3.238796, -0.1951168, 0.5092208, -0.1925781, 3.434391, 0.0005229292, 0.5092143, -0.9999978, -0.00144279
 196431396, -0.1924997, 3.441818, 0.0002716484, 0.5097404, -4.793843E-05, 0.00418245, -0.0001905394, 0.0005187925, -0.9999978, -0.001438866
 196631316, -0.0002379786, 0.01141714, -0.0003681355, 0.00104407, -0.000398779, 0.003961878, 1.118571E-05, 0.0005187925, -0.9999978, -0.001432786
 196831236, -0.0004327291, 0.01084241, -0.0001437268, 0.00104407, 0.0001924113, 0.004110265, -6.947599E-05, 0.0005187925, -0.9999978, -0.001425883
 197031156, -0.000279263, 0.0111873, -2.676723E-05, 0.00104407, -0.0005188343, 0.0039317, -0.0002433995, 0.0005187925, -0.9999978, -0.001420059
 197231076, -0.0002406545, 0.01145556, -0.0004398303, 0.00104407, 0.0001167334, 0.004260299, -0.0001640354, 0.0005187925, -0.9999978, -0.001414016
 197430996, 0.0001392282, 0.01157093, -0.0004696302, 0.00104407, -7.913864E-06, 0.003886456, -0.0004938046, 0.0005187925, -0.9999978, -0.001408897
 197630916, -5.724528E-05, 0.01100552, -0.0008836311, 0.00104407, 5.156456E-05, 0.003995209, -0.0001978071, 0.0005187925, -0.9999978, -0.0014037
 197830836, 0.0004330084, 0.01156934, -0.0004645777, 0.00104407, 0.0001660152, 0.004324503, -0.0003318186, 0.0005187925, -0.9999978, -0.001396811
 198030756, 0.0004152279, 0.0117544, -0.0008584998, 0.00104407, -1.670815E-05, 0.004380706, -0.0003570773, 0.0005187925, -0.9999978, -0.001390295
 198230676, 0.0001036915, 0.0119183, -0.000344022, 0.00104407, 0.0003567502, 0.004039698, -0.0003231746, 0.0005187925, -0.9999978, -0.001383463
 198431429, 0.0002752227, 0.01138117, -0.0004931196, 0.001046232, 0.00010341, 0.00412858, -0.0001309987, 0.0005209541, -0.9999978, -0.001379021
