TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 196160671, -0.005025821, -0.01208573, -0.002628728, 0.02623905, -0.02670851, 5.800752E-05, 0, 0, 0, 0, 0, 0
 196236474, 0.007115087, -0.0140973, -8.84486E-06, 0.02576943, -0.02738404, 0.4000061, -0.005025821, -0.01208573, -0.002628728, 0.02623905, -0.02670851, 5.800752E-05
 196336434, -0.0007870499, 0.01771595, 2.625894E-05, 0.02558763, -0.0266886, 0.4000069, 0.007115087, -0.0140973, -8.84486E-06, 0.02576943, -0.02738404, 0.4000061
 196436394, -0.01689952, 0.008477899, -1.819349E-05, 0.02525689, -0.02687006, 0.4000061, -0.0007870499, 0.01771595, 2.625894E-05, 0.02558763, -0.0266886, 0.4000069
 196536354, 0.01382098, -0.009368199, 1.116175E-05, 0.025927, -0.02726931, 0.4000069, -0.01689952, 0.008477899, -1.819349E-05, 0.02525689, -0.02687006, 0.4000061
 196636314, 0.00811283, -0.003978211, 8.999614E-06, 0.025784, -0.0271428, 0.400007, 0.01382098, -0.009368199, 1.116175E-05, 0.025927, -0.02726931, 0.4000069
 196736274, 0.02261154, -0.008065452, 2.984637E-05, 0.02615129, -0.02723959, 0.4000075, 0.00811283, -0.003978211, 8.999614E-06, 0.025784, -0.0271428, 0.400007
 196836234, 0.01257039, 0.01819866, 5.232766E-05, 0.02589135, -0.02668341, 0.4000079, 0.02261154, -0.008065452, 2.984637E-05, 0.02615129, -0.02723959, 0.4000075
 196936194, -0.01047011, -0.01144526, -3.77999E-05, 0.02537415, -0.02732418, 0.4000058, 0.01257039, 0.01819866, 5.232766E-05, 0.02589135, -0.02668341, 0.4000079
 197036154, -0.007461011, -0.02464069, -5.312983E-05, 0.02543536, -0.02766832, 0.4000052, -0.01047011, -0.01144526, -3.77999E-05, 0.02537415, -0.02732418, 0.4000058
 197136114, -0.02214549, 0.01611476, -1.617454E-05, 0.02515231, -0.02672722, 0.4000062, -0.007461011, -0.02464069, -5.312983E-05, 0.02543536, -0.02766832, 0.4000052
 197236074, 0.02486858, 0.01684708, 7.374157E-05, 0.02620992, -0.02671466, 0.4000082, -0.02214549, 0.01611476, -1.617454E-05, 0.02515231, -0.02672722, 0.4000062
 197336034, 0.004536417, -0.01086836, -8.814619E-06, 0.02569961, -0.02731612, 0.4000059, 0.02486858, 0.01684708, 7.374157E-05, 0.02620992, -0.02671466, 0.4000082
 197435994, -0.02313381, -0.02068, -7.658605E-05, 0.02513827, -0.02756879, 0.4000042, 0.004536417, -0.01086836, -8.814619E-06, 0.02569961, -0.02731612, 0.4000059
 197535954, -0.006783534, -0.009343766, -2.774318E-05, 0.02545202, -0.02728269, 0.4000052, -0.02313381, -0.02068, -7.658605E-05, 0.02513827, -0.02756879, 0.4000042
 197635914, -0.01337414, -0.004307828, -3.205828E-05, 0.02531865, -0.02716449, 0.4000051, -0.006783534, -0.009343766, -2.774318E-05, 0.02545202, -0.02728269, 0.4000052
 197735874, -0.01414913, -0.006630366, -3.731195E-05, 0.02530256, -0.02722009, 0.400005, -0.01337414, -0.004307828, -3.205828E-05, 0.02531865, -0.02716449, 0.4000051
 197835834, -0.01873022, -0.008295683, -4.869612E-05, 0.02521496, -0.02726095, 0.4000047, -0.01414913, -0.006630366, -3.731195E-05, 0.02530256, -0.02722009, 0.400005
 197935794, -0.01404767, 0.007768594, -1.400697E-05, 0.02530189, -0.02690201, 0.4000056, -0.01873022, -0.008295683, -4.869612E-05, 0.02521496, -0.02726095, 0.4000047
 198035754, -0.002640906, -0.02518791, -4.561055E-05, 0.02553461, -0.02769298, 0.4000049, -0.01404767, 0.007768594, -1.400697E-05, 0.02530189, -0.02690201, 0.4000056
 198135714, 0.006963531, -0.01598729, -1.271914E-05, 0.0257542, -0.02745201, 0.4000055, -0.002640906, -0.02518791, -4.561055E-05, 0.02553461, -0.02769298, 0.4000049
