TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 139874028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139993980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140093940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140193900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140293860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140393820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140493780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140593740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140693700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140793660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140893620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140993580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141093540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141193500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141294293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141394253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141494213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141594173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141694133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141794093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141894053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141994013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142113965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142213925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142313885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142413845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142513805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142613765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142713725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142813685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142913645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143013605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143113565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143213525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143313485, -0.08217894, 0.009363355, -0.02199812, 0.1059014, -0.001982475, 0.9944068, 0, 0, 0, 0, 0, 0
 143414278, -0.3949837, 0.04591715, 0.01585095, 0.1636669, -0.008770678, 0.9883921, -0.08217894, 0.009363355, -0.02199812, 0.1059014, -0.001982475, 0.9944068
 143514238, 0.2496076, -0.02754844, -0.08231125, 0.2605453, -0.02353068, 0.9776366, -0.3949837, 0.04591715, 0.01585095, 0.1636669, -0.008770678, 0.9883921
 143614198, 0.1088386, -0.01317254, -0.07238545, 0.1483799, -0.01198814, 0.9896712, 0.2496076, -0.02754844, -0.08231125, 0.2605453, -0.02353068, 0.9776366
 143714158, 0.05890738, -0.004490265, -0.03688007, 0.1301361, -0.008769711, 0.9916275, 0.1088386, -0.01317254, -0.07238545, 0.1483799, -0.01198814, 0.9896712
 143814118, 0.03063273, -0.006162205, -0.06914021, 0.1285613, -0.009347532, 0.9917271, 0.05890738, -0.004490265, -0.03688007, 0.1301361, -0.008769711, 0.9916275
 143914078, 0.01863284, -0.002553774, -0.06278094, 0.1307326, -0.01053766, 0.9914065, 0.03063273, -0.006162205, -0.06914021, 0.1285613, -0.009347532, 0.9917271
 144014038, 0.003983837, -0.002820623, -0.06103168, 0.1314126, -0.01342065, 0.9912646, 0.01863284, -0.002553774, -0.06278094, 0.1307326, -0.01053766, 0.9914065
 144113998, -0.01029989, 0.004690648, -0.05908566, 0.1322158, -0.01589318, 0.9911168, 0.003983837, -0.002820623, -0.06103168, 0.1314126, -0.01342065, 0.9912646
 144233950, -0.02848023, 0.0002693998, -0.05170404, 0.1352417, -0.01662572, 0.990689, -0.01029989, 0.004690648, -0.05908566, 0.1322158, -0.01589318, 0.9911168
 144333910, -0.05112942, 0.002491606, -0.08383019, 0.1377346, -0.01452889, 0.9903779, -0.02848023, 0.0002693998, -0.05170404, 0.1352417, -0.01662572, 0.990689
 144433870, -0.07707135, 0.005425446, -0.04983218, 0.1388116, -0.01181411, 0.990264, -0.05112942, 0.002491606, -0.08383019, 0.1377346, -0.01452889, 0.9903779
 144533830, -0.09805404, 0.01114022, -0.077067, 0.1401741, -0.00753362, 0.9901183, -0.07707135, 0.005425446, -0.04983218, 0.1388116, -0.01181411, 0.990264
 144633790, -0.1286115, 0.01169475, -0.04746599, 0.1416897, -0.006262983, 0.9899129, -0.09805404, 0.01114022, -0.077067, 0.1401741, -0.00753362, 0.9901183
 144733750, -0.1548566, 0.02089973, -0.03346111, 0.1436018, -0.007202393, 0.9896405, -0.1286115, 0.01169475, -0.04746599, 0.1416897, -0.006262983, 0.9899129
 144833710, -0.1948018, 0.01941784, -0.03305636, 0.1448517, -0.01159571, 0.9894273, -0.1548566, 0.02089973, -0.03346111, 0.1436018, -0.007202393, 0.9896405
 144933670, -0.268306, 0.03135619, -0.02220715, 0.1527489, -0.01394682, 0.9882772, -0.1948018, 0.01941784, -0.03305636, 0.1448517, -0.01159571, 0.9894273
 145033630, -0.3175255, 0.04183148, -0.01434904, 0.1609862, -0.01462823, 0.9870618, -0.268306, 0.03135619, -0.02220715, 0.1527489, -0.01394682, 0.9882772
 145133590, -0.5198689, 0.05845579, 0.02070361, 0.1990304, -0.01581251, 0.9814884, -0.3175255, 0.04183148, -0.01434904, 0.1609862, -0.01462823, 0.9870618
 145233550, -0.6827152, 0.07294787, 0.04077955, 0.2406304, -0.01978699, 0.9752086, -0.5198689, 0.05845579, 0.02070361, 0.1990304, -0.01581251, 0.9814884
 145333510, -0.8927936, 0.1002843, 0.0714104, 0.3039556, -0.02731708, 0.9659154, -0.6827152, 0.07294787, 0.04077955, 0.2406304, -0.01978699, 0.9752086
 145434303, -1.209441, 0.1270225, 0.08691515, 0.4197886, -0.0416859, 0.9489597, -0.8927936, 0.1002843, 0.0714104, 0.3039556, -0.02731708, 0.9659154
 145534263, -1.981452, 0.2226037, 0.2387763, 0.8087879, -0.08462733, 0.8908143, -1.209441, 0.1270225, 0.08691515, 0.4197886, -0.0416859, 0.9489597
 145634223, 14.44197, -1.62451, -2.208292, 19.4677, -2.190045, -1.884152, -1.981452, 0.2226037, 0.2387763, 0.8087879, -0.08462733, 0.8908143
 145734183, 3.241077, -0.3676996, -0.5448731, 30.15774, -3.374429, -3.493758, 14.44197, -1.62451, -2.208292, 19.4677, -2.190045, -1.884152
 145834143, 1.362125, -0.1581305, -0.2664198, 1.067435, -0.109298, 0.8501923, 3.241077, -0.3676996, -0.5448731, 30.15774, -3.374429, -3.493758
