TimeUS,CAN,CAE,CAD,CAe
 157954293, -0.002784305, 0.003560928, -6.138888E-05, 0.0002615578
 158054253, -0.002773202, 0.003639744, -8.363238E-05, 0.0002593962
 158154213, -0.002859303, 0.003447223, 2.300295E-05, 0.0002593962
 158254173, 0.01085031, 0.002077094, -8.544364E-05, 0.0002593962
 158354133, 0.07345062, -0.005032276, -0.0002760545, 0.0002593962
 158454093, 0.1651934, -0.01482605, 0.0003621178, 0.0002593962
 158554053, 0.2697065, -0.02693707, 0.003692141, 0.0002593962
 158654013, 0.3767219, -0.0362882, 0.00689551, 0.0002593962
 158773965, 0.6037325, -0.0618799, 0.01201912, 0.0003112754
 158873925, 0.6076903, -0.06362214, 0.01218908, 0.0002593962
 158973885, 0.7065179, -0.073845, 0.01446419, 0.0002593962
 159073845, 0.8033615, -0.08343747, 0.01642336, 0.0002593962
 159173805, 0.8858832, -0.09046391, 0.01870469, 0.0002593962
 159273765, 0.9498708, -0.1017457, 0.02068486, 0.0002593962
 159373725, 0.954957, -0.1016992, 0.02254881, 0.0002593962
 159473685, 0.9375852, -0.0942565, 0.02270039, 0.0002593962
 159573645, 0.8931493, -0.09323946, 0.02243596, 0.0002593962
 159673605, 0.8464757, -0.09220558, 0.02153366, 0.0002593962
 159773565, 0.7981486, -0.09255301, 0.02010889, 0.0002593962
 159873525, 0.7431152, -0.07310513, -0.01586027, 0.0002593962
 159973485, 0.7016082, -0.07151243, -0.0438813, 0.0002593962
 160074278, 0.662657, -0.07370439, -0.00954832, 0.0002615578
 160174238, 0.6029228, -0.0660751, 0.02575385, 0.0002593962
 160274198, 0.9195076, -0.09460559, -0.2050567, 0.0002593962
 160374158, 0.8866292, -0.08345288, -0.5250084, 0.0002593962
 160474118, 0.8185456, -0.07316372, -0.5396694, 0.0002593962
 160574078, 0.7524576, -0.07917529, -0.4445395, 0.0002593962
 160674038, 0.7023308, -0.08254558, -0.2953836, 0.0002593962
 160773998, 0.6679142, -0.08559578, -0.1753721, 0.0002593962
 160893950, 0.7627104, -0.09620836, -0.2249548, 0.0003112754
 160993910, 0.5780544, -0.06611598, -0.2139518, 0.0002593962
 161093870, 0.5300902, -0.04420142, -0.2475805, 0.0002593962
 161193830, 0.4937229, -0.03719462, -0.229246, 0.0002593962
