TimeUS,CAN,CAE,CAD,CAe
 138873595, -0.002788843, 0.0035887, 0.0001345287, 0.0002593962
 138973555, -0.002753678, 0.003506478, 9.20309E-05, 0.0002593962
 139073515, -0.002696262, 0.003632668, -0.0001928893, 0.0002593962
 139173475, -0.002609504, 0.003437287, -0.0002145862, 0.0002593962
 139274268, 0.01984607, 0.00102801, -8.018027E-05, 0.0002615578
 139374228, 0.09006339, -0.006778195, -0.0001614592, 0.0002593962
 139474188, 0.1851575, -0.01758367, 0.001017678, 0.0002593962
 139574148, 0.2900129, -0.02866262, 0.004116214, 0.0002593962
 139674108, 0.3986236, -0.03961843, 0.007545694, 0.0002593962
 139774068, 0.5063756, -0.0514732, 0.01012045, 0.0002593962
 139874028, 0.6091316, -0.06506411, 0.01209683, 0.0002593962
 139993980, 0.8790182, -0.0929294, 0.01788187, 0.0003112754
 140093940, 0.8216109, -0.08570416, 0.01692722, 0.0002593962
 140193900, 0.9062006, -0.09744157, 0.01909416, 0.0002593962
 140293860, 0.9585723, -0.1040198, 0.02095538, 0.0002593962
 140393820, 0.9487027, -0.09412462, 0.02258055, 0.0002593962
 140493780, 0.9254584, -0.09742738, 0.02254577, 0.0002593962
 140593740, 0.885249, -0.0954208, 0.02222537, 0.0002593962
 140693700, 0.8371323, -0.09007762, 0.02089401, 0.0002593962
 140793660, 0.7911626, -0.08304451, 0.01835185, 0.0002593962
 140893620, 0.7378915, -0.07424951, -0.02960446, 0.0002593962
 140993580, 0.687578, -0.0720472, -0.03919404, 0.0002593962
 141093540, 0.6423445, -0.07177822, 0.002568028, 0.0002593962
 141193500, 0.598446, -0.05819429, 0.0266001, 0.0002593962
 141294293, 0.894233, -0.09851069, -0.1887079, 0.0002615578
 141394253, 0.8800804, -0.08916739, -0.5546622, 0.0002593962
 141494213, 0.816563, -0.09041641, -0.5721173, 0.0002593962
 141594173, 0.7511533, -0.08571245, -0.4409784, 0.0002593962
 141694133, 0.6980449, -0.06610985, -0.3019902, 0.0002593962
 141794093, 0.6595055, -0.06361006, -0.2108177, 0.0002593962
 141894053, 0.6284092, -0.06941828, -0.1623001, 0.0002593962
 141994013, 0.5812528, -0.07344361, -0.1862639, 0.0002593962
 142113965, 0.6517919, -0.07872203, -0.2699945, 0.0003112754
 142213925, 0.4899075, -0.05260272, -0.1959524, 0.0002593962
 142313885, 0.4506627, -0.04958473, -0.233741, 0.0002593962
 142413845, 0.4153345, -0.04180144, -0.2034944, 0.0002593962
 142513805, 0.3893602, -0.04520012, -0.1689211, 0.0002593962
 142613765, 0.3614407, -0.03923459, -0.1407309, 0.0002593962
 142713725, 0.337916, -0.03244179, -0.1272925, 0.0002593962
 142813685, 0.3163093, -0.02159288, -0.124237, 0.0002593962
 142913645, 0.2822218, -0.02310534, -0.1576601, 0.0002593962
 143013605, 0.2611805, -0.02679797, -0.1289954, 0.0002593962
 143113565, 0.2409856, -0.03154925, -0.1257086, 0.0002593962
 143213525, 0.2168493, -0.02986725, -0.1433972, 0.0002593962
 143313485, 0.2005362, -0.0241736, -0.1142126, 0.0002593962
 143414278, 0.1873133, -0.0204404, -0.100656, 0.0002615578
 143514238, 0.1691593, -0.02587001, -0.08320832, 0.0002593962
 143614198, 0.1622109, -0.02400811, -0.07246041, 0.0002593962
 143714158, 0.1460073, -0.01524276, -0.05385718, 0.0002593962
 143814118, 0.1297199, -0.02116678, -0.08634295, 0.0002593962
 143914078, 0.1060605, -0.02373513, -0.1021388, 0.0002593962
 144014038, 0.0980472, -0.0174175, -0.09263974, 0.0002593962
 144113998, 0.1050633, 0.0003570942, -0.05087691, 0.0002593962
 144233950, 0.0982394, 0.007471915, -0.09597743, 0.0003112754
 144333910, 0.07560349, 0.01042536, -0.06480535, 0.0002593962
 144433870, 0.0730387, 0.007023053, -0.05411223, 0.0002593962
 144533830, 0.06384586, -0.01919084, -0.0127717, 0.0002593962
 144633790, 0.0539319, -0.01906346, -0.004801516, 0.0002593962
 144733750, 0.04886042, -0.0110944, -0.01002161, 0.0002593962
 144833710, 0.05297119, 0.001342056, 0.0224053, 0.0002593962
 144933670, 0.05007801, 0.002290712, 0.00579335, 0.0002593962
 145033630, 0.03899739, 0.0008947812, -0.01923409, 0.0002593962
 145133590, 0.02472162, -0.006922086, -0.04323997, 0.0002593962
