TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 141033564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141233484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141434237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141634157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141834077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142033997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142233917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142433837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142633757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142833677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143033597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143233517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143434270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143634190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143834110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144034030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144233950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144433870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 144633790, -0.1135621, 0.0112512, -0.01847555, 0.1086392, -0.007438092, 0.9940814, 0, 0, 0, 0, 0, 0
 144833710, 0.1846575, -0.02213508, -0.05037792, 0.1979839, -0.01353036, 0.9843101, -0.1135621, 0.0112512, -0.01847555, 0.1086392, -0.007438092, 0.9940814
 145033630, 0.0568801, -0.007309009, -0.06186386, 0.130407, -0.01131006, 0.9915689, 0.1846575, -0.02213508, -0.05037792, 0.1979839, -0.01353036, 0.9843101
 145233550, 0.01860333, 0.0009721171, -0.06266437, 0.1283314, -0.01299513, 0.9916932, 0.0568801, -0.007309009, -0.06186386, 0.130407, -0.01131006, 0.9915689
 145434303, -0.01380181, -6.914028E-05, -0.04864794, 0.1313237, -0.009679748, 0.9913114, 0.01860333, 0.0009721171, -0.06266437, 0.1283314, -0.01299513, 0.9916932
 145634223, -0.04420443, 0.0007937505, -0.05478042, 0.131045, -0.01181293, 0.9913216, -0.01380181, -6.914028E-05, -0.04864794, 0.1313237, -0.009679748, 0.9913114
 145834143, -0.09167497, 0.01386239, -0.04804907, 0.134955, -0.009716243, 0.9908261, -0.04420443, 0.0007937505, -0.05478042, 0.131045, -0.01181293, 0.9913216
 146034063, -0.1654242, 0.01571538, -0.03737958, 0.1424285, -0.006910144, 0.9898107, -0.09167497, 0.01386239, -0.04804907, 0.134955, -0.009716243, 0.9908261
 146233983, -0.2441743, 0.02840519, -0.02975027, 0.1551294, -0.008450524, 0.9879421, -0.1654242, 0.01571538, -0.03737958, 0.1424285, -0.006910144, 0.9898107
 146433903, -0.3159857, 0.03329691, -0.04481475, 0.1612412, -0.01113195, 0.9870439, -0.2441743, 0.02840519, -0.02975027, 0.1551294, -0.008450524, 0.9879421
 146633823, -0.5619956, 0.07129557, -0.008179478, 0.2073955, -0.01731335, 0.9802444, -0.3159857, 0.03329691, -0.04481475, 0.1612412, -0.01113195, 0.9870439
 146833743, -2.334554, 0.2667821, 0.2866302, 1.047884, -0.1106197, 0.8551238, -0.5619956, 0.07129557, -0.008179478, 0.2073955, -0.01731335, 0.9802444
 147033663, 2.857173, -0.3168314, -0.4889291, 14.93445, -1.672994, -1.227838, -2.334554, 0.2667821, 0.2866302, 1.047884, -0.1106197, 0.8551238
 147233583, 1.926548, -0.215874, -0.3529569, 2.490228, -0.2737899, 0.633602, 2.857173, -0.3168314, -0.4889291, 14.93445, -1.672994, -1.227838
 147433503, 0.862016, -0.1000461, -0.1895433, 0.4616693, -0.03460762, 0.94216, 1.926548, -0.215874, -0.3529569, 2.490228, -0.2737899, 0.633602
 147634256, 0.91193, -0.105239, -0.1965602, 0.4740142, -0.03416265, 0.9404731, 0.862016, -0.1000461, -0.1895433, 0.4616693, -0.03460762, 0.94216
 147834176, 0.6092858, -0.06659617, -0.1886324, 0.2967118, -0.01511889, 0.9664704, 0.91193, -0.105239, -0.1965602, 0.4740142, -0.03416265, 0.9404731
 148034096, 0.5068758, -0.05047363, -0.1708037, 0.2486975, -0.01236431, 0.9742017, 0.6092858, -0.06659617, -0.1886324, 0.2967118, -0.01511889, 0.9664704
 148234016, 0.526209, -0.05823871, -0.1332241, 0.2395163, -0.0130149, 0.9765063, 0.5068758, -0.05047363, -0.1708037, 0.2486975, -0.01236431, 0.9742017
 148433936, 0.5242086, -0.0738408, -0.1283404, 0.2269064, -0.01143428, 0.9791019, 0.526209, -0.05823871, -0.1332241, 0.2395163, -0.0130149, 0.9765063
 148633856, 0.4257851, -0.05166486, -0.1129474, 0.1928215, -0.005792045, 0.9839126, 0.5242086, -0.0738408, -0.1283404, 0.2269064, -0.01143428, 0.9791019
 148833776, 0.425218, -0.06112463, -0.1040048, 0.1819701, -0.006268945, 0.985844, 0.4257851, -0.05166486, -0.1129474, 0.1928215, -0.005792045, 0.9839126
 149033696, 0.4255874, -0.04238453, -0.100996, 0.1738483, -0.005349756, 0.9871992, 0.425218, -0.06112463, -0.1040048, 0.1819701, -0.006268945, 0.985844
 149233616, 0.4067813, -0.05809965, -0.06513917, 0.1592648, -0.005308641, 0.9893135, 0.4255874, -0.04238453, -0.100996, 0.1738483, -0.005349756, 0.9871992
 149433536, 0.4175342, -0.05962469, -0.06857049, 0.1542493, -0.004637492, 0.9901888, 0.4067813, -0.05809965, -0.06513917, 0.1592648, -0.005308641, 0.9893135
 149634289, 0.4250342, -0.04892566, -0.06590708, 0.1474575, -0.001691955, 0.9912588, 0.4175342, -0.05962469, -0.06857049, 0.1542493, -0.004637492, 0.9901888
 149834209, 0.3507101, -0.0428948, -0.05661505, 0.1218278, -0.03168108, 0.9934822, 0.4250342, -0.04892566, -0.06590708, 0.1474575, -0.001691955, 0.9912588
 150034129, 0.3633087, -0.0301536, -0.0815371, 0.09348401, -0.1696313, 0.9825961, 0.3507101, -0.0428948, -0.05661505, 0.1218278, -0.03168108, 0.9934822
 150234049, 0.3697694, -0.04277281, -0.05110458, 0.08115822, -0.213726, 0.9750903, 0.3633087, -0.0301536, -0.0815371, 0.09348401, -0.1696313, 0.9825961
 150433969, 0.385625, -0.03131831, -0.01910404, 0.09219989, -0.1393095, 0.9876112, 0.3697694, -0.04277281, -0.05110458, 0.08115822, -0.213726, 0.9750903
 150633889, 0.3485884, -0.02036597, -0.04426467, 0.08441937, -0.08579016, 0.9941106, 0.385625, -0.03131831, -0.01910404, 0.09219989, -0.1393095, 0.9876112
 150833809, 0.3270526, -0.02575373, -0.04012026, 0.06810704, -0.09911889, 0.9939833, 0.3485884, -0.02036597, -0.04426467, 0.08441937, -0.08579016, 0.9941106
 151033729, 0.3170979, -0.02573317, -0.03746196, 0.05777032, -0.1126575, 0.9931396, 0.3270526, -0.02575373, -0.04012026, 0.06810704, -0.09911889, 0.9939833
 151233649, 0.3646246, -0.01796998, -0.002396136, 0.05236979, -0.09865668, 0.9952154, 0.3170979, -0.02573317, -0.03746196, 0.05777032, -0.1126575, 0.9931396
 151433569, 0.3617621, -0.01588796, -0.02958778, 0.04535802, -0.07653172, 0.9974828, 0.3646246, -0.01796998, -0.002396136, 0.05236979, -0.09865668, 0.9952154
 151633489, 0.375185, -0.02083389, 0.002351566, 0.04148242, -0.0710094, 0.9981505, 0.3617621, -0.01588796, -0.02958778, 0.04535802, -0.07653172, 0.9974828
 151834242, 0.3498491, -0.01837573, 0.003819493, 0.03356154, -0.07149372, 0.9982468, 0.375185, -0.02083389, 0.002351566, 0.04148242, -0.0710094, 0.9981505
 152034162, 0.3517163, -0.01364054, 0.006135939, 0.02848054, -0.06995362, 0.9985265, 0.3498491, -0.01837573, 0.003819493, 0.03356154, -0.07149372, 0.9982468
 152234082, 0.3122329, -0.01654316, 0.007484647, 0.01634314, -0.06094347, 0.9991677, 0.3517163, -0.01364054, 0.006135939, 0.02848054, -0.06995362, 0.9985265
 152434002, 0.3110344, -0.003189573, 0.01109889, 0.007868405, -0.05074122, 0.9998389, 0.3122329, -0.01654316, 0.007484647, 0.01634314, -0.06094347, 0.9991677
 152633922, 0.3517181, -0.03180343, 0.01238171, 0.008313082, -0.04574455, 1.000294, 0.3110344, -0.003189573, 0.01109889, 0.007868405, -0.05074122, 0.9998389
 152833842, 0.3570173, -0.01721328, 0.016919, -0.0005820319, -0.04401006, 1.000443, 0.3517181, -0.03180343, 0.01238171, 0.008313082, -0.04574455, 1.000294
 153033762, 0.3283408, -0.01904301, 0.01625627, -0.006944884, -0.04485802, 1.000212, 0.3570173, -0.01721328, 0.016919, -0.0005820319, -0.04401006, 1.000443
 153233682, 0.3549268, -0.0003118534, 0.01966346, -0.006039873, -0.04104331, 1.000543, 0.3283408, -0.01904301, 0.01625627, -0.006944884, -0.04485802, 1.000212
 153433602, 0.3069611, 0.0002152864, 0.01896824, -0.01815562, -0.03483128, 1.000367, 0.3549268, -0.0003118534, 0.01966346, -0.006039873, -0.04104331, 1.000543
 153633522, 0.3215734, -0.03366306, 0.01989477, -0.02155497, -0.02953545, 1.000532, 0.3069611, 0.0002152864, 0.01896824, -0.01815562, -0.03483128, 1.000367
 153834275, 0.3012837, -0.003268624, 0.02169912, -0.02961148, -0.0259734, 1.000334, 0.3215734, -0.03366306, 0.01989477, -0.02155497, -0.02953545, 1.000532
 154034195, 0.3246264, -0.01413177, 0.02329771, -0.02812123, -0.02585665, 1.000493, 0.3012837, -0.003268624, 0.02169912, -0.02961148, -0.0259734, 1.000334
 154234115, 0.3095723, -0.03086632, 0.02242217, -0.03298445, -0.02528228, 1.000275, 0.3246264, -0.01413177, 0.02329771, -0.02812123, -0.02585665, 1.000493
 154434035, 0.3636681, -0.0007523177, 0.02897072, -0.02930204, -0.02127846, 1.000806, 0.3095723, -0.03086632, 0.02242217, -0.03298445, -0.02528228, 1.000275
 154633955, 0.3575859, -0.005354242, 0.0293546, -0.03298673, -0.01472609, 1.000767, 0.3636681, -0.0007523177, 0.02897072, -0.02930204, -0.02127846, 1.000806
 154833875, 0.3065006, -0.02679685, 0.02493579, -0.04091294, -0.01438725, 1.000184, 0.3575859, -0.005354242, 0.0293546, -0.03298673, -0.01472609, 1.000767
 155033795, 0.3562715, -0.02873058, 0.03051258, -0.03875108, -0.01312552, 1.000566, 0.3065006, -0.02679685, 0.02493579, -0.04091294, -0.01438725, 1.000184
 155233715, 0.3057953, -0.02082312, 0.02778373, -0.0493386, -0.008143758, 0.9998671, 0.3562715, -0.02873058, 0.03051258, -0.03875108, -0.01312552, 1.000566
 155433635, 0.3183996, -0.01205261, 0.02951402, -0.04868904, -0.002703138, 0.9999953, 0.3057953, -0.02082312, 0.02778373, -0.0493386, -0.008143758, 0.9998671
 155633555, 0.3303618, -0.02143035, 0.06092449, -0.04785504, -0.002922682, 1.000113, 0.3183996, -0.01205261, 0.02951402, -0.04868904, -0.002703138, 0.9999953
 155833475, 0.3497428, -0.01619948, 0.05766571, -0.04491261, -0.003774466, 1.000365, 0.3303618, -0.02143035, 0.06092449, -0.04785504, -0.002922682, 1.000113
 156034228, 0.3457068, -0.01604011, 0.03201943, -0.04539223, -0.005868068, 1.000292, 0.3497428, -0.01619948, 0.05766571, -0.04491261, -0.003774466, 1.000365
 156234148, 0.328382, -0.01165963, 0.05117515, -0.04911123, -0.00605824, 1.000022, 0.3457068, -0.01604011, 0.03201943, -0.04539223, -0.005868068, 1.000292
 156434068, 0.3158655, -0.009828403, 0.03066406, -0.05319025, -0.005216096, 0.9997357, 0.328382, -0.01165963, 0.05117515, -0.04911123, -0.00605824, 1.000022
 156633988, 0.356117, -0.01359765, 0.03439708, -0.04752035, -0.00447063, 1.000272, 0.3158655, -0.009828403, 0.03066406, -0.05319025, -0.005216096, 0.9997357
