TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 139834044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140033964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140233884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140433804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140633724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140833644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141033564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141233484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141434237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141634157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141834077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142033997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142233917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142433837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142633757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142833677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143033597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143233517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143434270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143634190, -0.3949837, 0.04591715, 0.01585095, 0.1650556, -0.008883585, 0.9882483, 0, 0, 0, 0, 0, 0
 143834110, 0.1088386, -0.01317254, -0.07238545, 0.1486846, -0.0119744, 0.9896381, -0.3949837, 0.04591715, 0.01585095, 0.1650556, -0.008883585, 0.9882483
 144034030, 0.03063273, -0.006162205, -0.06914021, 0.1286434, -0.009302201, 0.9917179, 0.1088386, -0.01317254, -0.07238545, 0.1486846, -0.0119744, 0.9896381
 144233950, 0.003983837, -0.002820623, -0.06103168, 0.1314828, -0.01336645, 0.9912567, 0.03063273, -0.006162205, -0.06914021, 0.1286434, -0.009302201, 0.9917179
 144433870, -0.02848023, 0.0002693998, -0.05170404, 0.135321, -0.01656368, 0.9906797, 0.003983837, -0.002820623, -0.06103168, 0.1314828, -0.01336645, 0.9912567
