TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 158034261, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 158234181, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 158434101, 0.009000001, 0, 0, 2.5, 0, 0, 0, 2.5
 158634021, 0.249, -0.026, 0, 2.5, 0.009000001, 0, 0, 2.5
 158833941, 0.934, -0.097, 0.012, 2.5, 0.249, -0.026, 0, 2.5
 159033861, 2.092, -0.218, 0.037, 2.5, 0.934, -0.097, 0.012, 2.5
 159233781, 3.697, -0.388, 0.074, 2.5, 2.092, -0.218, 0.037, 2.5
 159433701, 5.696, -0.596, 0.123, 2.5, 3.697, -0.388, 0.074, 2.5
 159633621, 7.819, -0.8200001, 0.181, 2.5, 5.696, -0.596, 0.123, 2.5
 159833541, 9.808001, -1.026, 0.239, 2.5, 7.819, -0.8200001, 0.181, 2.5
 160034294, 11.576, -1.217, 0.275, 2.5, 9.808001, -1.026, 0.239, 2.5
 160234214, 13.138, -1.38, 0.205, 2.5, 11.576, -1.217, 0.275, 2.5
 160434134, 14.699, -1.551, 0.161, 2.5, 13.138, -1.38, 0.205, 2.5
 160634054, 16.66, -1.739, -0.9630001, 2.5, 14.699, -1.551, 0.161, 2.5
 160833974, 18.329, -1.92, -1.909, 2.5, 16.66, -1.739, -0.9630001, 2.5
 161033894, 19.801, -2.107, -2.322, 2.5, 18.329, -1.92, -1.909, 2.5
 161233814, 21.095, -2.258, -2.793, 2.5, 19.801, -2.107, -2.322, 2.5
 161433734, 22.202, -2.356, -3.304, 2.5, 21.095, -2.258, -2.793, 2.5
 161633654, 23.167, -2.478, -3.685, 2.5, 22.202, -2.356, -3.304, 2.5
 161833574, 23.991, -2.564, -4.038, 2.5, 23.167, -2.478, -3.685, 2.5
 162033494, 24.678, -2.647, -4.402, 2.5, 23.991, -2.564, -4.038, 2.5
 162234247, 25.286, -2.743, -4.619, 2.5, 24.678, -2.647, -4.402, 2.5
 162434167, 25.796, -2.805, -4.857, 2.5, 25.286, -2.743, -4.619, 2.5
 162634087, 26.22, -2.838, -5.097, 2.5, 25.796, -2.805, -4.857, 2.5
 162834007, 26.571, -2.895, -5.337, 2.5, 26.22, -2.838, -5.097, 2.5
 163033927, 26.875, -2.968, -5.442, 2.5, 26.571, -2.895, -5.337, 2.5
 163233847, 27.138, -3, -5.525, 2.5, 26.875, -2.968, -5.442, 2.5
 163433767, 27.353, -3.048, -5.638, 2.5, 27.138, -3, -5.525, 2.5
 163633687, 27.533, -3.079, -5.705, 2.5, 27.353, -3.048, -5.638, 2.5
 163833607, 27.658, -3.106, -5.827, 2.5, 27.533, -3.079, -5.705, 2.5
 164033527, 27.772, -3.131, -5.846, 2.5, 27.658, -3.106, -5.827, 2.5
 164234280, 27.859, -3.132, -5.939, 2.5, 27.772, -3.131, -5.846, 2.5
 164434200, 27.944, -3.146, -5.938, 2.5, 27.859, -3.132, -5.939, 2.5
 164634120, 28.013, -3.172, -5.951, 2.5, 27.944, -3.146, -5.938, 2.5
 164834040, 28.073, -3.189, -5.945, 2.5, 28.013, -3.172, -5.951, 2.5
 165033960, 28.161, -3.205, -5.817, 2.5, 28.073, -3.189, -5.945, 2.5
 165233880, 28.255, -3.222, -5.625, 2.5, 28.161, -3.205, -5.817, 2.5
 165433800, 28.358, -3.261, -5.403, 2.5, 28.255, -3.222, -5.625, 2.5
 165633720, 28.475, -3.255, -5.154, 2.5, 28.358, -3.261, -5.403, 2.5
 165833640, 28.528, -3.29, -4.984, 2.5, 28.475, -3.255, -5.154, 2.5
 166033560, 28.524, -3.301, -4.791, 2.5, 28.528, -3.29, -4.984, 2.5
 166233480, 28.553, -3.306, -4.577, 2.5, 28.524, -3.301, -4.791, 2.5
 166434233, 28.609, -3.318, -4.392, 2.5, 28.553, -3.306, -4.577, 2.5
 166634153, 28.658, -3.339, -4.206, 2.5, 28.609, -3.318, -4.392, 2.5
 166834073, 28.685, -3.372, -4.035, 2.5, 28.658, -3.339, -4.206, 2.5
 167033993, 28.683, -3.343, -3.818, 2.5, 28.685, -3.372, -4.035, 2.5
 167233913, 28.669, -3.213, -3.497, 2.5, 28.683, -3.343, -3.818, 2.5
 167433833, 28.619, -3.142, -3.262, 2.5, 28.669, -3.213, -3.497, 2.5
 167633753, 28.557, -3.129, -3.037, 2.5, 28.619, -3.142, -3.262, 2.5
 167833673, 28.5, -3.094, -2.779, 2.5, 28.557, -3.129, -3.037, 2.5
 168033593, 28.449, -3.02, -2.516, 2.5, 28.5, -3.094, -2.779, 2.5
 168233513, 28.392, -2.965, -2.307, 2.5, 28.449, -3.02, -2.516, 2.5
 168434266, 28.327, -2.92, -2.118, 2.5, 28.392, -2.965, -2.307, 2.5
 168634186, 28.268, -2.918, -1.848, 2.5, 28.327, -2.92, -2.118, 2.5
 168834106, 28.216, -2.885, -1.604, 2.5, 28.268, -2.918, -1.848, 2.5
 169034026, 28.153, -2.838, -1.458, 2.5, 28.216, -2.885, -1.604, 2.5
 169233946, 28.098, -2.799, -1.24, 2.5, 28.153, -2.838, -1.458, 2.5
 169433866, 28.065, -2.769, -0.9350001, 2.5, 28.098, -2.799, -1.24, 2.5
 169633786, 28.042, -2.763, -0.7040001, 2.5, 28.065, -2.769, -0.9350001, 2.5
 169833706, 28.021, -2.729, -0.595, 2.5, 28.042, -2.763, -0.7040001, 2.5
 170033626, 28.004, -2.698, -0.527, 2.5, 28.021, -2.729, -0.595, 2.5
 170233546, 27.975, -2.7, -0.365, 2.5, 28.004, -2.698, -0.527, 2.5
 170434299, 27.956, -2.675, -0.197, 2.5, 27.975, -2.7, -0.365, 2.5
 170634219, 27.952, -2.657, -0.015, 2.5, 27.956, -2.675, -0.197, 2.5
 170834139, 27.95, -2.661, 0.136, 2.5, 27.952, -2.657, -0.015, 2.5
 171034059, 27.947, -2.669, 0.187, 2.5, 27.95, -2.661, 0.136, 2.5
 171233979, 27.936, -2.641, 0.206, 2.5, 27.947, -2.669, 0.187, 2.5
 171433899, 27.929, -2.623, 0.292, 2.5, 27.936, -2.641, 0.206, 2.5
 171633819, 27.924, -2.607, 0.355, 2.5, 27.929, -2.623, 0.292, 2.5
 171833739, 27.929, -2.587, 0.476, 2.5, 27.924, -2.607, 0.355, 2.5
 172033659, 27.927, -2.536, 0.516, 2.5, 27.929, -2.587, 0.476, 2.5
 172233579, 27.924, -2.523, 0.565, 2.5, 27.927, -2.536, 0.516, 2.5
 172433499, 27.934, -2.533, 0.609, 2.5, 27.924, -2.523, 0.565, 2.5
 172634252, 27.943, -2.523, 0.645, 2.5, 27.934, -2.533, 0.609, 2.5
 172834172, 27.948, -2.529, 0.651, 2.5, 27.943, -2.523, 0.645, 2.5
 173034092, 27.963, -2.508, 0.686, 2.5, 27.948, -2.529, 0.651, 2.5
 173234012, 27.982, -2.469, 0.7820001, 2.5, 27.963, -2.508, 0.686, 2.5
 173433932, 27.994, -2.447, 0.8190001, 2.5, 27.982, -2.469, 0.7820001, 2.5
