TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 139033531, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 139234284, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 139434204, 0.009000001, -0.001, 0, 0.01, 0, 0, 0, 0.01
 139634124, 0.249, -0.026, 0, 0.01, 0.009000001, -0.001, 0, 0.01
 139834044, 0.9350001, -0.098, 0.012, 0.01, 0.249, -0.026, 0, 0.01
 140033964, 2.096, -0.219, 0.037, 0.01, 0.9350001, -0.098, 0.012, 0.01
 140233884, 3.706, -0.388, 0.074, 0.01, 2.096, -0.219, 0.037, 0.01
 140433804, 5.711, -0.603, 0.123, 0.01, 3.706, -0.388, 0.074, 0.01
 140633724, 7.834001, -0.822, 0.182, 0.01, 5.711, -0.603, 0.123, 0.01
 140833644, 9.81, -1.032, 0.239, 0.01, 7.834001, -0.822, 0.182, 0.01
 141033564, 11.581, -1.218, 0.275, 0.01, 9.81, -1.032, 0.239, 0.01
 141233484, 13.126, -1.381, 0.205, 0.01, 11.581, -1.218, 0.275, 0.01
 141434237, 14.588, -1.536, 0.237, 0.01, 13.126, -1.381, 0.205, 0.01
 141634157, 16.568, -1.746, -0.8520001, 0.01, 14.588, -1.536, 0.237, 0.01
 141834077, 18.261, -1.937, -1.832, 0.01, 16.568, -1.746, -0.8520001, 0.01
 142033997, 19.746, -2.089, -2.319, 0.01, 18.261, -1.937, -1.832, 0.01
 142233917, 21.054, -2.253, -2.734, 0.01, 19.746, -2.089, -2.319, 0.01
 142433837, 22.177, -2.385, -3.182, 0.01, 21.054, -2.253, -2.734, 0.01
 142633757, 23.13, -2.493, -3.65, 0.01, 22.177, -2.385, -3.182, 0.01
 142833677, 23.96, -2.594, -3.981, 0.01, 23.13, -2.493, -3.65, 0.01
 143033597, 24.679, -2.66, -4.271, 0.01, 23.96, -2.594, -3.981, 0.01
 143233517, 25.279, -2.721, -4.581, 0.01, 24.679, -2.66, -4.271, 0.01
 143434270, 25.782, -2.799, -4.875, 0.01, 25.279, -2.721, -4.581, 0.01
 143634190, 26.213, -2.86, -5.1, 0.01, 25.782, -2.799, -4.875, 0.01
 143834110, 26.581, -2.92, -5.257, 0.01, 26.213, -2.86, -5.1, 0.01
 144034030, 26.88, -2.973, -5.428, 0.01, 26.581, -2.92, -5.257, 0.01
 144233950, 27.113, -3.026, -5.633, 0.01, 26.88, -2.973, -5.428, 0.01
 144433870, 27.319, -3.028, -5.782, 0.01, 27.113, -3.026, -5.633, 0.01
 144633790, 27.487, -3.019, -5.912, 0.01, 27.319, -3.028, -5.782, 0.01
 144833710, 27.624, -3.066, -5.925, 0.01, 27.487, -3.019, -5.912, 0.01
 145033630, 27.741, -3.081, -5.913, 0.01, 27.624, -3.066, -5.925, 0.01
 145233550, 27.841, -3.09, -5.932, 0.01, 27.741, -3.081, -5.913, 0.01
 145434303, 27.9, -3.107, -6.011, 0.01, 27.841, -3.09, -5.932, 0.01
 145634223, 27.986, -3.108, -5.983, 0.01, 27.9, -3.107, -6.011, 0.01
 145834143, 28.043, -3.121, -5.996, 0.01, 27.986, -3.108, -5.983, 0.01
 146034063, 28.093, -3.146, -6.007, 0.01, 28.043, -3.121, -5.996, 0.01
 146233983, 28.099, -3.171, -6.121, 0.01, 28.093, -3.146, -6.007, 0.01
 146433903, 28.148, -3.192, -6.051, 0.01, 28.099, -3.171, -6.121, 0.01
 146633823, 28.188, -3.201, -6.042, 0.01, 28.148, -3.192, -6.051, 0.01
