TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 170748340, 2.47906E-06, 4.928912E-05, 1.659921E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999976, -0.00144493, 1.8588
 170830807, 0.1621262, 3.360604, 0.05508016, 0.4433061, -0.09623957, 3.253673, -0.1435053, 0.4432996, -0.9999977, -0.001444289, 35.33426
 171030727, -0.09637468, 3.261007, -0.1438147, 0.4438257, 7.587617E-06, 0.00438894, 5.540776E-05, 0.0005187925, -0.9999977, -0.001441022, 148.95
 171231480, 0.0003280114, 0.01173445, -0.0001862278, 0.001046232, 0.0002344274, 0.004455718, -0.0003338718, 0.0005209541, -0.9999977, -0.001435848, 0.3511209
 171431400, 8.173074E-05, 0.01184448, -0.0006179818, 0.001046232, 0.0001336935, 0.004277375, 0.0001288459, 0.0005187925, -0.9999977, -0.001433032, 0.3511209
 171631320, 0.0001239807, 0.01166159, -0.0003169401, 0.00104407, 0.0002624801, 0.004600775, -0.000285292, 0.0005187925, -0.9999977, -0.001428797, 0.3503954
 171831240, 0.0001766278, 0.01211822, -0.0005211068, 0.00104407, 0.0002361543, 0.004337682, 0.0003328958, 0.0005187925, -0.9999977, -0.00142159, 0.3503954
 172031160, 0.0002494678, 0.01203254, 0.0001853107, 0.00104407, 9.691773E-05, 0.004762919, -0.0001242045, 0.0005187925, -0.9999977, -0.001414917, 0.3503954
 172231080, 0.0002504582, 0.0120943, -0.0004115436, 0.00104407, -0.0002152774, 0.003952406, -0.0003437991, 0.0005187925, -0.9999977, -0.00140788, 0.3503954
 172431000, 1.450376E-05, 0.01124463, -0.0004564783, 0.00104407, 0.0002377328, 0.004076621, 4.89754E-06, 0.0005187925, -0.9999977, -0.001400388, 0.3503954
 172630920, 0.0004267334, 0.01145806, 1.709736E-05, 0.00104407, -0.0001520668, 0.004285794, 0.0003412026, 0.0005187925, -0.9999977, -0.0014085, 0.3503954
 172830840, 5.450662E-06, 0.01179092, 0.0005397853, 0.00104407, -3.496365E-05, 0.004369922, -5.019088E-05, 0.0005187925, -0.9999977, -0.001415894, 0.3503954
 173030760, -0.0003279245, 0.01167631, -0.0003346952, 0.00104407, -0.0005330888, 0.004032695, -0.0004054295, 0.0005187925, -0.9999977, -0.001422447, 0.3503954
 173230680, -0.0005315673, 0.01146195, -0.000762801, 0.00104407, -0.0001029671, 0.004296214, -0.0002168634, 0.0005187925, -0.9999977, -0.001428277, 0.3503954
 173431433, -0.0002562105, 0.01193359, -0.0004798376, 0.001046232, 0.0001520562, 0.00452421, -0.0005887197, 0.0005209541, -0.9999977, -0.001433201, 0.3511209
