TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 195765829, 6.532295E-06, 5.272521E-05, 2.919459E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999978, -0.001450994, 2.131145
 195830803, 0.4817143, 4.150097, 0.1858658, 0.508181, -0.09573504, 3.349631, 0.1184953, 0.5081746, -0.9999978, -0.00145057, 25.58224
 196030723, -0.09535176, 3.356991, 0.1184865, 0.5087007, 0.0003780044, 0.004177962, 0.000331087, 0.0005187925, -0.9999978, -0.001446735, 170.7224
 196231476, 4.672358E-05, 0.0113593, 0.0002908119, 0.001046232, -0.0002057258, 0.004123758, -3.5903E-05, 0.0005209541, -0.9999978, -0.00144279, 0.3511209
 196431396, -0.0001288441, 0.01155061, -0.0002837091, 0.001046232, -4.882997E-05, 0.004182647, -0.0001885447, 0.0005187925, -0.9999978, -0.001438866, 0.3511209
 196631316, -0.0002404231, 0.01141768, -0.000362666, 0.00104407, -0.0003996705, 0.003962074, 1.318047E-05, 0.0005187925, -0.9999978, -0.001432786, 0.3503954
 196831236, -0.0004351737, 0.01084295, -0.0001382573, 0.00104407, 0.0001915197, 0.004110462, -6.748121E-05, 0.0005187925, -0.9999978, -0.001425883, 0.3503954
 197031156, -0.0002817074, 0.01118784, -2.129772E-05, 0.00104407, -0.0005197257, 0.003931897, -0.0002414047, 0.0005187925, -0.9999978, -0.001420059, 0.3503954
 197231076, -0.0002430987, 0.0114561, -0.0004343608, 0.00104407, 0.0001158418, 0.004260496, -0.0001620407, 0.0005187925, -0.9999978, -0.001414016, 0.3503954
 197430996, 0.0001367837, 0.01157146, -0.0004641607, 0.00104407, -8.805405E-06, 0.003886653, -0.0004918098, 0.0005187925, -0.9999978, -0.001408897, 0.3503954
 197630916, -5.968982E-05, 0.01100607, -0.0008781615, 0.00104407, 5.067303E-05, 0.003995406, -0.0001958123, 0.0005187925, -0.9999978, -0.0014037, 0.3503954
 197830836, 0.0004305638, 0.01156988, -0.0004591082, 0.00104407, 0.0001651237, 0.0043247, -0.0003298238, 0.0005187925, -0.9999978, -0.001396811, 0.3503954
 198030756, 0.0004127836, 0.01175494, -0.0008530304, 0.00104407, -1.759968E-05, 0.004380904, -0.0003550826, 0.0005187925, -0.9999978, -0.001390295, 0.3503954
 198230676, 0.0001012469, 0.01191884, -0.0003385525, 0.00104407, 0.0003558586, 0.004039895, -0.0003211799, 0.0005187925, -0.9999978, -0.001383463, 0.3503954
 198431429, 0.0002727719, 0.01138172, -0.0004876358, 0.001046232, 0.0001025152, 0.004128778, -0.0001289968, 0.0005209541, -0.9999978, -0.001379021, 0.3511209
 198631349, -2.353899E-05, 0.01145085, -0.0001951208, 0.001046232, -0.0002284857, 0.004208521, -0.000140171, 0.0005187925, -0.9999978, -0.001384838, 0.3511209
 198831269, 2.62027E-05, 0.01142697, -0.0001012397, 0.00104407, 0.0001887185, 0.004126211, -0.0005031409, 0.0005187925, -0.9999978, -0.001389498, 0.3503954
 199031189, 0.0002963036, 0.01192009, -0.000658107, 0.00104407, 0.0002363828, 0.004750042, -0.0002917302, 0.0005187925, -0.9999978, -0.001395063, 0.3503954
 199231109, 0.0001254485, 0.01191446, -0.0004091844, 0.00104407, -0.0001393668, 0.004263535, -2.244529E-05, 0.0005187925, -0.9999978, -0.001398915, 0.3503954
 199431029, -0.00019775, 0.01145136, -2.877515E-05, 0.00104407, 7.079563E-05, 0.004133702, 3.421365E-05, 0.0005187925, -0.9999978, -0.001401676, 0.3503954
 199630949, 2.769183E-05, 0.01125013, 0.0001487268, 0.00104407, 0.0001537928, 0.003790004, 5.464513E-05, 0.0005187925, -0.9999978, -0.001403694, 0.3503954
 199830869, -7.410426E-05, 0.01144123, 2.813051E-05, 0.00104407, -0.0003776776, 0.004603583, -0.0001558634, 0.0005187925, -0.9999978, -0.001405186, 0.3503954
 200030789, -0.0003059805, 0.01184464, -0.0003071295, 0.00104407, 0.0005349536, 0.003849351, -0.0002644827, 0.0005187925, -0.9999978, -0.001405728, 0.3503954
 200230709, 0.000757266, 0.01102311, -4.010851E-05, 0.00104407, 0.0003061712, 0.004245596, 4.712724E-05, 0.0005187925, -0.9999978, -0.001405695, 0.3503954
 200431462, 0.0003218212, 0.01140506, -0.0004571608, 0.001046232, 0.0001487324, 0.003896361, -0.0004012318, 0.0005209541, -0.9999978, -0.001406929, 0.3511209
 200631382, -3.250822E-05, 0.01145053, -0.0006555725, 0.001046232, -0.0001111795, 0.004230826, -0.0002682173, 0.0005187925, -0.9999978, -0.001406044, 0.3511209
 200831302, 2.044945E-05, 0.01129664, -0.0002760451, 0.00104407, -2.851364E-05, 0.004238163, -3.425777E-05, 0.0005187925, -0.9999978, -0.001403679, 0.3503954
 201031222, 4.492902E-05, 0.01151233, 5.431388E-05, 0.00104407, 0.0003793752, 0.003986992, -0.0002436747, 0.0005187925, -0.9999979, -0.001398147, 0.3503954
 201231142, 0.0002771989, 0.0109633, -0.0003636846, 0.00104407, -0.0001025146, 0.00390049, 0.0001474541, 0.0005187925, -0.9999979, -0.001393225, 0.3503954
 201431062, -0.0004272235, 0.01112581, 0.0001666892, 0.00104407, -0.0002321846, 0.00397527, 1.023956E-05, 0.0005187925, -0.9999979, -0.001388214, 0.3503954
 201630982, -4.971873E-05, 0.01093992, 5.349403E-05, 0.00104407, 0.0001024551, 0.003768928, 0.0003837957, 0.0005187925, -0.9999979, -0.001382701, 0.3503954
 201830902, -0.0001406543, 0.01095784, 0.0002154181, 0.00104407, -0.0007026977, 0.004352437, 5.610124E-06, 0.0005187925, -0.9999979, -0.001376478, 0.3503954
 202030822, -0.0006023305, 0.01172112, -0.0002060102, 0.00104407, 0.0002155955, 0.003956003, -0.0001714664, 0.0005187925, -0.9999979, -0.001370417, 0.3503954
 202230742, 0.0003055344, 0.01131546, -0.0003445105, 0.00104407, 0.0002769745, 0.004248732, 0.0002803062, 0.0005187925, -0.9999978, -0.001363494, 0.3503954
 202430662, 0.0005188417, 0.0114576, -2.361427E-05, 0.00104407, 0.0002093567, 0.004097215, -0.0003604734, 0.0005187925, -0.9999978, -0.001357292, 0.3503954
 202631415, 0.0004175901, 0.01131611, -0.0005498597, 0.001046232, 0.000304151, 0.003832091, -0.0001981621, 0.0005209541, -0.9999978, -0.001352737, 0.3511209
 202831335, 0.0004928804, 0.01108668, -0.0003855412, 0.001046232, -0.0001091527, 0.003811967, 3.983096E-05, 0.0005187925, -0.9999978, -0.001346351, 0.3511209
 203031255, -9.787502E-05, 0.01128168, -1.722958E-05, 0.00104407, 0.0004490681, 0.004692548, 0.0002135066, 0.0005187925, -0.9999978, -0.001338868, 0.3503954
 203231175, 0.0003386364, 0.01198965, -0.0001434824, 0.00104407, 5.072478E-05, 0.00431764, -0.000544739, 0.0005187925, -0.9999978, -0.001331675, 0.3503954
 203431095, 0.0001534926, 0.01140718, -0.0005681256, 0.00104407, 0.0002675654, 0.004122811, 0.0001733194, 0.0005187925, -0.9999978, -0.001322748, 0.3503954
 203631015, 0.0004274047, 0.01161819, 0.0003301123, 0.00104407, 0.000429444, 0.004209499, 2.927086E-05, 0.0005187925, -0.9999978, -0.001315509, 0.3503954
 203830935, 0.0004587316, 0.01177246, -6.546732E-06, 0.00104407, -0.0002132616, 0.004330248, -4.802332E-05, 0.0005187925, -0.9999978, -0.001322408, 0.3503954
 204030855, 9.094863E-05, 0.011742, -0.0002933175, 0.00104407, 0.000157485, 0.004287814, -0.0003120068, 0.0005187925, -0.9999978, -0.001329195, 0.3503954
 204230775, 0.000263798, 0.01160773, -0.0005006003, 0.00104407, 0.0004288177, 0.004100553, -0.0002536653, 0.0005187925, -0.9999978, -0.001334444, 0.3503954
 204430695, 0.0005880719, 0.01133936, -0.0005841505, 0.00104407, -0.0001406547, 0.004242846, -0.0002133791, 0.0005187925, -0.9999978, -0.001338779, 0.3503954
 204631448, -0.0001163596, 0.01153568, -2.838827E-05, 0.001046232, -1.123629E-05, 0.004491322, -0.0003112227, 0.0005209541, -0.9999979, -0.001344768, 0.3511209
 204831368, 0.0001425537, 0.01142736, -0.0001606811, 0.001046232, -0.0001007436, 0.003903084, 0.000135961, 0.0005187925, -0.9999978, -0.001346504, 0.3511209
 205031288, -0.0002090473, 0.0112874, -0.0003041039, 0.00104407, 1.432173E-05, 0.004399482, -0.0002613679, 0.0005187925, -0.9999978, -0.001347652, 0.3503954
 205231208, -7.406343E-05, 0.01165424, -0.0003775194, 0.00104407, 0.0002171037, 0.004175947, -0.0002479526, 0.0005187925, -0.9999978, -0.001348746, 0.3503954
 205431128, 0.0002966844, 0.01130735, -0.0001950055, 0.00104407, -0.0001763386, 0.003595622, 0.0003029398, 0.0005187925, -0.9999978, -0.00135015, 0.3503954
 205631048, 7.563118E-05, 0.01106135, -1.446625E-05, 0.00104407, 1.806058E-05, 0.003892671, 0.0003027146, 0.0005187925, -0.9999978, -0.001350206, 0.3503954
 205830968, -6.979546E-05, 0.01122318, 0.0001830657, 0.00104407, -0.0001539996, 0.004424986, 0.0001733706, 0.0005187925, -0.9999978, -0.001348299, 0.3503954
 206030888, 3.542526E-06, 0.01159734, -0.0001346419, 0.00104407, -0.0001853426, 0.003976356, -0.0001994253, 0.0005187925, -0.9999978, -0.001346545, 0.3503954
 206230808, 6.46617E-05, 0.01111373, -0.0002049663, 0.00104407, 5.562637E-05, 0.004210146, 6.559488E-05, 0.0005187925, -0.9999978, -0.001344774, 0.3503954
 206430728, 0.0002127968, 0.01134977, 0.0001664676, 0.00104407, 0.0003180936, 0.004109051, -0.0001383478, 0.0005187925, -0.9999978, -0.001342901, 0.3503954
 206631481, 0.0004877559, 0.01137943, -0.0001144667, 0.001046232, -1.733416E-06, 0.004371604, 1.113924E-05, 0.0005209541, -0.9999978, -0.001342095, 0.3511209
