TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 195760831, 4.744564E-06, 4.870428E-05, 6.390637E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999978, -0.00145013, 2.131091
 195830803, 0.4722856, 3.974379, 0.3790095, 0.5081811, -0.09582952, 3.349608, 0.1184953, 0.5081746, -0.9999978, -0.00145057, 29.84594
 196030723, -0.09544645, 3.356968, 0.1184865, 0.5087007, 0.0003778925, 0.004177934, 0.000331087, 0.0005187925, -0.9999978, -0.001446735, 170.7224
 196231476, 4.641557E-05, 0.01135922, 0.0002908119, 0.001046232, -0.0002058387, 0.00412373, -3.5903E-05, 0.0005209541, -0.9999978, -0.00144279, 0.3511209
 196431396, -0.0001291522, 0.01155053, -0.0002837091, 0.001046232, -4.894207E-05, 0.004182619, -0.0001885447, 0.0005187925, -0.9999978, -0.001438866, 0.3511209
 196631316, -0.0002407305, 0.0114176, -0.000362666, 0.00104407, -0.0003997826, 0.003962047, 1.318047E-05, 0.0005187925, -0.9999978, -0.001432786, 0.3503954
 196831236, -0.0004354811, 0.01084287, -0.0001382573, 0.00104407, 0.0001914076, 0.004110435, -6.748121E-05, 0.0005187925, -0.9999978, -0.001425883, 0.3503954
 197031156, -0.0002820149, 0.01118777, -2.129772E-05, 0.00104407, -0.0005198378, 0.003931869, -0.0002414047, 0.0005187925, -0.9999978, -0.001420059, 0.3503954
 197231076, -0.0002434062, 0.01145603, -0.0004343608, 0.00104407, 0.0001157297, 0.004260469, -0.0001620407, 0.0005187925, -0.9999978, -0.001414016, 0.3503954
 197430996, 0.0001364762, 0.01157139, -0.0004641607, 0.00104407, -8.917524E-06, 0.003886625, -0.0004918098, 0.0005187925, -0.9999978, -0.001408897, 0.3503954
 197630916, -5.999726E-05, 0.01100599, -0.0008781615, 0.00104407, 5.056091E-05, 0.003995379, -0.0001958123, 0.0005187925, -0.9999978, -0.0014037, 0.3503954
 197830836, 0.0004302564, 0.01156981, -0.0004591082, 0.00104407, 0.0001650116, 0.004324673, -0.0003298238, 0.0005187925, -0.9999978, -0.001396811, 0.3503954
 198030756, 0.0004124762, 0.01175487, -0.0008530304, 0.00104407, -1.771181E-05, 0.004380876, -0.0003550826, 0.0005187925, -0.9999978, -0.001390295, 0.3503954
 198230676, 0.0001009395, 0.01191876, -0.0003385525, 0.00104407, 0.0003557465, 0.004039867, -0.0003211799, 0.0005187925, -0.9999978, -0.001383463, 0.3503954
 198431429, 0.0002724635, 0.01138164, -0.0004876358, 0.001046232, 0.0001024027, 0.00412875, -0.0001289968, 0.0005209541, -0.9999978, -0.001379021, 0.3511209
 198631349, -2.384682E-05, 0.01145077, -0.0001951208, 0.001046232, -0.0002285978, 0.004208493, -0.000140171, 0.0005187925, -0.9999978, -0.001384838, 0.3511209
 198831269, 2.589529E-05, 0.01142691, -0.0001012397, 0.00104407, 0.0001886064, 0.004126183, -0.0005031409, 0.0005187925, -0.9999978, -0.001389498, 0.3503954
 199031189, 0.0002959961, 0.01192001, -0.000658107, 0.00104407, 0.0002362707, 0.004750015, -0.0002917302, 0.0005187925, -0.9999978, -0.001395063, 0.3503954
 199231109, 0.000125141, 0.01191438, -0.0004091844, 0.00104407, -0.0001394789, 0.004263507, -2.244529E-05, 0.0005187925, -0.9999978, -0.001398915, 0.3503954
 199431029, -0.0001980573, 0.01145128, -2.877515E-05, 0.00104407, 7.068351E-05, 0.004133675, 3.421365E-05, 0.0005187925, -0.9999978, -0.001401676, 0.3503954
 199630949, 2.738435E-05, 0.01125005, 0.0001487268, 0.00104407, 0.0001536807, 0.003789976, 5.464513E-05, 0.0005187925, -0.9999978, -0.001403694, 0.3503954
 199830869, -7.44117E-05, 0.01144116, 2.813051E-05, 0.00104407, -0.0003777898, 0.004603556, -0.0001558634, 0.0005187925, -0.9999978, -0.001405186, 0.3503954
 200030789, -0.0003062879, 0.01184456, -0.0003071295, 0.00104407, 0.0005348414, 0.003849324, -0.0002644827, 0.0005187925, -0.9999978, -0.001405728, 0.3503954
 200230709, 0.0007569588, 0.01102303, -4.010851E-05, 0.00104407, 0.0003060591, 0.004245569, 4.712724E-05, 0.0005187925, -0.9999978, -0.001405695, 0.3503954
 200431462, 0.000321513, 0.01140497, -0.0004571608, 0.001046232, 0.0001486199, 0.003896334, -0.0004012318, 0.0005209541, -0.9999978, -0.001406929, 0.3511209
 200631382, -3.281607E-05, 0.01145045, -0.0006555725, 0.001046232, -0.0001112916, 0.004230798, -0.0002682173, 0.0005187925, -0.9999978, -0.001406044, 0.3511209
 200831302, 2.014203E-05, 0.01129656, -0.0002760451, 0.00104407, -2.862573E-05, 0.004238135, -3.425777E-05, 0.0005187925, -0.9999978, -0.001403679, 0.3503954
 201031222, 4.462167E-05, 0.01151225, 5.431388E-05, 0.00104407, 0.000379263, 0.003986965, -0.0002436747, 0.0005187925, -0.9999979, -0.001398147, 0.3503954
