TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 158034261, -0.009852115, 0.01215866, 9.267277E-05, 0.001091626, -0.003681941, 0.004623773, -0.0002043236, 0.000520954, -0.1083133, 0.9941157, 0.04121499
 158234181, 0.004028001, 0.01151684, -0.0002729607, 0.001091626, 0.01413422, 0.002924723, -0.000405321, 0.0005187924, -0.108312, 0.9941158, 0.04579443
 158434101, 0.2747297, -0.01765882, -0.0002481421, 0.001089464, 0.2091165, -0.01925079, 0.0007883827, 0.0005187924, -0.1083043, 0.9941165, 0.04570375
 158634021, 0.9577309, -0.09304343, 0.01231214, 0.001089464, 0.4681531, -0.04616892, 0.009574425, 0.0005187924, -0.1082752, 0.9941195, 0.04570375
 158833941, 1.737228, -0.1776995, 0.03466694, 0.001089464, 0.6816394, -0.06891939, 0.01372265, 0.0005187924, -0.1082363, 0.9941217, 0.05027412
 159033861, 2.441845, -0.2524846, 0.04966661, 0.001089464, 0.9007792, -0.08696546, 0.01812753, 0.0005187924, -0.108196, 0.9941245, 0.04570375
 159233781, 3.087563, -0.3170137, 0.06449585, 0.001089464, 1.05763, -0.1017335, 0.02261668, 0.0005187924, -0.1081473, 0.9941283, 0.04570375
 159433701, 3.381697, -0.3420738, 0.07719517, 0.001089464, 1.029444, -0.102414, 0.02495082, 0.0005187924, -0.1080894, 0.994132, 0.04570375
 159633621, 3.199928, -0.3284242, 0.07924016, 0.001089464, 0.9450122, -0.1047494, 0.02382069, 0.0005187924, -0.1080452, 0.9941348, 0.04570375
 159833541, 2.874984, -0.3130711, 0.05232437, 0.001089464, 0.8278129, -0.0824888, -0.03046705, 0.0005187924, -0.1080276, 0.9941364, 0.04570375
 160034294, 2.530941, -0.2590165, -0.1088555, 0.001091626, 0.7366636, -0.08647711, -0.01381869, 0.000520954, -0.108064, 0.9941337, 0.04579443
 160234214, 2.442856, -0.2723911, -0.0947154, 0.001091626, 1.178187, -0.1244572, -0.1697344, 0.0005187924, -0.1076073, 0.994168, 0.04121499
 160434134, 3.317829, -0.3247929, -1.372769, 0.001089464, 1.014382, -0.08233693, -0.6738818, 0.0005187924, -0.1054315, 0.9938584, 0.04570375
 160634054, 2.83705, -0.2806145, -1.691823, 0.001089464, 0.8687398, -0.1000705, -0.3928624, 0.0005187924, -0.1077773, 0.992395, 0.04570375
 160833974, 2.483013, -0.2977662, -0.8628232, 0.001089464, 0.6966696, -0.08224425, -0.203985, 0.0005187924, -0.1091391, 0.9917188, 0.05027412
 161033894, 2.115535, -0.2458122, -0.7280127, 0.001089464, 0.5960144, -0.04379329, -0.2784127, 0.0005187924, -0.1074797, 0.9909497, 0.04570375
 161233814, 1.808817, -0.1409618, -0.840799, 0.001089464, 0.5116687, -0.06115111, -0.2361419, 0.0005187924, -0.1093924, 0.9898218, 0.04570375
 161433734, 1.564723, -0.1875646, -0.6612768, 0.001089464, 0.4422258, -0.05286605, -0.1865394, 0.0005187924, -0.1086398, 0.989226, 0.04570375
 161633654, 1.343285, -0.1426308, -0.5745643, 0.001089464, 0.3718539, -0.03922657, -0.1935797, 0.0005187924, -0.1076751, 0.9885191, 0.04570375
 161833574, 1.123031, -0.1124272, -0.5966455, 0.001089464, 0.3274429, -0.03442979, -0.1322594, 0.0005187924, -0.1073935, 0.9878443, 0.04570375
 162033494, 0.9879728, -0.1220163, -0.3866019, 0.001089464, 0.2799336, -0.04460995, -0.1143212, 0.0005187924, -0.10876, 0.9873115, 0.04570375
 162234247, 0.8358223, -0.09961428, -0.3833504, 0.001091626, 0.2559972, -0.02143424, -0.1476388, 0.000520954, -0.1077692, 0.9868107, 0.04121499
 162434167, 0.7223797, -0.04922296, -0.4260561, 0.001091626, 0.2047615, -0.002031554, -0.1625034, 0.0005187924, -0.1083755, 0.9859371, 0.04579443
 162634087, 0.5842081, -0.04499965, -0.4228251, 0.001089464, 0.1892295, -0.03257101, -0.08286494, 0.0005187924, -0.1112078, 0.9851247, 0.04570375
 162834007, 0.518836, -0.09685656, -0.2016718, 0.001089464, 0.1579648, -0.0131763, -0.06236712, 0.0005187924, -0.1100394, 0.9850768, 0.04570375
 163033927, 0.4385393, -0.04391868, -0.160282, 0.001089464, 0.1234647, -0.01362259, -0.03653676, 0.0005187924, -0.1108744, 0.9848636, 0.05027412
 163233847, 0.353031, -0.05312274, -0.173198, 0.001089464, 0.08588559, -0.01217102, -0.05843371, 0.0005187924, -0.1123618, 0.9843071, 0.04570375
 163433767, 0.2705323, -0.0329812, -0.1498021, 0.001089464, 0.05928258, 0.003976306, -0.07454646, 0.0005187924, -0.1123898, 0.984008, 0.04570375
 163633687, 0.1893076, -0.01543989, -0.2087139, 0.001089464, 0.05598139, -0.0002822248, -0.03001176, 0.0005187924, -0.1132978, 0.983672, 0.04570375
 163833607, 0.1681023, -0.01238902, -0.06223346, 0.001089464, 0.04007804, -0.003564775, -0.05441853, 0.0005187924, -0.1137793, 0.983472, 0.04570375
 164033527, 0.1231645, 0.008688414, -0.1652687, 0.001089464, 0.05179724, 0.01029179, -0.03139689, 0.0005187924, -0.1133499, 0.9831945, 0.04570375
 164234280, 0.1380443, 0.00199396, -0.03783368, 0.001091626, 0.05398599, 0.001642047, 0.02696494, 0.000520954, -0.1137436, 0.9834344, 0.04121499
 164434200, 0.1152014, -0.0121452, -0.0009849668, 0.001091626, 0.01097005, -0.00435525, -0.07606253, 0.0005187924, -0.1141394, 0.9830781, 0.04579443
 164634120, 0.06616365, -0.01514596, -0.07200482, 0.001089464, 0.02124475, -0.003370259, 0.004501668, 0.0005187924, -0.1139267, 0.9832151, 0.04570375
 164834040, 0.1099861, -0.0135319, 0.1408495, 0.001089464, 0.05337133, -0.003095258, 0.1187879, 0.0005187924, -0.1139174, 0.9842462, 0.04570375
 165033960, 0.1477128, -0.01222255, 0.3272332, 0.001089464, 0.04994973, -0.01420125, 0.1056649, 0.0005187924, -0.1156028, 0.9849502, 0.05027412
 165233880, 0.157038, -0.04241743, 0.3467686, 0.001089464, 0.05559416, -0.007645636, 0.1680932, 0.0005187924, -0.1153681, 0.9860936, 0.04570375
 165433800, 0.1817208, 0.002869944, 0.4355185, 0.001089464, 0.05122048, -0.0075634, 0.09738697, 0.0005187924, -0.1166908, 0.9868308, 0.04570375
 165633720, 0.09931941, -0.0306609, 0.2989223, 0.001089464, 0.00718889, -0.01555877, 0.1349671, 0.0005187924, -0.1172265, 0.9875344, 0.04570375
 165833640, 0.0006528322, -0.02369528, 0.3587013, 0.001089464, -0.01729053, 0.003821605, 0.06530867, 0.0005187924, -0.1173054, 0.9881338, 0.04570375
 166033560, 0.004586987, 0.002791497, 0.3104607, 0.001089464, 0.02552807, 0.01087852, 0.1406435, 0.0005187924, -0.1163737, 0.9891017, 0.04570375
 166233480, 0.07370636, 0.006752717, 0.3435933, 0.001089464, 0.02158446, -0.00346149, 0.07410546, 0.0005187924, -0.1177201, 0.989389, 0.04570375
 166434233, 0.08128311, -0.02252092, 0.2772212, 0.001091626, 0.03276148, -0.001090686, 0.1346591, 0.000520954, -0.1184102, 0.9899125, 0.04121499
 166634153, 0.06919704, -0.02676458, 0.3287604, 0.001091626, -0.004211002, -0.01817355, 0.1022257, 0.0005187924, -0.1187698, 0.9903336, 0.04579443
 166834073, -0.008212022, 0.01205707, 0.3772263, 0.001089464, -0.0004908825, 0.05546772, 0.166129, 0.0005187924, -0.1164524, 0.9912438, 0.04570375
 167033993, -0.008899597, 0.1887511, 0.5546362, 0.001089464, -0.007344913, 0.057983, 0.2037171, 0.0005187924, -0.1189932, 0.9916285, 0.04570375
 167233913, -0.05347246, 0.1329579, 0.4718399, 0.001089464, -0.03406397, 0.01751389, 0.1226776, 0.0005187924, -0.1204231, 0.9917828, 0.05027412
 167433833, -0.1040299, 0.04955171, 0.3564653, 0.001089464, -0.03016176, 0.005611687, 0.1245789, 0.0005187924, -0.1164993, 0.992538, 0.04570375
 167633753, -0.09776643, 0.04958941, 0.397767, 0.001089464, -0.0359187, 0.03824935, 0.140996, 0.0005187924, -0.1125609, 0.9932828, 0.04570375
 167833673, -0.09864004, 0.1136504, 0.4175651, 0.001089464, -0.03234359, 0.03709963, 0.1240841, 0.0005187924, -0.1127969, 0.9934363, 0.04570375
 168033593, -0.1071705, 0.1009426, 0.3562566, 0.001089464, -0.03207942, 0.03011491, 0.08672325, 0.0005187924, -0.1109975, 0.9937443, 0.04570375
 168233513, -0.11435, 0.08385983, 0.3045571, 0.001089464, -0.039567, 0.02530385, 0.09083546, 0.0005187924, -0.1112494, 0.9937762, 0.04570375
 168434266, -0.1168502, 0.03416743, 0.3938825, 0.001091626, -0.03362855, 0.007754185, 0.148253, 0.000520954, -0.1099669, 0.9939258, 0.04121499
 168634186, -0.0951844, 0.04697461, 0.4206331, 0.001091626, -0.03429727, 0.0279512, 0.1197581, 0.0005187924, -0.107763, 0.9941037, 0.04579443
 168834106, -0.1045309, 0.07777772, 0.2850659, 0.001089464, -0.03855481, 0.01933339, 0.05301453, 0.0005187924, -0.1070965, 0.9941105, 0.04570375
 169034026, -0.1029008, 0.06118846, 0.287923, 0.001089464, -0.03118178, 0.02762329, 0.1321959, 0.0005187924, -0.1055387, 0.9940894, 0.04570375
 169233946, -0.07156914, 0.07003123, 0.4587176, 0.001089464, -0.01993355, 0.000646984, 0.1515711, 0.0005187924, -0.105261, 0.9937854, 0.05027412
 169433866, -0.05900378, 0.01275034, 0.3897092, 0.001089464, -0.01732563, 0.00686566, 0.07645322, 0.0005187924, -0.1051538, 0.9935786, 0.04570375
 169633786, -0.04635764, 0.05336794, 0.1849953, 0.001089464, -0.002099325, 0.0347409, 0.04141428, 0.0005187924, -0.1037868, 0.9935874, 0.04570375
 169833706, -0.03686503, 0.08053564, 0.1164502, 0.001089464, -0.02198717, 0.01453117, 0.03475029, 0.0005187924, -0.1036162, 0.9935029, 0.04570375
 170033626, -0.06339461, 0.03043078, 0.2187998, 0.001089464, -0.01991673, 0.01477173, 0.1041099, 0.0005187924, -0.1029382, 0.9932054, 0.04570375
 170233546, -0.03946457, 0.06108676, 0.3021729, 0.001089464, -0.001973583, 0.02495671, 0.07356933, 0.0005187924, -0.1011131, 0.9930673, 0.04570375
 170434299, -0.009134013, 0.06409417, 0.2880695, 0.001091626, 0.00492675, 0.001484447, 0.1045636, 0.0005187924, -0.1010816, 0.9925945, 0.04579443
 170634219, -0.001569458, 0.01828692, 0.2664287, 0.001091626, -0.005597171, 0.006509383, 0.06532474, 0.000520954, -0.09995671, 0.9924106, 0.04121499
 170834139, -0.01736831, 0.02236436, 0.1123779, 0.001091626, -0.005255586, 0.008749194, -0.0005923286, 0.0005187924, -0.09950095, 0.9924582, 0.04579443
 171034059, -0.01444927, 0.04981335, 0.02003767, 0.001089464, -0.008449742, 0.01922808, 0.05983344, 0.0005187924, -0.09797992, 0.9924209, 0.04570375
 171233979, -0.02242164, 0.04626539, 0.1653013, 0.001089464, -0.01081241, 0.004025196, 0.03705917, 0.0005187924, -0.0983214, 0.992191, 0.05027412
 171433899, -0.02014005, 0.02828223, 0.1113118, 0.001089464, -0.002570332, 0.009898025, 0.05156151, 0.0005187924, -0.0977549, 0.992013, 0.04570375
 171633819, -0.0003192519, 0.03726515, 0.1815873, 0.001089464, -0.001373193, 0.03148936, 0.03660978, 0.0005187924, -0.09544481, 0.9919319, 0.04570375
 171833739, -0.01495189, 0.09171549, 0.08452415, 0.001089464, -0.01126992, 0.02690882, 0.03826946, 0.0005187924, -0.09455343, 0.9918763, 0.04570375
 172033659, -0.02002613, 0.04419022, 0.1045583, 0.001089464, -0.001880327, -0.004089997, 0.01990762, 0.0005187924, -0.09547143, 0.9916633, 0.04570375
 172233579, 0.004695758, 0.008535141, 0.07501663, 0.001089464, -0.001836958, 0.01518072, 0.01164743, 0.0005187924, -0.09461062, 0.9916025, 0.04570375
 172433499, -0.006275623, 0.04130831, 0.04436631, 0.001089464, -0.009717919, 0.01620894, 0.001106392, 0.0005187924, -0.09426521, 0.9915646, 0.04570375
 172634252, -0.01179224, 0.02676726, 0.008334973, 0.001091626, 0.0001510522, -0.002595227, -0.01034895, 0.000520954, -0.09502825, 0.9914884, 0.04121499
 172834172, 0.01816096, 0.0264091, 0.03787761, 0.001091626, -0.001237981, 0.02546338, 0.05719018, 0.0005187924, -0.09202129, 0.9915055, 0.04579443
 173034092, 0.01451708, 0.06617415, 0.1602421, 0.001089464, 0.01235596, 0.004614403, 0.05615658, 0.0005187924, -0.09277376, 0.9911588, 0.04570375
 173234012, 0.02663495, 0.02063793, 0.1010593, 0.001089464, 0.009417761, 0.01259368, 0.02221232, 0.0005187924, -0.09245379, 0.9911104, 0.04570375
 173433932, 0.0275781, 0.02931412, 0.04264668, 0.001089464, 0.007794791, 0.01098624, 8.85609E-05, 0.0005187924, -0.09055943, 0.9912863, 0.05027412
 173633852, 0.0186298, 0.04961108, -0.02485751, 0.001089464, 0.0102923, 0.01648382, -0.008385545, 0.0005187924, -0.09063035, 0.9913405, 0.04570375
 173833772, 0.01649815, 0.03126378, -0.04503791, 0.001089464, -0.0008800367, 0.008027557, -0.0212795, 0.0005187924, -0.08967333, 0.9915631, 0.04570375
 174033692, 0.00336709, 0.04179924, -0.002990434, 0.001089464, 0.00483347, 0.007689102, 0.02511164, 0.0005187924, -0.0891842, 0.9914675, 0.04570375
 174233612, 0.01338474, 0.04059713, 0.06098658, 0.001089464, 0.00636512, 0.01384191, -0.009737411, 0.0005187924, -0.08726012, 0.991595, 0.04570375
 174433532, 0.025223, 0.04794307, -0.03840773, 0.001089464, -0.001135632, 0.01405488, 0.007418239, 0.0005187924, -0.08738059, 0.9916378, 0.04570375
 174634285, -0.005817774, 0.01995211, 0.04304135, 0.001091626, -0.002594258, -0.00555212, 0.01051872, 0.000520954, -0.08800985, 0.9914407, 0.04121499
 174834205, 0.009016708, -0.002083796, 0.06701597, 0.001091626, 0.01428589, 0.002247022, -0.0005766659, 0.0005187924, -0.08719245, 0.9914067, 0.04579443
 175034125, 0.04237164, 0.02319506, 0.04050033, 0.001089464, 0.01434794, 0.01475793, 0.02533603, 0.0005187924, -0.08670595, 0.9912794, 0.04570375
 175234045, 0.045764, 0.03758106, 0.04398688, 0.001089464, 0.02402973, 0.007078345, -0.01025499, 0.0005187924, -0.08636113, 0.9913455, 0.04570375
 175433965, 0.05318837, 0.03092861, -0.01629316, 0.001089464, 0.01163426, 0.004821248, -0.008181064, 0.0005187924, -0.08636721, 0.9913601, 0.05027412
 175633885, 0.02953221, 0.02056548, -0.08371179, 0.001089464, 0.004282771, 0.00768856, -0.03516535, 0.0005187924, -0.08564339, 0.9916642, 0.04570375
 175833805, 0.01588933, 0.03046861, -0.05491733, 0.001089464, 0.007434798, 0.01229398, 0.009909861, 0.0005187924, -0.08535564, 0.9916576, 0.04570375
 176033725, 0.03264789, 0.01258182, 0.03865555, 0.001089464, 0.01260829, -0.002816851, -0.0021757, 0.0005187924, -0.08678368, 0.9914834, 0.04570375
 176233645, 0.04072851, -0.01340132, -0.07962344, 0.001089464, 0.006098418, -0.001754446, -0.02571946, 0.0005187924, -0.08673428, 0.9917896, 0.04570375
 176433565, 0.02591893, -0.01847003, -0.08141619, 0.001089464, 0.004611347, -0.01662717, -0.004730906, 0.0005187924, -0.08789953, 0.991806, 0.04570375
 176633485, 0.01467055, -0.01587392, -0.004404566, 0.001089464, 0.01417493, 0.004568101, -0.04237939, 0.0005187924, -0.08696589, 0.9919515, 0.04570375
 176834238, 0.02825512, 0.04483772, -0.05747715, 0.001091626, -0.004179541, 0.01416126, 0.01996677, 0.000520954, -0.08582871, 0.9919801, 0.04121499
 177034158, 0.01218995, 0.0404136, 0.05895864, 0.001091626, 0.01325767, -0.003676031, 0.01538928, 0.0005187924, -0.08678672, 0.9918217, 0.04579443
 177234078, 0.02193198, 0.01689481, 0.02107428, 0.001089464, 0.006987163, 0.02087692, -0.007105387, 0.0005187924, -0.08585583, 0.9918483, 0.04570375
 177433998, 0.009044127, 0.02741014, 0.01693042, 0.001089464, 0.0005108356, -0.002525331, -0.01797844, 0.0005187924, -0.08611201, 0.9918115, 0.04570375
 177633918, 0.018343, -0.005601376, -0.05071923, 0.001089464, 0.01831667, 0.008340692, -0.03400882, 0.0005187924, -0.08582202, 0.9919773, 0.05027412
 177833838, 0.04227671, 0.03359696, -0.1217681, 0.001089464, 0.006486242, 0.01063796, -0.04931698, 0.0005187924, -0.0858071, 0.992241, 0.04570375
 178033758, 0.01294321, 0.01753348, -0.1455313, 0.001089464, -0.00404961, 0.01027114, -0.02761194, 0.0005187924, -0.08607598, 0.9924353, 0.04570375
 178233678, 0.01078291, 0.0297174, 0.01196646, 0.001089464, 0.0220462, 0.006414766, 0.02683948, 0.0005187924, -0.0860097, 0.9922696, 0.04570375
 178433598, 0.04788168, 0.02446214, 0.05628547, 0.001089464, 0.01676259, 0.004948574, 0.007668002, 0.0005187924, -0.08543415, 0.9922464, 0.04570375
 178633518, 0.02971669, 0.02878595, 0.005413397, 0.001089464, 0.00849474, 0.02110107, -0.01973049, 0.0005187924, -0.08420084, 0.992416, 0.04570375
 178834271, 0.01874634, 0.06859669, -0.03693003, 0.001091626, 0.004846575, 0.04025238, 0.01654705, 0.000520954, -0.08272471, 0.992543, 0.04121499
 179034191, 0.03416963, 0.07945528, 0.02397697, 0.001091626, 0.01373635, 0.02381413, 0.002843406, 0.0005187924, -0.081862, 0.9926441, 0.04579443
 179234111, 0.0261738, 0.07186636, -0.06264332, 0.001089464, 0.0185807, 0.02442054, -0.05042459, 0.0005187924, -0.0816838, 0.992898, 0.04570375
 179434031, 0.03328766, 0.05609308, -0.06022901, 0.001089464, -0.004159484, -0.005059883, 0.03360267, 0.0005187924, -0.08137147, 0.9928018, 0.04570375
 179633951, 0.01020585, 0.01743899, 0.01629507, 0.001089464, 0.0001775702, 0.01641336, -0.02920832, 0.0005187924, -0.08090024, 0.9930001, 0.05027412
 179833871, 0.02847348, 0.02603255, -0.100891, 0.001089464, 0.00566066, 0.001462724, -0.04629552, 0.0005187924, -0.08086934, 0.9931993, 0.04570375
 180033791, 0.01674431, 0.05216732, -0.09359434, 0.001089464, 0.007137114, 0.03220163, 0.004827189, 0.0005187924, -0.07897884, 0.9933884, 0.04570375
 180233711, 0.004078003, 0.08656885, 0.002696026, 0.001089464, 0.003757929, 0.0362091, -0.005507459, 0.0005187924, -0.07913367, 0.9934314, 0.04570375
 180433631, 0.0232996, 0.08660968, -0.02252617, 0.001089464, 0.01967064, 0.0231233, -0.02822576, 0.0005187924, -0.07774117, 0.9936106, 0.04570375
 180633551, 0.02320972, 0.1191385, -0.03599619, 0.001089464, -0.007284878, 0.05286558, -0.02616369, 0.0005187924, -0.07339098, 0.9939384, 0.04570375
 180834304, 0.007308596, 0.1340396, -0.0291922, 0.001091626, 0.0006581906, -0.02944423, -0.006991354, 0.0005187924, -0.05855549, 0.9946721, 0.04579443
 181034224, 0.0635742, 1.123661, 0.1200693, 0.001091626, 0.03135892, 0.84019, 0.1980856, 0.000520954, -0.06009609, 0.9948815, 0.04121499
 181234144, 0.08888809, 1.469661, -0.1755738, 0.001091626, 0.003447254, -0.04302894, -0.4861239, 0.0005187924, -0.08888271, 0.9944128, 0.04579443
 181434064, -0.04303129, -0.8829535, -0.7102969, 0.001089464, -0.02249912, -0.4726253, 0.1876976, 0.0005187924, -0.04594921, 0.9963708, 0.04570375
 181633984, -0.03524493, -0.7962781, 0.5249075, 0.001089464, 0.003398441, 0.0375927, 0.100174, 0.0005187924, -0.01303444, 0.9969994, 0.04570375
 181833904, 0.01188575, 0.5279704, 0.1771268, 0.001089464, 0.004932231, 0.2806958, 0.05615305, 0.0005187924, -0.02682561, 0.9963319, 0.05027412
 182033824, 0.02048727, 0.6651376, 0.118031, 0.001089464, 0.00646378, 0.06442759, -0.02062916, 0.0005187924, -0.04467887, 0.9958809, 0.04570375
 182233744, 0.008494783, -0.04234996, -0.06207348, 0.001089464, 0.006615676, -0.1018971, -0.0257697, 0.0005187924, -0.03823407, 0.9961129, 0.04570375
 182433664, 0.007070486, -0.2736767, -0.02248682, 0.001089464, 0.004405436, -0.03212176, 0.007720337, 0.0005187924, -0.02461524, 0.9964963, 0.04570375
 182633584, 0.005393394, 0.05524502, 0.009737953, 0.001089464, 0.008372523, 0.09158607, -0.01393962, 0.0005187924, -0.02077039, 0.9965855, 0.04570375
 182833504, 0.01302002, 0.2841162, -0.05164877, 0.001089464, 0.009301363, 0.06208685, 0.003422035, 0.0005187924, -0.02582947, 0.9965511, 0.04570375
 183034257, 0.02896157, 0.1159317, 0.02833501, 0.001091626, 0.008235284, 0.00402796, 0.01918459, 0.000520954, -0.02606075, 0.9964651, 0.04121499
 183234177, 0.02128468, -0.01495126, -0.006482972, 0.001091626, 0.0009453845, 0.005029051, -0.05933341, 0.0005187924, -0.0210875, 0.9967594, 0.04579443
 183434097, 0.01526324, 0.03993068, -0.1119116, 0.001089464, 0.01451094, 0.04253673, 0.004634939, 0.0005187924, -0.01663081, 0.9968909, 0.04570375
 183634017, 0.03703995, 0.1230804, -0.0009790892, 0.001089464, -0.0002691565, 0.03971533, 0.0259031, 0.0005187924, -0.01562027, 0.9968373, 0.04570375
 183833937, 0.01279734, 0.1155075, 0.05698178, 0.001089464, -0.001060304, 0.03146385, 0.01821943, 0.0005187924, -0.01548416, 0.9968078, 0.05027412
 184033857, 0.003058882, 0.05905689, -0.006062759, 0.001089464, -0.005738333, 0.01533705, -0.04739705, 0.0005187924, -0.01394206, 0.9969677, 0.04570375
 184233777, -0.0479885, 0.0349905, -0.1234133, 0.001089464, -0.04036006, 0.01088192, -0.03962037, 0.0005187924, -0.01245448, 0.9993201, 0.04570375
 184433697, -0.1257911, 0.05003983, -0.06528509, 0.001089464, -0.04046246, 0.01993958, 0.01586937, 0.0005187924, -0.01173422, 0.9993304, 0.04570375
 184633617, -0.1242855, 0.0460095, 0.08342857, 0.001089464, -0.04286271, -0.0007549583, 0.04420085, 0.0005187924, -0.01209102, 0.9992095, 0.04570375
 184833537, -0.1270691, -0.009482767, 0.07575029, 0.001089464, -0.01619999, -0.006233838, 0.03533733, 0.0005187924, -0.01251539, 0.9991166, 0.04570375
 185034290, -0.07268813, -0.03694671, 0.03629508, 0.001091626, -0.02160506, -0.02295923, -0.006812471, 0.000520954, -0.01314515, 0.999081, 0.04579443
 185234210, -0.07365293, -0.06672539, 0.06784764, 0.001091626, -0.02925811, -0.02596796, 0.07833342, 0.0005187924, -0.01383495, 0.9988602, 0.04121499
 185434130, -0.08956958, -0.05668859, 0.05872367, 0.001089464, -0.03561436, -0.001837629, -0.04089976, 0.0005187924, -0.01511101, 0.9989091, 0.04570375
 185634050, -0.1000984, -0.02829565, -0.0522155, 0.001089464, -0.03331561, -0.01240399, 0.01617348, 0.0005187924, -0.01849212, 0.9987958, 0.04570375
 185833970, -0.0961134, -0.04532224, -0.03087224, 0.001089464, -0.0265524, 0.002982465, 0.004772374, 0.0005187924, -0.01851135, 0.9988133, 0.05027412
 186033890, -0.08948097, -0.0149182, -0.07029223, 0.001089464, -0.01747419, 0.008500122, -0.04644204, 0.0005187924, -0.01964161, 0.9988905, 0.04570375
 186233810, -0.09041154, -0.0003140226, -0.07664371, 0.001089464, -0.03296512, 0.003011395, 0.006619475, 0.0005187924, -0.02029361, 0.9988374, 0.04570375
 186433730, -0.1087861, 0.02230295, -0.03343016, 0.001089464, -0.03264794, 0.01194275, -0.0121297, 0.0005187924, -0.02090791, 0.9988572, 0.04570375
 186633650, -0.1030104, 0.021749, -0.08787484, 0.001089464, -0.03444481, 0.001053157, -0.03377698, 0.0005187924, -0.02146613, 0.9989108, 0.04570375
 186833570, -0.1054785, -0.001030295, -0.09961597, 0.001089464, -0.03082284, -0.009631074, 0.01271597, 0.0005187924, -0.02339777, 0.9988844, 0.04570375
 187033490, -0.1005039, -0.003574911, 0.03441909, 0.001089464, -0.02624925, -0.004712559, 0.04445548, 0.0005187924, -0.0243477, 0.9987552, 0.04570375
 187234243, -0.09667964, -0.02731304, 0.094298, 0.001091626, -0.01539538, -0.01186509, 0.03235829, 0.000520954, -0.02643622, 0.9986076, 0.04121499
