TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 141033564, -0.01030478, 0.01261871, -0.0003046343, 0.001089464, -0.0027883, 0.003881227, 0.0003551969, 0.0005187924, -0.1083645, 0.9941099, 0.04570375
 141233484, -0.009779731, 0.01267963, 0.0003438813, 0.001089464, -0.003043315, 0.00398619, 0.0001960923, 0.0005187924, -0.108372, 0.9941091, 0.04570375
 141434237, 0.08451284, 0.002245937, -6.28069E-05, 0.001091626, 0.09522755, -0.006661558, 0.0003353172, 0.000520954, -0.1083776, 0.9941086, 0.04121499
 141634157, 0.5889511, -0.05196766, 0.004849292, 0.001091626, 0.3352581, -0.02989905, 0.004370085, 0.0005187924, -0.1083616, 0.9941103, 0.04579443
 141834077, 1.347369, -0.1334815, 0.02354559, 0.001089464, 0.6048574, -0.06578422, 0.01139427, 0.0005187924, -0.1083302, 0.9941126, 0.04570375
 142033997, 2.125395, -0.2240471, 0.04186698, 0.001089464, 0.8469366, -0.08595054, 0.01730153, 0.0005187924, -0.1082993, 0.9941133, 0.04570375
 142233917, 2.834574, -0.2961475, 0.05836523, 0.001089464, 0.9950581, -0.1084218, 0.02018293, 0.0005187924, -0.1082542, 0.9941165, 0.05027412
 142433837, 3.305399, -0.3485622, 0.07075892, 0.001089464, 1.061743, -0.1139356, 0.02479734, 0.0005187924, -0.1082296, 0.9941175, 0.04570375
 142633757, 3.31874, -0.3542404, 0.07964052, 0.001089464, 0.9876263, -0.1075316, 0.02464224, 0.0005187924, -0.1082042, 0.9941177, 0.04570375
 142833677, 3.043508, -0.3224692, 0.07586624, 0.001089464, 0.8797578, -0.0894793, 0.02223994, 0.0005187924, -0.1081637, 0.9941211, 0.04570375
 143033597, 2.70116, -0.278277, -0.02140282, 0.001089464, 0.7755321, -0.0695161, -0.06621353, 0.0005187924, -0.1081314, 0.9941249, 0.04570375
 143233517, 2.351938, -0.2337099, -0.07899328, 0.001089464, 0.6659215, -0.05965986, 0.03850788, 0.0005187924, -0.1081132, 0.9941282, 0.04570375
 143434270, 2.54288, -0.2573767, -0.3429182, 0.001091626, 1.118188, -0.1171779, -0.5368131, 0.000520954, -0.1109635, 0.9937243, 0.04121499
 143634190, 3.128576, -0.3527635, -1.939264, 0.001091626, 0.9584129, -0.1192396, -0.6424633, 0.0005187924, -0.1114373, 0.9926691, 0.04579443
 143834110, 2.666875, -0.3445959, -1.511331, 0.001089464, 0.8094958, -0.1146136, -0.3521069, 0.0005187924, -0.1123183, 0.9911765, 0.04570375
 144034030, 2.301761, -0.3000972, -0.9339038, 0.001089464, 0.7205792, -0.07436223, -0.2639846, 0.0005187924, -0.1107798, 0.9904496, 0.04570375
 144233950, 2.040983, -0.1780949, -0.764881, 0.001089464, 0.5569597, -0.04603848, -0.2410501, 0.0005187924, -0.1089939, 0.9897836, 0.05027412
 144433870, 1.688949, -0.1410408, -0.7548343, 0.001089464, 0.4738258, -0.0470817, -0.2246718, 0.0005187924, -0.1096689, 0.9887403, 0.04570375
 144633790, 1.440838, -0.1812426, -0.6302689, 0.001089464, 0.4128733, -0.04875626, -0.1653391, 0.0005187924, -0.1112084, 0.9879083, 0.04570375
 144833710, 1.251196, -0.1387797, -0.5068277, 0.001089464, 0.3455945, -0.0261202, -0.1311685, 0.0005187924, -0.1099252, 0.9875168, 0.04570375
 145033630, 1.058851, -0.08429577, -0.4705589, 0.001089464, 0.2896374, -0.0230423, -0.1613911, 0.0005187924, -0.1119027, 0.9863722, 0.04570375
 145233550, 0.8688619, -0.08665464, -0.5233194, 0.001089464, 0.2330471, -0.02710507, -0.1640375, 0.0005187924, -0.1103267, 0.9856685, 0.04570375
 145434303, 0.7551025, -0.06585551, -0.3882388, 0.001091626, 0.2269918, -0.00368294, -0.08034219, 0.0005187924, -0.1100876, 0.9854866, 0.04579443
 145634223, 0.6553421, -0.04281607, -0.3104111, 0.001091626, 0.2004039, -0.026035, -0.1066335, 0.000520954, -0.1119842, 0.9846877, 0.04121499
 145834143, 0.5541046, -0.07805809, -0.3188325, 0.001091626, 0.1679775, -0.01545609, -0.09761457, 0.0005187924, -0.1118341, 0.9840612, 0.04579443
 146034063, 0.4263878, -0.06200797, -0.3782004, 0.001089464, 0.1133564, -0.02124155, -0.1460164, 0.0005187924, -0.1123509, 0.9830801, 0.04570375
 146233983, 0.3704978, -0.06154218, -0.219842, 0.001089464, 0.1230213, -0.01925454, -0.002755302, 0.0005187924, -0.1125277, 0.9833368, 0.05027412
 146433903, 0.336825, -0.04038225, -0.1071915, 0.001089464, 0.09264131, -0.01969083, -0.06062599, 0.0005187924, -0.1137793, 0.9827845, 0.04570375
 146633823, 0.2702278, -0.04339068, -0.1453292, 0.001089464, 0.06183214, 0.0005629326, -0.02975923, 0.0005187924, -0.1124752, 0.9828468, 0.04570375
 146833743, 0.1941577, 0.04028121, -0.09849513, 0.001089464, 0.04978084, 0.02739991, -0.03915917, 0.0005187924, -0.1105343, 0.982842, 0.04570375
 147033663, 0.151471, 0.05158538, -0.1315905, 0.001089464, 0.03570898, -0.003612478, -0.04802861, 0.0005187924, -0.1119179, 0.9823717, 0.04570375
 147233583, 0.1448718, -0.02523652, -0.0002081487, 0.001089464, 0.03872813, -0.007856657, 0.01594106, 0.0005187924, -0.111758, 0.9828509, 0.04570375
 147433503, 0.1125189, -0.03140524, -0.005971493, 0.001089464, 0.01997464, -0.005228385, -0.03430033, 0.0005187924, -0.1127185, 0.9825703, 0.04570375
 147634256, 0.05864648, -0.03234838, -0.1282015, 0.001091626, 0.02207533, -0.020941, -0.03062782, 0.000520954, -0.1131079, 0.9823017, 0.04121499
 147834176, 0.1187493, -0.03651618, 0.1238218, 0.001091626, 0.06888393, -0.01554761, 0.1383207, 0.0005187924, -0.1146867, 0.9833638, 0.04579443
 148034096, 0.1871805, 0.0001258259, 0.4009213, 0.001089464, 0.05700546, 0.01357585, 0.1043429, 0.0005187924, -0.1136727, 0.9845796, 0.04570375
 148234016, 0.1786741, -0.02494219, 0.3537499, 0.001089464, 0.05577354, -0.04314669, 0.1026756, 0.0005187924, -0.1169365, 0.9852382, 0.04570375
 148433936, 0.1551433, -0.07955696, 0.254085, 0.001089464, 0.04485766, 0.0005755362, 0.08147632, 0.0005187924, -0.1164029, 0.9860033, 0.05027412
 148633856, 0.1689112, -0.01114749, 0.3382167, 0.001089464, 0.05519136, -0.01047445, 0.1271493, 0.0005187924, -0.116961, 0.9869972, 0.04570375
 148833776, 0.154898, -0.03390822, 0.3231355, 0.001089464, 0.02526816, -0.009857678, 0.08385765, 0.0005187924, -0.1178047, 0.9875846, 0.04570375
 149033696, 0.05478294, -0.008608893, 0.3733906, 0.001089464, 0.008362589, 0.0004477391, 0.126704, 0.0005187924, -0.1181026, 0.9884647, 0.04570375
 149233616, 0.01310509, 0.005226713, 0.323843, 0.001089464, -0.004276721, -0.01183232, 0.06584737, 0.0005187924, -0.119513, 0.9887843, 0.04570375
 149433536, 0.0237757, -0.02760135, 0.3025957, 0.001089464, 0.01913776, -0.005384793, 0.1315823, 0.0005187924, -0.1192803, 0.9895654, 0.04570375
 149634289, 0.02903038, -0.0009071417, 0.4208282, 0.001091626, 0.005369528, 0.05893004, 0.1478771, 0.000520954, -0.1083381, 0.9916117, 0.04121499
 149834209, 0.04300526, 0.5315884, 0.5781389, 0.001091626, 0.02397529, 0.30288, 0.2661962, 0.0005187924, -0.1105668, 0.9922174, 0.04579443
 150034129, 0.03783035, 0.7839509, 0.5890061, 0.001089464, -0.01435051, 0.1721145, 0.06194634, 0.0005187924, -0.1199527, 0.9912071, 0.04570375
 150234049, -0.09072942, 0.3082651, 0.09466197, 0.001089464, -0.04306734, 0.02310788, 0.03161358, 0.0005187924, -0.1103647, 0.9925159, 0.04570375
