TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 140033964, -0.009449981, 0.01256956, 0.0003415171, 0.001089464, -0.002791177, 0.003806933, 4.099159E-05, 0.0005187924, -0.1083745, 0.9941089, 0.05027412
 140233884, -0.009700954, 0.01240848, -1.814116E-05, 0.001089464, -0.003360148, 0.004072324, -0.0002729277, 0.0005187924, -0.1083688, 0.9941095, 0.04570375
 140433804, 0.08389848, 0.002582362, -0.0007655895, 0.001089464, 0.104013, -0.008447299, -0.0002202106, 0.0005187924, -0.1083637, 0.99411, 0.04570375
 140633724, 0.5978386, -0.05511144, 0.004288264, 0.001089464, 0.3262171, -0.03127247, 0.00430488, 0.0005187924, -0.108341, 0.9941124, 0.04570375
 140833644, 1.33604, -0.1334137, 0.02311623, 0.001089464, 0.5659705, -0.05694912, 0.01108403, 0.0005187924, -0.1082922, 0.9941166, 0.04570375
 141033564, 2.088321, -0.2150066, 0.04141347, 0.001089464, 0.7898076, -0.08902692, 0.01619101, 0.0005187924, -0.1082443, 0.9941189, 0.04570375
 141233484, 2.78569, -0.3008037, 0.056735, 0.001089464, 0.9926603, -0.1153113, 0.02059808, 0.0005187924, -0.108208, 0.9941213, 0.04570375
 141434237, 3.31513, -0.3608032, 0.07120255, 0.001091626, 1.176576, -0.1234101, 0.02735447, 0.000520954, -0.1081831, 0.9941221, 0.04121499
 141634157, 3.448495, -0.3580609, 0.08253237, 0.001091626, 1.092742, -0.1025913, 0.02744677, 0.0005187924, -0.1081452, 0.994124, 0.04579443
 141834077, 3.151392, -0.322346, 0.07879938, 0.001089464, 0.9977298, -0.1148185, 0.02425693, 0.0005187924, -0.108135, 0.9941242, 0.04570375
 142033997, 2.810882, -0.3045512, -0.01695275, 0.001089464, 0.8588396, -0.08492705, -0.05763673, 0.0005187924, -0.1081343, 0.9941249, 0.04570375
 142233917, 2.427214, -0.2476741, -0.06926474, 0.001089464, 0.6683511, -0.07305866, 0.01432227, 0.0005187924, -0.1080998, 0.9941295, 0.05027412
 142433837, 2.708804, -0.2854613, -0.6322746, 0.001089464, 0.9753004, -0.1090918, -0.6217679, 0.0005187924, -0.1087174, 0.99389, 0.04570375
 142633757, 2.944113, -0.3440987, -1.871387, 0.001089464, 0.8312469, -0.1035457, -0.4563993, 0.0005187924, -0.1080683, 0.9929288, 0.04570375
 142833677, 2.546538, -0.2639156, -1.143307, 0.001089464, 0.7277901, -0.05239505, -0.2607957, 0.0005187924, -0.1058277, 0.9921886, 0.04570375
 143033597, 2.247409, -0.1753896, -0.7555535, 0.001089464, 0.6485973, -0.0469127, -0.2340803, 0.0005187924, -0.1076161, 0.9914088, 0.04570375
 143233517, 1.967611, -0.1984334, -0.7296478, 0.001089464, 0.5547085, -0.06036053, -0.2279716, 0.0005187924, -0.1086226, 0.990493, 0.04570375
 143434270, 1.698716, -0.1957656, -0.6920323, 0.001091626, 0.5459999, -0.06201068, -0.2109871, 0.000520954, -0.1087662, 0.9897345, 0.04121499
 143634190, 1.526556, -0.1745339, -0.6119356, 0.001091626, 0.4797598, -0.05290606, -0.1704899, 0.0005187924, -0.108271, 0.9891665, 0.04579443
 143834110, 1.305363, -0.150389, -0.5606114, 0.001089464, 0.382077, -0.05517767, -0.2269334, 0.0005187924, -0.1104391, 0.9879922, 0.04570375
 144034030, 1.062785, -0.1495693, -0.6481303, 0.001089464, 0.327418, -0.03441789, -0.189753, 0.0005187924, -0.109395, 0.9871881, 0.04570375
 144233950, 0.910616, -0.0688261, -0.5314865, 0.001089464, 0.2392226, -0.01482843, -0.160868, 0.0005187924, -0.1075552, 0.9865122, 0.05027412
 144433870, 0.7300928, -0.03736152, -0.4598842, 0.001089464, 0.2034278, -0.01596596, -0.1149805, 0.0005187924, -0.1084099, 0.9858037, 0.04570375
 144633790, 0.6231653, -0.08988597, -0.2833314, 0.001089464, 0.1805637, -0.02394315, -0.0600073, 0.0005187924, -0.1098737, 0.9854738, 0.04570375
 144833710, 0.5501134, -0.06322556, -0.1691292, 0.001089464, 0.1475731, -0.005855441, -0.02762566, 0.0005187924, -0.1088779, 0.9855714, 0.04570375
 145033630, 0.4558293, -0.02730972, -0.1686876, 0.001089464, 0.1177846, -0.007629561, -0.0769354, 0.0005187924, -0.1107978, 0.9848371, 0.04570375
