TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 139033531, -0.009917445, 0.01234562, 0.0001475411, 0.001089464, -0.002868302, 0.00437119, -0.0003063883, 0.0005187924, -0.1083984, 0.9941062, 0.04570375
 139234284, 0.005364755, 0.0112638, -0.0007530267, 0.001091626, 0.01408655, 0.002453398, -0.0001391208, 0.000520954, -0.1083954, 0.9941067, 0.04121499
 139434204, 0.2745057, -0.01873374, 0.0001951228, 0.001091626, 0.2083895, -0.02010935, 0.0008692124, 0.0005187924, -0.108382, 0.994108, 0.04579443
 139634124, 0.9569404, -0.09327176, 0.01244422, 0.001089464, 0.4705832, -0.04487205, 0.009308761, 0.0005187924, -0.1083547, 0.9941107, 0.04570375
 139834044, 1.74461, -0.1757715, 0.03452173, 0.001089464, 0.7292776, -0.07914692, 0.01466014, 0.0005187924, -0.1083173, 0.9941127, 0.04570375
 140033964, 2.492164, -0.2676316, 0.05036391, 0.001089464, 0.9001219, -0.08979126, 0.01808854, 0.0005187924, -0.1082686, 0.9941164, 0.05027412
 140233884, 3.097188, -0.3211512, 0.06433108, 0.001089464, 1.05889, -0.1210827, 0.02276768, 0.0005187924, -0.1082287, 0.9941193, 0.04570375
 140433804, 3.377587, -0.3626399, 0.07706562, 0.001089464, 1.039881, -0.1179382, 0.02507332, 0.0005187924, -0.108236, 0.9941156, 0.04570375
 140633724, 3.207546, -0.3518307, 0.07882289, 0.001089464, 0.9310881, -0.09786924, 0.02367331, 0.0005187924, -0.1082206, 0.9941151, 0.04570375
 140833644, 2.86231, -0.2999885, 0.04909639, 0.001089464, 0.8291694, -0.08267016, -0.0239388, 0.0005187924, -0.1081865, 0.9941186, 0.04570375
 141033564, 2.521113, -0.2567507, -0.1001315, 0.001089464, 0.7163051, -0.08452141, -0.006628721, 0.0005187924, -0.1081526, 0.9941229, 0.04570375
 141233484, 2.313231, -0.2535336, -0.01176517, 0.001089464, 1.057703, -0.125604, -0.0980148, 0.0005187924, -0.1083345, 0.9941, 0.04570375
 141434237, 3.224751, -0.35615, -1.268389, 0.001091626, 1.022601, -0.1099478, -0.7531657, 0.000520954, -0.1090999, 0.99351, 0.04121499
 141634157, 2.87661, -0.3102152, -1.84591, 0.001091626, 0.8647126, -0.08054632, -0.4125732, 0.0005187924, -0.1070863, 0.9924376, 0.04579443
 141834077, 2.485194, -0.2435238, -0.961594, 0.001089464, 0.7890708, -0.09058432, -0.2109191, 0.0005187924, -0.1087343, 0.9916537, 0.04570375
 142033997, 2.214149, -0.263349, -0.665005, 0.001089464, 0.6672528, -0.08236971, -0.2800421, 0.0005187924, -0.1099924, 0.9907431, 0.04570375
 142233917, 1.892292, -0.2200719, -0.7864099, 0.001089464, 0.5175934, -0.05718638, -0.2566968, 0.0005187924, -0.1076164, 0.9901173, 0.05027412
 142433837, 1.559815, -0.1674557, -0.7707958, 0.001089464, 0.4426561, -0.04986249, -0.2024309, 0.0005187924, -0.1090919, 0.9890226, 0.04570375
 142633757, 1.344506, -0.1516034, -0.5716332, 0.001089464, 0.3816396, -0.04655464, -0.1547291, 0.0005187924, -0.109391, 0.9884353, 0.04570375
 142833677, 1.163509, -0.1083541, -0.4746923, 0.001089464, 0.3144735, -0.01888487, -0.1880938, 0.0005187924, -0.1086579, 0.987816, 0.04570375
 143033597, 0.971608, -0.08005439, -0.5274795, 0.001089464, 0.2716433, -0.01857389, -0.1649474, 0.0005187924, -0.1095283, 0.9870799, 0.04570375
 143233517, 0.8137503, -0.09593947, -0.4913504, 0.001089464, 0.2223083, -0.02226769, -0.1402645, 0.0005187924, -0.1098397, 0.9862184, 0.04570375
 143434270, 0.6899023, -0.07789862, -0.390204, 0.001091626, 0.2259839, -0.02640304, -0.09948249, 0.000520954, -0.1109858, 0.9856173, 0.04121499
 143634190, 0.6249291, -0.08099695, -0.2767764, 0.001091626, 0.2060952, -0.02575778, -0.05449785, 0.0005187924, -0.1107743, 0.9854116, 0.04579443
 143834110, 0.5276215, -0.07378414, -0.2410776, 0.001089464, 0.1419994, -0.03176402, -0.1299345, 0.0005187924, -0.1128948, 0.9845321, 0.04570375
 144034030, 0.3923744, -0.07576873, -0.3541309, 0.001089464, 0.126235, -0.007406761, -0.09132122, 0.0005187924, -0.1118824, 0.984082, 0.04570375
 144233950, 0.3453546, 0.007056115, -0.255457, 0.001089464, 0.08515634, 0.00552386, -0.0847464, 0.0005187924, -0.1106395, 0.9836739, 0.05027412
 144433870, 0.264284, 0.01793836, -0.2240748, 0.001089464, 0.06858227, -0.003792573, -0.04487406, 0.0005187924, -0.1116911, 0.9832804, 0.04570375
 144633790, 0.2095803, -0.04943936, -0.07038768, 0.001089464, 0.06145794, -0.01031117, 0.0012695, 0.0005187924, -0.1126709, 0.9833185, 0.04570375
 144833710, 0.1905821, -0.0196196, 0.01989252, 0.001089464, 0.04686455, 0.006244608, 0.02975437, 0.0005187924, -0.111734, 0.9837213, 0.04570375
 145033630, 0.1508739, 0.007734271, 0.004463594, 0.001089464, 0.03185736, 0.001748935, -0.02820355, 0.0005187924, -0.1135818, 0.9832513, 0.04570375
 145233550, 0.09448978, -0.004692206, -0.1110673, 0.001089464, 0.01608687, -0.0008852857, -0.04382163, 0.0005187924, -0.1121763, 0.9831783, 0.04570375
 145434303, 0.1040014, 0.006605329, -0.0157198, 0.001091626, 0.04442137, 0.01408778, 0.02373928, 0.0005187924, -0.1124267, 0.9835375, 0.04579443
 145634223, 0.104902, 0.01082761, 0.009770168, 0.001091626, 0.02863134, -0.008947923, -0.0008372481, 0.000520954, -0.1142422, 0.9832807, 0.04121499
 145834143, 0.07564447, -0.02597641, -0.02505433, 0.001091626, 0.02430123, 0.0014239, -0.008970104, 0.0005187924, -0.1142326, 0.9831036, 0.04579443
 146034063, 0.02631508, -0.01593733, -0.12441, 0.001089464, -0.005906164, -0.007863944, -0.06610683, 0.0005187924, -0.1148663, 0.9825662, 0.04570375
 146233983, 0.03869239, -0.02570782, 0.00444947, 0.001089464, 0.03352976, -0.01003538, 0.05653742, 0.0005187924, -0.1151089, 0.9831669, 0.05027412
 146433903, 0.06970604, -0.01337237, 0.07500218, 0.001089464, 0.01890075, -0.01235198, -0.006059892, 0.0005187924, -0.1163891, 0.9829637, 0.04570375
 146633823, 0.06263853, -0.02188666, 0.02449434, 0.001089464, 0.01010731, 0.00601534, 0.01758463, 0.0005187924, -0.1151887, 0.9833591, 0.04570375
 146833743, 0.04207004, 0.05314506, 0.03527664, 0.001089464, 0.008463649, 0.02885365, -0.004030332, 0.0005187924, -0.1133876, 0.9835898, 0.04570375
 147033663, 0.01967857, 0.0617871, -0.02403961, 0.001089464, -0.01756382, 0.004619622, -0.01546556, 0.0005187924, -0.1145413, 0.9833564, 0.04570375
 147233583, -0.06622173, 0.004113039, 0.1019967, 0.001089464, -0.03942507, 0.001341735, 0.04805969, 0.0005187924, -0.1145536, 0.9839036, 0.04570375
 147433503, -0.1170302, -0.005266257, 0.09960099, 0.001089464, -0.03738726, 6.548861E-06, -0.001787233, 0.0005187924, -0.1155744, 0.9838097, 0.04570375
 147634256, -0.1045941, -0.01719758, -0.04967529, 0.001091626, -0.02476875, -0.01600047, -0.02142686, 0.000520954, -0.1159063, 0.9835801, 0.04121499
 147834176, -0.02207996, -0.02321189, 0.0634786, 0.001091626, 0.01972095, -0.01124074, 0.07951466, 0.0005187924, -0.1174619, 0.9840011, 0.04579443
 148034096, 0.02958272, 0.01339107, 0.1665689, 0.001089464, -0.002084103, 0.01847991, 0.004565071, 0.0005187924, -0.1164552, 0.9842746, 0.04570375
 148234016, -0.01545724, -0.006604851, 0.03137998, 0.001089464, -0.01462882, -0.03495762, -0.01125001, 0.0005187924, -0.1196656, 0.9839191, 0.04570375
 148433936, -0.046352, -0.06213914, -0.07984275, 0.001089464, -0.01036963, 0.001977168, -0.01501694, 0.0005187924, -0.11934, 0.9837356, 0.05027412
 148633856, -0.001944905, -0.006120732, 0.0344951, 0.001089464, 0.004512263, -0.007741047, 0.035848, 0.0005187924, -0.1198298, 0.9839865, 0.04570375
 148833776, 0.006004232, -0.02415492, 0.0386596, 0.001089464, -0.001294232, -0.008518736, -0.005125188, 0.0005187924, -0.1207908, 0.9838655, 0.04570375
 149033696, 0.02583623, -0.01003363, 0.08027664, 0.001089464, 0.01517406, -0.001480569, 0.03115628, 0.0005187924, -0.1211999, 0.9841962, 0.04570375
 149233616, 0.01104145, 0.00155279, 0.01338507, 0.001089464, -0.0196396, -0.01165503, -0.03031271, 0.0005187924, -0.1227085, 0.9838091, 0.04570375
 149433536, -0.02438557, -0.02740421, -0.0008724835, 0.001089464, 0.008164149, -0.005968732, 0.0368584, 0.0005187924, -0.1225178, 0.9841141, 0.04570375
 149634289, 0.006298508, 0.004980059, 0.08696923, 0.001091626, -0.0004036382, 0.01288558, 0.02256319, 0.000520954, -0.1225019, 0.9843673, 0.04121499
 149834209, 0.01536477, 0.01526876, 0.188747, 0.001091626, 0.0152108, 0.003525615, 0.1228443, 0.0005187924, -0.1224942, 0.985141, 0.04579443
 150034129, 0.04474752, 0.02344261, 0.2121515, 0.001089464, 0.003805845, -0.002414844, -0.02063531, 0.0005187924, -0.1220297, 0.9852531, 0.04570375
 150234049, -0.006472127, 0.0331509, -0.1205864, 0.001089464, -0.001690087, 0.03123832, -0.04840624, 0.0005187924, -0.1207797, 0.9850297, 0.04570375
 150433969, 0.01103953, 0.05805555, -0.0652519, 0.001089464, 0.01454076, 0.009059624, 0.02115681, 0.0005187924, -0.1208231, 0.9851295, 0.05027412
 150633889, 0.03398383, 0.01181725, 0.04889746, 0.001089464, -0.007319889, -0.006810008, 0.002177798, 0.0005187924, -0.1226021, 0.984903, 0.04570375
 150833809, -0.02039617, -0.02593746, -0.009446007, 0.001089464, -0.002708775, 0.008784775, 0.00929308, 0.0005187924, -0.120578, 0.985193, 0.04570375
 151033729, 0.02561148, 0.01288405, 0.1766187, 0.001089464, 0.03813649, -0.01582352, 0.1014923, 0.0005187924, -0.1225245, 0.9857485, 0.04570375
 151233649, 0.06530549, -0.03846449, 0.1756441, 0.001089464, -0.008730809, -0.007750274, -0.04166948, 0.0005187924, -0.1232258, 0.9856183, 0.04570375
 151433569, -0.01884279, 0.0008150941, -0.09125217, 0.001089464, -0.004005874, 0.001310483, 0.02239733, 0.0005187924, -0.122574, 0.9857097, 0.04570375
 151633489, -0.02132674, 0.02255837, -0.03279809, 0.001089464, -0.02070976, -0.004679817, -0.05300079, 0.0005187924, -0.1217506, 0.9854312, 0.04570375
