TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 196263963, 0.007119938, -0.01409322, -0.002607987, 0.02651175, -0.02675842, 5.833052E-05, 0, 0, 0, 0, 0, 0
 196336434, -0.0007870514, 0.01771595, 2.625894E-05, 0.02558764, -0.0266886, 0.4000069, 0.007119938, -0.01409322, -0.002607987, 0.02651175, -0.02675842, 5.833052E-05
 196436394, -0.01689952, 0.008477898, -1.819349E-05, 0.02525689, -0.02687006, 0.4000061, -0.0007870514, 0.01771595, 2.625894E-05, 0.02558764, -0.0266886, 0.4000069
 196536354, 0.01382098, -0.009368198, 1.116175E-05, 0.02592701, -0.02726931, 0.4000069, -0.01689952, 0.008477898, -1.819349E-05, 0.02525689, -0.02687006, 0.4000061
 196636314, 0.00811283, -0.00397821, 8.999614E-06, 0.02578401, -0.02714279, 0.400007, 0.01382098, -0.009368198, 1.116175E-05, 0.02592701, -0.02726931, 0.4000069
 196736274, 0.02261154, -0.00806545, 2.984636E-05, 0.02615129, -0.02723959, 0.4000075, 0.00811283, -0.00397821, 8.999614E-06, 0.02578401, -0.02714279, 0.400007
 196836234, 0.01257039, 0.01819866, 5.232766E-05, 0.02589135, -0.02668341, 0.4000079, 0.02261154, -0.00806545, 2.984636E-05, 0.02615129, -0.02723959, 0.4000075
 196936194, -0.01047011, -0.01144526, -3.77999E-05, 0.02537415, -0.02732417, 0.4000058, 0.01257039, 0.01819866, 5.232766E-05, 0.02589135, -0.02668341, 0.4000079
 197036154, -0.00746101, -0.02464069, -5.312983E-05, 0.02543536, -0.02766832, 0.4000052, -0.01047011, -0.01144526, -3.77999E-05, 0.02537415, -0.02732417, 0.4000058
 197136114, -0.02214549, 0.01611476, -1.617453E-05, 0.02515231, -0.02672721, 0.4000062, -0.00746101, -0.02464069, -5.312983E-05, 0.02543536, -0.02766832, 0.4000052
 197236074, 0.02486857, 0.01684708, 7.374157E-05, 0.02620992, -0.02671466, 0.4000082, -0.02214549, 0.01611476, -1.617453E-05, 0.02515231, -0.02672721, 0.4000062
 197336034, 0.004536418, -0.01086836, -8.814621E-06, 0.02569962, -0.02731612, 0.4000059, 0.02486857, 0.01684708, 7.374157E-05, 0.02620992, -0.02671466, 0.4000082
 197435994, -0.02313381, -0.02068001, -7.658605E-05, 0.02513828, -0.02756878, 0.4000042, 0.004536418, -0.01086836, -8.814621E-06, 0.02569962, -0.02731612, 0.4000059
 197535954, -0.006783534, -0.009343766, -2.774318E-05, 0.02545202, -0.02728269, 0.4000052, -0.02313381, -0.02068001, -7.658605E-05, 0.02513828, -0.02756878, 0.4000042
 197635914, -0.01337414, -0.004307829, -3.205827E-05, 0.02531866, -0.02716449, 0.4000051, -0.006783534, -0.009343766, -2.774318E-05, 0.02545202, -0.02728269, 0.4000052
 197735874, -0.01414913, -0.006630367, -3.731195E-05, 0.02530256, -0.02722009, 0.400005, -0.01337414, -0.004307829, -3.205827E-05, 0.02531866, -0.02716449, 0.4000051
 197835834, -0.01873022, -0.008295685, -4.869611E-05, 0.02521496, -0.02726095, 0.4000047, -0.01414913, -0.006630367, -3.731195E-05, 0.02530256, -0.02722009, 0.400005
 197935794, -0.01404767, 0.007768593, -1.400697E-05, 0.02530189, -0.02690201, 0.4000056, -0.01873022, -0.008295685, -4.869611E-05, 0.02521496, -0.02726095, 0.4000047
 198035754, -0.002640904, -0.02518791, -4.561056E-05, 0.02553462, -0.02769298, 0.4000049, -0.01404767, 0.007768593, -1.400697E-05, 0.02530189, -0.02690201, 0.4000056
 198135714, 0.006963532, -0.01598729, -1.271915E-05, 0.0257542, -0.02745201, 0.4000055, -0.002640904, -0.02518791, -4.561056E-05, 0.02553462, -0.02769298, 0.4000049
 198235674, -0.02104901, 0.01951163, -7.977938E-06, 0.02517288, -0.02667802, 0.4000053, 0.006963532, -0.01598729, -1.271915E-05, 0.0257542, -0.02745201, 0.4000055
 198336467, 0.02235784, 0.002317953, 4.580469E-05, 0.02614638, -0.02702539, 0.4000062, -0.02104901, 0.01951163, -7.977938E-06, 0.02517288, -0.02667802, 0.4000053
 198436427, 0.02100493, -0.02271394, 2.111174E-06, 0.02611288, -0.02763633, 0.4000048, 0.02235784, 0.002317953, 4.580469E-05, 0.02614638, -0.02702539, 0.4000062
 198536387, 0.008138929, 0.00698557, 2.662835E-05, 0.02578987, -0.02692622, 0.4000055, 0.02100493, -0.02271394, 2.111174E-06, 0.02611288, -0.02763633, 0.4000048
 198636347, -0.007101696, 0.005190012, -4.806801E-06, 0.0254507, -0.02696159, 0.4000048, 0.008138929, 0.00698557, 2.662835E-05, 0.02578987, -0.02692622, 0.4000055
 198736307, -0.01709114, 0.0220686, 3.978857E-06, 0.02525473, -0.02663099, 0.400005, -0.007101696, 0.005190012, -4.806801E-06, 0.0254507, -0.02696159, 0.4000048
 198836267, 0.00337957, -0.0003072675, 5.787726E-06, 0.02568223, -0.02707813, 0.4000051, -0.01709114, 0.0220686, 3.978857E-06, 0.02525473, -0.02663099, 0.400005
 198936227, -0.02299241, 0.01516455, -1.828055E-05, 0.02514884, -0.02675463, 0.4000048, 0.00337957, -0.0003072675, 5.787726E-06, 0.02568223, -0.02707813, 0.4000051
 199036187, -0.02044013, -0.02142447, -7.236825E-05, 0.02519434, -0.02758892, 0.4000037, -0.02299241, 0.01516455, -1.828055E-05, 0.02514884, -0.02675463, 0.4000048
 199136147, -0.005174753, 0.0114972, 8.796751E-06, 0.0254935, -0.02682218, 0.4000056, -0.02044013, -0.02142447, -7.236825E-05, 0.02519434, -0.02758892, 0.4000037
 199236107, 0.01904198, -0.004272745, 2.859425E-05, 0.02606573, -0.02716029, 0.4000062, -0.005174753, 0.0114972, 8.796751E-06, 0.0254935, -0.02682218, 0.4000056
 199336067, 0.0207851, -0.009656413, 2.322401E-05, 0.02611154, -0.02728772, 0.4000061, 0.01904198, -0.004272745, 2.859425E-05, 0.02606573, -0.02716029, 0.4000062
 199436027, -0.00160652, -0.01395404, -2.530674E-05, 0.02556967, -0.02739347, 0.400005, 0.0207851, -0.009656413, 2.322401E-05, 0.02611154, -0.02728772, 0.4000061
 199535987, -0.01522065, -0.003129303, -3.341178E-05, 0.0252878, -0.02713269, 0.4000051, -0.00160652, -0.01395404, -2.530674E-05, 0.02556967, -0.02739347, 0.400005
