TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 158154213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158254173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158354133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158454093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158554053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158654013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158773965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158873925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158973885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159073845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159173805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159273765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159373725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159473685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159573645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159673605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159773565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159873525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159973485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160074278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160174238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160274198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160374158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160474118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160574078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160674038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160773998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160893950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160993910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161093870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161193830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161293790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161393750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161493710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161593670, -0.2291438, 0.02323101, -0.03643742, 0.1110415, -0.004921617, 0.9938377, 0, 0, 0, 0, 0, 0
 161693630, 0.2409654, -0.02854348, -0.05690466, 0.2555265, -0.01876926, 0.9778, -0.2291438, 0.02323101, -0.03643742, 0.1110415, -0.004921617, 0.9938377
 161793590, 0.09770793, -0.009526975, -0.04138066, 0.1473882, -0.004811314, 0.9896624, 0.2409654, -0.02854348, -0.05690466, 0.2555265, -0.01876926, 0.9778
 161893550, 0.05644155, -0.004116294, -0.06699023, 0.1341084, -0.002646844, 0.9911415, 0.09770793, -0.009526975, -0.04138066, 0.1473882, -0.004811314, 0.9896624
 161993510, 0.03843162, -0.004466866, -0.0650051, 0.130954, -0.003164375, 0.9914752, 0.05644155, -0.004116294, -0.06699023, 0.1341084, -0.002646844, 0.9911415
 162094303, 0.01730264, -0.0005832301, -0.06253804, 0.1287032, -0.003588072, 0.9917199, 0.03843162, -0.004466866, -0.0650051, 0.130954, -0.003164375, 0.9914752
 162194263, 0.005377462, -0.001496233, -0.06114984, 0.1303725, -0.004886752, 0.9914824, 0.01730264, -0.0005832301, -0.06253804, 0.1287032, -0.003588072, 0.9917199
 162294223, -0.007429446, 0.001283868, -0.06456872, 0.1311934, -0.006555935, 0.9913584, 0.005377462, -0.001496233, -0.06114984, 0.1303725, -0.004886752, 0.9914824
 162394183, -0.0214124, -0.0002093536, -0.05771656, 0.1338775, -0.009362471, 0.9909713, -0.007429446, 0.001283868, -0.06456872, 0.1311934, -0.006555935, 0.9913584
 162494143, -0.04723191, 0.002904163, -0.05412591, 0.1363421, -0.009516567, 0.9906307, -0.0214124, -0.0002093536, -0.05771656, 0.1338775, -0.009362471, 0.9909713
 162594103, -0.06277721, 0.004249952, -0.04178149, 0.1385406, -0.006247822, 0.9903526, -0.04723191, 0.002904163, -0.05412591, 0.1363421, -0.009516567, 0.9906307
 162694063, -0.09067063, 0.004679041, -0.04797765, 0.1391006, -0.003527191, 0.9902877, -0.06277721, 0.004249952, -0.04178149, 0.1385406, -0.006247822, 0.9903526
 162794023, -0.1183091, 0.008768108, -0.04395425, 0.1411541, -0.002033181, 0.9900047, -0.09067063, 0.004679041, -0.04797765, 0.1391006, -0.003527191, 0.9902877
 162913975, -0.1510182, 0.02077241, -0.03911196, 0.1435039, -0.003356532, 0.9896742, -0.1183091, 0.008768108, -0.04395425, 0.1411541, -0.002033181, 0.9900047
 163013935, -0.1966985, 0.02379834, -0.05777209, 0.146305, -0.006651645, 0.9892598, -0.1510182, 0.02077241, -0.03911196, 0.1435039, -0.003356532, 0.9896742
 163113895, -0.2944452, 0.03370722, -0.05342547, 0.1571861, -0.009226228, 0.9876707, -0.1966985, 0.02379834, -0.05777209, 0.146305, -0.006651645, 0.9892598
 163213855, -0.3664918, 0.03550264, -0.03749103, 0.1686699, -0.01032322, 0.9859703, -0.2944452, 0.03370722, -0.05342547, 0.1571861, -0.009226228, 0.9876707
 163313815, -0.4010158, 0.04185545, -0.002109792, 0.174501, -0.01202394, 0.9851141, -0.3664918, 0.03550264, -0.03749103, 0.1686699, -0.01032322, 0.9859703
 163413775, -0.6282253, 0.07270246, 0.03745304, 0.2257431, -0.02010905, 0.9774485, -0.4010158, 0.04185545, -0.002109792, 0.174501, -0.01202394, 0.9851141
 163513735, -0.9652241, 0.1084741, 0.08446929, 0.3334288, -0.03293739, 0.9610603, -0.6282253, 0.07270246, 0.03745304, 0.2257431, -0.02010905, 0.9774485
 163613695, -1.071977, 0.128754, 0.1013196, 0.3703234, -0.03506925, 0.9554044, -0.9652241, 0.1084741, 0.08446929, 0.3334288, -0.03293739, 0.9610603
 163713655, -2.134994, 0.2537553, 0.2303612, 0.9001102, -0.09752919, 0.8758067, -1.071977, 0.128754, 0.1013196, 0.3703234, -0.03506925, 0.9554044
 163813615, -31.82032, 3.740408, 4.779792, 28.65806, -3.368878, -3.343552, -2.134994, 0.2537553, 0.2303612, 0.9001102, -0.09752919, 0.8758067
 163913575, 1.866518, -0.2233939, -0.3779811, 2.427865, -0.2803705, 0.6386043, -31.82032, 3.740408, 4.779792, 28.65806, -3.368878, -3.343552
 164013535, 2.16388, -0.2598577, -0.3961467, 3.473999, -0.404264, 0.4735796, 1.866518, -0.2233939, -0.3779811, 2.427865, -0.2803705, 0.6386043
 164113495, 1.324871, -0.1520672, -0.2662084, 0.9734825, -0.1090042, 0.8608825, 2.16388, -0.2598577, -0.3961467, 3.473999, -0.404264, 0.4735796
 164214288, 0.9719051, -0.1165893, -0.2049531, 0.5477486, -0.05780949, 0.9275967, 1.324871, -0.1520672, -0.2662084, 0.9734825, -0.1090042, 0.8608825
