TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 139874028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139993980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140093940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140193900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140293860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140393820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140493780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140593740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140693700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140793660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140893620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140993580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141093540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141193500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141294293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141394253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141494213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141594173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141694133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141794093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141894053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141994013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142113965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142213925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142313885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142413845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142513805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142613765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142713725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142813685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142913645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143013605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143113565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143213525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143313485, -0.08217894, 0.009363345, -0.02199812, 0.1059014, -0.001982489, 0.9944068, 0, 0, 0, 0, 0, 0
 143414278, -0.3949837, 0.04591712, 0.01585096, 0.1636669, -0.008770688, 0.9883921, -0.08217894, 0.009363345, -0.02199812, 0.1059014, -0.001982489, 0.9944068
 143514238, 0.2496093, -0.02753932, -0.08231132, 0.260543, -0.02355708, 0.9776366, -0.3949837, 0.04591712, 0.01585096, 0.1636669, -0.008770688, 0.9883921
 143614198, 0.1088415, -0.01315158, -0.07238564, 0.1483687, -0.01209036, 0.9896716, 0.2496093, -0.02753932, -0.08231132, 0.260543, -0.02355708, 0.9776366
 143714158, 0.05890935, -0.004473743, -0.03687975, 0.1301174, -0.008938469, 0.9916284, 0.1088415, -0.01315158, -0.07238564, 0.1483687, -0.01209036, 0.9896716
 143814118, 0.03063595, -0.006143127, -0.06914093, 0.1285379, -0.009559745, 0.991728, 0.05890935, -0.004473743, -0.03687975, 0.1301174, -0.008938469, 0.9916284
 143914078, 0.01863544, -0.002539529, -0.06278117, 0.1307077, -0.01076323, 0.9914073, 0.03063595, -0.006143127, -0.06914093, 0.1285379, -0.009559745, 0.991728
 144014038, 0.003984898, -0.002813417, -0.06103208, 0.1313958, -0.01357255, 0.9912647, 0.01863544, -0.002539529, -0.06278117, 0.1307077, -0.01076323, 0.9914073
 144113998, -0.01029549, 0.004693105, -0.05908591, 0.1322016, -0.01598161, 0.9911172, 0.003984898, -0.002813417, -0.06103208, 0.1313958, -0.01357255, 0.9912647
 144233950, -0.02847878, 0.0002759161, -0.05170482, 0.1352137, -0.01676541, 0.9906904, -0.01029549, 0.004693105, -0.05908591, 0.1322016, -0.01598161, 0.9911172
 144333910, -0.05112661, 0.002507132, -0.08383112, 0.1377089, -0.01472349, 0.9903786, -0.02847878, 0.0002759161, -0.05170482, 0.1352137, -0.01676541, 0.9906904
 144433870, -0.0770696, 0.005434916, -0.04983271, 0.1387901, -0.01204546, 0.9902642, -0.05112661, 0.002507132, -0.08383112, 0.1377089, -0.01472349, 0.9903786
 144533830, -0.09805225, 0.01115465, -0.07706665, 0.1401522, -0.007761754, 0.9901196, -0.0770696, 0.005434916, -0.04983271, 0.1387901, -0.01204546, 0.9902642
 144633790, -0.1286098, 0.0116986, -0.04746616, 0.141678, -0.006388898, 0.9899138, -0.09805225, 0.01115465, -0.07706665, 0.1401522, -0.007761754, 0.9901196
 144733750, -0.1548557, 0.02089525, -0.03346065, 0.1435995, -0.007244735, 0.9896407, -0.1286098, 0.0116986, -0.04746616, 0.141678, -0.006388898, 0.9899138
 144833710, -0.1948013, 0.01940054, -0.03305602, 0.1448544, -0.01160037, 0.9894268, -0.1548557, 0.02089525, -0.03346065, 0.1435995, -0.007244735, 0.9896407
 144933670, -0.2683114, 0.03133136, -0.02220801, 0.1527457, -0.01393701, 0.9882779, -0.1948013, 0.01940054, -0.03305602, 0.1448544, -0.01160037, 0.9894268
 145033630, -0.3175331, 0.04180304, -0.01435259, 0.1609764, -0.01460548, 0.9870638, -0.2683114, 0.03133136, -0.02220801, 0.1527457, -0.01393701, 0.9882779
 145133590, -0.5198803, 0.05840473, 0.02070338, 0.1990338, -0.01576875, 0.9814885, -0.3175331, 0.04180304, -0.01435259, 0.1609764, -0.01460548, 0.9870638
 145233550, -0.6827047, 0.07287684, 0.04078267, 0.240629, -0.01982144, 0.9752078, -0.5198803, 0.05840473, 0.02070338, 0.1990338, -0.01576875, 0.9814885
 145333510, -0.8927703, 0.1001987, 0.07141152, 0.3039363, -0.027438, 0.9659163, -0.6827047, 0.07287684, 0.04078267, 0.240629, -0.01982144, 0.9752078
 145434303, -1.209492, 0.1269313, 0.08692477, 0.4197914, -0.04185844, 0.9489564, -0.8927703, 0.1001987, 0.07141152, 0.3039363, -0.027438, 0.9659163
 145534263, -1.980811, 0.2223587, 0.2386907, 0.8083937, -0.08475066, 0.8908673, -1.209492, 0.1269313, 0.08692477, 0.4197914, -0.04185844, 0.9489564
 145634223, 14.47656, -1.627007, -2.213534, 19.49862, -2.191885, -1.888883, -1.980811, 0.2223587, 0.2386907, 0.8083937, -0.08475066, 0.8908673
 145734183, 3.241276, -0.3673814, -0.5449217, 30.17422, -3.373293, -3.496392, 14.47656, -1.627007, -2.213534, 19.49862, -2.191885, -1.888883
 145834143, 1.362207, -0.1579815, -0.2664387, 1.067549, -0.1092782, 0.8501705, 3.241276, -0.3673814, -0.5449217, 30.17422, -3.373293, -3.496392
