TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 138873595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 138973555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139073515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139173475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139274268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139374228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139474188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139574148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139674108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139774068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139874028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139993980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140093940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140193900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140293860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140393820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140493780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140593740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140693700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140793660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140893620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140993580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141093540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141193500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141294293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141394253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141494213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141594173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141694133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141794093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141894053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141994013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142113965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142213925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142313885, -0.06050244, 0.006778086, 0.005479532, 0.006846872, 0.001996386, -0.0005682013, 0, 0, 0, 0, 0, 0
 142413845, -0.2223179, 0.0255042, -0.03805745, 0.1055528, -0.004272331, 0.994431, -0.06050244, 0.006778086, 0.005479532, 0.006846872, 0.001996386, -0.0005682013
 142513805, 0.5258164, -0.05874754, -0.08429895, 0.9151225, -0.09386991, 0.9110634, -0.2223179, 0.0255042, -0.03805745, 0.1055528, -0.004272331, 0.994431
 142613765, 0.1334412, -0.01387719, -0.07443736, 0.1573415, -0.01046139, 0.9889317, 0.5258164, -0.05874754, -0.08429895, 0.9151225, -0.09386991, 0.9110634
 142713725, 0.07260171, -0.007698263, -0.06812814, 0.129247, -0.009518189, 0.9918539, 0.1334412, -0.01387719, -0.07443736, 0.1573415, -0.01046139, 0.9889317
 142813685, 0.04860106, -0.006766002, -0.03564138, 0.1247062, -0.01020485, 0.9922555, 0.07260171, -0.007698263, -0.06812814, 0.129247, -0.009518189, 0.9918539
 142913645, 0.02215816, -0.005025871, -0.06296211, 0.1221536, -0.008692209, 0.9925219, 0.04860106, -0.006766002, -0.03564138, 0.1247062, -0.01020485, 0.9922555
 143013605, 0.007932536, 0.001762195, -0.06132147, 0.1231257, -0.006396675, 0.9924034, 0.02215816, -0.005025871, -0.06296211, 0.1221536, -0.008692209, 0.9925219
 143113565, -0.003570492, -0.0005357416, -0.06001004, 0.1250798, -0.004508359, 0.9921602, 0.007932536, 0.001762195, -0.06132147, 0.1231257, -0.006396675, 0.9924034
 143213525, -0.01976854, 0.0008704729, -0.05800134, 0.1272489, -0.002878954, 0.9918847, -0.003570492, -0.0005357416, -0.06001004, 0.1250798, -0.004508359, 0.9921602
 143313485, -0.03206395, 0.004487794, -0.05639626, 0.1287386, -0.001703391, 0.9916957, -0.01976854, 0.0008704729, -0.05800134, 0.1272489, -0.002878954, 0.9918847
 143414278, -0.05239372, 0.01026199, -0.05369555, 0.1295564, -0.002683316, 0.9915886, -0.03206395, 0.004487794, -0.05639626, 0.1287386, -0.001703391, 0.9916957
 143514238, -0.07322031, 0.008813951, -0.05091401, 0.1307171, -0.005866038, 0.9914211, -0.05239372, 0.01026199, -0.05369555, 0.1295564, -0.002683316, 0.9915886
