TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 139993980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140093940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140193900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140293860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140393820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140493780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140593740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140693700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140793660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140893620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140993580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141093540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141193500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141294293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141394253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141494213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141594173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141694133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141794093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141894053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 141994013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142113965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142213925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142313885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142413845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142513805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142613765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142713725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142813685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142913645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143013605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143113565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143213525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143313485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143414278, -0.0715434, 0.009882943, 0.006351996, 0.007439192, 0.002403819, -0.0006032691, 0, 0, 0, 0, 0, 0
 143514238, -0.2494136, 0.02769558, -0.03099691, 0.1086025, -0.007884898, 0.994139, -0.0715434, 0.009882943, 0.006351996, 0.007439192, 0.002403819, -0.0006032691
 143614198, 0.5455862, -0.06078383, -0.1146122, 0.9923099, -0.1051712, 0.9061434, -0.2494136, 0.02769558, -0.03099691, 0.1086025, -0.007884898, 0.994139
 143714158, 0.1127846, -0.0106121, -0.07192703, 0.143379, -0.01001273, 0.9905099, 0.5455862, -0.06078383, -0.1146122, 0.9923099, -0.1051712, 0.9061434
 143814118, 0.06088932, -0.009410022, -0.06697692, 0.1267554, -0.007497442, 0.9921069, 0.1127846, -0.0106121, -0.07192703, 0.143379, -0.01001273, 0.9905099
 143914078, 0.04181086, -0.005405006, -0.06514163, 0.1259163, -0.00639404, 0.9921217, 0.06088932, -0.009410022, -0.06697692, 0.1267554, -0.007497442, 0.9921069
 144014038, 0.02503641, -0.005354486, -0.06336467, 0.1252463, -0.007207322, 0.9921539, 0.04181086, -0.005405006, -0.06514163, 0.1259163, -0.00639404, 0.9921217
 144113998, 0.01022681, 0.001727235, -0.06161951, 0.1253079, -0.008514933, 0.9921171, 0.02503641, -0.005354486, -0.06336467, 0.1252463, -0.007207322, 0.9921539
 144233950, -0.007692256, -0.002034326, -0.06457599, 0.1279236, -0.009257082, 0.9917623, 0.01022681, 0.001727235, -0.06161951, 0.1253079, -0.008514933, 0.9921171
 144333910, -0.02226542, -0.0007026825, -0.05766713, 0.1299348, -0.008204665, 0.9915056, -0.007692256, -0.002034326, -0.06457599, 0.1279236, -0.009257082, 0.9917623
 144433870, -0.04639342, 0.002121376, -0.05449973, 0.1302226, -0.006608764, 0.9914774, -0.02226542, -0.0007026825, -0.05766713, 0.1299348, -0.008204665, 0.9915056
 144533830, -0.05418275, 0.006321405, -0.0130835, 0.1309979, -0.003122005, 0.9913953, -0.04639342, 0.002121376, -0.05449973, 0.1302226, -0.006608764, 0.9914774
 144633790, -0.08499426, 0.006787299, -0.04936229, 0.1315626, -0.001869398, 0.9913238, -0.05418275, 0.006321405, -0.0130835, 0.1309979, -0.003122005, 0.9913953
 144733750, -0.1053121, 0.01488759, -0.04657713, 0.1325134, -0.002230566, 0.9912022, -0.08499426, 0.006787299, -0.04936229, 0.1315626, -0.001869398, 0.9913238
 144833710, -0.1328088, 0.01241558, -0.04307412, 0.1323376, -0.005776333, 0.9912118, -0.1053121, 0.01488759, -0.04657713, 0.1325134, -0.002230566, 0.9912022
 144933670, -0.1796232, 0.02103041, -0.03660139, 0.1360666, -0.007243042, 0.99071, -0.1328088, 0.01241558, -0.04307412, 0.1323376, -0.005776333, 0.9912118
 145033630, -0.2125689, 0.02929143, -0.03669482, 0.1408728, -0.007784314, 0.9900544, -0.1796232, 0.02103041, -0.03660139, 0.1360666, -0.007243042, 0.99071
 145133590, -0.3196755, 0.03578148, -0.01166457, 0.1543417, -0.006820885, 0.9882106, -0.2125689, 0.02929143, -0.03669482, 0.1408728, -0.007784314, 0.9900544
 145233550, -0.3969522, 0.04123333, -0.005292166, 0.1679387, -0.008314736, 0.9862772, -0.3196755, 0.03578148, -0.01166457, 0.1543417, -0.006820885, 0.9882106
 145333510, -0.4964162, 0.05609619, 0.008358262, 0.1858439, -0.01104233, 0.9838088, -0.3969522, 0.04123333, -0.005292166, 0.1679387, -0.008314736, 0.9862772
 145434303, -0.6203677, 0.06199037, 0.02514921, 0.212802, -0.01590121, 0.9800894, -0.4964162, 0.05609619, 0.008358262, 0.1858439, -0.01104233, 0.9838088
 145534263, -0.8284538, 0.09387836, 0.06046662, 0.273797, -0.02249733, 0.9714341, -0.6203677, 0.06199037, 0.02514921, 0.212802, -0.01590121, 0.9800894
 145634223, -1.868258, 0.2171524, 0.2017703, 0.745609, -0.07464267, 0.9051644, -0.8284538, 0.09387836, 0.06046662, 0.273797, -0.02249733, 0.9714341
 145734183, -4.256143, 0.4755683, 0.5404486, 2.391955, -0.2593982, 0.6721343, -1.868258, 0.2171524, 0.2017703, 0.745609, -0.07464267, 0.9051644
 145834143, 3.983195, -0.4557941, -0.6351694, 36.82761, -4.160376, -4.254841, -4.256143, 0.4755683, 0.5404486, 2.391955, -0.2593982, 0.6721343
 145934103, 7.130396, -0.8182907, -1.098716, 15.20411, -1.716593, -1.20273, 3.983195, -0.4557941, -0.6351694, 36.82761, -4.160376, -4.254841
 146034063, 2.330717, -0.2648973, -0.3986871, 4.26953, -0.4745013, 0.3822884, 7.130396, -0.8182907, -1.098716, 15.20411, -1.716593, -1.20273
 146134023, 1.640376, -0.1911195, -0.3241856, 1.512121, -0.161941, 0.7909184, 2.330717, -0.2648973, -0.3986871, 4.26953, -0.4745013, 0.3822884
