TimeUS,CAN,CAE,CAD,CAe
 139993980, -0.003279292, 0.004164552, -0.0001396574, 0.0003112754
 140093940, -0.002543761, 0.003483149, 4.496682E-05, 0.0002593962
 140193900, -0.002903043, 0.003364928, 0.0001030033, 0.0002593962
 140293860, -0.001921128, 0.003517511, -0.0002724416, 0.0002593962
 140393820, 0.03086324, 7.724448E-05, -0.0001725365, 0.0002593962
 140493780, 0.1077617, -0.008539169, -0.000249267, 0.0002593962
 140593740, 0.206182, -0.01947199, 0.001954345, 0.0002593962
 140693700, 0.3119591, -0.03088386, 0.004738742, 0.0002593962
 140793660, 0.4204774, -0.04279741, 0.008166011, 0.0002593962
 140893620, 0.5253912, -0.0532965, 0.01034005, 0.0002593962
 140993580, 0.6282526, -0.06583205, 0.01255474, 0.0002593962
 141093540, 0.7289376, -0.07969208, 0.01464768, 0.0002593962
 141193500, 0.8239186, -0.08388542, 0.01671, 0.0002593962
 141294293, 0.9178338, -0.1005674, 0.01898873, 0.0002615578
 141394253, 0.9570313, -0.09814572, 0.0209285, 0.0002593962
 141494213, 0.9583263, -0.1009468, 0.02238663, 0.0002593962
 141594173, 0.9280075, -0.09874052, 0.02275935, 0.0002593962
 141694133, 0.8850878, -0.08782491, 0.02213998, 0.0002593962
 141794093, 0.8391291, -0.0895771, 0.02109988, 0.0002593962
 141894053, 0.7944554, -0.08511612, 0.01910103, 0.0002593962
 141994013, 0.7390199, -0.07900952, -0.02829173, 0.0002593962
 142113965, 0.8362929, -0.08265938, -0.04340166, 0.0003112754
 142213925, 0.6254686, -0.06698603, 0.004871403, 0.0002593962
 142313885, 0.6905103, -0.07263198, 0.001546738, 0.0002593962
 142413845, 0.916824, -0.09342749, -0.3902296, 0.0002593962
 142513805, 0.8546306, -0.1014812, -0.5684678, 0.0002593962
 142613765, 0.7871012, -0.09784272, -0.4939476, 0.0002593962
 142713725, 0.7330151, -0.08306008, -0.3524992, 0.0002593962
 142813685, 0.6932631, -0.06070586, -0.2400901, 0.0002593962
 142913645, 0.6487011, -0.04938012, -0.2200502, 0.0002593962
 143013605, 0.6106006, -0.05063824, -0.1894141, 0.0002593962
 143113565, 0.5733176, -0.05812303, -0.1913199, 0.0002593962
 143213525, 0.5315969, -0.0632122, -0.2096323, 0.0002593962
 143313485, 0.4914603, -0.06134503, -0.1996249, 0.0002593962
 143414278, 0.4602414, -0.05593035, -0.1909792, 0.0002615578
