TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 158034261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158234181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158434101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158634021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 158833941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159033861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159233781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159433701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159633621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 159833541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160034294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160234214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160434134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160634054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 160833974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161033894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161233814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161433734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 161633654, -0.2158551, 0.0226905, -0.009066848, 0.1027187, -0.00772079, 0.9947043, 0, 0, 0, 0, 0, 0
 161833574, 0.1462947, -0.01838897, -0.04555934, 0.1636955, -0.01026564, 0.9882992, -0.2158551, 0.0226905, -0.009066848, 0.1027187, -0.00772079, 0.9947043
 162033494, 0.04010928, -0.003317974, -0.06491876, 0.1257806, -0.0003352654, 0.9921563, 0.1462947, -0.01838897, -0.04555934, 0.1636955, -0.01026564, 0.9882992
 162234247, 0.01212296, -0.001488711, -0.06181434, 0.122849, -0.0005087771, 0.9924622, 0.04010928, -0.003317974, -0.06491876, 0.1257806, -0.0003352654, 0.9921563
 162434167, -0.01727427, 0.0009356016, -0.0583439, 0.124234, -0.003929678, 0.9922649, 0.01212296, -0.001488711, -0.06181434, 0.122849, -0.0005087771, 0.9924622
 162634087, -0.04659022, 0.002222526, -0.05457351, 0.1280122, -0.008415597, 0.9917537, -0.01727427, 0.0009356016, -0.0583439, 0.124234, -0.003929678, 0.9922649
 162834007, -0.09911148, 0.007935477, -0.04735915, 0.1331534, -0.005035808, 0.9911017, -0.04659022, 0.002222526, -0.05457351, 0.1280122, -0.008415597, 0.9917537
 163033927, -0.169471, 0.01393553, -0.03781273, 0.1373447, -0.001136486, 0.9905533, -0.09911148, 0.007935477, -0.04735915, 0.1331534, -0.005035808, 0.9911017
 163233847, -0.2707282, 0.03185814, -0.02395069, 0.1466856, -0.005704679, 0.9892885, -0.169471, 0.01393553, -0.03781273, 0.1373447, -0.001136486, 0.9905533
 163433767, -0.5401213, 0.05400674, -0.02140397, 0.1950406, -0.0119643, 0.9825723, -0.2707282, 0.03185814, -0.02395069, 0.1466856, -0.005704679, 0.9892885
 163633687, -0.9734046, 0.1106753, 0.07546633, 0.3277227, -0.03024896, 0.9639178, -0.5401213, 0.05400674, -0.02140397, 0.1950406, -0.0119643, 0.9825723
 163833607, -1.846402, 0.215767, 0.2073054, 0.7314954, -0.07514233, 0.9059862, -0.9734046, 0.1106753, 0.07546633, 0.3277227, -0.03024896, 0.9639178
 164033527, 4.079252, -0.4782585, -0.643253, 34.42392, -3.974147, -3.905619, -1.846402, 0.215767, 0.2073054, 0.7314954, -0.07514233, 0.9059862
 164234280, 1.512168, -0.1801996, -0.3110665, 1.298737, -0.1456619, 0.8215612, 4.079252, -0.4782585, -0.643253, 34.42392, -3.974147, -3.905619
 164434200, 0.8556112, -0.101076, -0.1839902, 0.4412357, -0.04373419, 0.9467559, 1.512168, -0.1801996, -0.3110665, 1.298737, -0.1456619, 0.8215612
 164634120, 0.6316873, -0.06777306, -0.1526719, 0.3023916, -0.02431779, 0.9665322, 0.8556112, -0.101076, -0.1839902, 0.4412357, -0.04373419, 0.9467559
 164834040, 0.6499676, -0.07861697, -0.149838, 0.3012303, -0.02328875, 0.9668551, 0.6316873, -0.06777306, -0.1526719, 0.3023916, -0.02431779, 0.9665322
 165033960, 0.5280311, -0.06589282, -0.1334962, 0.2428719, -0.01473903, 0.9760475, 0.6499676, -0.07861697, -0.149838, 0.3012303, -0.02328875, 0.9668551
 165233880, 0.4905021, -0.05145509, -0.1142616, 0.2194643, -0.01095472, 0.979957, 0.5280311, -0.06589282, -0.1334962, 0.2428719, -0.01473903, 0.9760475
 165433800, 0.4286104, -0.04913139, -0.1123375, 0.1922145, -0.009903323, 0.9841345, 0.4905021, -0.05145509, -0.1142616, 0.2194643, -0.01095472, 0.979957
 165633720, 0.4525322, -0.0483827, -0.1115615, 0.1880308, -0.009450981, 0.9852159, 0.4286104, -0.04913139, -0.1123375, 0.1922145, -0.009903323, 0.9841345
 165833640, 0.3858963, -0.0398013, -0.1062676, 0.1658071, -0.003451924, 0.9881379, 0.4525322, -0.0483827, -0.1115615, 0.1880308, -0.009450981, 0.9852159
 166033560, 0.380172, -0.03896781, -0.06821419, 0.1572353, -0.003475617, 0.9893767, 0.3858963, -0.0398013, -0.1062676, 0.1658071, -0.003451924, 0.9881379
 166233480, 0.4321649, -0.06161227, -0.06969595, 0.1576066, -0.003735657, 0.989901, 0.380172, -0.03896781, -0.06821419, 0.1572353, -0.003475617, 0.9893767
 166434233, 0.3770242, -0.03850587, -0.06247494, 0.1413459, 0.0001408393, 0.9916661, 0.4321649, -0.06161227, -0.06969595, 0.1576066, -0.003735657, 0.989901
 166634153, 0.3860276, -0.04165702, -0.09044343, 0.1352547, 0.0006838441, 0.9925928, 0.3770242, -0.03850587, -0.06247494, 0.1413459, 0.0001408393, 0.9916661
 166834073, 0.3508798, -0.05820386, -0.09073729, 0.123029, -0.001219123, 0.993864, 0.3860276, -0.04165702, -0.09044343, 0.1352547, 0.0006838441, 0.9925928
 167033993, 0.3697571, -0.02905883, -0.04766721, 0.1119024, -0.02799913, 0.9948859, 0.3508798, -0.05820386, -0.09073729, 0.123029, -0.001219123, 0.993864
 167233913, 0.3663047, -0.05454208, -0.04920493, 0.09695624, -0.04717061, 0.9957003, 0.3697571, -0.02905883, -0.04766721, 0.1119024, -0.02799913, 0.9948859
