TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 170358496, 0, 0, 0, 0.01, 0, 0, 0, 0
 170430967, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 170630887, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 170830807, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 171030727, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 171231480, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 171431400, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 171631320, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 171831240, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 172031160, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 172231080, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 172431000, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 172630920, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 172830840, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 173030760, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 173230680, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 173431433, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 173631353, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 173831273, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 174031193, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 174231113, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 174431033, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 174630953, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 174830873, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 175030793, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 175230713, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 175431466, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 175631386, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 175831306, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 176031226, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 176231146, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 176431066, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 176630986, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 176830906, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 177030826, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 177230746, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 177430666, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 177631419, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 177831339, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 178031259, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 178231179, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 178431099, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 178631019, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 178830939, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 179030859, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 179230779, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 179430699, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 179631452, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 179831372, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 180031292, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 180231212, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 180431132, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 180631052, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 180830972, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 181030892, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 181230812, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 181430732, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 181631485, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 181831405, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 182031325, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 182231245, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 182431165, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 182631085, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 182831005, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 183030925, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 183230845, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 183430765, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 183630685, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 183831438, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 184031358, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 184231278, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 184431198, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 184631118, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 184831038, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 185030958, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 185230878, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 185430798, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 185630718, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 185831471, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 186031391, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 186231311, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 186431231, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 186631151, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 186831071, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 187030991, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 187230911, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 187430831, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 187630751, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 187830671, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 188031424, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 188231344, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 188431264, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 188631184, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 188831104, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 189031024, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 189230944, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 189430864, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 189630784, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 189830704, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 190031457, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 190231377, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 190431297, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 190631217, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 190831137, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 191031057, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 191230977, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 191430897, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 191630817, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 191830737, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 192030657, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 192231410, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 192431330, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 192631250, 0, 0, 0, 0.01, 0, 0, 0, 0.01
 192831170, 0, 0, 0, 0.01, 0, 0, 0, 0.01
