TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 140033964, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 140233884, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 140433804, 0, 0, 0, 2.5, 0, 0, 0, 2.5
 140633724, 0.08000001, -0.008, 0, 2.5, 0, 0, 0, 2.5
 140833644, 0.53, -0.056, 0.004, 2.5, 0.08000001, -0.008, 0, 2.5
 141033564, 1.453, -0.152, 0.023, 2.5, 0.53, -0.056, 0.004, 2.5
 141233484, 2.839, -0.298, 0.054, 2.5, 1.453, -0.152, 0.023, 2.5
 141434237, 4.668, -0.491, 0.098, 2.5, 2.839, -0.298, 0.054, 2.5
 141634157, 6.786, -0.712, 0.152, 2.5, 4.668, -0.491, 0.098, 2.5
 141834077, 8.855, -0.927, 0.211, 2.5, 6.786, -0.712, 0.152, 2.5
 142033997, 10.738, -1.128, 0.266, 2.5, 8.855, -0.927, 0.211, 2.5
 142233917, 12.401, -1.304, 0.229, 2.5, 10.738, -1.128, 0.266, 2.5
 142433837, 13.835, -1.456, 0.227, 2.5, 12.401, -1.304, 0.229, 2.5
 142633757, 15.715, -1.654, -0.345, 2.5, 13.835, -1.456, 0.227, 2.5
 142833677, 17.525, -1.88, -1.475, 2.5, 15.715, -1.654, -0.345, 2.5
 143033597, 19.098, -2.038, -2.085, 2.5, 17.525, -1.88, -1.475, 2.5
 143233517, 20.487, -2.151, -2.528, 2.5, 19.098, -2.038, -2.085, 2.5
 143434270, 21.701, -2.296, -2.971, 2.5, 20.487, -2.151, -2.528, 2.5
 143634190, 22.75, -2.434, -3.392, 2.5, 21.701, -2.296, -2.971, 2.5
 143834110, 23.648, -2.547, -3.756, 2.5, 22.75, -2.434, -3.392, 2.5
 144034030, 24.409, -2.645, -4.11, 2.5, 23.648, -2.547, -3.756, 2.5
 144233950, 25.036, -2.738, -4.492, 2.5, 24.409, -2.645, -4.11, 2.5
 144433870, 25.576, -2.77, -4.801, 2.5, 25.036, -2.738, -4.492, 2.5
 144633790, 26.029, -2.787, -5.076, 2.5, 25.576, -2.77, -4.801, 2.5
 144833710, 26.419, -2.861, -5.221, 2.5, 26.029, -2.787, -5.076, 2.5
 145033630, 26.756, -2.899, -5.326, 2.5, 26.419, -2.861, -5.221, 2.5
 145233550, 27.041, -2.922, -5.448, 2.5, 26.756, -2.899, -5.326, 2.5
 145434303, 27.257, -2.953, -5.618, 2.5, 27.041, -2.922, -5.448, 2.5
 145634223, 27.473, -2.966, -5.671, 2.5, 27.257, -2.953, -5.618, 2.5
 145834143, 27.627, -2.986, -5.756, 2.5, 27.473, -2.966, -5.671, 2.5
 146034063, 27.746, -3.017, -5.826, 2.5, 27.627, -2.986, -5.756, 2.5
 146233983, 27.808, -3.046, -5.985, 2.5, 27.746, -3.017, -5.826, 2.5
 146433903, 27.901, -3.07, -5.95, 2.5, 27.808, -3.046, -5.985, 2.5
 146633823, 27.978, -3.08, -5.971, 2.5, 27.901, -3.07, -5.95, 2.5
 146833743, 28.046, -3.097, -5.974, 2.5, 27.978, -3.08, -5.971, 2.5
 147033663, 28.116, -3.062, -5.937, 2.5, 28.046, -3.097, -5.974, 2.5
 147233583, 28.196, -3.049, -5.836, 2.5, 28.116, -3.062, -5.937, 2.5
 147433503, 28.315, -3.072, -5.557, 2.5, 28.196, -3.049, -5.836, 2.5
 147634256, 28.422, -3.1, -5.329, 2.5, 28.315, -3.072, -5.557, 2.5
 147834176, 28.454, -3.139, -5.207, 2.5, 28.422, -3.1, -5.329, 2.5
 148034096, 28.474, -3.154, -4.954, 2.5, 28.454, -3.139, -5.207, 2.5
 148234016, 28.51, -3.141, -4.688, 2.5, 28.474, -3.154, -4.954, 2.5
 148433936, 28.562, -3.181, -4.461, 2.5, 28.51, -3.141, -4.688, 2.5
 148633856, 28.613, -3.213, -4.346, 2.5, 28.562, -3.181, -4.461, 2.5
 148833776, 28.679, -3.233, -4.127, 2.5, 28.613, -3.213, -4.346, 2.5
 149033696, 28.698, -3.274, -3.916, 2.5, 28.679, -3.233, -4.127, 2.5
 149233616, 28.731, -2.852, -3.59, 2.5, 28.698, -3.274, -3.916, 2.5
 149433536, 28.73, -2.412, -3.385, 2.5, 28.731, -2.852, -3.59, 2.5
 149634289, 28.675, -2.361, -3.261, 2.5, 28.73, -2.412, -3.385, 2.5
 149834209, 28.605, -2.372, -2.99, 2.5, 28.675, -2.361, -3.261, 2.5
 150034129, 28.559, -2.238, -2.578, 2.5, 28.605, -2.372, -2.99, 2.5
 150234049, 28.517, -2.011, -2.275, 2.5, 28.559, -2.238, -2.578, 2.5
 150433969, 28.452, -1.828, -2.174, 2.5, 28.517, -2.011, -2.275, 2.5
 150633889, 28.382, -1.725, -2.004, 2.5, 28.452, -1.828, -2.174, 2.5
 150833809, 28.33, -1.635, -1.765, 2.5, 28.382, -1.725, -2.004, 2.5
 151033729, 28.284, -1.546, -1.555, 2.5, 28.33, -1.635, -1.765, 2.5
 151233649, 28.256, -1.458, -1.219, 2.5, 28.284, -1.546, -1.555, 2.5
 151433569, 28.227, -1.389, -0.9820001, 2.5, 28.256, -1.458, -1.219, 2.5
 151633489, 28.188, -1.304, -0.872, 2.5, 28.227, -1.389, -0.9820001, 2.5
 151834242, 28.148, -1.208, -0.788, 2.5, 28.188, -1.304, -0.872, 2.5
 152034162, 28.118, -1.126, -0.696, 2.5, 28.148, -1.208, -0.788, 2.5
 152234082, 28.099, -1.074, -0.512, 2.5, 28.118, -1.126, -0.696, 2.5
 152434002, 28.074, -1.021, -0.321, 2.5, 28.099, -1.074, -0.512, 2.5
 152633922, 28.048, -0.987, -0.235, 2.5, 28.074, -1.021, -0.321, 2.5
 152833842, 28.028, -0.9350001, -0.033, 2.5, 28.048, -0.987, -0.235, 2.5
 153033762, 28.006, -0.8750001, 0.024, 2.5, 28.028, -0.9350001, -0.033, 2.5
 153233682, 27.988, -0.8150001, 0.058, 2.5, 28.006, -0.8750001, 0.024, 2.5
 153433602, 27.982, -0.77, 0.19, 2.5, 27.988, -0.8150001, 0.058, 2.5
 153633522, 27.986, -0.734, 0.318, 2.5, 27.982, -0.77, 0.19, 2.5
 153834275, 27.974, -0.689, 0.437, 2.5, 27.986, -0.734, 0.318, 2.5
 154034195, 27.97, -0.649, 0.474, 2.5, 27.974, -0.689, 0.437, 2.5
 154234115, 27.962, -0.6070001, 0.496, 2.5, 27.97, -0.649, 0.474, 2.5
 154434035, 27.966, -0.578, 0.56, 2.5, 27.962, -0.6070001, 0.496, 2.5
 154633955, 27.988, -0.541, 0.625, 2.5, 27.966, -0.578, 0.56, 2.5
 154833875, 28.002, -0.494, 0.625, 2.5, 27.988, -0.541, 0.625, 2.5
 155033795, 28.004, -0.458, 0.692, 2.5, 28.002, -0.494, 0.625, 2.5
 155233715, 28.028, -0.45, 0.8200001, 2.5, 28.004, -0.458, 0.692, 2.5
 155433635, 28.065, -0.443, 0.867, 2.5, 28.028, -0.45, 0.8200001, 2.5
 155633555, 28.086, -0.437, 0.913, 2.5, 28.065, -0.443, 0.867, 2.5
 155833475, 28.108, -0.426, 0.8650001, 2.5, 28.086, -0.437, 0.913, 2.5
