TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 195860791, 2.535699E-07, 4.685655E-05, -8.293648E-07, 6.484905E-06, 0, 0, 0, 0, -0.9999978, -0.001448745, 2.132179
 196030723, -0.03074891, 3.735566, -0.1402004, 0.5087004, 0.4069444, 3.534866, 0.2959659, 0.5086934, -0.9999978, -0.001446818, 115.2376
 196231476, 0.4066123, 3.542047, 0.2959244, 0.5092216, -0.0002061663, 0.004124062, -3.657268E-05, 0.0005209541, -0.9999978, -0.001442874, 170.8972
 196431396, -0.0001300465, 0.01155144, -0.0002855371, 0.001046232, -4.926738E-05, 0.004182949, -0.0001892095, 0.0005187925, -0.9999978, -0.001438949, 0.3511209
 196631316, -0.0002416224, 0.01141851, -0.0003644701, 0.00104407, -0.0004001078, 0.003962377, 1.252031E-05, 0.0005187925, -0.9999978, -0.00143287, 0.3503954
 196831236, -0.0004363728, 0.01084377, -0.0001400757, 0.00104407, 0.0001910825, 0.004110764, -6.814613E-05, 0.0005187925, -0.9999978, -0.001425967, 0.3503954
 197031156, -0.0002829065, 0.01118867, -2.312092E-05, 0.00104407, -0.0005201633, 0.003932199, -0.0002420697, 0.0005187925, -0.9999978, -0.001420143, 0.3503954
 197231076, -0.0002442984, 0.01145693, -0.0004361839, 0.00104407, 0.0001154044, 0.004260798, -0.0001627056, 0.0005187925, -0.9999978, -0.001414099, 0.3503954
 197430996, 0.0001355843, 0.01157229, -0.0004659838, 0.00104407, -9.24282E-06, 0.003886955, -0.0004924747, 0.0005187925, -0.9999978, -0.001408981, 0.3503954
 197630916, -6.088916E-05, 0.01100689, -0.0008799845, 0.00104407, 5.023561E-05, 0.003995709, -0.0001964772, 0.0005187925, -0.9999978, -0.001403784, 0.3503954
 197830836, 0.0004293646, 0.01157071, -0.0004609315, 0.00104407, 0.0001646864, 0.004325002, -0.0003304888, 0.0005187925, -0.9999978, -0.001396895, 0.3503954
 198030756, 0.0004115845, 0.01175577, -0.0008548535, 0.00104407, -1.803691E-05, 0.004381205, -0.0003557474, 0.0005187925, -0.9999978, -0.001390379, 0.3503954
 198230676, 0.000100048, 0.01191967, -0.0003403756, 0.00104407, 0.0003554214, 0.004040197, -0.0003218448, 0.0005187925, -0.9999978, -0.001383547, 0.3503954
 198431429, 0.0002715698, 0.01138255, -0.0004894639, 0.001046232, 0.0001020764, 0.004129081, -0.0001296641, 0.0005209541, -0.9999978, -0.001379105, 0.3511209
 198631349, -2.473939E-05, 0.01145168, -0.0001969463, 0.001046232, -0.0002289229, 0.004208823, -0.0001408359, 0.0005187925, -0.9999978, -0.001384923, 0.3511209
 198831269, 2.500378E-05, 0.0114278, -0.0001030628, 0.00104407, 0.0001882813, 0.004126512, -0.0005038058, 0.0005187925, -0.9999978, -0.001389582, 0.3503954
 199031189, 0.0002951047, 0.01192091, -0.0006599302, 0.00104407, 0.0002359458, 0.004750344, -0.0002923952, 0.0005187925, -0.9999978, -0.001395147, 0.3503954
 199231109, 0.0001242498, 0.01191528, -0.0004110073, 0.00104407, -0.000139804, 0.004263836, -2.311021E-05, 0.0005187925, -0.9999978, -0.001398999, 0.3503954
 199431029, -0.0001989488, 0.01145219, -3.059833E-05, 0.00104407, 7.035839E-05, 0.004134004, 3.354877E-05, 0.0005187925, -0.9999978, -0.00140176, 0.3503954
 199630949, 2.649285E-05, 0.01125096, 0.0001469036, 0.00104407, 0.0001533556, 0.003790305, 5.398021E-05, 0.0005187925, -0.9999978, -0.001403779, 0.3503954
 199830869, -7.530311E-05, 0.01144206, 2.630732E-05, 0.00104407, -0.0003781147, 0.004603886, -0.0001565283, 0.0005187925, -0.9999978, -0.00140527, 0.3503954
 200030789, -0.000307179, 0.01184546, -0.0003089527, 0.00104407, 0.0005345162, 0.003849654, -0.0002651477, 0.0005187925, -0.9999978, -0.001405813, 0.3503954
 200230709, 0.0007560672, 0.01102393, -4.193181E-05, 0.00104407, 0.0003057339, 0.004245899, 4.646229E-05, 0.0005187925, -0.9999978, -0.00140578, 0.3503954
 200431462, 0.0003206191, 0.01140589, -0.0004589887, 0.001046232, 0.0001482936, 0.003896665, -0.0004018991, 0.0005209541, -0.9999978, -0.001407013, 0.3511209
 200631382, -3.370867E-05, 0.01145136, -0.0006573984, 0.001046232, -0.0001116167, 0.004231128, -0.0002688822, 0.0005187925, -0.9999978, -0.00140613, 0.3511209
 200831302, 1.925058E-05, 0.01129747, -0.0002778682, 0.00104407, -2.895085E-05, 0.004238465, -3.492269E-05, 0.0005187925, -0.9999978, -0.001403764, 0.3503954
 201031222, 4.37302E-05, 0.01151316, 5.249071E-05, 0.00104407, 0.000378938, 0.003987295, -0.0002443397, 0.0005187925, -0.9999979, -0.001398232, 0.3503954
 201231142, 0.0002760001, 0.01096413, -0.000365508, 0.00104407, -0.0001029519, 0.003900792, 0.0001467892, 0.0005187925, -0.9999979, -0.00139331, 0.3503954
 201431062, -0.0004284222, 0.01112664, 0.0001648684, 0.00104407, -0.000232622, 0.003975572, 9.574642E-06, 0.0005187925, -0.9999979, -0.001388299, 0.3503954
 201630982, -5.091792E-05, 0.01094074, 5.167087E-05, 0.00104407, 0.0001020177, 0.00376923, 0.0003831308, 0.0005187925, -0.9999979, -0.001382786, 0.3503954
 201830902, -0.0001418535, 0.01095867, 0.0002135948, 0.00104407, -0.0007031349, 0.004352739, 4.945204E-06, 0.0005187925, -0.9999979, -0.001376563, 0.3503954
 202030822, -0.0006035296, 0.01172195, -0.0002078334, 0.00104407, 0.0002151582, 0.003956305, -0.0001721313, 0.0005187925, -0.9999979, -0.001370503, 0.3503954
 202230742, 0.0003043352, 0.01131628, -0.0003463492, 0.00104407, 0.0002765371, 0.004249034, 0.0002795615, 0.0005187925, -0.9999979, -0.001363581, 0.3503954
 202430662, 0.0005176424, 0.01145843, -2.551253E-05, 0.00104407, 0.0002089193, 0.004097517, -0.0003612182, 0.0005187925, -0.9999979, -0.001357379, 0.3503954
 202631415, 0.0004163875, 0.01131694, -0.0005517914, 0.001046232, 0.0003037122, 0.003832394, -0.0001989193, 0.0005209541, -0.9999979, -0.001352824, 0.3511209
 202831335, 0.0004916797, 0.01108751, -0.000387458, 0.001046232, -0.0001095901, 0.003812268, 3.916604E-05, 0.0005187925, -0.9999979, -0.001346439, 0.3511209
 203031255, -9.907424E-05, 0.01128251, -1.905272E-05, 0.00104407, 0.0004486308, 0.00469285, 0.0002128417, 0.0005187925, -0.9999978, -0.001338956, 0.3503954
 203231175, 0.000337437, 0.01199048, -0.0001453057, 0.00104407, 5.02874E-05, 0.004317943, -0.0005454038, 0.0005187925, -0.9999978, -0.001331763, 0.3503954
 203431095, 0.0001522932, 0.011408, -0.0005699486, 0.00104407, 0.0002671281, 0.004123112, 0.0001726544, 0.0005187925, -0.9999978, -0.001322836, 0.3503954
 203631015, 0.0004262055, 0.01161901, 0.000328289, 0.00104407, 0.0004290068, 0.004209801, 2.860594E-05, 0.0005187925, -0.9999978, -0.001315597, 0.3503954
 203830935, 0.0004575323, 0.01177329, -8.369898E-06, 0.00104407, -0.000213699, 0.00433055, -4.868824E-05, 0.0005187925, -0.9999978, -0.001322496, 0.3503954
 204030855, 8.974942E-05, 0.01174283, -0.0002951407, 0.00104407, 0.0001570475, 0.004288116, -0.0003126717, 0.0005187925, -0.9999978, -0.001329283, 0.3503954
 204230775, 0.0002625986, 0.01160856, -0.0005024233, 0.00104407, 0.0004283804, 0.004100855, -0.0002543302, 0.0005187925, -0.9999978, -0.001334533, 0.3503954
 204430695, 0.0005868727, 0.01134018, -0.0005859736, 0.00104407, -0.0001410921, 0.004243148, -0.000214044, 0.0005187925, -0.9999978, -0.001338868, 0.3503954
 204631448, -0.0001175623, 0.01153652, -3.021615E-05, 0.001046232, -1.167516E-05, 0.004491625, -0.0003118901, 0.0005209541, -0.9999979, -0.001344857, 0.3511209
 204831368, 0.0001413526, 0.01142819, -0.0001625067, 0.001046232, -0.0001011813, 0.003903386, 0.0001352961, 0.0005187925, -0.9999978, -0.001346593, 0.3511209
