TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 158034261, -0.00985374, 0.01215572, 9.420203E-05, 0.001091626, -0.003682501, 0.004622761, -0.0002037973, 0.000520954, -0.1083133, 0.9941157, 0.04121499
 158234181, 0.004026326, 0.01151381, -0.0002713858, 0.001091626, 0.01413366, 0.002923716, -0.0004047967, 0.0005187924, -0.108312, 0.9941158, 0.04579443
 158434101, 0.274728, -0.01766158, -0.0002465693, 0.001089464, 0.2091161, -0.01925153, 0.0007889071, 0.0005187924, -0.1083043, 0.9941165, 0.04570375
 158634021, 0.9577298, -0.09304249, 0.01231373, 0.001089464, 0.4681527, -0.04616678, 0.00957495, 0.0005187924, -0.1082752, 0.9941195, 0.04570375
 158833941, 1.737227, -0.1776843, 0.03466855, 0.001089464, 0.6816391, -0.06891002, 0.01372313, 0.0005187924, -0.1082364, 0.9941217, 0.05027412
 159033861, 2.441848, -0.2524668, 0.04966806, 0.001089464, 0.9007794, -0.08696707, 0.01812801, 0.0005187924, -0.1081964, 0.9941245, 0.04570375
 159233781, 3.087577, -0.3170077, 0.06449727, 0.001089464, 1.057641, -0.101724, 0.02261697, 0.0005187924, -0.1081482, 0.9941282, 0.04570375
 159433701, 3.381718, -0.3420441, 0.07719691, 0.001089464, 1.029433, -0.1024029, 0.02495015, 0.0005187924, -0.1080911, 0.9941319, 0.04570375
 159633621, 3.199878, -0.3285078, 0.0792398, 0.001089464, 0.945019, -0.1046986, 0.02381821, 0.0005187924, -0.1080479, 0.9941345, 0.04570375
 159833541, 2.874966, -0.3130971, 0.05224849, 0.001089464, 0.8277863, -0.08256703, -0.0305906, 0.0005187924, -0.1080313, 0.9941359, 0.04570375
 160034294, 2.530883, -0.2591325, -0.1090443, 0.001091626, 0.7366253, -0.0864506, -0.01379974, 0.000520954, -0.1080681, 0.9941331, 0.04579443
 160234214, 2.442698, -0.2723813, -0.09540891, 0.001091626, 1.178066, -0.1246365, -0.1703119, 0.0005187924, -0.1075995, 0.9941674, 0.04121499
 160434134, 3.314913, -0.3238631, -1.391552, 0.001089464, 1.011959, -0.08133343, -0.6877958, 0.0005187924, -0.1053657, 0.9938096, 0.04570375
 160634054, 2.827886, -0.277053, -1.7289, 0.001089464, 0.8652773, -0.09879722, -0.4011208, 0.0005187924, -0.1076835, 0.9922671, 0.04570375
 160833974, 2.474344, -0.2949278, -0.8756361, 0.001089464, 0.6947201, -0.08190545, -0.2037464, 0.0005187924, -0.1090469, 0.9915822, 0.05027412
 161033894, 2.109802, -0.2453804, -0.7272193, 0.001089464, 0.5942712, -0.04394004, -0.2784643, 0.0005187924, -0.1073468, 0.9907988, 0.04570375
 161233814, 1.803301, -0.1404121, -0.8430203, 0.001089464, 0.5098931, -0.06043455, -0.2381507, 0.0005187924, -0.1091785, 0.9896495, 0.04570375
 161433734, 1.558634, -0.1847332, -0.6711978, 0.001089464, 0.4401299, -0.05186983, -0.1911542, 0.0005187924, -0.1084263, 0.9890074, 0.04570375
 161633654, 1.337265, -0.1397982, -0.5850955, 0.001089464, 0.3703699, -0.04035093, -0.1935654, 0.0005187924, -0.1077555, 0.9882465, 0.04570375
 161833574, 1.118943, -0.1238623, -0.5902349, 0.001089464, 0.3267487, -0.04058513, -0.1269648, 0.0005187924, -0.1074686, 0.9876016, 0.04570375
 162033494, 0.9869928, -0.1371801, -0.3715607, 0.001089464, 0.2802203, -0.04697123, -0.1100316, 0.0005187924, -0.1086956, 0.9871198, 0.04570375
 162234247, 0.8376114, -0.1068794, -0.3674585, 0.001091626, 0.2570265, -0.02407843, -0.140861, 0.000520954, -0.107985, 0.9866355, 0.04121499
 162434167, 0.7259989, -0.05806105, -0.4070969, 0.001091626, 0.2057843, -0.005767697, -0.157562, 0.0005187924, -0.1088793, 0.9857717, 0.04579443
 162634087, 0.5869488, -0.05643255, -0.4125264, 0.001089464, 0.1900255, -0.03612831, -0.0811398, 0.0005187924, -0.11188, 0.9849555, 0.04570375
 162834007, 0.5215301, -0.1064496, -0.1954038, 0.001089464, 0.1592887, -0.01443438, -0.05978739, 0.0005187924, -0.1106773, 0.9849342, 0.04570375
 163033927, 0.4429752, -0.04473898, -0.1520171, 0.001089464, 0.1249413, -0.01379695, -0.03271635, 0.0005187924, -0.1117926, 0.9847252, 0.05027412
 163233847, 0.3590104, -0.05589854, -0.1566411, 0.001089464, 0.08812746, -0.01387509, -0.05210556, 0.0005187924, -0.1134696, 0.9842102, 0.04570375
 163433767, 0.27747, -0.0384612, -0.132008, 0.001089464, 0.06148514, 0.002271439, -0.07026616, 0.0005187924, -0.1135798, 0.9839479, 0.04570375
 163633687, 0.1957711, -0.0206622, -0.1980344, 0.001089464, 0.05766314, -0.001770182, -0.02833863, 0.0005187924, -0.1145752, 0.9836282, 0.04570375
 163833607, 0.1743402, -0.01735422, -0.05291905, 0.001089464, 0.04256287, -0.005716994, -0.04861174, 0.0005187924, -0.1151378, 0.9834692, 0.04570375
 164033527, 0.1311983, 0.005060878, -0.1491139, 0.001089464, 0.05401293, 0.01122284, -0.02813243, 0.0005187924, -0.114667, 0.983243, 0.04570375
 164234280, 0.1466982, 0.004587211, -0.02128174, 0.001091626, 0.05813731, 0.001897493, 0.03752278, 0.000520954, -0.1152719, 0.983539, 0.04121499
 164434200, 0.1279652, -0.0136906, 0.0288244, 0.001091626, 0.01486138, -0.005498751, -0.06982243, 0.0005187924, -0.1156997, 0.983253, 0.04579443
 164634120, 0.07451341, -0.0182925, -0.06306827, 0.001089464, 0.02306832, -0.004196736, 0.004602469, 0.0005187924, -0.1154347, 0.9834148, 0.04570375
 164834040, 0.1156443, -0.01551886, 0.1434571, 0.001089464, 0.05514603, -0.00352059, 0.1202949, 0.0005187924, -0.1154508, 0.9844421, 0.04570375
 165033960, 0.1534395, -0.01348174, 0.3316806, 0.001089464, 0.05141417, -0.01461851, 0.1073086, 0.0005187924, -0.1171799, 0.9851353, 0.05027412
 165233880, 0.1611515, -0.04357007, 0.3514957, 0.001089464, 0.05673648, -0.007358851, 0.1699133, 0.0005187924, -0.1169392, 0.9862654, 0.04570375
 165433800, 0.1854979, 0.004403257, 0.4394885, 0.001089464, 0.05247569, -0.006883796, 0.09754255, 0.0005187924, -0.1183296, 0.9869708, 0.04570375
 165633720, 0.1058737, -0.02916589, 0.291042, 0.001089464, 0.009317022, -0.01555918, 0.1285787, 0.0005187924, -0.1188939, 0.9876158, 0.04570375
 165833640, 0.003592143, -0.02338197, 0.338607, 0.001089464, -0.01824928, 0.003688186, 0.06038138, 0.0005187924, -0.1189744, 0.9881608, 0.04570375
 166033560, 0.005429986, 0.001806796, 0.2988263, 0.001089464, 0.03031366, 0.01016007, 0.1382502, 0.0005187924, -0.1180092, 0.9890981, 0.04570375
 166233480, 0.08571372, 0.005166417, 0.3391319, 0.001089464, 0.02265193, -0.003390395, 0.07381289, 0.0005187924, -0.1193547, 0.9893746, 0.04570375
 166434233, 0.07307532, -0.02071565, 0.2767477, 0.001091626, 0.02643958, 1.257943E-05, 0.1345058, 0.000520954, -0.1200609, 0.9898697, 0.04121499
 166634153, 0.05561027, -0.02500932, 0.3186485, 0.001091626, -0.007359281, -0.01908064, 0.0919055, 0.0005187924, -0.1203035, 0.9902514, 0.04579443
 166834073, -0.01849599, 0.02159586, 0.3275707, 0.001089464, -0.004101096, 0.0656313, 0.1438265, 0.0005187924, -0.1175315, 0.9911233, 0.04570375
 167033993, -0.02179107, 0.2237005, 0.4956927, 0.001089464, -0.01446609, 0.06981409, 0.1892269, 0.0005187924, -0.1205553, 0.9913877, 0.04570375
 167233913, -0.0752027, 0.1526627, 0.4495366, 0.001089464, -0.03812168, 0.01609227, 0.1237665, 0.0005187924, -0.1221564, 0.9915223, 0.05027412
 167433833, -0.1118485, 0.03996483, 0.3687038, 0.001089464, -0.03070783, 0.001545445, 0.1319219, 0.0005187924, -0.1175504, 0.9923934, 0.04570375
 167633753, -0.09811972, 0.04641694, 0.4195617, 0.001089464, -0.03503394, 0.04232558, 0.1470673, 0.0005187924, -0.1130065, 0.9932283, 0.04570375
 167833673, -0.09485146, 0.1315052, 0.4324291, 0.001089464, -0.03096439, 0.04386317, 0.1265635, 0.0005187924, -0.1134535, 0.9933619, 0.04570375
 168033593, -0.09622712, 0.1146684, 0.3581646, 0.001089464, -0.02834406, 0.03105298, 0.08440502, 0.0005187924, -0.111784, 0.9936553, 0.04570375
 168233513, -0.1047212, 0.08647043, 0.2947854, 0.001089464, -0.03426652, 0.02554045, 0.08733812, 0.0005187924, -0.1117289, 0.9937208, 0.04570375
 168434266, -0.1044597, 0.03585977, 0.3857843, 0.001091626, -0.03239015, 0.009250292, 0.1469174, 0.000520954, -0.1101681, 0.993905, 0.04121499
 168634186, -0.09491154, 0.05342745, 0.4126088, 0.001091626, -0.03531473, 0.03091905, 0.1144214, 0.0005187924, -0.1078215, 0.9941056, 0.04579443
 168834106, -0.1087424, 0.0871042, 0.2732974, 0.001089464, -0.04004832, 0.02245527, 0.05202661, 0.0005187924, -0.1070241, 0.9941313, 0.04570375
 169034026, -0.1072009, 0.06866898, 0.2897984, 0.001089464, -0.03238929, 0.02930192, 0.135337, 0.0005187924, -0.1052871, 0.9941322, 0.04570375
 169233946, -0.07096864, 0.07283162, 0.4735059, 0.001089464, -0.01495381, 0.0002514827, 0.159351, 0.0005187924, -0.1047971, 0.993841, 0.05027412
 169433866, -0.04641406, 0.01136402, 0.4162964, 0.001089464, -0.01613335, 0.006411081, 0.08634879, 0.0005187924, -0.1045204, 0.9936252, 0.04570375
 169633786, -0.04500463, 0.05238477, 0.2086671, 0.001089464, -0.002960322, 0.03453825, 0.04417159, 0.0005187924, -0.1030567, 0.9936309, 0.04570375
 169833706, -0.02998477, 0.07890218, 0.1158572, 0.001089464, -0.01685742, 0.0127572, 0.03179727, 0.0005187924, -0.1030539, 0.9935351, 0.04570375
 170033626, -0.05511848, 0.01972176, 0.2111812, 0.001089464, -0.02043607, 0.01019183, 0.1018081, 0.0005187924, -0.1023294, 0.9932457, 0.04570375
 170233546, -0.04650765, 0.04836802, 0.2880071, 0.001089464, -0.004429975, 0.02249385, 0.06532726, 0.0005187924, -0.1004456, 0.9931407, 0.04570375
 170434299, -0.01690394, 0.05266138, 0.2673983, 0.001091626, 0.002402174, -0.004900852, 0.1016386, 0.0005187924, -0.1007794, 0.9926527, 0.04579443
 170634219, -0.000702952, -0.004179778, 0.2660235, 0.001091626, -0.002675338, -0.00128689, 0.06911743, 0.000520954, -0.09971295, 0.992449, 0.04121499
 170834139, -0.01495997, 0.00198427, 0.1214773, 0.001091626, -0.006527218, 0.003763431, 0.0005947214, 0.0005187924, -0.09929971, 0.9924833, 0.04579443
 171034059, -0.01861001, 0.04471347, 0.01947007, 0.001089464, -0.009875342, 0.02180439, 0.05728923, 0.0005187924, -0.09806083, 0.9924312, 0.04570375
 171233979, -0.0270284, 0.05173797, 0.1532672, 0.001089464, -0.01439222, 0.004376466, 0.03336477, 0.0005187924, -0.09887723, 0.9921784, 0.05027412
 171433899, -0.02906971, 0.02885114, 0.1059002, 0.001089464, -0.004395513, 0.009928839, 0.05265494, 0.0005187924, -0.0984499, 0.9919847, 0.04570375
 171633819, -0.002155561, 0.03879836, 0.1848716, 0.001089464, 0.002846361, 0.03382061, 0.03712904, 0.0005187924, -0.09606773, 0.9919102, 0.04570375
 171833739, -0.004598734, 0.101791, 0.08254832, 0.001089464, -0.01063662, 0.03123627, 0.03436945, 0.0005187924, -0.09532734, 0.9918578, 0.04570375
