TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 139033531, -0.009916827, 0.01234297, 0.0001472361, 0.001089464, -0.002868109, 0.004370361, -0.0003064836, 0.0005187924, -0.1083984, 0.9941062, 0.04570375
 139234284, 0.005365374, 0.01126114, -0.0007533326, 0.001091626, 0.01408676, 0.002452483, -0.000139226, 0.000520954, -0.1083954, 0.9941067, 0.04121499
 139434204, 0.2745064, -0.01873648, 0.0001948077, 0.001091626, 0.2083897, -0.02011026, 0.0008691075, 0.0005187924, -0.108382, 0.994108, 0.04579443
 139634124, 0.9569411, -0.0932745, 0.0124439, 0.001089464, 0.4705835, -0.04487297, 0.009308657, 0.0005187924, -0.1083547, 0.9941107, 0.04570375
 139834044, 1.744611, -0.1757742, 0.03452142, 0.001089464, 0.7292778, -0.07914783, 0.01466003, 0.0005187924, -0.1083173, 0.9941127, 0.04570375
 140033964, 2.492165, -0.2676344, 0.05036359, 0.001089464, 0.900122, -0.08979209, 0.01808845, 0.0005187924, -0.1082686, 0.9941164, 0.05027412
 140233884, 3.097188, -0.3211538, 0.06433078, 0.001089464, 1.05889, -0.1210835, 0.02276759, 0.0005187924, -0.1082287, 0.9941193, 0.04570375
 140433804, 3.377588, -0.3626426, 0.0770653, 0.001089464, 1.039881, -0.117939, 0.02507322, 0.0005187924, -0.108236, 0.9941156, 0.04570375
 140633724, 3.207546, -0.3518334, 0.07882259, 0.001089464, 0.9310883, -0.09787007, 0.02367322, 0.0005187924, -0.1082206, 0.9941151, 0.04570375
 140833644, 2.862311, -0.2999912, 0.04909609, 0.001089464, 0.8291696, -0.08267099, -0.0239389, 0.0005187924, -0.1081865, 0.9941186, 0.04570375
 141033564, 2.521113, -0.2567534, -0.1001318, 0.001089464, 0.7163053, -0.08452224, -0.006628817, 0.0005187924, -0.1081526, 0.9941229, 0.04570375
 141233484, 2.313232, -0.2535362, -0.01176547, 0.001089464, 1.057703, -0.1256048, -0.0980149, 0.0005187924, -0.1083345, 0.9941, 0.04570375
 141434237, 3.224751, -0.3561527, -1.268389, 0.001091626, 1.022601, -0.1099487, -0.7531657, 0.000520954, -0.1090999, 0.99351, 0.04121499
 141634157, 2.87661, -0.3102179, -1.84591, 0.001091626, 0.8647128, -0.08054724, -0.4125733, 0.0005187924, -0.1070863, 0.9924376, 0.04579443
 141834077, 2.485194, -0.2435265, -0.9615943, 0.001089464, 0.789071, -0.09058524, -0.2109193, 0.0005187924, -0.1087343, 0.9916537, 0.04570375
 142033997, 2.214149, -0.2633518, -0.6650053, 0.001089464, 0.667253, -0.08237062, -0.2800422, 0.0005187924, -0.1099924, 0.9907431, 0.04570375
 142233917, 1.892293, -0.2200746, -0.7864102, 0.001089464, 0.5175936, -0.0571872, -0.2566969, 0.0005187924, -0.1076164, 0.9901173, 0.05027412
 142433837, 1.559816, -0.1674584, -0.7707961, 0.001089464, 0.4426563, -0.04986332, -0.202431, 0.0005187924, -0.1090919, 0.9890226, 0.04570375
 142633757, 1.344506, -0.151606, -0.5716335, 0.001089464, 0.3816398, -0.04655547, -0.1547292, 0.0005187924, -0.109391, 0.9884353, 0.04570375
 142833677, 1.163509, -0.1083568, -0.4746926, 0.001089464, 0.3144737, -0.0188857, -0.1880939, 0.0005187924, -0.1086579, 0.987816, 0.04570375
 143033597, 0.9716086, -0.08005704, -0.5274798, 0.001089464, 0.2716434, -0.01857472, -0.1649475, 0.0005187924, -0.1095283, 0.9870799, 0.04570375
 143233517, 0.8137508, -0.09594212, -0.4913507, 0.001089464, 0.2223085, -0.02226851, -0.1402647, 0.0005187924, -0.1098397, 0.9862184, 0.04570375
 143434270, 0.689903, -0.07790128, -0.3902044, 0.001091626, 0.2259841, -0.02640396, -0.0994826, 0.000520954, -0.1109858, 0.9856173, 0.04121499
 143634190, 0.6249298, -0.08099969, -0.2767768, 0.001091626, 0.2060954, -0.02575869, -0.05449795, 0.0005187924, -0.1107743, 0.9854116, 0.04579443
 143834110, 0.5276221, -0.07378687, -0.2410779, 0.001089464, 0.1419996, -0.03176493, -0.1299346, 0.0005187924, -0.1128948, 0.9845321, 0.04570375
 144034030, 0.3923751, -0.07577147, -0.3541313, 0.001089464, 0.1262352, -0.007407673, -0.09132132, 0.0005187924, -0.1118824, 0.984082, 0.04570375
 144233950, 0.3453552, 0.00705338, -0.2554573, 0.001089464, 0.08515654, 0.005523031, -0.08474649, 0.0005187924, -0.1106395, 0.9836739, 0.05027412
 144433870, 0.2642846, 0.01793571, -0.2240751, 0.001089464, 0.06858247, -0.003793401, -0.04487417, 0.0005187924, -0.1116911, 0.9832804, 0.04570375
 144633790, 0.2095809, -0.049442, -0.07038799, 0.001089464, 0.06145813, -0.010312, 0.001269405, 0.0005187924, -0.1126709, 0.9833185, 0.04570375
 144833710, 0.1905827, -0.01962225, 0.01989222, 0.001089464, 0.04686474, 0.00624378, 0.02975427, 0.0005187924, -0.111734, 0.9837213, 0.04570375
 145033630, 0.1508745, 0.00773162, 0.004463287, 0.001089464, 0.03185755, 0.001748106, -0.02820365, 0.0005187924, -0.1135818, 0.9832513, 0.04570375
 145233550, 0.0944904, -0.004694857, -0.1110676, 0.001089464, 0.01608706, -0.0008861144, -0.04382173, 0.0005187924, -0.1121763, 0.9831783, 0.04570375
 145434303, 0.104002, 0.006602671, -0.0157201, 0.001091626, 0.04442156, 0.01408695, 0.02373918, 0.0005187924, -0.1124267, 0.9835375, 0.04579443
 145634223, 0.1094632, 0.01029397, 0.02843546, 0.001091626, 0.03361524, -0.00950754, 0.01924141, 0.000520954, -0.114258, 0.9834429, 0.04121499
 145834143, 0.1098781, -0.02967081, 0.1076997, 0.001091626, 0.04463189, -0.000683143, 0.06850647, 0.0005187924, -0.1142902, 0.983924, 0.04579443
 146034063, 0.1073958, -0.02434454, 0.1617741, 0.001089464, 0.02877439, -0.01154653, 0.04797429, 0.0005187924, -0.1149617, 0.984405, 0.04570375
 146233983, 0.1485734, -0.03780332, 0.3586727, 0.001089464, 0.06882395, -0.01409471, 0.1650826, 0.0005187924, -0.1152415, 0.985924, 0.05027412
 146433903, 0.1873326, -0.02722801, 0.4123021, 0.001089464, 0.05750288, -0.01693638, 0.09465283, 0.0005187924, -0.1165779, 0.9865841, 0.04570375
 146633823, 0.1741891, -0.03443519, 0.3402836, 0.001089464, 0.02620524, 0.004521488, 0.1160613, 0.0005187924, -0.1154189, 0.9876754, 0.04570375
 146833743, 0.04298211, 0.05337492, 0.3539066, 0.001089464, -0.005020258, 0.03004417, 0.09483548, 0.0005187924, -0.1137736, 0.9885516, 0.04570375
 147033663, -0.003791763, 0.06266355, 0.290327, 0.001089464, 0.001245199, 0.001795728, 0.08006821, 0.0005187924, -0.1149103, 0.9890016, 0.04570375
 147233583, 0.04903154, -0.008388064, 0.3971496, 0.001089464, 0.01893244, -0.004153507, 0.1347532, 0.0005187924, -0.1148446, 0.9899583, 0.04570375
 147433503, 0.06369625, -0.02213136, 0.369214, 0.001089464, 0.009392017, -0.004274515, 0.07827211, 0.0005187924, -0.1158433, 0.9903384, 0.04570375
