TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 140033964, -0.009450343, 0.01256869, 0.000340907, 0.001089464, -0.002791286, 0.003806668, 4.080093E-05, 0.0005187924, -0.1083743, 0.9941089, 0.05027412
 140233884, 0.004232242, 0.01089004, -4.162076E-05, 0.001089464, 0.02230606, 0.001104797, -0.0003156353, 0.0005187924, -0.1083687, 0.9941095, 0.04570375
 140433804, 0.2827645, -0.01911199, -0.0001220882, 0.001089464, 0.2114598, -0.02096613, 0.0004977142, 0.0005187924, -0.1083594, 0.9941104, 0.04570375
 140633724, 0.9613974, -0.09606303, 0.01232967, 0.001089464, 0.4452913, -0.04420395, 0.008208805, 0.0005187924, -0.108325, 0.9941139, 0.04570375
 140833644, 1.713877, -0.1744145, 0.03333119, 0.001089464, 0.680833, -0.06906062, 0.01361331, 0.0005187924, -0.1082724, 0.9941175, 0.04570375
 141033564, 2.444529, -0.2531692, 0.0493027, 0.001089464, 0.8943495, -0.1014063, 0.01845413, 0.0005187924, -0.1082239, 0.9941212, 0.04570375
 141233484, 3.091412, -0.3353322, 0.06475703, 0.001089464, 1.057835, -0.1234759, 0.02317846, 0.0005187924, -0.1081882, 0.9941236, 0.04570375
 141434237, 3.392148, -0.3702477, 0.07775763, 0.001091626, 1.149795, -0.1202507, 0.02840502, 0.000520954, -0.1081668, 0.9941231, 0.04121499
 141634157, 3.326853, -0.3446745, 0.0821951, 0.001091626, 1.037642, -0.09674014, 0.02619836, 0.0005187924, -0.1081341, 0.9941248, 0.04579443
 141834077, 2.978177, -0.3037778, 0.05351697, 0.001089464, 0.9374561, -0.1082053, -0.006326099, 0.0005187924, -0.1081282, 0.9941255, 0.04570375
 142033997, 2.628415, -0.2841126, -0.07646043, 0.001089464, 0.7984077, -0.078178, -0.01812574, 0.0005187924, -0.1081313, 0.9941259, 0.04570375
 142233917, 2.384847, -0.2432636, -0.02306783, 0.001089464, 1.059568, -0.1167729, -0.1235, 0.0005187924, -0.1084513, 0.9940786, 0.05027412
 142433837, 3.199437, -0.3559566, -1.368317, 0.001089464, 0.901713, -0.1117953, -0.6965242, 0.0005187924, -0.1098403, 0.9932314, 0.04570375
 142633757, 2.719895, -0.3427993, -1.815605, 0.001089464, 0.7720746, -0.09726735, -0.3499885, 0.0005187924, -0.1084984, 0.9919868, 0.04570375
 142833677, 2.381909, -0.2402548, -0.8836063, 0.001089464, 0.684947, -0.04524339, -0.2283948, 0.0005187924, -0.1066523, 0.9914301, 0.04570375
 143033597, 2.110762, -0.1588563, -0.7057525, 0.001089464, 0.6048115, -0.04480598, -0.2395912, 0.0005187924, -0.108891, 0.9905536, 0.04570375
 143233517, 1.827362, -0.1934211, -0.7520496, 0.001089464, 0.5113367, -0.05881555, -0.236062, 0.0005187924, -0.109747, 0.98947, 0.04570375
 143434270, 1.563906, -0.189248, -0.7161126, 0.001091626, 0.5020146, -0.05906867, -0.2177868, 0.000520954, -0.1098308, 0.9885642, 0.04121499
 143634190, 1.402714, -0.1646631, -0.6207197, 0.001091626, 0.4423532, -0.04890689, -0.1678426, 0.0005187924, -0.109381, 0.9879274, 0.04579443
 143834110, 1.197943, -0.1368185, -0.5529311, 0.001089464, 0.3481112, -0.05027699, -0.224233, 0.0005187924, -0.1115639, 0.9866646, 0.04570375
 144034030, 0.9677504, -0.1269315, -0.6371364, 0.001089464, 0.2990089, -0.02305916, -0.1846997, 0.0005187924, -0.1102941, 0.9858202, 0.04570375
 144233950, 0.8317784, -0.03421015, -0.5124472, 0.001089464, 0.2179659, -0.005439101, -0.1532779, 0.0005187924, -0.1086027, 0.9851092, 0.05027412
 144433870, 0.6649206, -0.01650533, -0.4391691, 0.001089464, 0.1840531, -0.01351752, -0.1120251, 0.0005187924, -0.1093361, 0.9843838, 0.04570375
 144633790, 0.5645773, -0.08233643, -0.2765527, 0.001089464, 0.1642137, -0.02070506, -0.0589215, 0.0005187924, -0.1102163, 0.9840944, 0.04570375
 144833710, 0.5011216, -0.04928329, -0.1638737, 0.001089464, 0.1346035, -0.000283096, -0.02268742, 0.0005187924, -0.1089503, 0.9842359, 0.04570375
 145033630, 0.4166952, -0.008722813, -0.1512677, 0.001089464, 0.106696, -0.002596131, -0.071735, 0.0005187924, -0.1108527, 0.9835055, 0.04570375
 145233550, 0.3180548, -0.02153424, -0.2447207, 0.001089464, 0.07805794, -0.006453218, -0.08268376, 0.0005187924, -0.1092015, 0.9832158, 0.04570375
 145434303, 0.2870678, -0.006841155, -0.134479, 0.001091626, 0.09155622, 0.01231876, -0.007433682, 0.0005187924, -0.1091456, 0.9834294, 0.04579443
 145634223, 0.238336, 0.005818882, -0.08182359, 0.001091626, 0.06676307, -0.01074526, -0.02978435, 0.000520954, -0.1108869, 0.983021, 0.04121499
 145834143, 0.1786929, -0.03230444, -0.1047437, 0.001091626, 0.05371192, -0.0006045069, -0.03350748, 0.0005187924, -0.1106253, 0.9827219, 0.04579443
 146034063, 0.1081226, -0.02007997, -0.1893837, 0.001089464, 0.01850954, -0.008618647, -0.08434925, 0.0005187924, -0.1110723, 0.9820751, 0.04570375
 146233983, 0.1075149, -0.0273351, -0.04557945, 0.001089464, 0.05236317, -0.01022318, 0.04327912, 0.0005187924, -0.1111947, 0.9826429, 0.05027412
 146433903, 0.1263411, -0.01326073, 0.03867185, 0.001089464, 0.03572399, -0.01209024, -0.011152, 0.0005187924, -0.1123605, 0.9824256, 0.04570375
 146633823, 0.1267644, -0.0226991, 0.06058142, 0.001089464, 0.0370919, 0.004629041, 0.06182915, 0.0005187924, -0.1110841, 0.9832287, 0.04570375
 146833743, 0.1438699, 0.04724813, 0.2377946, 0.001089464, 0.04768084, 0.02696118, 0.08510465, 0.0005187924, -0.1092094, 0.9843448, 0.04570375
 147033663, 0.1623204, 0.05057939, 0.2769465, 0.001089464, 0.04698499, -0.003724449, 0.08098985, 0.0005187924, -0.1104956, 0.9850982, 0.04570375
 147233583, 0.1867942, -0.02527138, 0.4019368, 0.001089464, 0.05544836, -0.00797791, 0.1357596, 0.0005187924, -0.1103146, 0.9865512, 0.04570375
 147433503, 0.1743704, -0.03310613, 0.3684043, 0.001089464, 0.04329905, -0.0072438, 0.07642759, 0.0005187924, -0.1112809, 0.9872261, 0.04570375
 147634256, 0.1348331, -0.03919335, 0.1899735, 0.001091626, 0.04683661, -0.02276472, 0.05598219, 0.000520954, -0.1115399, 0.9876776, 0.04121499
 147834176, 0.1145671, -0.03436141, 0.3102446, 0.001091626, 0.02367058, -0.0102317, 0.170387, 0.0005187924, -0.1130368, 0.9885625, 0.04579443
 148034096, 0.02712648, 0.01775246, 0.4499798, 0.001089464, -0.001173652, 0.0197207, 0.1042751, 0.0005187924, -0.1120238, 0.9893822, 0.04570375
 148234016, 0.01844751, -0.005160844, 0.3446729, 0.001089464, 0.01155057, -0.03570787, 0.09788157, 0.0005187924, -0.1150678, 0.9896975, 0.04570375
 148433936, 0.007859199, -0.05939211, 0.2496208, 0.001089464, -0.01384047, 0.005251738, 0.0904488, 0.0005187924, -0.1146485, 0.9901951, 0.05027412
 148633856, -0.03263575, -0.00440645, 0.4204945, 0.001089464, -0.005064792, 0.06552029, 0.1722485, 0.0005187924, -0.1042985, 0.9922318, 0.04570375
 148833776, 0.001552201, 0.5319737, 0.5076745, 0.001089464, 0.004317009, 0.2742144, 0.1620619, 0.0005187924, -0.1066691, 0.9925783, 0.04570375
 149033696, 0.0005044979, 0.7208821, 0.5264997, 0.001089464, -0.01610578, 0.1236098, 0.1110866, 0.0005187924, -0.1174714, 0.9916386, 0.04570375
 149233616, -0.09699073, 0.2066192, 0.2381424, 0.001089464, -0.05283435, -0.0271292, 0.04758952, 0.0005187924, -0.110859, 0.9926585, 0.04570375
 149433536, -0.1407152, -0.05510142, 0.3348799, 0.001089464, -0.03014393, 0.0180512, 0.177383, 0.0005187924, -0.09482658, 0.9948612, 0.04570375
 149634289, -0.09830316, 0.1898628, 0.5399802, 0.001091626, -0.03129603, 0.1250608, 0.1761172, 0.000520954, -0.08762842, 0.9958637, 0.04121499
 149834209, -0.08981963, 0.3554107, 0.5957877, 0.001091626, -0.02666975, 0.1066731, 0.2328981, 0.0005187924, -0.08792997, 0.9960609, 0.04579443
 150034129, -0.07081316, 0.2717009, 0.5405988, 0.001089464, -0.02609055, 0.05770127, 0.09095933, 0.0005187924, -0.08452671, 0.9964118, 0.04570375
 150234049, -0.08385313, 0.1840689, 0.223107, 0.001089464, -0.02588106, 0.07344781, 0.06975006, 0.0005187924, -0.07619476, 0.997093, 0.04570375
 150433969, -0.07599084, 0.2069173, 0.2898977, 0.001089464, -0.01859509, 0.06462622, 0.1291918, 0.0005187924, -0.07043367, 0.9974803, 0.05027412
 150633889, -0.06027915, 0.1984008, 0.3948943, 0.001089464, -0.02824144, 0.05396117, 0.1071331, 0.0005187924, -0.06834118, 0.9975386, 0.04570375
 150833809, -0.07718554, 0.1571804, 0.3195391, 0.001089464, -0.01904629, 0.05348182, 0.1065392, 0.0005187924, -0.06322826, 0.9977316, 0.04570375
 151033729, -0.04482926, 0.141982, 0.4568629, 0.001089464, 0.006422994, 0.0240309, 0.1783594, 0.0005187924, -0.06093238, 0.9975197, 0.04570375
 151233649, -0.008448265, 0.09158972, 0.4275063, 0.001089464, -0.01376573, 0.03612431, 0.04356901, 0.0005187924, -0.05744946, 0.9975243, 0.04570375
 151433569, -0.04190302, 0.1372308, 0.1477983, 0.001089464, -0.01995422, 0.04289348, 0.07388782, 0.0005187924, -0.05338579, 0.9975631, 0.04570375
 151633489, -0.06081827, 0.1559604, 0.1470615, 0.001089464, -0.02404172, 0.04015847, 0.006363707, 0.0005187924, -0.04938709, 0.997727, 0.04570375
 151834242, -0.06147981, 0.1342041, 0.07955576, 0.001091626, -0.0192122, 0.03827584, 0.07910299, 0.000520954, -0.04825792, 0.9976078, 0.04121499
 152034162, -0.03557245, 0.09565379, 0.2557609, 0.001091626, -0.01145313, 0.04127221, 0.08245119, 0.0005187924, -0.04530971, 0.9974316, 0.04579443
 152234082, -0.0435374, 0.1024504, 0.2743251, 0.001089464, -0.02033275, 0.02386585, 0.09719349, 0.0005187924, -0.04405857, 0.9971578, 0.04570375
 152434002, -0.04568374, 0.06662443, 0.1984445, 0.001089464, -0.009612616, 0.01813426, 0.05742564, 0.0005187924, -0.04142481, 0.9970453, 0.04570375
 152633922, -0.01956838, 0.07953276, 0.2584516, 0.001089464, -0.001802696, 0.03917113, 0.03443742, 0.0005187924, -0.03827224, 0.9968048, 0.05027412
 152833842, -0.01774975, 0.1134261, 0.0673156, 0.001089464, -0.01275795, 0.01829908, -0.00197284, 0.0005187924, -0.03839396, 0.9967761, 0.04570375
 153033762, -0.02951471, 0.08951738, 0.02461238, 0.001089464, 0.004446127, 0.03958192, 0.03270528, 0.0005187924, -0.03540799, 0.9967577, 0.04570375
 153233682, 0.002878091, 0.09354312, 0.1802182, 0.001089464, -0.006620352, 0.02252274, 0.08816338, 0.0005187924, -0.03479226, 0.9963507, 0.04570375
 153433602, -0.01384442, 0.06642462, 0.2270811, 0.001089464, -0.001580007, 0.0223846, 0.05819452, 0.0005187924, -0.0325358, 0.9961104, 0.04570375
 153633522, -0.01424953, 0.07338066, 0.1869347, 0.001089464, 0.002211102, 0.02790198, 0.0288271, 0.0005187924, -0.03058921, 0.9958628, 0.04570375
 153834275, 0.0005672955, 0.07553051, 0.04540658, 0.001091626, -0.001150434, 0.02447785, -0.03071747, 0.000520954, -0.02933718, 0.9959791, 0.04121499
 154034195, -0.002259285, 0.07488187, -0.02359427, 0.001091626, 0.0002330956, 0.02200829, 0.03701702, 0.0005187924, -0.02788455, 0.9958578, 0.04579443
 154234115, -0.00637902, 0.06436003, 0.0908199, 0.001089464, -0.008382123, 0.02491924, 0.02209569, 0.0005187924, -0.02700665, 0.9957473, 0.04570375
 154434035, -0.01211991, 0.07233357, 0.07205285, 0.001089464, -0.001775327, 0.02751308, 0.014699, 0.0005187924, -0.0243124, 0.9957174, 0.04570375
 154633955, -0.003739331, 0.08253808, 0.02186644, 0.001089464, 0.002711998, 0.02872678, 0.01949293, 0.0005187924, -0.02246756, 0.9957179, 0.05027412
 154833875, -0.005717254, 0.07685551, 0.09202451, 0.001089464, 0.002382165, 0.01220457, 0.04188464, 0.0005187924, -0.02278226, 0.9954296, 0.04570375
 155033795, 0.004920429, 0.02847619, 0.1669318, 0.001089464, -0.009074712, 0.008977058, 0.04827685, 0.0005187924, -0.02211004, 0.9950709, 0.04570375
 155233715, 0.01904454, 0.02716264, 0.099613, 0.001089464, 0.02440407, 0.004189051, 0.0173648, 0.0005187924, -0.02061186, 0.994994, 0.04570375
 155433635, 0.03914648, 0.01634318, 0.06210164, 0.001089464, 0.005077624, -0.003166947, -0.002461974, 0.0005187924, -0.02133589, 0.9949179, 0.04570375
 155633555, 0.01716137, 0.01522579, -0.05397882, 0.001089464, 0.005362152, 0.02057872, 0.01062988, 0.0005187924, -0.02039029, 0.9950665, 0.04570375
 155833475, 0.02874781, 0.05382374, -0.0001942441, 0.001089464, 0.01206331, 0.0201606, -0.01750913, 0.0005187924, -0.01947561, 0.9951597, 0.04570375
 156034228, 0.03197317, 0.06084205, -0.01309144, 0.001091626, 0.008192725, 0.01142952, 0.01953452, 0.000520954, -0.01882332, 0.9950898, 0.04121499
 156234148, 0.03108801, 0.04716831, 0.06160727, 0.001091626, 0.01031935, 0.01616628, 0.04320985, 0.0005187924, -0.0183851, 0.994957, 0.04579443
 156434068, 0.02468933, 0.06168837, 0.0251669, 0.001089464, 0.01477943, 0.02792954, -0.0006874672, 0.0005187924, -0.01609842, 0.9950925, 0.04570375
