TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 77701407, -0.02512501, -0.01650191, 0.006621058, 0.02634741, -0.02734197, 0.000132458, 0, 0, 0, 0, 0, 0
 77756385, 0.006559351, -0.02558193, -3.044184E-05, 0.02623303, -0.02824612, 0.4000032, -0.02512501, -0.01650191, 0.006621058, 0.02634741, -0.02734197, 0.000132458
 77856345, -0.01656541, -0.01272808, -5.229881E-05, 0.02575058, -0.0279166, 0.4000028, 0.006559351, -0.02558193, -3.044184E-05, 0.02623303, -0.02824612, 0.4000032
 77956305, -0.005959957, 0.006514257, -2.766828E-07, 0.02595846, -0.02748378, 0.4000039, -0.01656541, -0.01272808, -5.229881E-05, 0.02575058, -0.0279166, 0.4000028
 78056265, 0.008392317, 0.02354834, 5.513344E-05, 0.0262759, -0.02716283, 0.400005, -0.005959957, 0.006514257, -2.766828E-07, 0.02595846, -0.02748378, 0.4000039
 78156225, -0.01654326, 0.02557016, 1.266315E-05, 0.02575215, -0.02712928, 0.400004, 0.008392317, 0.02354834, 5.513344E-05, 0.0262759, -0.02716283, 0.400005
 78256185, -0.01363316, -0.01923679, -5.705142E-05, 0.02580708, -0.02808112, 0.4000024, -0.01654326, 0.02557016, 1.266315E-05, 0.02575215, -0.02712928, 0.400004
 78356145, 0.02104274, -0.006651541, 2.900438E-05, 0.02659089, -0.02777377, 0.4000044, -0.01363316, -0.01923679, -5.705142E-05, 0.02580708, -0.02808112, 0.4000024
 78456105, -0.02010533, 0.01906337, -4.853993E-06, 0.02568809, -0.02724326, 0.4000036, 0.02104274, -0.006651541, 2.900438E-05, 0.02659089, -0.02777377, 0.4000044
 78556065, 0.02057035, 0.004782566, 4.73361E-05, 0.02657897, -0.02752125, 0.4000048, -0.02010533, 0.01906337, -4.853993E-06, 0.02568809, -0.02724326, 0.4000036
 78656025, 0.004001971, 0.00974693, 2.465738E-05, 0.02617626, -0.0274203, 0.4000042, 0.02057035, 0.004782566, 4.73361E-05, 0.02657897, -0.02752125, 0.4000048
 78755985, 0.005287233, 0.01903185, 4.199784E-05, 0.02620534, -0.02724521, 0.4000045, 0.004001971, 0.00974693, 2.465738E-05, 0.02617626, -0.0274203, 0.4000042
 78855945, -0.02160727, 0.0225566, -2.47782E-06, 0.02566045, -0.02718377, 0.4000035, 0.005287233, 0.01903185, 4.199784E-05, 0.02620534, -0.02724521, 0.4000045
 78955905, -0.01728708, 0.02498317, 9.714167E-06, 0.02573692, -0.02714257, 0.4000038, -0.02160727, 0.0225566, -2.47782E-06, 0.02566045, -0.02718377, 0.4000035
 79055865, -0.0130096, -0.003924859, -3.11578E-05, 0.02581697, -0.02771472, 0.400003, -0.01728708, 0.02498317, 9.714167E-06, 0.02573692, -0.02714257, 0.4000038
 79155825, 0.01452327, 0.00402567, 3.419597E-05, 0.02642306, -0.02754178, 0.4000043, -0.0130096, -0.003924859, -3.11578E-05, 0.02581697, -0.02771472, 0.400003
 79255785, -0.02501656, 0.009821669, -3.047509E-05, 0.02560025, -0.02742361, 0.400003, 0.01452327, 0.00402567, 3.419597E-05, 0.02642306, -0.02754178, 0.4000043
 79356578, -0.0182898, -0.01928595, -6.730666E-05, 0.02571757, -0.02808809, 0.400002, -0.02501656, 0.009821669, -3.047509E-05, 0.02560025, -0.02742361, 0.400003
 79456538, -0.0203292, -0.02593622, -8.245223E-05, 0.02568045, -0.02826278, 0.4000017, -0.0182898, -0.01928595, -6.730666E-05, 0.02571757, -0.02808809, 0.400002
 79561496, -0.01335541, 0.009131455, -9.75508E-06, 0.02581003, -0.02743461, 0.4000036, -0.0203292, -0.02593622, -8.245223E-05, 0.02568045, -0.02826278, 0.4000017
 79661456, 0.0143861, 0.02582343, 7.071408E-05, 0.02641971, -0.02712528, 0.4000053, -0.01335541, 0.009131455, -9.75508E-06, 0.02581003, -0.02743461, 0.4000036
 79761416, -0.006070671, 0.02087609, 2.364876E-05, 0.02595716, -0.0272074, 0.4000044, 0.0143861, 0.02582343, 7.071408E-05, 0.02641971, -0.02712528, 0.4000053
 79861376, -0.02570922, -0.009942209, -6.499916E-05, 0.02559152, -0.02784466, 0.4000028, -0.006070671, 0.02087609, 2.364876E-05, 0.02595716, -0.0272074, 0.4000044
 79961336, 0.02123223, 0.01868032, 7.097999E-05, 0.02659861, -0.02724088, 0.4000058, -0.02570922, -0.009942209, -6.499916E-05, 0.02559152, -0.02784466, 0.4000028
 80061296, -0.002108329, 0.003992629, 2.681807E-06, 0.0260458, -0.02752589, 0.4000043, 0.02123223, 0.01868032, 7.097999E-05, 0.02659861, -0.02724088, 0.4000058
