TimeUS,CAN,CAE,CAD,CAe
 77696409, 0, 0, 0, 0
 77756385, -0.05216508, 1.43453, -0.01797693, 0.2017713
 77856345, -6.199641E-05, 0.003620249, 2.050414E-05, 0.0002593961
 77956305, -2.069688E-05, 0.003483495, 1.537543E-05, 0.0002593961
 78056265, 3.878376E-05, 0.003604838, -3.20509E-05, 0.0002593961
 78156225, -3.389651E-05, 0.003674037, -5.731792E-05, 0.0002593961
 78256185, 3.120886E-05, 0.00362474, -2.803157E-05, 0.0002593961
 78356145, 4.381131E-05, 0.003712792, -0.000121857, 0.0002593961
 78456105, -0.0001058053, 0.003733312, 6.348931E-05, 0.0002593961
 78556065, -2.023284E-05, 0.003553494, 6.94891E-05, 0.0002593961
 78656025, -0.0001011651, 0.003668987, 5.580934E-05, 0.0002593961
 78755985, -0.0001101014, 0.003632068, 3.14384E-05, 0.0002593961
 78855945, -7.366542E-05, 0.003646939, -0.0001188732, 0.0002593961
 78955905, 8.264276E-06, 0.003658587, 0.0001152305, 0.0002593961
 79055865, 3.428446E-05, 0.003684632, 8.992889E-05, 0.0002593961
 79155825, 0.0001035459, 0.003627281, -0.0001248468, 0.0002593961
 79255785, -2.454763E-05, 0.003683946, -7.7063E-05, 0.0002593961
 79356578, -4.317297E-05, 0.003794529, 0.0001275999, 0.0002615578
 79456538, -0.0001100532, 0.003746622, 4.89361E-05, 0.0002593961
 79561496, -0.0002386634, 0.003863381, 2.449367E-05, 0.000272366
 79661456, -8.868454E-05, 0.00385974, -3.443715E-07, 0.0002593961
 79761416, -0.0001303773, 0.00384103, 9.807001E-06, 0.0002593961
 79861376, 0.00016576, 0.003802203, 9.807358E-05, 0.0002593961
 79961336, -2.012142E-05, 0.003675263, 0.0001412578, 0.0002593961
 80061296, -2.443144E-05, 0.00361381, -2.704963E-06, 0.0002593961
 80161256, -8.374027E-06, 0.003561324, -8.042694E-05, 0.0002593961
 80261216, -4.102171E-05, 0.003637688, 0.0001295406, 0.0002593961
 80361176, 1.205544E-05, 0.003727185, 6.653865E-05, 0.0002593961
 80461136, 3.15897E-05, 0.003664377, 5.799834E-05, 0.0002593961
 80561096, -0.0002032972, 0.003717622, 3.085929E-05, 0.0002593961
 80661056, -1.820285E-05, 0.00379278, -4.227855E-05, 0.0002593961
 80761016, -1.081902E-05, 0.003659453, 4.231785E-05, 0.0002593961
 80860976, 4.306347E-05, 0.003618968, 0.0001259133, 0.0002593961
 80960936, -6.980686E-05, 0.003548892, 5.942231E-05, 0.0002593961
 81060896, 5.790214E-05, 0.00360619, -0.0001239996, 0.0002593961
 81160856, -0.0001483729, 0.003667784, -9.10395E-06, 0.0002593961
 81260816, -0.0001020187, 0.003673482, -8.582376E-05, 0.0002593961
 81360776, -0.0001206566, 0.003692456, 0.0001757347, 0.0002593961
 81461569, -5.727174E-05, 0.003748444, 1.825555E-05, 0.0002615578
 81561529, -1.560634E-05, 0.003620323, 3.873826E-05, 0.0002593961
 81666487, -5.988059E-05, 0.003815071, -2.645507E-05, 0.000272366
 81766447, -2.751187E-05, 0.003624831, -2.248699E-05, 0.0002593961
 81866407, -0.0002165123, 0.003654107, 0.0001360694, 0.0002593961
 81966367, -0.0002122333, 0.003688745, -1.319476E-05, 0.0002593961
 82066327, -9.397489E-05, 0.003715939, 6.235011E-05, 0.0002593961
 82166287, -0.0001884464, 0.003642161, -3.21939E-05, 0.0002593961
 82266247, -3.345438E-05, 0.003737556, 1.073646E-05, 0.0002593961
 82366207, -0.0001229502, 0.003582945, 6.196405E-06, 0.0002593961
 82466167, -7.915733E-05, 0.003538481, 3.886098E-05, 0.0002593961
 82566127, 0.0001067132, 0.003565055, 3.890626E-05, 0.0002593961
 82666087, -9.746708E-05, 0.003609639, 4.816631E-05, 0.0002593961
 82766047, -0.0001325265, 0.003720791, -3.874658E-05, 0.0002593961
 82866007, -1.589022E-05, 0.003801758, -6.35191E-05, 0.0002593961
 82965967, -0.0001380546, 0.003697249, 1.804344E-05, 0.0002593961
 83065927, 1.063669E-05, 0.00356085, 6.399574E-05, 0.0002593961
 83165887, -0.0001026493, 0.003687187, 1.464019E-05, 0.0002593961
 83265847, 3.846664E-05, 0.003615345, -0.0001576556, 0.0002593961
 83365807, -0.0001761788, 0.003657979, -5.699858E-05, 0.0002593961
 83465767, 4.209639E-05, 0.003603132, 0.0001617119, 0.0002593961
 83566560, -0.0002428407, 0.003713257, -6.535061E-05, 0.0002615578
 83666520, -0.0001539805, 0.003612786, -6.148262E-05, 0.0002593961
 83771478, -2.447646E-06, 0.003882117, -0.0001008, 0.000272366
 83871438, 0.0001573371, 0.003556039, -2.802919E-05, 0.0002593961
 83971398, -0.0001015308, 0.003712912, 0.0003168555, 0.0002593961
