TimeUS,COFN,COFE,COFD,CNe,CEe,CDe,POFN,POFE,POFD,PNe,PEe,PDe
 76940878, -0.05699633, -0.05345209, 0.01986294, 0.08572864, 0.06883924, 0.00014867, 0, 0, 0, 0, 0, 0
 77020846, -0.00415094, -0.003887509, -2.019043E-06, 0.08751141, 0.06717212, 1.000016, -0.05699633, -0.05345209, 0.01986294, 0.08572864, 0.06883924, 0.00014867
 77220766, -0.002037664, 0.0003986979, 3.660921E-06, 0.08872536, 0.06816906, 1.000016, -0.00415094, -0.003887509, -2.019043E-06, 0.08751141, 0.06717212, 1.000016
 77420686, 0.0006254906, 0.002812115, 4.774883E-06, 0.0887573, 0.06819296, 1.000015, -0.002037664, 0.0003986979, 3.660921E-06, 0.08872536, 0.06816906, 1.000016
 77620606, 0.002285555, -0.00344604, -1.02E-05, 0.08878251, 0.06813072, 1.000014, 0.0006254906, 0.002812115, 4.774883E-06, 0.0887573, 0.06819296, 1.000015
 77820526, -0.004451477, -0.001588146, 3.132164E-06, 0.08872444, 0.06814231, 1.000015, 0.002285555, -0.00344604, -1.02E-05, 0.08878251, 0.06813072, 1.000014
 78020446, -0.001390835, 0.0015385, 5.108326E-06, 0.08875503, 0.06816643, 1.000015, -0.004451477, -0.001588146, 3.132164E-06, 0.08872444, 0.06814231, 1.000015
 78220366, 0.003870358, 0.002778404, 1.088465E-07, 0.08880591, 0.06817392, 1.000015, -0.001390835, 0.0015385, 5.108326E-06, 0.08875503, 0.06816643, 1.000015
 78420286, -0.007238083, 0.003887766, 1.83076E-05, 0.08870675, 0.06817817, 1.000015, 0.003870358, 0.002778404, 1.088465E-07, 0.08880591, 0.06817392, 1.000015
 78620206, -0.009406664, 0.0008662234, 1.531588E-05, 0.08869339, 0.06814438, 1.000015, -0.007238083, 0.003887766, 1.83076E-05, 0.08870675, 0.06817817, 1.000015
 78820959, 0.002191981, -0.005422344, -1.429266E-05, 0.0888026, 0.06808294, 1.000014, -0.009406664, 0.0008662234, 1.531588E-05, 0.08869339, 0.06814438, 1.000015
 79020879, -0.007249399, -0.002360431, 5.631681E-06, 0.08871579, 0.0681124, 1.000015, 0.002191981, -0.005422344, -1.429266E-05, 0.0888026, 0.06808294, 1.000014
 79220799, -0.002072526, 0.003857447, 1.086585E-05, 0.08875627, 0.06817473, 1.000015, -0.007249399, -0.002360431, 5.631681E-06, 0.08871579, 0.0681124, 1.000015
 79420719, 0.00101639, -5.197863E-05, -1.569836E-06, 0.08878723, 0.06815095, 1.000014, -0.002072526, 0.003857447, 1.086585E-05, 0.08875627, 0.06817473, 1.000015
 79620639, -0.002856348, -0.0001393701, 3.827387E-06, 0.08875, 0.0681581, 1.000013, 0.00101639, -5.197863E-05, -1.569836E-06, 0.08878723, 0.06815095, 1.000014
 79820559, -0.002815984, -0.00617378, -8.427412E-06, 0.0887444, 0.06810868, 1.000013, -0.002856348, -0.0001393701, 3.827387E-06, 0.08875, 0.0681581, 1.000013
 80020479, -0.005732433, 0.003171676, 1.45825E-05, 0.08871417, 0.06819588, 1.000014, -0.002815984, -0.00617378, -8.427412E-06, 0.0887444, 0.06810868, 1.000013
 80220399, -0.002070609, 0.004534133, 1.209621E-05, 0.0887383, 0.06820574, 1.000015, -0.005732433, 0.003171676, 1.45825E-05, 0.08871417, 0.06819588, 1.000014
 80420319, 0.0001063627, 0.004166197, 8.257947E-06, 0.08874957, 0.06820372, 1.000015, -0.002070609, 0.004534133, 1.209621E-05, 0.0887383, 0.06820574, 1.000015
 80620239, 0.0005873791, 0.0003366024, -1.488229E-07, 0.08874894, 0.06817372, 1.000015, 0.0001063627, 0.004166197, 8.257947E-06, 0.08874957, 0.06820372, 1.000015
 80820159, -0.008394949, -0.002709998, 6.340337E-06, 0.08866506, 0.06815063, 1.000015, 0.0005873791, 0.0003366024, -1.488229E-07, 0.08874894, 0.06817372, 1.000015
 81020912, -0.001884987, -0.005213116, -7.795838E-06, 0.08872467, 0.06813333, 1.000015, -0.008394949, -0.002709998, 6.340337E-06, 0.08866506, 0.06815063, 1.000015
 81220832, 0.005900562, -0.005023554, -1.836934E-05, 0.0888013, 0.06813786, 1.000014, -0.001884987, -0.005213116, -7.795838E-06, 0.08872467, 0.06813333, 1.000015
 81420752, -0.006990346, -0.008000858, -6.073162E-06, 0.08868765, 0.06811839, 1.000013, 0.005900562, -0.005023554, -1.836934E-05, 0.0888013, 0.06813786, 1.000014
 81620672, -0.008218491, 0.00308356, 1.785348E-05, 0.08868593, 0.06821938, 1.000013, -0.006990346, -0.008000858, -6.073162E-06, 0.08868765, 0.06811839, 1.000013
 81820592, 0.000868903, 0.0003270271, -5.925895E-07, 0.08877461, 0.06819622, 1.000012, -0.008218491, 0.00308356, 1.785348E-05, 0.08868593, 0.06821938, 1.000013
