TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 77703906, 2.551199E-07, 4.478652E-05, -2.051963E-06, 6.484905E-06, 0, 0, 0, 0, -0.9999962, -0.002226411, 0.8459001
 77806365, 0.007192709, 1.406872, -0.1021209, 0.2019074, -0.02671465, 1.408832, 0.01956351, 0.201901, -0.9999962, -0.002215416, 27.1045
 78006285, -0.02672255, 1.416122, 0.01958116, 0.2024261, -0.0001099577, 0.004194524, -5.325928E-05, 0.0005187925, -0.9999962, -0.002192747, 67.93536
 78206205, -8.891242E-05, 0.01162123, -0.0001897327, 0.00104407, 7.584528E-05, 0.004111469, 5.123233E-05, 0.0005187925, -0.9999963, -0.002170643, 0.3503954
 78406125, 4.213686E-05, 0.01172371, -2.984402E-05, 0.00104407, -8.552238E-05, 0.004445133, 0.0003256067, 0.0005187925, -0.9999963, -0.002149597, 0.3503954
 78606045, -0.0002006694, 0.01185515, 0.0003733942, 0.00104407, -0.0001045224, 0.004209916, -0.0001576437, 0.0005187925, -0.9999963, -0.002127128, 0.3503954
 78805965, -0.0003741458, 0.01164854, -4.222368E-05, 0.00104407, -0.0003728894, 0.004044276, 4.167678E-05, 0.0005187925, -0.9999964, -0.002104638, 0.3503954
 79005885, -0.0002997117, 0.01152225, 0.0001521431, 0.00104407, 9.552727E-05, 0.004202754, -0.0001420764, 0.0005187925, -0.9999964, -0.002082945, 0.3503954
 79205805, 0.0001273626, 0.01169376, -0.0002728073, 0.00104407, -4.510786E-05, 0.004137291, -7.670075E-05, 0.0005187925, -0.9999964, -0.002061312, 0.3503954
 79406558, -0.0001186284, 0.01186335, 8.43954E-05, 0.001046232, -0.0002575017, 0.004423772, 0.0001854087, 0.0005209541, -0.9999964, -0.002039803, 0.3511209
 79606478, -0.0006146242, 0.0120899, 0.0002146414, 0.001046232, 2.760453E-05, 0.004278458, 0.0002144527, 0.0005187925, -0.9999965, -0.002023012, 0.3511209
 79806398, -3.94823E-05, 0.01208559, 0.0002634651, 0.00104407, 5.552233E-05, 0.004429291, 0.0002599487, 0.0005187925, -0.9999967, -0.00200478, 0.3503954
 80006318, 0.0001901495, 0.01205133, 0.0003769558, 0.00104407, -4.729825E-05, 0.004026349, -0.0001118189, 0.0005187925, -0.9999967, -0.001984575, 0.3503954
 80206238, -0.0001781833, 0.01139252, -7.623721E-05, 0.00104407, -0.0001381472, 0.004129897, -0.0001764986, 0.0005187925, -0.9999968, -0.001963817, 0.3503954
 80406158, -0.0001538794, 0.01168707, 1.268476E-05, 0.00104407, 4.298325E-05, 0.004026871, 0.0001041055, 0.0005187925, -0.9999968, -0.001943349, 0.3503954
 80606078, -0.0001787833, 0.0116469, 0.0002673224, 0.00104407, -0.0002553751, 0.004237473, 0.0002176713, 0.0005187925, -0.9999968, -0.001923104, 0.3503954
 80805998, -0.0002888859, 0.01178075, 0.0001365235, 0.00104407, -0.0001028034, 0.00397461, 5.366086E-05, 0.0005187925, -0.9999969, -0.001902143, 0.3503954
 81005918, -0.000101654, 0.01133617, 0.0001687602, 0.00104407, -9.25689E-05, 0.003746457, -0.0001516939, 0.0005187925, -0.9999969, -0.001880793, 0.3503954
 81205838, -0.0001902144, 0.01122277, -0.0002881375, 0.00104407, -0.0001232343, 0.00398155, -0.0001315747, 0.0005187925, -0.9999969, -0.001858448, 0.3503954
 81406591, -0.0003918481, 0.01164206, -1.253146E-05, 0.001046232, -0.0004655176, 0.004280628, -0.0001507382, 0.0005209541, -0.999997, -0.001837279, 0.3511209
 81606511, -0.0004636649, 0.01176949, -0.0001024135, 0.001046232, 7.714833E-05, 0.003999031, 3.869773E-05, 0.0005187925, -0.999997, -0.001815408, 0.3511209
 81806431, -0.0001090828, 0.01145348, 2.237258E-05, 0.00104407, -0.0001929881, 0.004013655, 7.130988E-05, 0.0005187925, -0.999997, -0.001793216, 0.3503954
 82006351, -0.000622768, 0.01153592, 0.0002044658, 0.00104407, -0.0001722971, 0.004029646, 1.004294E-05, 0.0005187925, -0.9999971, -0.001771055, 0.3503954
 82206271, -0.0003305165, 0.01158606, -1.486661E-05, 0.00104407, 0.0003011774, 0.004291139, -0.0001459253, 0.0005187925, -0.9999971, -0.001748226, 0.3503954
 82406191, 4.800341E-05, 0.01170871, -4.993107E-05, 0.00104407, -0.0001376088, 0.004000065, 8.326297E-05, 0.0005187925, -0.9999971, -0.00172597, 0.3503954
 82606111, -0.0001365533, 0.01126876, 0.0002137104, 0.00104407, -0.0001497541, 0.003900681, 0.0001396836, 0.0005187925, -0.9999973, -0.001703412, 0.3503954
 82806031, -0.0002954472, 0.01150294, 7.988357E-05, 0.00104407, 0.0001013276, 0.004171367, 3.618342E-05, 0.0005187925, -0.9999973, -0.001680753, 0.3503954
 83005951, 8.578798E-06, 0.01175999, -3.182796E-06, 0.00104407, 8.003833E-05, 0.003884811, -5.016466E-05, 0.0005187925, -0.9999974, -0.001657887, 0.3503954
 83205871, -0.0001493132, 0.01135232, -4.109288E-05, 0.00104407, -0.0002021902, 0.004245764, -0.0001104092, 0.0005187925, -0.9999974, -0.001634019, 0.3503954
 83405791, -0.0002467259, 0.01169953, -0.000223341, 0.00104407, -0.0001011131, 0.004174864, 0.0002039355, 0.0005187925, -0.9999974, -0.001610685, 0.3503954
 83606544, -0.0003678482, 0.01161533, 0.0001338816, 0.001046232, -0.0002113828, 0.00394355, -6.295784E-05, 0.0005209541, -0.9999974, -0.001587942, 0.3511209
 83806464, -0.0003297796, 0.01153071, -0.0001811494, 0.001046232, -9.767486E-05, 0.004026276, -0.0002078095, 0.0005187925, -0.9999975, -0.001563563, 0.3511209
 84006384, -7.968703E-05, 0.01147126, 7.205347E-05, 0.00104407, -0.0001634024, 0.003942405, -3.051729E-05, 0.0005187925, -0.9999975, -0.001539599, 0.3503954
 84206304, -0.0003066977, 0.01153362, 0.0001582335, 0.00104407, 7.061126E-05, 0.003857638, 3.386573E-05, 0.0005187925, -0.9999975, -0.001515527, 0.3503954
 84406224, 5.087974E-05, 0.01142905, 0.0004141866, 0.00104407, 0.0001526088, 0.004358218, 2.071625E-05, 0.0005187925, -0.9999976, -0.001492438, 0.3503954
 84606144, 0.0001470919, 0.01185896, 0.0001982575, 0.00104407, 3.581858E-05, 0.004221913, 8.648035E-05, 0.0005187925, -0.9999976, -0.001469428, 0.3503954
