THR,Frames,FPR,TPR,TTD
1,342,0.358974358974359,0.3795379537953795,1947
2,341,0.28205128205128205,0.33774834437086093,2147
3,340,0.2564102564102564,0.29900332225913623,2347
4,339,0.20512820512820512,0.2633333333333333,2547
5,338,0.15384615384615385,0.23076923076923078,2747
6,337,0.10256410256410256,0.20134228187919462,2947
7,336,0.05128205128205128,0.1717171717171717,3147
8,335,0.0,0.14527027027027026,3346
9,334,0.0,0.12203389830508475,3547
10,333,0.0,0.09863945578231292,3747
11,332,0.0,0.07849829351535836,3947
12,331,0.0,0.06164383561643835,4147
13,330,0.0,0.048109965635738834,4347
14,329,0.0,0.034482758620689655,4547
15,328,0.0,0.02422145328719723,4747
16,327,0.0,0.013888888888888888,4947
17,326,0.0,0.010452961672473868,5147
18,325,0.0,0.006993006993006993,5347
19,324,0.0,0.0035087719298245615,5546
20,323,0.0,0.0,0
