THR,Frames,FPR,TPR,TTD
1,122,0.375,1.0,119
2,121,0.3,1.0,119
3,120,0.25,1.0,119
4,119,0.2,1.0,119
5,118,0.15,1.0,119
6,117,0.125,1.0,119
7,116,0.1,1.0,119
8,115,0.075,1.0,119
9,114,0.05,1.0,119
10,113,0.025,1.0,119
11,112,0.0,1.0,119
12,111,0.0,0.9859154929577465,319
13,110,0.0,0.9714285714285714,519
14,109,0.0,0.9565217391304348,719
15,108,0.0,0.9411764705882353,919
16,107,0.0,0.9253731343283582,1119
17,106,0.0,0.9090909090909091,1320
18,105,0.0,0.8923076923076924,1520
19,104,0.0,0.875,1720
20,103,0.0,0.8571428571428571,1920
21,102,0.0,0.8387096774193549,2119
22,101,0.0,0.819672131147541,2319
23,100,0.0,0.8,2519
24,99,0.0,0.7796610169491526,2719
25,98,0.0,0.7586206896551724,2919
26,97,0.0,0.7368421052631579,3119
27,96,0.0,0.7142857142857143,3320
28,95,0.0,0.6909090909090909,3520
29,94,0.0,0.6666666666666666,3720
