THR,Frames,FPR,TPR,TTD
1,441,0.95,1.0,139
2,440,0.9357142857142857,1.0,139
3,439,0.9285714285714286,1.0,139
4,438,0.9214285714285714,1.0,139
5,437,0.9142857142857143,1.0,139
6,436,0.9071428571428571,1.0,139
7,435,0.9,1.0,139
8,434,0.8928571428571429,1.0,139
9,433,0.8857142857142857,1.0,139
10,432,0.8785714285714286,1.0,139
11,431,0.8714285714285714,1.0,139
12,430,0.8642857142857143,1.0,139
13,429,0.8571428571428571,1.0,139
14,428,0.85,1.0,139
15,427,0.8428571428571429,1.0,139
16,426,0.8357142857142857,1.0,139
17,425,0.8285714285714286,1.0,139
18,424,0.8214285714285714,1.0,139
19,423,0.8142857142857143,1.0,139
20,422,0.8071428571428572,1.0,139
21,421,0.8,1.0,139
22,420,0.7928571428571428,1.0,139
23,419,0.7857142857142857,1.0,139
24,418,0.7785714285714286,1.0,139
25,417,0.7714285714285715,1.0,139
26,416,0.7571428571428571,1.0,139
27,415,0.7428571428571429,1.0,139
28,414,0.7357142857142858,1.0,139
29,413,0.7285714285714285,1.0,139
