THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,669,0.32585949177877427,0.01943198804185351,0.017937219730941704
2,668,0.19910179640718562,0.008982035928143712,0.008982035928143712
3,667,0.136431784107946,0.004497751124437781,0.004497751124437781
4,666,0.10510510510510511,0.0,0.003003003003003003
5,665,0.08721804511278196,0.0,0.0015037593984962407
6,664,0.07228915662650602,0.0,0.0
7,663,0.06485671191553545,0.0,0.0
8,662,0.05740181268882175,0.0,0.0
9,661,0.049924357034795766,0.0,0.0
10,660,0.04090909090909091,0.0,0.0
11,659,0.03490136570561457,0.0,0.0
12,658,0.030395136778115502,0.0,0.0
13,657,0.0289193302891933,0.0,0.0
14,656,0.025914634146341462,0.0,0.0
15,655,0.024427480916030534,0.0,0.0
16,654,0.022935779816513763,0.0,0.0
17,653,0.021439509954058193,0.0,0.0
18,652,0.019938650306748466,0.0,0.0
19,651,0.018433179723502304,0.0,0.0
20,650,0.016923076923076923,0.0,0.0
21,649,0.015408320493066256,0.0,0.0
22,648,0.012345679012345678,0.0,0.0
23,647,0.012364760432766615,0.0,0.0
24,646,0.010835913312693499,0.0,0.0
25,645,0.010852713178294573,0.0,0.0
26,644,0.009316770186335404,0.0,0.0
27,643,0.00933125972006221,0.0,0.0
28,642,0.00778816199376947,0.0,0.0
29,641,0.0078003120124804995,0.0,0.0
