Threshold,ACCOF,GPSOF,ACCGPS
1,0.24262295081967214,0.001639344262295082,0.0
2,0.15763546798029557,0.0,0.0
3,0.125,0.0,0.0
4,0.1070840197693575,0.0,0.0
5,0.09075907590759076,0.0,0.0
6,0.08099173553719008,0.0,0.0
7,0.07119205298013245,0.0,0.0
8,0.06467661691542288,0.0,0.0
9,0.054817275747508304,0.0,0.0
10,0.048252911813643926,0.0,0.0
11,0.041666666666666664,0.0,0.0
12,0.03672787979966611,0.0,0.0
13,0.028428093645484948,0.0,0.0
14,0.023450586264656615,0.0,0.0
15,0.016778523489932886,0.0,0.0
16,0.015126050420168067,0.0,0.0
17,0.010101010101010102,0.0,0.0
18,0.008431703204047217,0.0,0.0
19,0.006756756756756757,0.0,0.0
20,0.005076142131979695,0.0,0.0
21,0.001694915254237288,0.0,0.0
22,0.0,0.0,0.0
