Threshold,ACCOF,GPSOF,ACCGPS
1,0.24918032786885247,0.9950819672131147,0.9950819672131147
2,0.16912972085385877,0.9917898193760263,0.9917898193760263
3,0.12828947368421054,0.9884868421052632,0.9884868421052632
4,0.11037891268533773,0.985172981878089,0.985172981878089
5,0.0924092409240924,0.9834983498349835,0.9818481848184818
6,0.08099173553719008,0.9818181818181818,0.9785123966942149
7,0.07119205298013245,0.9801324503311258,0.9751655629139073
8,0.06135986733001658,0.978441127694859,0.9718076285240465
9,0.054817275747508304,0.9767441860465116,0.96843853820598
10,0.04492512479201331,0.9750415973377704,0.9650582362728786
11,0.04,0.9733333333333334,0.9616666666666667
12,0.03171953255425709,0.9716193656093489,0.9582637729549248
13,0.02508361204013378,0.9698996655518395,0.9548494983277592
14,0.020100502512562814,0.9681742043551089,0.9514237855946399
15,0.015100671140939598,0.9664429530201343,0.947986577181208
16,0.011764705882352941,0.9647058823529412,0.9445378151260504
17,0.006734006734006734,0.9629629629629629,0.9410774410774411
18,0.00505902192242833,0.9612141652613828,0.9376053962900506
19,0.005067567567567568,0.9594594594594594,0.9341216216216216
20,0.00338409475465313,0.9576988155668359,0.9306260575296108
21,0.003389830508474576,0.9559322033898305,0.9271186440677966
22,0.001697792869269949,0.9541595925297114,0.9235993208828522
23,0.0,0.9523809523809523,0.9200680272108843
24,0.0,0.9505962521294719,0.9165247018739353
25,0.0,0.9488054607508533,0.9129692832764505
26,0.0,0.947008547008547,0.9094017094017094
27,0.0,0.9452054794520548,0.9058219178082192
28,0.0,0.9433962264150944,0.9039451114922813
29,0.0,0.9415807560137457,0.9020618556701031
