Threshold,ACCOF,GPSOF,ACCGPS
1,0.0,0.978688524590164,0.0
2,0.0,0.9770114942528736,0.0
3,0.0,0.975328947368421,0.0
4,0.0,0.9736408566721582,0.0
5,0.0,0.971947194719472,0.0
6,0.0,0.9702479338842975,0.0
7,0.0,0.9685430463576159,0.0
8,0.0,0.966832504145937,0.0
9,0.0,0.9651162790697675,0.0
10,0.0,0.9633943427620633,0.0
11,0.0,0.9616666666666667,0.0
12,0.0,0.9599332220367279,0.0
13,0.0,0.9581939799331104,0.0
14,0.0,0.9564489112227805,0.0
15,0.0,0.9546979865771812,0.0
16,0.0,0.9529411764705882,0.0
17,0.0,0.9511784511784511,0.0
18,0.0,0.9494097807757167,0.0
19,0.0,0.9476351351351351,0.0
20,0.0,0.9458544839255499,0.0
21,0.0,0.9440677966101695,0.0
22,0.0,0.9422750424448217,0.0
23,0.0,0.9404761904761905,0.0
24,0.0,0.938671209540034,0.0
25,0.0,0.9368600682593856,0.0
26,0.0,0.935042735042735,0.0
27,0.0,0.9332191780821918,0.0
28,0.0,0.9313893653516295,0.0
29,0.0,0.929553264604811,0.0
