Threshold,ACCOF,GPSOF,ACCGPS
1,0.34392523364485983,0.983177570093458,0.2803738317757009
2,0.17415730337078653,0.9756554307116105,0.2696629213483146
3,0.07317073170731707,0.9699812382739212,0.2589118198874296
4,0.043233082706766915,0.9642857142857143,0.24812030075187969
5,0.022598870056497175,0.9585687382297552,0.23728813559322035
6,0.013207547169811321,0.9528301886792453,0.22641509433962265
7,0.00945179584120983,0.947069943289225,0.21550094517958412
8,0.005681818181818182,0.9412878787878788,0.20454545454545456
9,0.003795066413662239,0.9354838709677419,0.1935483870967742
10,0.0019011406844106464,0.9296577946768061,0.18250950570342206
11,0.0019047619047619048,0.9238095238095239,0.17142857142857143
12,0.0,0.9179389312977099,0.16030534351145037
13,0.0,0.9120458891013384,0.15296367112810708
14,0.0,0.9061302681992337,0.14559386973180077
15,0.0,0.9001919385796545,0.1381957773512476
16,0.0,0.8942307692307693,0.13076923076923078
17,0.0,0.8882466281310212,0.1233140655105973
18,0.0,0.8822393822393823,0.11583011583011583
19,0.0,0.8762088974854932,0.10831721470019343
20,0.0,0.8701550387596899,0.10077519379844961
21,0.0,0.8640776699029126,0.09320388349514563
22,0.0,0.857976653696498,0.08560311284046693
23,0.0,0.8518518518518519,0.07797270955165692
24,0.0,0.845703125,0.068359375
25,0.0,0.8395303326810176,0.05870841487279843
26,0.0,0.8333333333333334,0.050980392156862744
27,0.0,0.8271119842829077,0.043222003929273084
28,0.0,0.8208661417322834,0.03543307086614173
29,0.0,0.814595660749507,0.027613412228796843
