Threshold,ACCOF,GPSOF,ACCGPS
1,0.3037037037037037,0.9777777777777777,0.16790123456790124
2,0.09405940594059406,0.9678217821782178,0.15346534653465346
3,0.03225806451612903,0.9602977667493796,0.141439205955335
4,0.009950248756218905,0.9527363184079602,0.1318407960199005
5,0.0,0.9451371571072319,0.11970074812967581
6,0.0,0.9375,0.1075
7,0.0,0.9298245614035088,0.09523809523809523
8,0.0,0.9221105527638191,0.0829145728643216
9,0.0,0.9143576826196473,0.07304785894206549
10,0.0,0.9065656565656566,0.06313131313131314
11,0.0,0.8987341772151899,0.053164556962025315
12,0.0,0.8908629441624365,0.04568527918781726
13,0.0,0.8829516539440203,0.03816793893129771
14,0.0,0.875,0.030612244897959183
15,0.0,0.8670076726342711,0.02557544757033248
16,0.0,0.8589743589743589,0.023076923076923078
17,0.0,0.8534704370179949,0.02056555269922879
18,0.0,0.8505154639175257,0.01804123711340206
19,0.0,0.8475452196382429,0.015503875968992248
20,0.0,0.844559585492228,0.012953367875647668
21,0.0,0.8415584415584415,0.01038961038961039
22,0.0,0.8385416666666666,0.0078125
23,0.0,0.835509138381201,0.005221932114882507
24,0.0,0.8324607329842932,0.002617801047120419
25,0.0,0.8293963254593176,0.0
26,0.0,0.8263157894736842,0.0
27,0.0,0.8232189973614775,0.0
28,0.0,0.8201058201058201,0.0
29,0.0,0.8169761273209549,0.0
