Threshold,ACCOF,GPSOF,ACCGPS
1,0.0,0.18518518518518517,0.0
2,0.0,0.17574257425742573,0.0
3,0.0,0.1662531017369727,0.0
4,0.0,0.15671641791044777,0.0
5,0.0,0.14713216957605985,0.0
6,0.0,0.1375,0.0
7,0.0,0.12781954887218044,0.0
8,0.0,0.11809045226130653,0.0
9,0.0,0.11083123425692695,0.0
10,0.0,0.10606060606060606,0.0
11,0.0,0.10126582278481013,0.0
12,0.0,0.09644670050761421,0.0
13,0.0,0.0916030534351145,0.0
14,0.0,0.08673469387755102,0.0
15,0.0,0.08184143222506395,0.0
16,0.0,0.07948717948717948,0.0
17,0.0,0.07712082262210797,0.0
18,0.0,0.07474226804123711,0.0
19,0.0,0.07235142118863049,0.0
20,0.0,0.06994818652849741,0.0
21,0.0,0.06753246753246753,0.0
22,0.0,0.06510416666666667,0.0
23,0.0,0.06266318537859007,0.0
24,0.0,0.060209424083769635,0.0
25,0.0,0.05774278215223097,0.0
26,0.0,0.05526315789473684,0.0
27,0.0,0.052770448548812667,0.0
28,0.0,0.05026455026455026,0.0
29,0.0,0.04774535809018567,0.0
