Threshold,ACCOF,GPSOF,ACCGPS
1,0.2137862137862138,0.007992007992007992,0.0
2,0.145,0.005,0.0
3,0.1021021021021021,0.003003003003003003,0.0
4,0.08617234468937876,0.001002004008016032,0.0
5,0.0712136409227683,0.0,0.0
6,0.06224899598393574,0.0,0.0
7,0.05628140703517588,0.0,0.0
8,0.052313883299798795,0.0,0.0
9,0.0473313192346425,0.0,0.0
10,0.04435483870967742,0.0,0.0
11,0.03733602421796166,0.0,0.0
12,0.03636363636363636,0.0,0.0
13,0.032355915065722954,0.0,0.0
14,0.03137651821862348,0.0,0.0
15,0.02735562310030395,0.0,0.0
16,0.02535496957403651,0.0,0.0
17,0.02233502538071066,0.0,0.0
18,0.021341463414634148,0.0,0.0
19,0.018311291963377416,0.0,0.0
20,0.017311608961303463,0.0,0.0
21,0.014271151885830785,0.0,0.0
22,0.013265306122448979,0.0,0.0
23,0.010214504596527068,0.0,0.0
24,0.007157464212678937,0.0,0.0
25,0.006141248720573183,0.0,0.0
26,0.005122950819672131,0.0,0.0
27,0.005128205128205128,0.0,0.0
28,0.004106776180698152,0.0,0.0
29,0.0041109969167523125,0.0,0.0
