Threshold,ACCOF,GPSOF,ACCGPS
1,0.32286995515695066,0.008968609865470852,0.0
2,0.19910179640718562,0.0,0.0
3,0.136431784107946,0.0,0.0
4,0.10510510510510511,0.0,0.0
5,0.08721804511278196,0.0,0.0
6,0.07228915662650602,0.0,0.0
7,0.06485671191553545,0.0,0.0
8,0.05740181268882175,0.0,0.0
9,0.049924357034795766,0.0,0.0
10,0.04090909090909091,0.0,0.0
11,0.03490136570561457,0.0,0.0
12,0.030395136778115502,0.0,0.0
13,0.0289193302891933,0.0,0.0
14,0.025914634146341462,0.0,0.0
15,0.024427480916030534,0.0,0.0
16,0.022935779816513763,0.0,0.0
17,0.021439509954058193,0.0,0.0
18,0.019938650306748466,0.0,0.0
19,0.018433179723502304,0.0,0.0
20,0.016923076923076923,0.0,0.0
21,0.015408320493066256,0.0,0.0
22,0.012345679012345678,0.0,0.0
23,0.012364760432766615,0.0,0.0
24,0.010835913312693499,0.0,0.0
25,0.010852713178294573,0.0,0.0
26,0.009316770186335404,0.0,0.0
27,0.00933125972006221,0.0,0.0
28,0.00778816199376947,0.0,0.0
29,0.0078003120124804995,0.0,0.0
