THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,535,1.0,1.0,0.7401869158878505
2,534,0.99812734082397,0.99812734082397,0.7059925093632958
3,533,0.9962476547842402,0.9943714821763602,0.6772983114446529
4,532,0.9924812030075187,0.9868421052631579,0.6522556390977443
5,531,0.9868173258003766,0.9774011299435028,0.6271186440677966
6,530,0.9811320754716981,0.9679245283018868,0.6075471698113207
7,529,0.9754253308128544,0.9584120982986768,0.5897920604914934
8,528,0.9659090909090909,0.9450757575757576,0.571969696969697
9,527,0.952561669829222,0.9297912713472486,0.5540796963946869
10,526,0.9429657794676806,0.9163498098859315,0.5361216730038023
11,525,0.9314285714285714,0.9028571428571428,0.52
12,524,0.9198473282442748,0.8874045801526718,0.5057251908396947
13,523,0.9082217973231358,0.875717017208413,0.4933078393881453
14,522,0.8984674329501916,0.8620689655172413,0.48084291187739464
15,521,0.8886756238003839,0.8483685220729367,0.46641074856046066
16,520,0.8788461538461538,0.8346153846153846,0.45384615384615384
17,519,0.8689788053949904,0.8208092485549133,0.441233140655106
18,518,0.8552123552123552,0.805019305019305,0.4305019305019305
19,517,0.8413926499032882,0.7891682785299806,0.4197292069632495
20,516,0.8275193798449613,0.7732558139534884,0.40891472868217055
21,515,0.8135922330097087,0.7572815533980582,0.39805825242718446
22,514,0.7996108949416343,0.7412451361867705,0.38715953307393
23,513,0.7855750487329435,0.7251461988304093,0.3762183235867446
24,512,0.771484375,0.70703125,0.3671875
25,511,0.7553816046966731,0.6888454011741683,0.35812133072407043
26,510,0.7392156862745098,0.6705882352941176,0.34901960784313724
27,509,0.7229862475442044,0.6522593320235757,0.33988212180746563
28,508,0.7066929133858267,0.6358267716535433,0.33070866141732286
29,507,0.6903353057199211,0.6193293885601578,0.3214990138067061
